,Concept_ID,mdf,de
0,Auge::N,сельме,Auge
1,Ohr::N,пиле,Ohr
2,Nase::N,шалхка,Nase
3,Mund::N,курга,Mund
4,Zahn::N,пей,Zahn
5,Zunge::N,кяль,Zunge
6,Lippe::N,търва́,Lippe
7,Wange::N,щёка,Wange
8,Gesicht::N,шама,Gesicht
9,Stirn::N,коня,Stirn
10,Haar::N,шя́ярь,Haar
11,Schnurrbart::N,уса́,Schnurrbart
12,Bart::N,сакал,Bart
13,Kinn::N,ула,Kinn
14,Kiefer[Anatomie]::N,саласка,Kiefer
15,Kehle::N,кълдома,Kehle
16,Kehle::N,кърга́парь,Kehle
17,Hals::N,сялдаз,Hals
18,Genick::N,шовонь,Genick
19,Kopf::N,пря,Kopf
20,Rücken::N,копорь,Rücken
21,Bauch::N,пеке,Bauch
22,Nabel::N,по́кон,Nabel
23,Busen::N,потя,Busen
24,Brust::N,мяште,Brust
25,Schulter::N,лафту,Schulter
26,Arm::N,кядь,Arm
27,Ellenbogen::N,кенерьба́карь,Ellenbogen
28,Hand::N,кядь,Hand
29,Handfläche::N,кядьлапш,Handfläche
30,Finger::N,сур,Finger
31,Fingernagel::N,кенже,Fingernagel
32,Nagel[Anatomie]::N,кенже,Nagel
33,Zeh::N,пильгосу́р,Zeh
34,Fuß::N,пильге,Fuß
35,Fuß::N,пильгелапа,Fuß
36,Ferse::N,кочкяря,Ferse
37,Knie::N,эль,Knie
38,Knie::N,пълма́нжа,Knie
39,Oberschenkel::N,пильгепукша,Oberschenkel
40,Bein::N,пильге,Bein
41,Körper::N,ро́нга,Körper
42,Körper::N,по́нда,Körper
43,Haut::N,киське,Haut
44,Blut::N,вер,Blut
45,Ader::N,сан,Ader
46,Ader::N,верза́н,Ader
47,Sehne::N,коське сан,Sehne
48,Knochen::N,пакарь,Knochen
49,Gehirn::N,уй,Gehirn
50,Herz::N,седи,Herz
51,Magen::N,коткърдазь,Magen
52,Leber::N,макса,Leber
53,Atem::N,лекома,Atem
54,Atem::N,ваймонь тарксема,Atem
55,Hunger::N,вачеши,Hunger
56,Träne::N,сельмове́дь,Träne
57,Geschmack::N,таньф,Geschmack
58,Geruch::N,шине,Geruch
59,Schlaf::N,удома́,Schlaf
60,Traum::N,он,Traum
61,Himmel::N,менель,Himmel
62,Sonne::N,ши,Sonne
63,Mond::N,ков,Mond
64,Stern::N,тяште,Stern
65,Luft::N,кожф,Luft
66,Wind::N,варма,Wind
67,Welle::N,тавла,Welle
68,Wasser::N,ведь,Wasser
69,Stein::N,кев,Stein
70,Boden::N,мода,Boden
71,Boden::N,потмакс,Boden
72,Erde::N,мода,Erde
73,Erde::N,мастор,Erde
74,Staub::N,пуль,Staub
75,Rauch::N,качам,Rauch
76,Funke::N,ця́тка,Funke
77,Feuer::N,тол,Feuer
78,Licht::N,ва́лда,Licht
79,Schatten::N,цильф,Schatten
80,Wetter::N,уша,Wetter
81,Nebel::N,тума́н,Nebel
82,Wolke::N,ковол,Wolke
83,Regen::N,пизем,Regen
84,Schnee::N,лов,Schnee
85,Eis::N,эй,Eis
86,Frost::N,ке́льме,Frost
87,Kälte::N,якшама,Kälte
88,Hitze::N,пси,Hitze
89,Raureif::N,леш,Raureif
90,Regenbogen::N,а́тямъёнга,Regenbogen
91,Donner::N,атям,Donner
92,Strömung::N,шудема́,Strömung
93,Tropfen::N,путькс,Tropfen
94,Tropfen::N,пътняфкс,Tropfen
95,Schaum::N,шов,Schaum
96,Schmutz::N,ърда́з,Schmutz
97,See::N,эрьхке,See
98,Sumpf::N,шяй,Sumpf
99,Moor::N,шяй,Moor
100,Wiese::N,луга,Wiese
101,Wald::N,вирь,Wald
102,Hügel::N,губо́р,Hügel
103,Hügel::N,пандоня,Hügel
104,Anhöhe::N,губо́р,Anhöhe
105,Berg::N,панда,Berg
106,Gipfel::N,пря,Gipfel
107,Höhle::N,у́нда,Höhle
108,Abhang::N,па́нда ша́ма,Abhang
109,Quelle::N,эшиня,Quelle
110,Bach::N,шудерькс,Bach
111,Fluss::N,ляй,Fluss
112,Ufer::N,търва́,Ufer
113,Küste::N,ляйтърва́,Küste
114,Festland::N,мода,Festland
115,Meer::N,моря,Meer
116,Bucht::N,ведьуське,Bucht
117,Insel::N,цёнга,Insel
118,Blume::N,панчф,Blume
119,Gras::N,тише,Gras
120,Wurzel::N,юр,Wurzel
