,Concept_ID,ca,mrj
0,Auge::N,ull,сӹнзӓ
1,Ohr::N,orella,пӹлӹш
2,Nase::N,nas,нер
3,Mund::N,boca,ышма
4,Zahn::N,dent,пӱ
5,Zunge::N,llēngua,йӹлмӹ
6,Lippe::N,llavi,тӹрвӹ
7,Wange::N,galta,шӹргӹ
8,Gesicht::N,cara,лицӓ
9,Stirn::N,front,лепкӓ
10,Haar::N,cabēll,ӱп
11,Schnurrbart::N,bigoti,öрш
12,Bart::N,barba,пандаш
13,Kinn::N,mentó,онгылаш
14,Kinn::N,barbeta,онгылаш
15,Kiefer[Anatomie]::N,queix,пӱ арата
16,Kiefer[Anatomie]::N,mandíbula,пӱ арата
17,Kehle::N,gola,логер
18,Kehle::N,gorja,логер
19,Hals::N,coll,шӱ
20,Genick::N,nuca,ланга
21,Kopf::N,cap,вуй
22,Rücken::N,esquena,туп
23,Bauch::N,panxa,мӹшкӹр
24,Nabel::N,llombrígol,кӹлӹмдӹ
25,Busen::N,pit,цӹзӹ
26,Busen::N,mama,цӹзӹ
27,Brust::N,pit,мел
28,Schulter::N,espatlla,ӹнгӹжӓ
29,Arm::N,braç,кид
30,Ellenbogen::N,colze,кӹнервуй
31,Hand::N,mà,лапа
32,Handfläche::N,palma,кид лапа
33,Finger::N,dit,парня
34,Fingernagel::N,ungla,кӹч
35,Nagel[Anatomie]::N,ungla,кӹч
36,Zeh::N,dit del peu,парня
37,Fuß::N,peu,ял лапа
38,Ferse::N,taló,ялгавал
39,Ferse::N,taló,ял кавал
40,Knie::N,genoll,пылвуй
41,Oberschenkel::N,cuixa,ӓрдӹ
42,Bein::N,cama,ял
43,Körper::N,cos,монгыр
44,Haut::N,pell,кавашты
45,Blut::N,sang,вӹр
46,Ader::N,vena,вӹршӓр
47,Sehne::N,tendó,кукшышӱн
48,Knochen::N,os,лу
49,Gehirn::N,cervell,вим
50,Herz::N,cor,шӱм
51,Magen::N,estómac,шӱм
52,Leber::N,fetge,мокш
53,Atem::N,alè,шӱлӹш
54,Atem::N,hàlit,шӱлӹш
55,Hunger::N,fam,шужымаш
56,Hunger::N,gana,шужымаш
57,Träne::N,llàgrima,сӹнзӓвӹд
58,Geschmack::N,gust,тот
59,Geschmack::N,sabor,тот
60,Geruch::N,olor,пыш
61,Schlaf::N,son,ом
62,Traum::N,somni,ом
63,Himmel::N,celm,пӹлгом
64,Sonne::N,sol,кечӹ
65,Mond::N,lluna,тӹлзӹ
66,Stern::N,estel,шӹдӹр
67,Stern::N,estrella,шӹдӹр
68,Luft::N,aire,юж
69,Luft::N,aire,воздух
70,Wind::N,vent,мардеж
71,Welle::N,ona,ко
72,Welle::N,ona,коэ
73,Wasser::N,āigua,вӹд
74,Stein::N,pedra,кӱ
75,Boden::N,sòl,рок
76,Erde::N,terra,свет
77,Staub::N,pols,пырак
78,Rauch::N,fum,шӹкш
79,Funke::N,guspira,ип
80,Funke::N,guspira,тылип
81,Funke::N,centella,ип
82,Funke::N,centella,тылип
83,Feuer::N,foc,тыл
84,Licht::N,llum,соты
85,Licht::N,llum,валгыды
86,Schatten::N,ombra,ӹмӹл
87,Wetter::N,temps,игечӹ
88,Nebel::N,boira,тӹтӹрӓ
89,Wolke::N,núvol,пӹл
90,Regen::N,pluja,юр
91,Schnee::N,neu,лым
92,Eis::N,gel,и
93,Eis::N,glaç,и
94,Frost::N,glaçada,ӱштӹ
95,Kälte::N,fred,ӱштӹ
96,Hitze::N,calor,шокшы
97,Raureif::N,gebre,пöрш
98,Regenbogen::N,arc iris,шанавӹл
99,Donner::N,tro,хӹдӹртӹш
100,Strömung::N,corrent,йогы
101,Tropfen::N,gota,капльы
102,Tropfen::N,gota,капльык
103,Schaum::N,escuma,шонг
104,Schmutz::N,brutícia,лявӹрӓ
105,See::N,llac,йӓр
106,Sumpf::N,pantà,лӱкӹ
107,Moor::N,pantà,куп
108,Wiese::N,prat,алык
109,Wiese::N,prada,алык
110,Wald::N,bosc,шӹргӹ
111,Hügel::N,puig,пӱгӹрикӓ
112,Hügel::N,pujol,пӱгӹрикӓ
113,Anhöhe::N,turó,кӱкшикӓ
114,Berg::N,muntanya,кырык
115,Gipfel::N,cim,неркӓ
116,Höhle::N,cova,ы́раж
117,Abhang::N,coster,полом
118,Quelle::N,font,вӹдсӹнзӓ
119,Bach::N,riera,ӓнгӹр
120,Fluss::N,riu,вӹд
121,Ufer::N,riba,сир
122,Küste::N,costa,сир
123,Festland::N,terra ferma,мӱлӓндӹ
124,Meer::N,mar,тангыж
125,Bucht::N,cala,вӹдъял
126,Bucht::N,badia,вӹдъял
127,Insel::N,illa,острок
128,Blume::N,flor,пеледӹш
129,Gras::N,herba,шуды
130,Wurzel::N,rel,важ
131,Wurzel::N,arrel,важ
132,Baum::N,arbre,пушӓнгӹ
133,Stamm::N,tronc,пушӓнгӹ тӹнг
134,Rinde::N,escorça,каргыж
135,Ast::N,branca,укш
136,Zweig::N,ram,укш
137,Blatt::N,fulla,листӹ
138,Birke::N,bedoll,куги
139,Kiefer[Baum]::N,pi,йӓктӹ
140,Weide[Baum]::N,salze,уа
141,Tanne::N,avet,кож
142,Horn::N,corn,шур
143,Horn::N,banya,шур
144,Feder::N,ploma,пын
145,Fell::N,pell,кавашты
146,Flügel::N,ala,шылдыр
147,Klaue::N,urpa,кӹч
148,Kralle::N,grapa,лапа
149,Schwanz::N,cua,пач
150,Ei::N,ou,мыны
151,Nest::N,niu,пӹжӓш
152,Bau::N,cau,ыраж
153,Tier::N,animāl,во́льык
154,Herde::N,ramat,кӹтö
155,Kuh::N,vaca,ышкал
156,Bulle::N,toro,ӱшкӱж
157,Pferd::N,cavāll,имни
158,Schaf::N,be,шарык
159,Schaf::N,ovella,шарык
160,Schwein::N,bacó,сасна
161,Hund::N,ca,пи
162,Hund::N,gos,пи
163,Katze::N,gat,коти
164,Bär::N,ós,мöскӓ
165,Eichhörnchen::N,esquirol,ур
166,Elch::N,ant,шарды
167,Fuchs::N,guilla,рӹвӹж
168,Hase::N,llebre,морен
169,Maus::N,ratolí,каля
170,Wolf::N,llop,пирӹ
171,Vogel::N,au,кек
172,Vogel::N,ocēll,кек
173,Schwarm::N,bandada,цуца
174,Huhn::N,gallina,цӹвӹ
175,Hahn::N,gall,ӓптӓн
176,Gans::N,oca,комбы
177,Adler::N,àguila,кучкыж
178,Ente::N,ànec,лыды
179,Eule::N,òliba,тымана
180,Eule::N,mussol,тымана
181,Kranich::N,grua,тырня
182,Kranich::N,grua,тыртня
183,Krähe::N,cornella,лудыгарак
184,Kuckuck::N,cucut,куку
185,Schwan::N,cigne,йӱксӹ
186,Fisch::N,peix,кол
187,Barsch::N,perca,алангы
188,Hecht::N,lluç,нуж
189,Hecht::N,lluç,нужгол
190,Schlange[Tier]::N,serp,кӹшкы
191,Wurm::N,cuc,шукш
192,Spinne::N,aranya,ӓнгӹремшӹ
193,Ameise::N,formiga,кыткы
194,Laus::N,poll,ти
195,Mücke::N,mosquit,кужнер
196,Mücke::N,mosquit,кужынер
197,Fliege::N,mosca,шӹнгӓ
198,Schmetterling::N,papallona,лӹпӹ
199,Beere::N,baia,мöр
200,Apfel::N,poma,олма
201,Pilz::N,bolet,понгы
202,Zwiebel::N,ceba,охыра
203,Saat::N,sembra,нӱшмӹ
204,Saat::N,sembra,нӱшмӱ
205,Korn::N,gra,пӹрцӹ
206,Heu::N,fenc,шуды
207,Schale::N,closca,аваха
208,Schale::N,closca,карлангы
209,Grube::N,sot,йӓм
210,Grube::N,clot,йӓм
211,Falle::N,trampa,лӱдӹ
212,Falle::N,trampa,лӱдӹш
213,Schlinge::N,baga,онгы
214,Spur::N,traça,кишӓ
215,Asche::N,cendra,ломых
216,Asche::N,cendra,ломпыж
217,Dreck::N,llot,лявӹрӓ
218,Eisen::N,ferro,кӹртни
219,Gold::N,or,шöртни
220,Gold::N,or,шöртньӹ
221,Silber::N,plata,ши
222,Kohle::N,carbó,шӱ
223,Glas::N,vidre,охоница
224,Lehm::N,fang,шун
225,Lehm::N,argila,шун
226,Sand::N,arena,ошма
227,Mensch::N,humà,эдем
228,Mensch::N,persona,эдем
229,Mann::N,home,пӱэргӹ
230,Frau::N,dona,ӹдӹрӓмӓш
231,Kind::N,nen,ӓзӓ
232,Kind::N,nen,шачшы
233,Junge::N,noi,рвезӹ
234,Junge::N,noi,ӹрвезӹ
235,Mädchen::N,noia,ӹдӹрӓш
236,Familie::N,família,йиш
237,Familie::N,família,семня
238,Großvater::N,avi,тьоти
239,Großmutter::N,àvia,папа
240,Eltern::N,pares,ӓтя-ӓвӓ
241,Vater::N,pare,ӓтя
242,Mutter::N,mare,ӓвӓ
243,Sohn::N,fill,эргӹ
244,Tochter::N,filla,ӹдӹр
245,Bruder::N,germà,ӹза
246,Schwester::N,germana,ӓкӓ
247,Onkel::N,oncle,кугуза
248,Tante::N,tia,куака
249,Ehemann::N,espòs,мары
250,Ehefrau::N,muller,вӓтӹ
251,Freude::N,goig,ӹвӹртӹмӓш
252,Freude::N,alegria,ӹвӹртӹмӓш
253,Gelächter::N,riallada,ваштылмаш
254,Glück::N,felicitat,пиӓл
255,Kummer::N,pena,ясы
256,Wunsch::N,desig,охата
257,Wunsch::N,desig,шанымаш
258,Lust::N,ganes,шӓр
259,Lust::N,ganes,охата
260,Lust::N,ganes,шанымаш
261,Geist::N,ment,тух
262,Geist::N,esperit,тух
263,Gedanke::N,pensament,шанымаш
264,Gedächtnis::N,memòria,ӓш
265,Verstand::N,raó,ыш
266,Verstand::N,seny,ыш
267,Sinn::N,solta,кын
268,Sinn::N,sentit,кын
269,Grund::N,raó,вир
270,Grund::N,causa,вир
271,Wahrheit::N,veritāt,тöр
272,Gespräch::N,conversa,хытырымаш
273,Märchen::N,conte,ямак
274,Erzählung::N,narració,шайыштмаш
275,Nachricht::N,missatge,увертӓрӹмӓш
276,Neuigkeit::N,novetat,увер
277,Name::N,nom,лӹм
278,Rätsel::N,endevinalla,тышты
279,Rede::N,discurs,шая
280,Rede::N,discurs,шамак
281,Sprache::N,llēngua,йӹлмӹ
282,Stimme::N,veu,юк
283,Wort::N,mot,шамак
284,Wort::N,paraula,шамак
285,Zeichen::N,signe,палӹ
286,Zeichen::N,senyal,палӹ
287,Ruf::N,crida,сӹгӹрӹмӓш
288,Lärm::N,sorōll,юкланымащ
289,Laut::N,so,юк
290,Ton::N,to,юк
291,Lied::N,cançó,мыры
292,Ruhe::N,calma,тыр
293,Ruhe::N,silenci,тыр
294,Leute::N,gent,эдемвлӓ
295,Volk::N,poble,халык
296,Arbeit::N,labor,пӓшӓ
297,Arbeit::N,treball,пӓшӓ
298,Gast::N,hoste,хына
299,Geschenk::N,regal,подарка
300,Geschenk::N,obsequi,подарка
301,Spiel::N,joc,мадыш
302,Gesellschaft::N,companyia,йӓл
303,Gesellschaft::N,companyia,йӓлвлӓ
304,Hilfe::N,ajut,палшык
305,Freund::N,amīc,тӓнг
306,Kamerad::N,company,тос
307,Kamerad::N,camarada,тос
308,Angelegenheit::N,afer,дела
309,Angelegenheit::N,afer,йела
310,Angelegenheit::N,afer,йыла
311,Angelegenheit::N,afer,пӓшӓ
312,Angelegenheit::N,assumpte,дела
313,Angelegenheit::N,assumpte,йела
314,Angelegenheit::N,assumpte,йыла
315,Angelegenheit::N,assumpte,пӓшӓ
316,Anzahl::N,nombre,шот
317,Anzahl::N,quantitat,шот
318,Art::N,tipus,цӹре
319,Art::N,classe,цӹре
320,Stück::N,peça,лаштык
321,Teil::N,part,пай
322,Teil::N,part,часть
323,Hälfte::N,meitat,пел
324,Kreis::N,cercle,тӹртӹш
325,Kreuz::N,creu,крестӹ
