,Concept_ID,hr,av
0,Auge::N,oko,
1,Ohr::N,uho,гӏин
2,Nase::N,nos,мегӏер
3,Mund::N,usta,кӏал
4,Zahn::N,zub,гӏус
5,Zunge::N,jezik,мацӏ
6,Lippe::N,usna,кӏветӏ
7,Wange::N,obraz,гӏоно
8,Gesicht::N,lice,гьумер
9,Stirn::N,čelo,нодо
10,Haar::N,kosa,рас
11,Schnurrbart::N,brkovi,михъ
12,Bart::N,brada,мегеж
13,Kinn::N,brada,нилъу
14,Kinn::N,podbradak,нилъу
15,Kiefer[Anatomie]::N,čeljust,чанагъ
16,Kehle::N,grlo,щекъер
17,Hals::N,vrat,габур
18,Genick::N,zatiljak,гъванща
19,Kopf::N,glava,бетӏер
20,Rücken::N,leđa,мугъ
21,Rücken::N,hrbat,мугъ
22,Bauch::N,trbuh,чехь
23,Nabel::N,pupak,цӏину
24,Busen::N,sisa,керен
25,Busen::N,njedra,керен
26,Brust::N,prsa,керен
27,Schulter::N,rame,гъажазубетӏер
28,Schulter::N,pleći,гъажазубетӏер
29,Arm::N,ruka,гъеж
30,Ellenbogen::N,lakat,гӏункӏрукь
31,Hand::N,ruka,квер
32,Handfläche::N,dlan,огъохъат
33,Handfläche::N,dlan,жанисахъат
34,Finger::N,prst,килищ
35,Fingernagel::N,nokat,малъ
36,Nagel[Anatomie]::N,nokat,малъ
37,Zeh::N,nozni prst,килищ
38,Fuß::N,noga,хӏетӏ
39,Fuß::N,noga,хӏетӏе
40,Fuß::N,stopalo,хӏетӏ
41,Fuß::N,stopalo,хӏетӏе
42,Ferse::N,peta,эгъе
43,Knie::N,koljeno,наку
44,Oberschenkel::N,bedro,мачӏ
45,Bein::N,noga,бох
46,Körper::N,tijelo,къаркъала
47,Haut::N,put,тӏом
48,Haut::N,koža,тӏом
49,Blut::N,krv,би
50,Ader::N,žila,бидурихь
51,Sehne::N,tetiva,
52,Knochen::N,kost,ракьа
53,Herz::N,srce,ракӏ
54,Magen::N,stomak,кванирукъ
55,Magen::N,želudac,кванирукъ
56,Leber::N,jetra,тӏул
57,Atem::N,dah,хӏухь
58,Hunger::N,glad,ракъи
59,Träne::N,suza,магӏу
60,Geschmack::N,ukus,тату
61,Geruch::N,njuh,махӏ
62,Geruch::N,miris,махӏ
63,Schlaf::N,san,макьу
64,Traum::N,san,макьу
65,Himmel::N,nebo,зоб
66,Sonne::N,sunce,бакъ
67,Mond::N,mjesec,моцӏ
68,Stern::N,zvijezda,цӏва
69,Luft::N,zrak,гьава
70,Wind::N,vjetar,гьури
71,Welle::N,val,карачел
72,Welle::N,talas,карачел
73,Wasser::N,voda,лъим
74,Stein::N,kamen,гьецӏо
75,Boden::N,tlo,ракь
76,Boden::N,zemlja,ракь
77,Erde::N,zemlja,ракь
78,Erde::N,zemlja,дуниял
79,Staub::N,prah,хӏур
80,Staub::N,prašina,хӏур
81,Rauch::N,dim,кӏкӏуй
82,Funke::N,iskra,
83,Funke::N,varnica,
84,Feuer::N,vatra,цӏа
85,Licht::N,svjetlo,канлъи
86,Schatten::N,hlad,рагӏад
87,Schatten::N,sjena,рагӏад
88,Wetter::N,vrijeme,гьава-бакъ
89,Nebel::N,magla,гӏодобнакӏкӏ
90,Wolke::N,oblak,накӏкӏ
91,Regen::N,kiša,цӏад
92,Schnee::N,snijeg,гӏазу
93,Eis::N,led,цӏер
94,Frost::N,mraz,замгьари
95,Kälte::N,studen,квач
96,Kälte::N,hladnoća,квач
97,Hitze::N,vrućina,багӏари
98,Raureif::N,inje,мартӏ
99,Regenbogen::N,duga,нур
100,Regenbogen::N,duga,чамбара
101,Donner::N,grom,гъугъай
102,Donner::N,grom,гъугъади
103,Donner::N,grmljavina,гъугъай
104,Donner::N,grmljavina,гъугъади
105,Strömung::N,struja,чвахи
106,Strömung::N,strujanje,чвахи
107,Tropfen::N,kap,резел
108,Tropfen::N,kap,тӏинкӏ
109,Tropfen::N,kap,къатӏра
110,Tropfen::N,kap,тӏенкӏел
111,Tropfen::N,kaplja,резел
112,Tropfen::N,kaplja,тӏинкӏ
113,Tropfen::N,kaplja,къатӏра
114,Tropfen::N,kaplja,тӏенкӏел
115,Schaum::N,pjena,полоп
116,Schmutz::N,nečistoća,чороклъи
117,Schmutz::N,prljavština,чороклъи
118,See::N,jezero,хӏор
119,Sumpf::N,bara,хьуцӏ
120,Moor::N,močvara,
121,Wiese::N,livada,мегъ
122,Wiese::N,livada,гӏурдаллъи
123,Wald::N,šuma,рохь
124,Hügel::N,brijeg,гохӏ
125,Hügel::N,brežuljak,гохӏ
126,Anhöhe::N,uzvišica,сийитма
127,Berg::N,brdo,мегӏер
128,Gipfel::N,vrh,тӏогь
129,Höhle::N,pećina,нохъо
130,Höhle::N,spilja,нохъо
131,Abhang::N,obronak,лабаллъи
132,Abhang::N,nizbrdica,лабаллъи
133,Quelle::N,izvor,ицц
134,Quelle::N,vrelo,ицц
135,Bach::N,potok,лъар
136,Fluss::N,rijeka,гӏор
137,Ufer::N,obala,рагӏал
138,Küste::N,obala,рагӏал
139,Küste::N,morska obala,рагӏал
140,Festland::N,kopno,ракь
141,Festland::N,kopno,ракъдаллъи
142,Meer::N,more,ралъад
143,Bucht::N,zaliv,кӏветӏ
144,Insel::N,ada,чӏинкӏиллъи
145,Insel::N,otok,чӏинкӏиллъи
146,Blume::N,cvijet,тӏегь
147,Gras::N,trava,хер
148,Wurzel::N,korijen,кьибил
149,Baum::N,drvo,гъветӏ
150,Baum::N,stablo,гъветӏ
151,Stamm::N,deblo,рохти
152,Stamm::N,stablo,рохти
153,Rinde::N,kora,макъар
154,Ast::N,grana,ноцӏ
155,Zweig::N,grana,гӏаркьел
156,Blatt::N,list,тӏамах
157,Birke::N,breza,мах
158,Birke::N,breza,махигъветӏ
159,Kiefer[Baum]::N,bor,накӏкӏигъветӏ
160,Weide[Baum]::N,iva,рицӏцӏ
161,Weide[Baum]::N,iva,рицӏцӏигъветӏ
162,Weide[Baum]::N,vŕba,рицӏцӏ
163,Weide[Baum]::N,vŕba,рицӏцӏигъветӏ
164,Tanne::N,jela,ёлка
165,Horn::N,rog,лълъар
166,Feder::N,pero,хӏули
167,Fell::N,koža,тӏом
168,Fell::N,koža,цӏоко
169,Flügel::N,krilo,кваркьи
170,Klaue::N,papak,галъ
171,Kralle::N,pandža,квачӏ
172,Kralle::N,pandža,катиквачӏ
173,Schwanz::N,rep,рачӏ
174,Ei::N,jaje,хоно
175,Nest::N,gnijezdo,бусен
176,Bau::N,jazbina,каратӏ
177,Tier::N,životinja,хӏайван
178,Herde::N,krdo,рехъен
179,Herde::N,krdo,рехъед
180,Herde::N,stado,рехъен
181,Herde::N,stado,рехъед
182,Kuh::N,krava,гӏака
