,Concept_ID,fr,lbe
0,Auge::N,œil,я
1,Ohr::N,oreille,вичӏи
2,Nase::N,nez,май
3,Mund::N,bouche,кьацӏ
4,Zahn::N,dent,ккарччи
5,Zunge::N,langue,маз
6,Lippe::N,lèvre,мурччи
7,Wange::N,joue,чӏав
8,Gesicht::N,face,лажин
9,Gesicht::N,visage,лажин
10,Stirn::N,front,ненттабакӏ
11,Haar::N,cheveu,чӏара
12,Schnurrbart::N,moustache,ссирссилтту
13,Bart::N,barbe,чӏири
14,Kinn::N,menton,лунттубакӏ
15,Kiefer[Anatomie]::N,mâchoire,ххинчулул
16,Kehle::N,gorge,кьакьари
17,Hals::N,cou,ссурссу
18,Genick::N,nuque,махъабакӏ
19,Kopf::N,tête,бакӏ
20,Rücken::N,dos,ттиликӏ
21,Bauch::N,ventre,лякьа
22,Nabel::N,nombril,цӏумуккутӏ
23,Busen::N,sein,ккукку
24,Brust::N,poitrine,хъазам
25,Schulter::N,épaule,хъачӏ
26,Arm::N,bras,ка
27,Ellenbogen::N,coude,ссюрхъ
28,Hand::N,main,бартка
29,Handfläche::N,paume,хъат
30,Handfläche::N,paume,битӏянхъ
31,Finger::N,doigt,кӏисса
32,Fingernagel::N,ongle,михь
33,Nagel[Anatomie]::N,ongle,михь
34,Zeh::N,orteil,кӏисса
35,Zeh::N,doigt de pied,кӏисса
36,Fuß::N,pied,чӏанччан
37,Ferse::N,talon,никъа
38,Knie::N,genou,ник
39,Oberschenkel::N,cuisse,жира
40,Bein::N,jambe,ччан
41,Körper::N,corps,чурх
42,Haut::N,peau,бурчу
43,Blut::N,sang,оь
44,Ader::N,veine,тунну
45,Sehne::N,tendon,хьхьа
46,Knochen::N,os,ттаркӏ
47,Gehirn::N,cerveau,ня
48,Herz::N,cœur,дакӏ
49,Herz::N,cœur,къюкӏ
50,Magen::N,estomac,лякьа
51,Leber::N,foie,
52,Atem::N,haleine,ссихӏ ласаву
53,Atem::N,haleine,ссихӏ бигьаву
54,Hunger::N,faim,ккаши
55,Träne::N,larme,макь
56,Geschmack::N,goût,тӏин
57,Geschmack::N,goût,тӏааьн
58,Geschmack::N,saveur,тӏин
59,Geschmack::N,saveur,тӏааьн
60,Geruch::N,odeur,кьанкь
61,Schlaf::N,sommeil,шану
62,Traum::N,songe,макӏру
63,Himmel::N,ciel,ссав
64,Sonne::N,soleil,баргъ
65,Mond::N,lune,барз
66,Stern::N,étoile,цӏуку
67,Luft::N,air,гьава
68,Wind::N,vent,марч
69,Welle::N,vague,щатӏи
70,Wasser::N,eau,щин
71,Stein::N,pierre,чару
72,Boden::N,sol,аьрщи
73,Boden::N,terrain,аьрщи
74,Erde::N,terre,аьрщи
75,Staub::N,poussière,ххит
76,Rauch::N,fumée,пуркӏу
77,Funke::N,étincelle,пиягь
78,Feuer::N,feu,цӏу
79,Licht::N,lumière,чани
80,Schatten::N,ombre,ххют
81,Wetter::N,temps,гьава
82,Nebel::N,brume,шархь ттурлу
83,Nebel::N,brouillard,шархь ттурлу
84,Wolke::N,nuage,ттурлу
85,Regen::N,pluie,гъарал
86,Schnee::N,neige,марххала
87,Eis::N,glace,микӏ
88,Frost::N,gel,дяркъу
89,Frost::N,gel,замгьар
90,Frost::N,gelée,дяркъу
91,Frost::N,gelée,замгьар
92,Kälte::N,froid,дяркъу
93,Hitze::N,chaleur,кӏиришиву
94,Raureif::N,givre,сил
95,Raureif::N,givre,бурса
96,Regenbogen::N,arc-en-ciel,ссурул ккуртта
97,Donner::N,tonnerre,къув
98,Strömung::N,courant,экьинанаву
99,Tropfen::N,goutte,кӏунтӏ
100,Schaum::N,écume,хьама
101,Schaum::N,mousse,хьама
102,Schmutz::N,boue,кьяркьи
103,Schmutz::N,saleté,кьяркьи
104,See::N,lac,бяр
105,Sumpf::N,marais,кунцӏа
106,Sumpf::N,marécage,кунцӏа
107,Moor::N,tourbière,
108,Wiese::N,pré,кьан
109,Wald::N,bois,вацӏа
110,Wald::N,forêt,вацӏа
111,Hügel::N,coteau,бакӏу
112,Hügel::N,colline,бакӏу
113,Anhöhe::N,éminence,
114,Anhöhe::N,élévation,
115,Berg::N,mont,зунтту
116,Berg::N,montagne,зунтту
117,Gipfel::N,cime,мицӏ
118,Gipfel::N,sommet,мицӏ
119,Höhle::N,caverne,нух
120,Abhang::N,pente,сун
121,Abhang::N,versant,сун
122,Quelle::N,source,дайдихьу
123,Quelle::N,source,бакӏ
124,Quelle::N,fontaine,дайдихьу
125,Quelle::N,fontaine,бакӏ
126,Bach::N,ruisseau,чӏрир нех
127,Fluss::N,fleuve,нех
128,Fluss::N,rivière,нех
129,Ufer::N,bord,зума
130,Ufer::N,rivage,зума
131,Küste::N,côte,зумаинхалу
132,Küste::N,côte,зуманицӏалу
133,Festland::N,terre ferme,кьири
134,Meer::N,mer,хьхьири
135,Bucht::N,baie,
136,Insel::N,île,жазира
137,Blume::N,fleur,тӏутӏи
138,Gras::N,herbe,уртту
139,Wurzel::N,racine,мархха
140,Baum::N,arbre,мурхь
141,Stamm::N,tronc,ттарцӏ
142,Rinde::N,écorce,ккамара
143,Ast::N,branche,матӏи
144,Zweig::N,rameau,къяртта
145,Blatt::N,feuille,чӏапӏи
146,Birke::N,bouleau,кӏялахӏи
147,Birke::N,bouleau,кӏялахӏилул мурхь
148,Kiefer[Baum]::N,pin,ттар
149,Kiefer[Baum]::N,pin,ттарлил мурхь
150,Weide[Baum]::N,saule,щавщи
151,Tanne::N,sapin,ттарлил мурхь
152,Horn::N,corne,хъи
153,Feder::N,plume,лелуххул тӏиму
154,Fell::N,peau,бурчу
155,Flügel::N,aile,хъа
156,Flügel::N,aile,ххурупӏайрал тӏиму
157,Klaue::N,serre,михь
158,Kralle::N,ongle,ххяппа
159,Kralle::N,griffe,ххяппа
160,Schwanz::N,queue,магъ
161,Ei::N,œuf,ккунук
162,Nest::N,nid,кюру
163,Bau::N,terrier,цукъуккутӏ
164,Tier::N,animal,хӏайван
165,Herde::N,troupeau,газу
166,Kuh::N,vache,оьл
167,Bulle::N,taureau,ниц
168,Pferd::N,cheval,чу
169,Schaf::N,mouton,тта
170,Schwein::N,porc,дунгъуз
171,Schwein::N,cochon,дунгъуз
172,Hund::N,chien,ккаччи
173,Katze::N,chat,ччиту
174,Bär::N,ours,цуша
175,Eichhörnchen::N,écureuil,бюрхттукку
176,Elch::N,élan,ниц-бюрин
177,Fuchs::N,renard,цулчӏа
178,Fuchs::N,renard,куча цулчӏа
179,Hase::N,lièvre,бюрх
180,Maus::N,souris,кӏулу
181,Wolf::N,loup,барцӏ
182,Vogel::N,oiseau,лелуххи
183,Schwarm::N,nuée,гьухъала
184,Schwarm::N,volée,гьухъала
185,Huhn::N,poule,аьнакӏи
186,Hahn::N,coq,ажари
187,Gans::N,oie,къаз
188,Adler::N,aigle,барзу
189,Ente::N,canard,урдак
190,Eule::N,hibou,ису
191,Eule::N,hibou,ччиккумяв
192,Kranich::N,grue,кьурукь
193,Krähe::N,corneille,хъатӏу
194,Kuckuck::N,coucou,ччикку
195,Schwan::N,cygne,урттил къаз
196,Fisch::N,poisson,чавахъ
197,Barsch::N,perche,
198,Hecht::N,brochet,
199,Schlange[Tier]::N,serpent,шатта
200,Wurm::N,ver,кьюнукьай шатта
201,Spinne::N,araignée,ххялцу
202,Ameise::N,fourmi,митӏикьукьу
203,Laus::N,pou,
204,Mücke::N,moucheron,мичӏак
205,Fliege::N,mouche,зимиз
206,Schmetterling::N,papillon,чӏимучӏали
207,Beere::N,baie,хӏаллил ахъулсса
208,Apfel::N,pomme,гьивч
209,Pilz::N,champignon,ттуккул иис
210,Zwiebel::N,oignon,лаччул чсмусул бакӏ
211,Saat::N,semence,гьанна
212,Korn::N,grain,къама
213,Heu::N,foin,ххулув
214,Schale::N,pelure,ккиртту
215,Grube::N,fosse,кӏаланг
216,Falle::N,piège,къатӏа
217,Schlinge::N,lacs,хӏатӏ
218,Spur::N,trace,ша
219,Asche::N,cendre,лах
220,Dreck::N,crotte,кьяркьи
221,Dreck::N,crotte,венп
222,Eisen::N,fer,мах
223,Gold::N,or,муси
224,Silber::N,argent,арцу
225,Kohle::N,charbon,кӏалаш
226,Kohle::N,charbon,хъуручӏ
227,Glas::N,verre,пюрун
228,Lehm::N,glaise,сина аьрщи
229,Sand::N,sable,къун
230,Mensch::N,homme,инсан
231,Mann::N,homme,чув
232,Mann::N,homme,адимина
233,Frau::N,femme,щарсса
234,Frau::N,femme,хъамитайпа
235,Kind::N,enfant,чӏиви оьрчӏ
236,Junge::N,garçon,оьрчӏ
237,Junge::N,garçon,бурхьин оьрчӏ
238,Mädchen::N,fille,душ
239,Mädchen::N,jeune fille,душ
240,Familie::N,famille,кулпат
241,Großvater::N,grand-père,ттатта
242,Großvater::N,grand-père,ниттил ппу
243,Großmutter::N,grand-mère,буттал нину
244,Eltern::N,parents,нину-ппу
245,Vater::N,père,ппу
246,Mutter::N,mère,нину
247,Sohn::N,fils,арс
248,Tochter::N,fille,душ
249,Bruder::N,frère,уссу
250,Schwester::N,sœur,ссу
251,Onkel::N,oncle,буттауссу
252,Tante::N,tante,буттал ссу
253,Ehemann::N,mari,лас
254,Ehemann::N,époux,лас
255,Ehefrau::N,femme,щар
256,Ehefrau::N,femme,щарсса
257,Ehefrau::N,épouse,щар
258,Ehefrau::N,épouse,щарсса
259,Freude::N,joie,шадшиву
260,Freude::N,joie,ххаришиву
261,Freude::N,plaisir,шадшиву
262,Freude::N,plaisir,ххаришиву
263,Gelächter::N,rires,хъяхъаву
264,Glück::N,bonheur,талихӏ
265,Kummer::N,peine,дард
266,Kummer::N,chagrin,дард
267,Wunsch::N,désir,мурад
268,Lust::N,envie,гьавас
269,Lust::N,envie,ччаву
270,Geist::N,esprit,рухӏ
271,Gedanke::N,idée,пикри
272,Gedanke::N,pensée,пикри
273,Gedächtnis::N,mémoire,дакӏний личӏаву
274,Verstand::N,raison,аькьлу
275,Sinn::N,sens,мяъна
276,Grund::N,cause,багьана
277,Grund::N,raison,багьана
278,Wahrheit::N,vérité,тӏайламур
279,Wahrheit::N,vérité,хӏакьмур
280,Gespräch::N,conversation,ихтилат
281,Märchen::N,conte,магьа
282,Märchen::N,conte de fées,магьа
283,Erzählung::N,conte,хавар
284,Erzählung::N,narration,хавар
285,Nachricht::N,message,хавар
286,Neuigkeit::N,nouvelle,хавар
287,Name::N,nom,цӏа
288,Rätsel::N,énigme,ссигьа
289,Rätsel::N,devinette,ссигьа
290,Rede::N,parole,гъалгъа
291,Rede::N,discours,гъалгъа
292,Sprache::N,langue,маз
293,Sprache::N,langage,маз
294,Stimme::N,voix,чӏу
295,Stimme::N,voix,чӏукӏа
296,Wort::N,mot,махъ
297,Zeichen::N,signe,лишан
298,Ruf::N,cri,
299,Ruf::N,appel,
300,Lärm::N,bruit,чӏу
301,Laut::N,son,чӏу
302,Ton::N,ton,чӏу
303,Lied::N,chant,балай
304,Lied::N,chanson,балай
305,Ruhe::N,calme,дигьалагру
306,Ruhe::N,tranquillité,дигьалагру
307,Leute::N,gens,инсантал
308,Volk::N,peuple,ил
309,Volk::N,peuple,халкь
310,Arbeit::N,travail,заву
311,Gast::N,hôte,хъамаличу
312,Gast::N,invité,хъамаличу
313,Geschenk::N,cadeau,бухчакарши
314,Geschenk::N,cadeau,лажинккакку
315,Geschenk::N,présent,бухчакарши
316,Geschenk::N,présent,лажинккакку
317,Spiel::N,jeu,тӏуркӏу
318,Gesellschaft::N,compagnie,жямат
319,Gesellschaft::N,compagnie,ккуран
320,Hilfe::N,aide,кумаг
321,Hilfe::N,secours,кумаг
322,Freund::N,ami,дус
323,Kamerad::N,copain,хӏаласу
324,Kamerad::N,camarade,хӏаласу
325,Angelegenheit::N,affaire,иш
326,Anzahl::N,nombre,аьдад
327,Art::N,sorte,жинс
328,Art::N,espèce,жинс
329,Stück::N,morceau,касак
330,Teil::N,part,бутӏа
331,Teil::N,partie,бутӏа
332,Hälfte::N,moitié,дачӏи
333,Kreis::N,cercle,кюрщан
334,Kreuz::N,croix,ххач
335,Linie::N,ligne,щва
336,Strich::N,trait,щва
337,Abstand::N,écart,манзил
338,Entfernung::N,distance,манзил
339,Gegend::N,région,кӏану
340,Gegend::N,contrée,кӏану
341,Platz::N,place,
342,Ort::N,lieu,кӏану
343,Ort::N,endroit,кӏану
344,Seite::N,côté,чул
345,Seite::N,côté,чулухалу
346,Mitte::N,milieu,дя
347,Gegenstand::N,objet,зат
348,Sache::N,chose,зат
349,Rand::N,bord,зума
350,Kante::N,arête,
351,Ecke::N,coin,мурцӏу
352,Ecke::N,tournant,мурцӏу
353,Spitze::N,cime,мицӏ
354,Spitze::N,pointe,мицӏ
355,Ende::N,bout,зума
356,Loch::N,trou,ккутӏ
357,Winkel::N,coin,мурцӏу
358,Winkel::N,réduit,мурцӏу
359,Muster::N,dessin,накьич
360,Größe::N,grandeur,
361,Länge::N,longueur,лахъишиву
362,Höhe::N,hauteur,лахъшиву
363,Höhe::N,altitude,лахъшиву
364,Gewicht::N,poids,дуццин
365,Gewicht::N,poids,кӏушиву
366,Menge::N,quantité,
367,Haufen::N,tas,бакӏу
368,Reihe::N,file,кьюкьа
369,Reihe::N,rangée,кьюкьа
370,Boot::N,canot,луткка
371,Boot::N,bateau,луткка
372,Ruder::N,rame,весло
373,Ruder::N,rame,чӏатӏа
374,Ruder::N,aviron,весло
375,Ruder::N,aviron,чӏатӏа
376,Schlitten::N,traîneau,чана
377,Schlitten::N,traîneau,санкка
378,Ski::N,ski,лижарду
379,Lagerfeuer::N,feu de camp,къавтӏн
380,Last::N,charge,гьиву
381,Last::N,fardeau,гьиву
382,Gang::N,tour,нанаву
383,Gang::N,marche,нанаву
384,Schritt::N,pas,ша
385,Norden::N,nord,ухссав
386,Norden::N,nord,ухссавнил чулухалу
387,Süden::N,sud,кьилва
388,Westen::N,ouest,баргълагавал
389,Westen::N,ouest,баргълагавал чул
390,Westen::N,occident,баргълагавал
391,Westen::N,occident,баргълагавал чул
392,Osten::N,est,баргъбуккай чулухалу
393,Osten::N,orient,баргъбуккай чулухалу
394,Holz::N,bois,тӏама
395,Brett::N,planche,тахта
396,Platte::N,plaque,гъуни
397,Stütze::N,appui,гьалакӏу
398,Stütze::N,soutien,гьалакӏу
399,Stange::N,barre,къазихъ
400,Stange::N,perche,къазихъ
401,Stock::N,canne,ттархь
402,Stab::N,bâton,ччантӏакъу
403,Rohr::N,tube,бургъу
404,Rohr::N,tuyau,бургъу
405,Haus::N,maison,къатта
406,Heim::N,maison,къатта
407,Ofen::N,poêle,пач
408,Fußboden::N,plancher,чӏанкъатта
409,Tisch::N,table,усттул
410,Stuhl::N,chaise,кӏану
411,Wiege::N,berceau,оьрчӏал кӏану
412,Bett::N,lit,тах
413,Regal::N,étagère,чӏаму
414,Kiste::N,caisse,яшикӏ
415,Kiste::N,caisse,къурши
416,Fenster::N,fenêtre,чӏавахьулу
417,Tür::N,porte,нуз
418,Tür::N,porte,нузкьун
419,Tor::N,porte,къапу
420,Tor::N,porte,дарваза
421,Tor::N,portail,къапу
422,Tor::N,portail,дарваза
423,Zaun::N,clôture,дайгьузанну
424,Dach::N,toit,магъи
425,Dach::N,toit,цӏиялу
426,Leiter::N,échelle,чуртту
427,Besen::N,balai,чӏатлу
428,Spaten::N,bêche,бил
429,Schaufel::N,pelle,чӏатӏа
430,Gabel::N,fourchette,гьиссилу
431,Löffel::N,cuiller,къуса
432,Messer::N,couteau,чӏила
433,Nagel::N,clou,мяр
434,Netz::N,filet,къери
435,Haken::N,croc,къича
436,Haken::N,crochet,къича
437,Griff::N,prise,куяму
438,Griff::N,manche,куяму
439,Schloss::N,serrure,кьункьула
440,Bild::N,image,сурат
441,Bild::N,tableau,сурат
442,Figur::N,figure,
443,Puppe::N,poupée,ссихьу
444,Beutel::N,sac,чантай
445,Beutel::N,petit sac,чантай
446,Bündel::N,paquet,гьи
447,Bündel::N,paquet,къар
448,Bündel::N,faisceau,гьи
449,Bündel::N,faisceau,къар
450,Tasche::N,sac,
451,Eimer::N,seau,бадра
452,Deckel::N,couvercle,къапаза
453,Geschirr::N,vaisselle,пюрунчӏул
454,Geschirr::N,vaisselle,тӏахӏникӏичӏу
455,Sack::N,sac,къап
456,Sack::N,sac,дарваг
457,Tasse::N,tasse,пижан
458,Tasse::N,tasse,пинжан
459,Tasse::N,tasse,инкираччатӏи
460,Tasse::N,tasse,цинцилттал бушкъап
461,Topf::N,pot,кӏункӏур
462,Topf::N,marmite,кӏункӏур
463,Kessel::N,chaudron,чаг
464,Kessel::N,chaudron,кӏункӏур
465,Essen::N,repas,дукия
466,Essen::N,repas,дукин
467,Essen::N,manger,дукия
468,Essen::N,manger,дукин
469,Nahrung::N,nourriture,дукра
470,Speise::N,plat,дукра
471,Fleisch::N,viande,дикӏ
472,Getreide::N,blé,къама
