,Concept_ID,pt,zh
0,Auge::N,olho,眼睛
1,Ohr::N,orelha,耳朵
2,Nase::N,nariz,鼻子
3,Mund::N,boca,嘴
4,Zahn::N,dente,牙齿
5,Zunge::N,língua,舌头
6,Lippe::N,lábio,嘴唇
7,Wange::N,face,面颊
8,Gesicht::N,cara,脸
9,Gesicht::N,rosto,脸
10,Stirn::N,testa,额
11,Haar::N,cabelo,头发
12,Schnurrbart::N,bigode,髭须
13,Bart::N,barba,胡子
14,Kinn::N,queixo,下巴
15,Kiefer[Anatomie]::N,maxila,颌
16,Kiefer[Anatomie]::N,mandíbula,颌
17,Kehle::N,garganta,嗓子
18,Hals::N,colo,颈
19,Hals::N,pescoço,颈
20,Genick::N,nuca,后颈
21,Kopf::N,cabeça,头
22,Rücken::N,dorso,背
23,Rücken::N,costas,背
24,Bauch::N,ventre,肚子
25,Bauch::N,barriga,肚子
26,Nabel::N,umbigo,肚脐
27,Busen::N,seio,胸脯
28,Brust::N,peito,胸
29,Schulter::N,ombro,肩膀
30,Arm::N,braço,臂膀
31,Ellenbogen::N,cotovelo,肘
32,Hand::N,mão,手
33,Handfläche::N,palma,手掌
34,Handfläche::N,palma da mão,手掌
35,Finger::N,dedo,手指
36,Fingernagel::N,unha,指甲
37,Nagel[Anatomie]::N,unha,指甲
38,Zeh::N,dedo do pé,脚趾
39,Fuß::N,pé,脚
40,Ferse::N,calcanhar,后跟
41,Knie::N,joelho,膝
42,Oberschenkel::N,coxa,大腿
43,Bein::N,perna,腿
44,Körper::N,corpo,身体
45,Haut::N,pele,皮肤
46,Blut::N,sangue,血
47,Ader::N,veia,血管
48,Sehne::N,tendão,腱
49,Knochen::N,osso,骨
50,Gehirn::N,cérebro,脑
51,Herz::N,coração,心
52,Magen::N,estômago,胃
53,Leber::N,fígado,肝
54,Atem::N,fôlego,呼吸
55,Hunger::N,fome,饿
56,Träne::N,lágrima,眼泪
57,Geschmack::N,gosto,味道
58,Geruch::N,odor,气味
59,Geruch::N,cheiro,气味
60,Schlaf::N,sono,睡眠
61,Traum::N,sonho,梦
62,Himmel::N,céu,天空
63,Sonne::N,sol,太阳
64,Mond::N,lua,月亮
65,Stern::N,estrela,星
66,Luft::N,ar,空气
67,Wind::N,vento,风
68,Welle::N,onda,波
69,Wasser::N,água,水
70,Stein::N,pedra,石头
71,Boden::N,solo,地面
72,Erde::N,terra,地
73,Staub::N,pó,灰尘
74,Rauch::N,fumo,烟
75,Funke::N,faísca,火花
76,Funke::N,centelha,火花
77,Feuer::N,fogo,火
78,Licht::N,luz,光
79,Schatten::N,sombra,影子
80,Wetter::N,tempo,天气
81,Nebel::N,nevoeiro,雾
82,Wolke::N,nuvem,云
83,Regen::N,chuva,雨
84,Schnee::N,neve,雪
85,Eis::N,gelo,冰
86,Frost::N,gelo,霜冻
87,Frost::N,geada,霜冻
88,Kälte::N,frio,寒冷
89,Hitze::N,ardor,炎热
90,Raureif::N,geada,霜
91,Regenbogen::N,arco-iris,虹
92,Donner::N,trovão,雷
93,Strömung::N,corrente,水流
94,Tropfen::N,gota,滴
95,Schaum::N,espuma,泡沫
96,Schmutz::N,sujidade,赃物
97,Schmutz::N,imundície,赃物
98,See::N,lago,湖
99,Sumpf::N,charco,沼泽
100,Sumpf::N,pântano,沼泽
101,Moor::N,pântano,沼泽
102,Wiese::N,prado,草地
103,Wald::N,bosque,森林
104,Wald::N,floresta,森林
105,Hügel::N,colina,丘陵
106,Anhöhe::N,alto,山丘
107,Anhöhe::N,outeiro,山丘
108,Berg::N,monte,山
109,Berg::N,montanha,山
110,Gipfel::N,pico,峰
111,Höhle::N,caverna,洞穴
112,Abhang::N,encosta,斜坡
113,Quelle::N,fonte,泉
114,Bach::N,regato,溪
115,Bach::N,ribeiro,溪
116,Fluss::N,rio,河流
117,Ufer::N,beira,岸
118,Küste::N,costa,海岸
119,Festland::N,terra firme,大陆
120,Meer::N,mar,海
121,Bucht::N,baía,海湾
122,Insel::N,ilha,岛
123,Blume::N,flor,花
124,Gras::N,erva,草
125,Wurzel::N,raiz,根
126,Baum::N,árvore,树
127,Stamm::N,tronco,树干
128,Rinde::N,casca,树皮
129,Ast::N,ramo,树枝
130,Zweig::N,galho,树枝
131,Blatt::N,folha,叶子
132,Birke::N,bétula,桦木
133,Kiefer[Baum]::N,pinheiro,松树
134,Weide[Baum]::N,salgueiro,柳树
135,Tanne::N,abeto,冷杉
136,Horn::N,corno,角
137,Horn::N,chifre,角
138,Feder::N,pena,羽毛
139,Fell::N,pele,皮毛
140,Flügel::N,asa,翅膀
141,Klaue::N,pata,爪子
142,Kralle::N,unha,爪子
143,Kralle::N,garra,爪子
144,Schwanz::N,rabo,尾巴
145,Schwanz::N,cauda,尾巴
146,Ei::N,ovo,蛋
147,Nest::N,ninho,巢
148,Bau::N,toca,穴
149,Bau::N,covil,穴
150,Tier::N,animal,动物
151,Herde::N,rebanho,群
152,Kuh::N,vaca,母牛
153,Bulle::N,touro,公牛
154,Pferd::N,cavalo,马
155,Schaf::N,ovelha,羊
156,Schwein::N,porco,猪
157,Hund::N,cão,狗
158,Katze::N,gata,猫
159,Bär::N,urso,熊
160,Eichhörnchen::N,esquilo,松鼠
161,Elch::N,alce,麋鹿
162,Fuchs::N,raposa,狐狸
163,Hase::N,lebre,兔子
164,Maus::N,rato,老鼠
165,Wolf::N,lobo,狼
166,Vogel::N,ave,鸟
167,Vogel::N,pássaro,鸟
168,Schwarm::N,bando,群
169,Schwarm::N,enxame,群
170,Huhn::N,galinha,鸡
171,Hahn::N,galo,公鸡
172,Gans::N,ganso,鹅
173,Adler::N,águia,鹰
174,Ente::N,pata,鸭
175,Eule::N,mocho,猫头鹰
176,Eule::N,coruja,猫头鹰
177,Kranich::N,grou,鹤
178,Krähe::N,gralha,乌鸦
179,Kuckuck::N,cuco,布谷鸟
180,Schwan::N,cisne,天鹅
181,Fisch::N,peixe,鱼
182,Barsch::N,perca,鲈鱼
183,Hecht::N,lúcio,狗鱼
184,Schlange[Tier]::N,serpente,蛇
185,Wurm::N,verme,蠕虫
186,Spinne::N,aranha,蜘蛛
187,Ameise::N,formiga,蚂蚁
188,Laus::N,piolho,虱子
189,Mücke::N,mosquito,蚊子
190,Fliege::N,mosca,苍蝇
191,Schmetterling::N,borboleta,蝴蝶
192,Beere::N,bago,将果
193,Apfel::N,maçã,苹果
194,Pilz::N,fungo,蘑菇
195,Pilz::N,cogumelo,蘑菇
196,Zwiebel::N,cebola,洋葱
197,Saat::N,sementeira,种子
198,Korn::N,grão,谷粒
199,Heu::N,feno,干草
200,Schale::N,casca,壳
201,Grube::N,cova,坑
202,Grube::N,fossa,坑
203,Falle::N,armadilha,圈套
204,Schlinge::N,laço,活扣
205,Spur::N,pista,踪迹
206,Spur::N,vestígio,踪迹
207,Asche::N,cinza,灰烬
208,Dreck::N,sujidade,污垢
209,Eisen::N,ferro,铁
210,Gold::N,ouro,金子
211,Silber::N,prata,银
212,Kohle::N,carvão,煤
213,Glas::N,vidro,玻璃
214,Lehm::N,barro,粘土
215,Lehm::N,argila,粘土
216,Sand::N,areia,沙
217,Mensch::N,homem,人
218,Mensch::N,pessoa,人
219,Mann::N,homem,男子
220,Frau::N,mulher,妇女
221,Kind::N,filho,小孩
222,Kind::N,criança,小孩
223,Junge::N,rapaz,男孩
224,Junge::N,menino,男孩
225,Mädchen::N,menina,女孩
226,Mädchen::N,rapariga,女孩
227,Familie::N,família,家庭
228,Großvater::N,avô,祖父
229,Großmutter::N,avó,祖母
