,Concept_ID,pl,hu
0,Auge::N,oko,szem
1,Ohr::N,ucho,fül
2,Nase::N,nos,orr
3,Mund::N,usta,száj
4,Zahn::N,ząb,fog
5,Zunge::N,język,nyelv
6,Lippe::N,warga,ajak
7,Wange::N,policzek,orca
8,Gesicht::N,twarz,arc
9,Stirn::N,czoło,homlok
10,Haar::N,włos,haj
11,Haar::N,włosy,haj
12,Schnurrbart::N,wąsy,bajusz
13,Bart::N,broda,szakáll
14,Kinn::N,podbródek,áll
15,Kiefer[Anatomie]::N,czeluść,állkapocs
16,Kehle::N,gardło,gége
17,Kehle::N,gardło,torok
18,Hals::N,szyja,nyak
19,Genick::N,kark,tarkó
20,Kopf::N,głowa,fő
21,Kopf::N,głowa,fej
22,Rücken::N,plecy,hát
23,Rücken::N,grzbiet,hát
24,Bauch::N,brzuch,has
25,Nabel::N,pępek,köldök
26,Busen::N,biust,mell
27,Busen::N,biust,kebel
28,Brust::N,pierś,mell
29,Schulter::N,bark,váll
30,Schulter::N,ramię,váll
31,Arm::N,ręka,kar
32,Arm::N,ramię,kar
33,Ellenbogen::N,łokieć,könyök
34,Hand::N,dłoń,kéz
35,Handfläche::N,dłoń,tenyér
36,Finger::N,palec,ujj
37,Fingernagel::N,paznokieć,köröm
38,Nagel[Anatomie]::N,paznokieć,köröm
39,Zeh::N,palec,lábujj
40,Fuß::N,stopa,láb
41,Ferse::N,pięta,sarok
42,Knie::N,kolano,térd
43,Oberschenkel::N,udo,comb
44,Bein::N,noga,láb
45,Bein::N,noga,lábszár
46,Körper::N,ciało,test
47,Haut::N,skóra,bőr
48,Blut::N,krew,vér
49,Ader::N,żyła,ér
50,Sehne::N,ścięgno,ín
51,Knochen::N,kość,csont
52,Gehirn::N,mózg,agy
53,Gehirn::N,mózg,agyvelő
54,Herz::N,serce,szív
55,Magen::N,żołądek,gyomor
56,Leber::N,wątroba,máj
57,Atem::N,dech,lehelet
58,Atem::N,dech,lélegzet
59,Atem::N,oddech,lehelet
60,Atem::N,oddech,lélegzet
61,Hunger::N,głód,éhség
62,Träne::N,łza,könny
63,Geschmack::N,smak,íz
64,Geruch::N,woń,szag
65,Geruch::N,zapach,szag
66,Schlaf::N,sen,álom
67,Schlaf::N,sen,alvás
68,Traum::N,sen,álom
69,Himmel::N,niebo,ég
70,Himmel::N,niebo,menny
71,Sonne::N,słońce,nap
72,Mond::N,księżyc,hold
73,Stern::N,gwiazda,csillag
74,Luft::N,powietrze,levegő
75,Wind::N,wiatr,szél
76,Welle::N,fala,hullám
77,Wasser::N,woda,víz
78,Stein::N,kamień,kő
79,Boden::N,grunt,föld
80,Boden::N,grunt,talaj
81,Erde::N,ziemia,föld
82,Staub::N,pył,por
83,Staub::N,kurz,por
84,Rauch::N,dym,füst
85,Funke::N,iskra,szikra
86,Feuer::N,ogień,tűz
87,Licht::N,światło,fény
88,Schatten::N,cień,árnyék
89,Wetter::N,pogoda,idő
90,Wetter::N,pogoda,időjárás
91,Nebel::N,mgła,köd
92,Wolke::N,obłok,felhő
93,Wolke::N,chmura,felhő
94,Regen::N,deszcz,eső
95,Schnee::N,śnieg,hó
96,Eis::N,lód,jég
97,Frost::N,mróz,fagy
98,Kälte::N,chłód,hideg
99,Hitze::N,gorąco,hő
100,Hitze::N,gorąco,hőség
101,Raureif::N,szron,zúzmara
102,Regenbogen::N,tęcza,szivárvány
103,Donner::N,grzmot,dörgés
104,Donner::N,grzmot,mennydörgés
105,Strömung::N,nurt,áramlat
106,Tropfen::N,kropla,csepp
107,Schaum::N,piana,hab
108,Schaum::N,piana,tajték
109,Schmutz::N,brud,piszok
110,See::N,jezioro,tó
111,Sumpf::N,bagno,mocsár
112,Moor::N,bagno,láp
113,Wiese::N,łąka,rét
114,Wiese::N,łąka,mező
115,Wald::N,las,erdő
116,Hügel::N,pagórek,domb
117,Anhöhe::N,wzgórze,magaslat
118,Berg::N,góra,hegy
119,Gipfel::N,szczyt,csúcs
120,Gipfel::N,wierzchołek,csúcs
121,Höhle::N,pieczara,barlang
122,Abhang::N,stok,lejtő
123,Abhang::N,zbocze,lejtő
124,Quelle::N,zdrój,forrás
125,Quelle::N,źródło,forrás
126,Bach::N,potok,patak
127,Bach::N,strumień,patak
128,Fluss::N,rzeka,folyó
129,Ufer::N,brzeg,part
130,Küste::N,wybrzeże,tengerpart
131,Festland::N,ląd,szárazföld
132,Meer::N,morze,tenger
133,Bucht::N,zatoka,öböl
134,Insel::N,wyspa,sziget
135,Blume::N,kwiat,virág
136,Gras::N,trawa,fű
137,Wurzel::N,korzeń,gyökér
138,Baum::N,drzewo,fa
139,Stamm::N,pień,tő
140,Stamm::N,pień,törzs
141,Rinde::N,kora,kéreg
142,Ast::N,gałąź,ág
143,Zweig::N,gałąź,gally
144,Blatt::N,liść,levél
145,Birke::N,brzoza,nyír
146,Kiefer[Baum]::N,sosna,fenyő
147,Weide[Baum]::N,wierzba,fűz
148,Tanne::N,jodła,fenyő
149,Horn::N,róg,szarv
150,Feder::N,pióro,toll
151,Fell::N,futro,szőr
152,Fell::N,futro,bunda
153,Flügel::N,skrzydło,szárny
154,Klaue::N,szpon,köröm
155,Kralle::N,pazur,karom
156,Schwanz::N,ogon,farok
157,Ei::N,jajko,tojás
158,Nest::N,gniazdo,fészek
159,Bau::N,nora,odú
160,Tier::N,zwierzę,állat
161,Herde::N,stado,nyáj
162,Herde::N,stado,csorda
163,Herde::N,trzoda,nyáj
164,Herde::N,trzoda,csorda
165,Kuh::N,krowa,tehén
166,Bulle::N,byk,bika
167,Pferd::N,koń,ló
168,Schaf::N,owca,juh
169,Schaf::N,owca,birka
170,Schwein::N,świnia,sertés
171,Hund::N,pies,eb
172,Hund::N,pies,kutya
173,Katze::N,kot,macska
174,Katze::N,kotka,macska
175,Bär::N,niedźwiedż,medve
176,Eichhörnchen::N,wiewiórka,mókus
177,Elch::N,łóś,jávorszarvas
178,Fuchs::N,lis,róka
179,Hase::N,zając,nyúl
180,Maus::N,mysz,egér
181,Wolf::N,wilk,farkas
182,Vogel::N,ptak,madár
183,Schwarm::N,stado,raj
184,Huhn::N,kura,tyúk
185,Hahn::N,kogut,kakas
186,Gans::N,gęś,lúd
187,Gans::N,gęś,liba
188,Adler::N,orzeł,sas
189,Ente::N,kaczka,kacsa
190,Eule::N,sowa,bagoly
191,Kranich::N,żuraw,daru
192,Krähe::N,wrona,varjú
193,Kuckuck::N,kukułka,kakukk
194,Schwan::N,łabędż,hattyú
195,Fisch::N,ryba,hal
196,Barsch::N,okoń,sügér
197,Hecht::N,szczupak,csuka
198,Schlange[Tier]::N,wąż,kígyó
199,Schlange[Tier]::N,żmija,kígyó
200,Wurm::N,robak,kukac
201,Spinne::N,pająk,pók
202,Ameise::N,mrówka,hangya
203,Laus::N,wesz,tetű
204,Mücke::N,komar,szúnyog
205,Fliege::N,mucha,légy
206,Schmetterling::N,motyl,lepke
207,Schmetterling::N,motyl,pillangó
208,Beere::N,jagoda,bogyó
209,Apfel::N,jabłko,alma
210,Pilz::N,grzyb,gomba
211,Zwiebel::N,cebula,hagyma
212,Saat::N,siew,vetőmag
213,Korn::N,ziarno,mag
214,Korn::N,ziarno,szem
215,Heu::N,siano,széna
216,Schale::N,łupina,héj
217,Grube::N,dół,verem
218,Grube::N,jama,verem
219,Falle::N,pułapka,csapda
220,Schlinge::N,sidła,tőr
221,Spur::N,ślad,nyom
222,Asche::N,popiół,hamu
223,Dreck::N,brud,sár
224,Dreck::N,brud,piszok
225,Eisen::N,żelazo,vas
226,Gold::N,złoto,arany
227,Silber::N,srebro,ezüst
228,Kohle::N,węgiel,szén
229,Glas::N,szkło,üveg
230,Lehm::N,glina,agyag
231,Lehm::N,glina,vályog
232,Sand::N,piasek,homok
233,Mensch::N,człowiek,ember
234,Mann::N,mężczyzna,úr
235,Mann::N,mężczyzna,férfi
236,Frau::N,kobieta,nő
237,Frau::N,kobieta,asszony
238,Kind::N,dziecko,gyerek
239,Kind::N,dziecko,gyermek
240,Junge::N,chłopak,fiú
241,Junge::N,chłopiec,fiú
242,Mädchen::N,dziewczynka,lány
243,Familie::N,rodzina,család
244,Großvater::N,dziadek,nagyapa
245,Großmutter::N,babka,nagyanya
246,Eltern::N,rodzice,szülők
247,Vater::N,ojciec,apa
248,Vater::N,ojciec,atya
249,Mutter::N,matka,anya
250,Sohn::N,syn,fiú
251,Tochter::N,córka,lány
252,Bruder::N,brat,fivér
253,Bruder::N,brat,testvér
254,Schwester::N,siostra,nővér
255,Schwester::N,siostra,lánytestvér
256,Onkel::N,wuj,nagybácsi
257,Onkel::N,stryj,nagybácsi
258,Tante::N,ciotka,nagynéni
259,Ehemann::N,mąż,férj
