,Concept_ID,fa,cy
0,Auge::N,چشم,llygad
1,Ohr::N,گوش,clust
2,Nase::N,بینی,trwyn
3,Mund::N,دهان,ceg
4,Zahn::N,دندان,dant
5,Zunge::N,زبان,tafod
6,Lippe::N,لب,gwefus
7,Wange::N,لپ,boch
8,Gesicht::N,رو,wyneb
9,Gesicht::N,چهره,wyneb
10,Stirn::N,پیشانی,talcen
11,Haar::N,مو,blew
12,Schnurrbart::N,سبیل,mwstas
13,Bart::N,ریش,barf
14,Kinn::N,چانه,gên
15,Kiefer[Anatomie]::N,فک,gên
16,Kiefer[Anatomie]::N,آرواره,gên
17,Kehle::N,حلق,gwddf
18,Hals::N,گردن,gwddf
19,Genick::N,پشت گردن,gwar
20,Genick::N,پشت گردن,gwegil
21,Kopf::N,سر,pen
22,Kopf::N,کله,pen
23,Rücken::N,پشت,cefn
24,Bauch::N,شکم,bol
25,Nabel::N,ناف,bogail
26,Busen::N,پستان,bron
27,Brust::N,سینه,brest
28,Schulter::N,دوش,ysgwydd
29,Schulter::N,شانه,ysgwydd
30,Arm::N,بازو,braich
31,Ellenbogen::N,آرنج,penelin
32,Hand::N,دست,llaw
33,Handfläche::N,کف دست,palf
34,Finger::N,انگشت,bys
35,Fingernagel::N,ناخن دست,ewin
36,Nagel[Anatomie]::N,ناخن,ewin
37,Zeh::N,انگشت پا,bys troed
38,Fuß::N,پا,troed
39,Ferse::N,پاشنه,sawdl
40,Knie::N,زانو,glin
41,Oberschenkel::N,ران,clun
42,Bein::N,پا,coes
43,Bein::N,لنگ,coes
44,Körper::N,تن,corff
45,Körper::N,بدن,corff
46,Haut::N,پوست,croen
47,Blut::N,خون,gwaed
48,Ader::N,رگ,gwythïen
49,Sehne::N,زردپی,gewyn
50,Knochen::N,استخوان,asgwrn
51,Gehirn::N,مخ,ymennydd
52,Gehirn::N,مغز,ymennydd
53,Herz::N,دل,calon
54,Herz::N,قلب,calon
55,Magen::N,معده,cylla
56,Magen::N,معده,stumog
57,Leber::N,کبد,iau
58,Atem::N,نفس,anadl
59,Hunger::N,گرسنگی,newyn
60,Träne::N,اشک,deigryn
61,Geschmack::N,مزه,cyflas
62,Geruch::N,بو,aroglau
63,Schlaf::N,خواب,cwsg
64,Traum::N,رؤیا,breuddwyd
65,Himmel::N,فلک,awyr
66,Himmel::N,آسمان,awyr
67,Sonne::N,آفتاب,haul
68,Sonne::N,خورشید,haul
69,Mond::N,ماه,lleuad
70,Stern::N,ستاره,seren
71,Luft::N,هوا,awyr
72,Wind::N,باد,gwynt
73,Welle::N,موج,ton
74,Wasser::N,آب,dŵr
75,Stein::N,سنگ,carreg
76,Boden::N,زمین,llawr
77,Erde::N,خاک,pridd
78,Erde::N,زمین,pridd
79,Staub::N,گرد,llwch
80,Staub::N,غبار,llwch
81,Rauch::N,دود,mwg
82,Funke::N,جرقه,gwreichioni
83,Feuer::N,آتش,tân
84,Licht::N,نور,golau
85,Licht::N,روشنی,golau
86,Schatten::N,سایه,cysgod
87,Wetter::N,هوا,tywydd
88,Nebel::N,مه,niwl
89,Wolke::N,ابر,cwmwl
90,Regen::N,باران,glaw
91,Schnee::N,برف,ôd
92,Schnee::N,برف,eira
93,Eis::N,یخ,iâ
94,Frost::N,یخبندان,rhew
95,Kälte::N,سرما,oerni
96,Kälte::N,سرما,annwyd
97,Hitze::N,گرما,gwres
98,Hitze::N,حرارت,gwres
99,Raureif::N,برف ریزه,barrug
100,Regenbogen::N,رنگین‌کمان,enfys
101,Donner::N,رعد,tyrfau
102,Strömung::N,جریان,cerrynt
103,Tropfen::N,قطره,dafn
104,Tropfen::N,قطره,diferyn
105,Schaum::N,کف,ewyn
106,Schmutz::N,گل,baw
107,Schmutz::N,گل,budreddi
108,Schmutz::N,کثافت,baw
109,Schmutz::N,کثافت,budreddi
110,See::N,دریاچه,llyn
111,Sumpf::N,مرداب,cors
112,Sumpf::N,باتلاق,cors
