,Concept_ID,az,os
0,Auge::N,göz,цӕст
1,Ohr::N,qulaq,хъус
2,Nase::N,burun,фындз
3,Mund::N,ağız,дзых
4,Zahn::N,diş,дӕндаг
5,Zunge::N,dil,ӕвзаг
6,Lippe::N,dodaq,был
7,Wange::N,yanaq,рус
8,Wange::N,yanaq,уадул
9,Wange::N,yanaq,ӕхсӕрфарс
10,Gesicht::N,üz,цӕсгом
11,Stirn::N,alın,ных
12,Haar::N,saç,хил
13,Schnurrbart::N,bığ,рихи
14,Bart::N,saqqal,зачъе
15,Kinn::N,çənə,роцъо
16,Kiefer[Anatomie]::N,çənə,ӕфсӕр
17,Kehle::N,boğaz,хъуыр
18,Hals::N,boyun,къубал
19,Genick::N,ənsə,къӕбут
20,Kopf::N,baş,сӕр
21,Rücken::N,bel,фӕсонтӕ
22,Bauch::N,qarın,гуыбын
23,Nabel::N,göbək,бикъ
24,Busen::N,məmə,дзидзи
25,Brust::N,döş,риу
26,Schulter::N,çiyin,уӕхск
27,Arm::N,qol,цонг
28,Ellenbogen::N,dirsək,рæмбын
29,Hand::N,əl,къух
30,Handfläche::N,ovuc,армытъӕпӕн
31,Finger::N,barmaq,ӕнруылдз
32,Fingernagel::N,barmaq dırnağı,ных
33,Nagel[Anatomie]::N,dırnak,ных
34,Zeh::N,ayaq barmağı,къух
35,Fuß::N,ayaq,фад
36,Ferse::N,daban,зӕвӕт
37,Knie::N,diz,уӕраг
38,Oberschenkel::N,bud,агъд
39,Bein::N,qıç,зӕнг
40,Körper::N,əndam,буар
41,Haut::N,dəri,царм
42,Blut::N,qan,туг
43,Ader::N,damar,дадзин
44,Ader::N,damar,тугдадзин
45,Sehne::N,vətər,хъиутæ
46,Sehne::N,vətər,нуар
47,Knochen::N,sümük,стӕг
48,Gehirn::N,beyin,магъз
49,Herz::N,ürək,зӕрдӕ
50,Magen::N,mədə,ахсӕн
51,Leber::N,qara ciyər,игæр
52,Atem::N,nəfəs,улӕфт
53,Hunger::N,aclıq,стонг
54,Träne::N,göz yaşı,цæссыг
55,Geschmack::N,tam,ад
56,Geschmack::N,ləzzət,ад
57,Geruch::N,qoxu,смаг
58,Schlaf::N,yuxu,хуыссӕг
59,Traum::N,röya,фын
60,Himmel::N,göy,арв
61,Himmel::N,göy,уӕларв
62,Himmel::N,səma,арв
63,Himmel::N,səma,уӕларв
64,Sonne::N,günəş,хур
65,Mond::N,ay,мӕй
66,Stern::N,ulduz,стъалы
67,Luft::N,hava,уӕлдӕф
68,Wind::N,yel,дымгӕ
69,Wind::N,külək,дымгӕ
70,Welle::N,dalğa,уылӕн
71,Wasser::N,su,дон
72,Stein::N,daş,дур
73,Boden::N,yer,зӕхх
74,Boden::N,zəmin,зӕхх
75,Erde::N,yer torpaq,сыджыт
76,Staub::N,toz,рыг
77,Rauch::N,tüstü,фӕздӕг
78,Funke::N,qığılcım,цӕхӕр
79,Feuer::N,od,зынг
80,Licht::N,işıq,рухс
81,Schatten::N,kölgə,аууон
82,Wetter::N,hava,боныхъӕд
83,Nebel::N,duman,мигъ
84,Wolke::N,bulud,ӕврагъ
85,Regen::N,yağış,уарын
86,Regen::N,yağmur,уарын
87,Schnee::N,qar,мит
88,Eis::N,buz,их
89,Frost::N,ayaz,ихæн
90,Kälte::N,soyuq,уазал
91,Hitze::N,coşğunluq,ӕнтӕф
92,Raureif::N,qırov,халас
93,Regenbogen::N,göy qurşağı,арвырон
94,Regenbogen::N,göy qurşağı,арвырдын
95,Donner::N,göy gurultusu,æрвнæрын
96,Strömung::N,axın,цыд
97,Tropfen::N,damcı,æртах
98,Schaum::N,köpük,фынк
99,Schmutz::N,çamır,цъыф
100,See::N,göl,цад
101,Sumpf::N,bataqlıq,цъыфдзаст
102,Moor::N,bataqlıq,цъыфдзаст
103,Wiese::N,çəmən,уыгӕрдӕн
104,Wald::N,meşə,хъӕд
105,Hügel::N,təpə,обау
106,Hügel::N,təpə,къуыбыр
107,Anhöhe::N,təpə,уæлвæз
108,Anhöhe::N,təpə,уæлхох
109,Berg::N,dağ,хох
110,Gipfel::N,zirvə,цъупп
111,Höhle::N,mağara,лӕгӕт
112,Abhang::N,yamac,къул
113,Quelle::N,bulaq,суадон
114,Bach::N,kiçik çay,мӕсчъыдон
115,Fluss::N,çay,дон
116,Fluss::N,çay,цӕугӕдон
117,Ufer::N,kənar,был
118,Küste::N,sahil,донбыл
119,Festland::N,materik,сурзæхх
120,Meer::N,dəniz,денджыз
121,Bucht::N,körfəz,донбакæлæн
122,Insel::N,ada,сакъадах
123,Blume::N,çiçək,дидинӕг
124,Gras::N,ot,кӕрдӕг
125,Wurzel::N,kök,уидаг
126,Baum::N,ağac,бӕлас
127,Stamm::N,gövdə,хӕтӕл
128,Rinde::N,qabıq,цъар
129,Ast::N,şax,арх
130,Zweig::N,budaq,къалиу
131,Blatt::N,yarpaq,сыф
132,Birke::N,tozağacı,бæрз
