,Concept_ID,mhr,ps
0,Auge::N,шинча́,سترګه
1,Ohr::N,пы́лыш,غوږ
2,Nase::N,нер,پوزه
3,Mund::N,умша́,خوله
4,Zahn::N,пӱй,غاښ
5,Zunge::N,йы́лме,جبه
6,Lippe::N,тӱ́рвӧ,شونډه
7,Wange::N,шӱ́ргӧ,باړخو
8,Gesicht::N,чури́й,مخ
9,Stirn::N,саҥга́,تندی
10,Stirn::N,саҥга́,وچولی
11,Haar::N,ӱп,وېښته
12,Schnurrbart::N,ӧ́рыш,برېت
13,Bart::N,понда́ш,ږیره
14,Kinn::N,оҥыла́ш,زنه
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,جامه
16,Kiefer[Anatomie]::N,пӱйората́,جامه
17,Kehle::N,лога́р,غاړه
18,Hals::N,шӱй,غاړه
19,Genick::N,шӱйло́дыш,ورمېږ
20,Kopf::N,вуй,سر
21,Rücken::N,туп,شا
22,Bauch::N,мӱ́шкыр,نس
23,Bauch::N,мӱ́шкыр,ګېډه
24,Nabel::N,кы́лымде,نوم
25,Busen::N,чы́зе,تی
26,Brust::N,оҥ,سینه
27,Schulter::N,ва́че,اوږه
28,Arm::N,кид,لاس
29,Ellenbogen::N,кынерву́й,څنګل
30,Hand::N,кид,لاس
31,Hand::N,копа́,لاس
32,Handfläche::N,со́во,ورغوی
33,Finger::N,парня́,ګوته
34,Fingernagel::N,кидкӱ́ч,نوک
35,Fingernagel::N,парнягӱ́ч,نوک
36,Nagel[Anatomie]::N,кӱч,نوک
37,Zeh::N,йолварня́,ګوته
38,Fuß::N,йол,پښه
39,Fuß::N,йолкопа́,پښه
40,Ferse::N,тага́н,پونده
41,Knie::N,пулву́й,زنګون
42,Oberschenkel::N,э́рде,پتون
43,Bein::N,йол,پښه
44,Körper::N,кап,ځان
45,Haut::N,кова́ште,پوټکی
46,Blut::N,вӱр,وینه
47,Ader::N,шӧн,رګ
48,Sehne::N,шӧн,پله
49,Sehne::N,кӱсе́н,پله
50,Knochen::N,лу,هډوکی
51,Gehirn::N,вем,ماغزه
52,Gehirn::N,вуйве́м,ماغزه
53,Herz::N,шӱм,زړه
54,Magen::N,пага́р,معده
55,Leber::N,мокш,ينه
56,Leber::N,мокш,ځیګر
57,Atem::N,шӱ́лыш,نفس
58,Hunger::N,шужыма́ш,ولږه
59,Träne::N,шинчавӱ́д,اوښکه
60,Geschmack::N,там,مزه
61,Geschmack::N,там,خوند
62,Geruch::N,пуш,بوی
63,Schlaf::N,о́мо,خوب
64,Traum::N,йӱдо́мо,خوب
65,Himmel::N,кава́,اسمان
66,Sonne::N,ке́че,لمر
67,Mond::N,ты́лзе,سپوږمۍ
68,Stern::N,шӱ́дыр,ستوری
69,Luft::N,юж,هوا
70,Wind::N,марде́ж,ورښ
71,Welle::N,то́лкын,موج
72,Wasser::N,вӱд,اوبه
73,Stein::N,кӱ,ډبره
74,Boden::N,рок,مځکه
75,Erde::N,мла́нде,خاوره
76,Staub::N,пура́к,ګرد
77,Staub::N,пура́к,خاوره
78,Rauch::N,шикш,دود
79,Rauch::N,шикш,لوګی
80,Funke::N,сеске́м,سپرغۍ
81,Funke::N,тулйы́п,سپرغۍ
82,Feuer::N,тул,اور
83,Licht::N,со́то,رڼا
84,Schatten::N,ӱ́мыл,سیوری
85,Wetter::N,иге́че,هوا
86,Nebel::N,тӱтыра́,لړه
87,Wolke::N,пыл,ورېځ
88,Regen::N,йӱр,وریا
89,Regen::N,йӱр,باران
90,Schnee::N,лум,واوره
91,Eis::N,ий,یخ
92,Eis::N,ий,کنګل
93,Frost::N,чатлама́,یخ
94,Kälte::N,йӱ́штӧ,ساړه
95,Hitze::N,шо́кшо,تودوخي
96,Raureif::N,пӧрш,سپینه پرخه
97,Raureif::N,по́кшым,سپینه پرخه
98,Regenbogen::N,шонанпы́л,بوډۍ ټال
99,Regenbogen::N,шонанпы́л,سره زرغونه
100,Donner::N,кӱ́дырчӧ,تالنده
101,Strömung::N,йо́гын,بهېدنه
102,Tropfen::N,чӱча́лтыш,قطره
103,Tropfen::N,чӱча́лтыш,څاڅکی
104,Schaum::N,шоҥ,ځګ
105,Schmutz::N,лавыра́,ناپاکي
106,See::N,ер,جهیل
107,Sumpf::N,лӱ́кӧ,جبه
108,Moor::N,куп,جبه
109,Wiese::N,о́лык,چمن
110,Wiese::N,о́лык,شنېلی
111,Wald::N,чодыра́,ځنګل
112,Hügel::N,арка́,تپه
113,Anhöhe::N,тӧва́,غونډۍ
114,Anhöhe::N,кӱкшака́,غونډۍ
115,Berg::N,ку́рык,غ‍‍‍‍‍ر
116,Gipfel::N,чаҥга́,څوکه
117,Gipfel::N,курыкву́й,څوکه
118,Höhle::N,пеще́р,کاز
119,Höhle::N,курыкпо́мыш,کاز
120,Abhang::N,та́йыл,لمن
121,Quelle::N,важ,چینه
122,Quelle::N,вӱдшинча́,چینه
123,Bach::N,изэҥе́р,واله
124,Fluss::N,эҥе́р,سیند
125,Ufer::N,сер,غاړه
126,Küste::N,вӱдтӱ́р,ساحل
127,Festland::N,мла́нде,وچه
128,Meer::N,те́ҥыз,بحر
129,Meer::N,те́ҥыз,سمندر
130,Bucht::N,икса́,کارۍ
131,Insel::N,отро́,ټاپو
132,Insel::N,отро́,جزيره
133,Blume::N,пеле́дыш,ګل
134,Gras::N,шу́до,واښه
135,Wurzel::N,вож,ریښه
136,Baum::N,пуше́ҥге,ونه
137,Stamm::N,йы́тыр,ډډ
138,Rinde::N,шӱм,پوستکی
139,Ast::N,укш,ښاخ
140,Zweig::N,торма́к,څانګه
141,Blatt::N,лышта́ш,پاڼه
142,Birke::N,куэ́,توس
143,Kiefer[Baum]::N,пӱ́нчӧ,نښتر
144,Weide[Baum]::N,уа́,وله
145,Tanne::N,кож,ناجو
146,Horn::N,шур,ښکر
147,Feder::N,пы́стыл,بڼکه
148,Fell::N,кова́ште,پوستکی
149,Flügel::N,шу́лдыр,وزر
150,Klaue::N,кӱч,پنجه
151,Klaue::N,кӱч,منګول
152,Kralle::N,ла́па,پنجه
153,Kralle::N,ла́па,منګول
154,Kralle::N,копа́,پنجه
155,Kralle::N,копа́,منګول
156,Schwanz::N,поч,لکۍ
157,Ei::N,му́но,وۍ
158,Ei::N,му́но,هګۍ
159,Nest::N,пыжа́ш,جاله
160,Bau::N,пыжа́ш,کاز
161,Tier::N,я́нлык,ژوی
162,Tier::N,я́нлык,حیوان
163,Tier::N,живо́тный,ژوی
164,Tier::N,живо́тный,حیوان
165,Herde::N,кӱ́тӱ,رمه
166,Herde::N,кӱ́тӱ,غېله
167,Herde::N,тӱшка́,رمه
168,Herde::N,тӱшка́,غېله
169,Kuh::N,ушка́л,غوا
170,Bulle::N,ӱ́шкыж,غوئی
171,Pferd::N,и́мне,آس
172,Schaf::N,шо́рык,پسه
173,Schwein::N,сӧсна́,سرکوزی
174,Hund::N,пий,سپی
175,Katze::N,пы́рыс,پشه
176,Bär::N,маска́,خرس
177,Eichhörnchen::N,ур,خړ لمی
178,Elch::N,шо́рдо,ګوزن
179,Fuchs::N,ры́выж,سپلم
180,Hase::N,мера́ҥ,سوی
181,Maus::N,коля́,مږک
182,Wolf::N,пи́ре,لېوه
183,Vogel::N,ка́йык,مرغه
184,Schwarm::N,каша́к,سېل
185,Huhn::N,чы́ве,چرګه
186,Hahn::N,агыта́н,چرګ
187,Gans::N,ко́мбо,بته
188,Adler::N,карагу́ш,عقاب
189,Ente::N,лу́до,ایلۍ
190,Eule::N,тумна́,ګونګی
191,Kranich::N,турня́,کلنګ
192,Krähe::N,кора́к,کارغه
193,Kuckuck::N,куку́,فاخته
194,Schwan::N,йӱ́ксӧ,قو
195,Fisch::N,кол,کب
196,Fisch::N,кол,ماهی
197,Barsch::N,ола́ҥге,
198,Hecht::N,нуж,
199,Hecht::N,чорта́н,
200,Schlange[Tier]::N,ки́шке,مار
201,Wurm::N,шукш,چینجی
202,Spinne::N,эҥыре́мыш,غڼه
203,Spinne::N,эҥыре́мыш,تارکښ
204,Ameise::N,ку́тко,مېږی
205,Laus::N,тий,سپږه
206,Mücke::N,шыҥа́,ماشی
207,Fliege::N,ка́рме,مچ
208,Schmetterling::N,лы́ве,پتنګ
209,Beere::N,мӧр,مېوۍ
210,Apfel::N,олма́,مڼه
211,Pilz::N,по́ҥго,خرېړی
212,Zwiebel::N,шога́н,پیاز
213,Saat::N,нӧ́шмӧ,تخم
214,Saat::N,туш,تخم
215,Korn::N,шу́рно,تخم
216,Korn::N,шу́рно,دانه
217,Heu::N,шу́до,بوس
218,Heu::N,шу́до,پروړه
219,Schale::N,шӱм,پوستکی
220,Grube::N,выне́м,کنده
221,Falle::N,лӧ́дӧ,دام
222,Falle::N,лӧ́дӧ,لومه
223,Schlinge::N,о́птыш,کړۍ
224,Schlinge::N,шӧрга́лтыш,کړۍ
225,Spur::N,кыша́,نښه
226,Asche::N,ло́мыж,آس
227,Asche::N,ло́мыж,ایره
228,Dreck::N,лавыра́,ناپاکي
229,Eisen::N,кӱ́ртньӧ,اوسپنه
230,Gold::N,шӧ́ртньӧ,سره زر
231,Silber::N,ший,نقره
232,Silber::N,ший,سپین زر
233,Kohle::N,мландышӱ́й,سکور
234,Kohle::N,мландышӱ́й,سکاره
235,Glas::N,янда́,ښيښه
236,Lehm::N,шун,خټه
237,Sand::N,ошма́,شګه
238,Mensch::N,еҥ,انسان
239,Mensch::N,айде́ме,انسان
240,Mann::N,пӧръе́ҥ,سړی
241,Mann::N,пӧръе́ҥ,نارینه
242,Frau::N,ӱдырама́ш,ښځه
243,Kind::N,аза́,بچی
244,Kind::N,аза́,ماشوم
245,Junge::N,рве́зе,هلک
246,Mädchen::N,ӱдыра́ш,نجلۍ
247,Familie::N,еш,کورنۍ
248,Großvater::N,коча́,بابا
249,Großmutter::N,кова́,انا
250,Eltern::N,ача́-ава́,مور او پلار
251,Vater::N,ача́,پلار
252,Mutter::N,ава́,مور
253,Sohn::N,э́рге,زوی
254,Tochter::N,ӱ́дыр,لور
255,Bruder::N,иза́,ورور
256,Bruder::N,шо́льо,ورور
257,Schwester::N,ака́,خور
258,Onkel::N,иза́,تره
259,Onkel::N,иза́,ماما
260,Tante::N,кока́,خاله
261,Ehemann::N,мари́й,مېړه
262,Ehefrau::N,ва́те,مېرمن
263,Freude::N,куа́н,خوشحالي
264,Freude::N,куаныма́ш,خوشحالي
265,Gelächter::N,во́штылтыш,خندا
266,Glück::N,пиа́л,بخت
267,Kummer::N,о́йго,غم
268,Wunsch::N,ку́мыл,هيله
269,Wunsch::N,ку́мыл,غوښتنه
270,Lust::N,ку́мыл,شوق
271,Lust::N,ку́мыл,مینه
272,Geist::N,ӧрт,روح
273,Geist::N,чон,روح
274,Gedanke::N,ой,فکر
275,Gedanke::N,шоныма́ш,فکر
276,Gedächtnis::N,шарныма́ш,یاد
277,Gedächtnis::N,шарныма́ш,حافظه
278,Verstand::N,уш,عقل
279,Verstand::N,уш,شعور
280,Sinn::N,смысл,معنی
281,Grund::N,ама́л,علت
282,Grund::N,ама́л,اساس
283,Wahrheit::N,чын,حقیقت
284,Gespräch::N,мутланыма́ш,مرکه
285,Gespräch::N,мутланыма́ш,خبرې اترې
286,Märchen::N,йома́к,افسانه
287,Erzählung::N,ойлыма́ш,قصه
288,Erzählung::N,ойлыма́ш,کیسه
289,Nachricht::N,увертарыма́ш,خبر
290,Neuigkeit::N,уве́р,نوی خبر
291,Name::N,лӱм,نوم
292,Rätsel::N,ту́што,کیسۍ
293,Rätsel::N,ту́што,چیستان
294,Rede::N,ойлыма́ш,وینا
295,Sprache::N,йы́лме,ژبه
296,Stimme::N,йӱк,غږ
297,Stimme::N,йӱк,اواز
298,Wort::N,ой,لغت
299,Wort::N,ой,کلمه
300,Wort::N,мут,لغت
301,Wort::N,мут,کلمه
302,Zeichen::N,ти́ште,نښه
303,Zeichen::N,ти́ште,اشاره
304,Zeichen::N,знак,نښه
305,Zeichen::N,знак,اشاره
306,Ruf::N,ӱжма́ш,ږغ
307,Ruf::N,ӱжма́ш,بلنه
308,Lärm::N,лӱшкыма́ш,غالمغال
309,Lärm::N,йӱк-йӱа́н,غالمغال
310,Laut::N,йӱк,ږغ
311,Ton::N,йӱксе́м,اواز
312,Lied::N,му́ро,غزله
313,Lied::N,му́ро,سندره
314,Ruhe::N,ты́мык,ارامي
315,Leute::N,еҥ-влак,خلک
316,Volk::N,ка́лык,ولس
317,Arbeit::N,паша́,کار
318,Gast::N,уна́,مېلمه
319,Geschenk::N,пӧле́к,تحفه
320,Geschenk::N,пӧле́к,سوغات
321,Spiel::N,мо́дыш,لوبه
322,Spiel::N,модма́ш,لوبه
323,Gesellschaft::N,тӱшка́,ډله
324,Hilfe::N,по́лыш,کومک
325,Hilfe::N,по́лыш,مرسته
326,Freund::N,таҥ,ملګری
327,Freund::N,йолта́ш,ملګری
328,Kamerad::N,таҥ,انډيوال
329,Angelegenheit::N,паша́,موضوع
330,Anzahl::N,чот,شمېر
331,Anzahl::N,чот,تعداد
332,Art::N,вид,ډول
333,Stück::N,ка́тыш,ټوټه
334,Stück::N,ла́стык,ټوټه
335,Teil::N,ужа́ш,برخه
336,Hälfte::N,пел,نیم
337,Hälfte::N,пе́ле,نیم
338,Kreis::N,ты́ртыш,دایره
339,Kreuz::N,ыре́с,صلیب
340,Linie::N,ли́ний,خط
341,Linie::N,ли́ний,لیکه
342,Strich::N,коре́ш,کرښه
343,Abstand::N,кокла́,فاصله
344,Entfernung::N,тора́,واټن
345,Entfernung::N,ку́жыт,واټن
346,Gegend::N,кунде́м,سیمه
347,Gegend::N,кунде́м,منطقه
348,Platz::N,ку́мдык,ځای
349,Ort::N,вер,ځای
350,Ort::N,о́лмо,ځای
351,Seite::N,ӧ́рдыж,مخ
352,Seite::N,ӧ́рдыж,اړخ
353,Mitte::N,покше́л,وسط
354,Mitte::N,покше́л,مینځ
355,Gegenstand::N,наста́,شی
356,Sache::N,наста́,شی
357,Sache::N,наста́,څيز
358,Rand::N,тӱр,څنډه
359,Rand::N,тӱр,کناره
360,Kante::N,тӱр,اړخ
361,Ecke::N,лук,ګوټ
362,Spitze::N,вуй,څوکه
363,Ende::N,муча́ш,څوکه
364,Loch::N,рож,سوری
365,Winkel::N,лук,کنج
366,Winkel::N,лук,کوتی
367,Muster::N,пеза́к,نمونه
368,Muster::N,узо́р,نمونه
369,Muster::N,ӱ́лгӧ,نمونه
370,Größe::N,кӱ́кшыт,قد
371,Größe::N,кӱ́кшыт,لويوالی
372,Länge::N,ку́тыш,طول
373,Länge::N,ку́тыш,اوږد والی
374,Höhe::N,кӱ́кшыт,جګوالی
375,Gewicht::N,не́лыт,وزن
376,Menge::N,чот,اندازه
377,Haufen::N,кы́шыл,کوټه
378,Reihe::N,рада́м,صف
379,Reihe::N,рада́м,کتار
380,Boot::N,пуш,قايق
381,Ruder::N,эшка́к,چپه
382,Schlitten::N,тер,ښویېدونی
383,Schlitten::N,изде́р,ښویېدونی
384,Ski::N,е́че,سکي
385,Lagerfeuer::N,туло́то,اور
386,Last::N,нӧ́лтыш,بار
387,Last::N,нӧ́лтыш,پېټی
388,Gang::N,ошкылма́ш,تګ
389,Schritt::N,о́шкыл,ګام
390,Norden::N,йӱдйыма́л,شمال
391,Süden::N,кечывалве́л,سوېل
392,Westen::N,касве́л,لوېدېځ
393,Osten::N,эрве́л,شرق
394,Osten::N,эрве́л,ختیځ
395,Holz::N,пу,لرګی
396,Brett::N,оҥа́,تخته
397,Platte::N,аста́р,تخته
