,Concept_ID,ar,la
0,Auge::N,عين,oculus
1,Ohr::N,أذن,auris
2,Nase::N,أنف,nasus
3,Mund::N,فم,os
4,Zahn::N,سن,dens
5,Zunge::N,لسان,lingua
6,Lippe::N,شفة,labrum
7,Wange::N,خد,gena
8,Wange::N,وجنة,gena
9,Gesicht::N,وجه,vultus
10,Stirn::N,جبين,frons
11,Haar::N,شعر,capillus
12,Schnurrbart::N,شارب,barba labri superioris
13,Bart::N,لحية,barba
14,Kinn::N,ذقن,mentum
15,Kiefer[Anatomie]::N,فك,mala
16,Kehle::N,حلق,iugulums
17,Hals::N,عنق,collum
18,Hals::N,رقبة,collum
19,Genick::N,قفا,cervices
20,Kopf::N,رأس,caput
21,Rücken::N,ظهر,tergum
22,Bauch::N,بطن,venter
23,Nabel::N,سرة,umbilicus
24,Busen::N,ثدي,sinus
25,Brust::N,صدر,pectus
26,Schulter::N,كتف,umerus
27,Arm::N,ذراع,bracchium
28,Ellenbogen::N,كوع,cubitum
29,Hand::N,يد,manus
30,Handfläche::N,كف,palma
31,Finger::N,إصبع,digitus
32,Fingernagel::N,ظفر,unguiculus
33,Nagel[Anatomie]::N,ظفر,unguis
34,Zeh::N,إصبع القدم,digitus
35,Fuß::N,قدم,pes
36,Ferse::N,كعب,calx
37,Knie::N,ركبة,genu
38,Oberschenkel::N,فخذ,femur
39,Bein::N,ساق,crus
40,Körper::N,جسم,corpus
41,Haut::N,بشرة,cutis
42,Haut::N,بشرة,pellis
43,Blut::N,دم,sanguis
44,Ader::N,عرق,vena
45,Sehne::N,طنب,nervus
46,Knochen::N,عظم,os
47,Gehirn::N,دماغ,cerebrum
48,Herz::N,قلب,cor
49,Herz::N,قلب,animus
50,Magen::N,معدة,stomachus
51,Leber::N,كبد,iecur
52,Atem::N,نفس,spiritus
53,Hunger::N,جوع,fames
54,Träne::N,دمعة,lacrima
55,Geschmack::N,طعم,sapor
56,Geschmack::N,طعم,gustus
57,Geschmack::N,مذاق,sapor
58,Geschmack::N,مذاق,gustus
59,Geruch::N,رائحة,odor
60,Schlaf::N,نوم,somnus
61,Schlaf::N,منام,somnus
62,Traum::N,حلم,somnium
63,Himmel::N,سماء,caelum
64,Sonne::N,شمس,sol
65,Mond::N,قمر,luna
66,Stern::N,نجم,sidus
67,Stern::N,نجم,stella
68,Stern::N,كوكب,sidus
69,Stern::N,كوكب,stella
70,Luft::N,هواء,aer
71,Wind::N,ريح,ventus
72,Welle::N,موجة,unda
73,Wasser::N,ماء,aqua
74,Stein::N,حجر,lapis
75,Boden::N,تراب,solum
76,Erde::N,أرض,terra
77,Staub::N,غبار,pulvis
78,Rauch::N,دخان,fumus
79,Funke::N,شرارة,scintilla
80,Feuer::N,نار,ignis
81,Licht::N,نور,lux
82,Licht::N,نور,lumen
83,Licht::N,ضوء,lux
84,Licht::N,ضوء,lumen
85,Schatten::N,ظل,umbra
86,Schatten::N,فيء,umbra
87,Wetter::N,جو,caelum
88,Wetter::N,جو,tempestas
89,Wetter::N,طقس,caelum
90,Wetter::N,طقس,tempestas
91,Nebel::N,ضباب,nebula
92,Wolke::N,غيمة,nubes
93,Wolke::N,سحابة,nubes
94,Regen::N,مطر,imber
95,Regen::N,مطر,pluvia
96,Schnee::N,ثلج,nix
97,Eis::N,جليد,glacies
98,Frost::N,صقيع,gelu
99,Kälte::N,برد,frigus
100,Hitze::N,حر,calor
101,Hitze::N,حر,aestus
102,Hitze::N,حرارة,calor
103,Hitze::N,حرارة,aestus
104,Raureif::N,صقيع,pruina
105,Regenbogen::N,قوس قزح,arcus
106,Donner::N,رعد,tonitrus
107,Strömung::N,تيار,fluctus
108,Tropfen::N,قطرة,gutta
109,Schaum::N,زبد,spuma
110,Schaum::N,رغوة,spuma
111,Schmutz::N,وسخ,sordes
112,Schmutz::N,وسخ,squalor
