,Concept_ID,tr,eu
0,Auge::N,göz,begi
1,Ohr::N,kulak,belarri
2,Nase::N,burun,sudur
3,Mund::N,ağız,aho
4,Zahn::N,diş,hortz
5,Zunge::N,dil,mihi
6,Lippe::N,dudak,ezpain
7,Wange::N,yanak,masail
8,Gesicht::N,yüz,aurpegi
9,Stirn::N,alın,bekoki
10,Haar::N,saç,ile
11,Haar::N,saç,bilo
12,Schnurrbart::N,bıyık,bibote
13,Schnurrbart::N,bıyık,sudurpeko
14,Bart::N,sakal,bizar
15,Kinn::N,çene,kokots
16,Kiefer[Anatomie]::N,çene,masailezur
17,Kehle::N,boğaz,eztarri
18,Hals::N,boyun,sama
19,Hals::N,gerdan,sama
20,Genick::N,ense,garondo
21,Kopf::N,baş,buru
22,Kopf::N,kafa,buru
23,Rücken::N,arka,bizkar
24,Bauch::N,karın,sabel
25,Nabel::N,göbek,zilbor
26,Busen::N,koyun,titi
27,Busen::N,koyun,ugatz
28,Brust::N,göğüs,bular
29,Schulter::N,omuz,besaburu
30,Arm::N,kol,beso
31,Ellenbogen::N,dirsek,ukondo
32,Hand::N,el,esku
33,Handfläche::N,avuç,ahur
34,Handfläche::N,el ayası,ahur
35,Finger::N,parmak,hatz
36,Fingernagel::N,el tırnağı,azazkal
37,Nagel[Anatomie]::N,tırnak,azazkal
38,Zeh::N,ayak parmağı,behatz
39,Fuß::N,ayak,oin
40,Ferse::N,topuk,orpo
41,Ferse::N,topuk,oinburu
42,Knie::N,diz,belaun
43,Oberschenkel::N,uyluk,izter
44,Bein::N,bacak,zango
45,Körper::N,vücut,soin
46,Haut::N,cilt,azal
47,Blut::N,kan,odol
48,Ader::N,damar,zain
49,Sehne::N,kiriş,gihar-zain
50,Knochen::N,kemik,hezur
51,Gehirn::N,beyin,garun
52,Gehirn::N,beyin,burmuin
53,Herz::N,kalp,bihotz
54,Herz::N,yürek,bihotz
55,Magen::N,mide,urdail
56,Leber::N,karaciğer,gibel
57,Atem::N,nefes,hats
58,Atem::N,nefes,arnasa
59,Hunger::N,açlık,gose
60,Träne::N,gözyaşı,malko
61,Geschmack::N,tat,dasta
62,Geschmack::N,lezzet,dasta
63,Geruch::N,koku,usain
64,Schlaf::N,uyku,lo
65,Traum::N,düş,amets
66,Traum::N,rüya,amets
67,Himmel::N,gök,zeru
68,Sonne::N,güneş,eguzki
69,Mond::N,ay,ilargi
70,Stern::N,yıldız,izar
71,Luft::N,hava,aire
72,Wind::N,yel,haize
73,Wind::N,rüzgâr,haize
74,Welle::N,dalga,uhin
75,Welle::N,dalga,olatu
76,Wasser::N,su,ur
77,Stein::N,taş,harri
78,Boden::N,yer,lur
79,Boden::N,yer,zoru
80,Boden::N,zemin,lur
81,Boden::N,zemin,zoru
82,Erde::N,toprak,lur
83,Staub::N,toz,hauts
84,Rauch::N,duman,ke
85,Funke::N,kıvılcım,zirta
86,Funke::N,kıvılcım,txinparta
87,Feuer::N,ateş,su
88,Licht::N,ışık,argi
89,Schatten::N,gölge,itzal
90,Schatten::N,gölge,geriza
91,Wetter::N,hava,eguraldi
92,Nebel::N,pus,laino
93,Wolke::N,bulut,hodei
94,Regen::N,yağmur,euri
95,Schnee::N,kar,elur
96,Eis::N,buz,horma
97,Frost::N,don,izotzaldi
98,Kälte::N,soğukluk,hotz
99,Hitze::N,sıcaklık,bero
100,Raureif::N,kırç,antzigar
101,Regenbogen::N,gökkuşağı,ostadar
102,Regenbogen::N,gökkuşağı,ortzadar
103,Donner::N,gök gürlemesi,ostots
104,Donner::N,gök gürlemesi,ihurtzuri
105,Strömung::N,akıntı,laster
106,Strömung::N,cereyan,laster
107,Tropfen::N,damla,xorta
108,Schaum::N,köpük,bits
109,Schmutz::N,çamur,lohi
110,Schmutz::N,çamur,zikin
111,Schmutz::N,pislik,lohi
112,Schmutz::N,pislik,zikin
113,See::N,göl,laku
114,See::N,göl,aintzira
115,Sumpf::N,batak,zingira
116,Moor::N,cılgıt,zohikaztegi
117,Wiese::N,çimen,larre
118,Wiese::N,çimen,belardi
119,Wald::N,koru,baso
120,Wald::N,koru,oihan
121,Wald::N,orman,baso
122,Wald::N,orman,oihan
123,Hügel::N,tepe,muino
124,Hügel::N,tepe,pentoka
125,Anhöhe::N,tümsek,garai
126,Anhöhe::N,tümsek,goragune
127,Anhöhe::N,yükseklik,garai
128,Anhöhe::N,yükseklik,goragune
129,Berg::N,dağ,mendi
130,Gipfel::N,zirve,gain
131,Gipfel::N,zirve,tontor
132,Höhle::N,in,kobazulo
133,Höhle::N,mağara,kobazulo
134,Abhang::N,bayır,aldapa
135,Quelle::N,pınar,iturri
136,Quelle::N,pınar,iturbegi
137,Quelle::N,kaynak,iturri
138,Quelle::N,kaynak,iturbegi
139,Bach::N,çay,lats
140,Bach::N,çay,erreka
141,Bach::N,dere,lats
142,Bach::N,dere,erreka
143,Fluss::N,nehir,ibai
144,Fluss::N,nehir,uhaitz
145,Ufer::N,kıyı,bazter
146,Ufer::N,sahil,bazter
147,Küste::N,kıyı,itsasalde
148,Küste::N,sahil,itsasalde
149,Festland::N,kara,lehor
150,Meer::N,deniz,itsaso
151,Bucht::N,koy,golko
152,Bucht::N,körfez,golko
153,Insel::N,ada,irla
154,Insel::N,ada,uharte
155,Blume::N,çiçek,lili
156,Gras::N,ot,belar
157,Gras::N,çim,belar
158,Wurzel::N,kök,zuztar
159,Wurzel::N,kök,sustrai
160,Baum::N,ağaç,zuhaitz
161,Stamm::N,gövde,enbor
162,Rinde::N,kabuk,azal
163,Ast::N,dal,adar
164,Ast::N,budak,adar
165,Zweig::N,dal,abar
166,Blatt::N,yaprak,hosto
167,Birke::N,huş,urki
168,Kiefer[Baum]::N,çam,ler
169,Weide[Baum]::N,söğüt,zume
170,Weide[Baum]::N,söğüt,sahats
171,Tanne::N,çam,izei
172,Tanne::N,köknar,izei
173,Horn::N,boynuz,adar
174,Feder::N,tüy,luma
175,Feder::N,tüy,hegaki
176,Fell::N,post,ile
177,Fell::N,post,larru
178,Flügel::N,kanat,hego
179,Klaue::N,pençe,atzapar
180,Kralle::N,tırnak,erpe
181,Kralle::N,tırnak,atzapar
182,Schwanz::N,kuyruk,isats
183,Schwanz::N,kuyruk,buztan
184,Ei::N,yumurta,arrautza
185,Nest::N,yuva,habia
186,Bau::N,in,ohantze
187,Tier::N,hayvan,abere
188,Tier::N,hayvan,piztia
189,Herde::N,sürü,saldo
190,Herde::N,sürü,abere talde
191,Kuh::N,inek,behi
192,Bulle::N,boğa,zezen
193,Pferd::N,at,zaldi
194,Pferd::N,beygir,zaldi
195,Schaf::N,koyun,ardi
196,Schwein::N,domuz,urde
197,Schwein::N,domuz,txerri
198,Hund::N,it,txakur
199,Hund::N,köpek,txakur
200,Katze::N,kedi,katu
201,Bär::N,ayı,hartz
202,Eichhörnchen::N,sincap,urtxintxa
203,Elch::N,büyük kuzey geyiği,altze
204,Fuchs::N,tilki,azeri
205,Hase::N,tavşan,erbi
206,Maus::N,fare,sagu
207,Maus::N,sıçan,sagu
208,Wolf::N,kurt,otso
209,Vogel::N,kuş,txori
210,Vogel::N,kuş,hegazti
211,Schwarm::N,sürü,aldra
212,Huhn::N,tavuk,oilo
213,Hahn::N,horoz,oilar
214,Gans::N,kaz,antzara
215,Adler::N,kartal,arrano
216,Adler::N,karakuş,arrano
217,Ente::N,ördek,ahate
218,Eule::N,baykuş,hontza
219,Kranich::N,turna,kurrilo
220,Krähe::N,karga,bele
221,Kuckuck::N,guguk,kuku
222,Schwan::N,kuğu,beltxarga
223,Fisch::N,balık,arrain
224,Barsch::N,hani,perka
225,Barsch::N,levrek,perka
226,Hecht::N,turnabalığı,lutxo
227,Schlange[Tier]::N,yılan,suge
228,Wurm::N,kurt,har
229,Wurm::N,solucan,har
230,Spinne::N,örümcek,armiarma
231,Ameise::N,karınca,inurri
232,Laus::N,bit,zorri
233,Mücke::N,sivrisinek,eltxo
234,Fliege::N,sinek,euli
235,Schmetterling::N,kelebek,pinpirin
236,Schmetterling::N,kelebek,tximeleta
237,Beere::N,tane,baia
238,Apfel::N,elma,sagar
239,Pilz::N,mantar,onddo
240,Pilz::N,mantar,perretxiko
241,Zwiebel::N,soğan,tipula
242,Saat::N,ekin,haziak
243,Korn::N,tane,ale
244,Korn::N,tane,pikor
245,Heu::N,kuru ot,belar ondu
246,Schale::N,kabuk,azal
247,Grube::N,çukur,hobi
248,Falle::N,tuzak,harrapagailu
249,Schlinge::N,ilmik,bilur
250,Schlinge::N,ilmik,xedera
251,Spur::N,iz,lorratz
252,Asche::N,kül,errauts
253,Dreck::N,pislik,satsukeria
254,Eisen::N,demir,burdina
255,Gold::N,altın,urre
256,Gold::N,altın,urregorri
257,Silber::N,gümüş,zilar
258,Silber::N,gümüş,urrezuri
259,Kohle::N,kömür,ikatz
260,Glas::N,cam,beira
261,Lehm::N,balçık,buztin
262,Sand::N,kum,harea
263,Sand::N,kum,hondar
264,Mensch::N,insan,gizaki
265,Mann::N,adam,gizon
266,Mann::N,erkek,gizon
267,Frau::N,bayan,andere
268,Frau::N,bayan,emakume
269,Kind::N,çocuk,haur
270,Junge::N,erkek çocuk,mutil
271,Mädchen::N,kız,neska
272,Familie::N,aile,sendi
273,Familie::N,aile,familia
274,Großvater::N,dede,aitona
275,Großvater::N,dede,aitatxi
276,Großvater::N,büyükbaba,aitona
277,Großvater::N,büyükbaba,aitatxi
278,Großmutter::N,nine,amona
279,Großmutter::N,nine,amatxi
280,Großmutter::N,büyükanne,amona
281,Großmutter::N,büyükanne,amatxi
282,Eltern::N,ebeveyn,gurasoak
283,Eltern::N,ana baba,gurasoak
284,Vater::N,ata,aita
285,Vater::N,baba,aita
286,Mutter::N,ana,ama
287,Mutter::N,anne,ama
288,Sohn::N,oğul,seme
289,Tochter::N,kız,alaba
290,Tochter::N,kız evlât,alaba
291,Bruder::N,abi,neba
292,Bruder::N,abi,anaia
293,Bruder::N,erkek kardeş,neba
294,Bruder::N,erkek kardeş,anaia
295,Schwester::N,abla,ahizpa
296,Schwester::N,kız kardeş,ahizpa
297,Onkel::N,dayı,osaba
298,Tante::N,hala,izeba
299,Tante::N,teyze,izeba
300,Ehemann::N,koca,senar
301,Ehefrau::N,karı,emazte
302,Freude::N,neşe,poz
303,Freude::N,neşe,pozkari
304,Freude::N,sevinç,poz
305,Freude::N,sevinç,pozkari
306,Gelächter::N,gülme,barre
307,Gelächter::N,gülme,karkara
308,Gelächter::N,kahkaha,barre
309,Gelächter::N,kahkaha,karkara
310,Glück::N,mutluluk,zori
311,Kummer::N,dert,xangrin
312,Kummer::N,dert,atsekabe
313,Kummer::N,keder,xangrin
314,Kummer::N,keder,atsekabe
315,Wunsch::N,arzu,nahi
316,Wunsch::N,arzu,nahikunde
317,Wunsch::N,istek,nahi
318,Wunsch::N,istek,nahikunde
319,Lust::N,arzu,gogo
320,Lust::N,heves,gogo
321,Geist::N,tin,gogo
322,Gedanke::N,fikir,gogoeta
323,Gedanke::N,düşünce,gogoeta
324,Gedächtnis::N,bellek,oroimen
325,Gedächtnis::N,bellek,gogoramen
326,Verstand::N,zekâ,adimen
327,Verstand::N,zekâ,ulermen
328,Sinn::N,anlam,zentzu
329,Grund::N,sebep,zergati
330,Wahrheit::N,doğruluk,egia
331,Wahrheit::N,gerçeklik,egia
332,Gespräch::N,görüşme,hizketa
333,Gespräch::N,görüşme,elkarrizketa
334,Märchen::N,masal,ipuin
335,Erzählung::N,öykü,edesti
336,Erzählung::N,öykü,kontakizun
337,Erzählung::N,hikâye,edesti
338,Erzählung::N,hikâye,kontakizun
339,Nachricht::N,haber,albiste
340,Neuigkeit::N,haber,berri
341,Name::N,ad,izen
342,Name::N,isim,izen
343,Rätsel::N,bilmece,asmakizun
344,Rede::N,söylev,hitzaldi
345,Rede::N,söylev,mintzaldi
346,Rede::N,konuşma,hitzaldi
347,Rede::N,konuşma,mintzaldi
348,Sprache::N,dil,hizkuntza
349,Sprache::N,lisan,hizkuntza
350,Stimme::N,ses,ahots
351,Wort::N,kelime,hitz
352,Zeichen::N,işaret,agerbide
353,Zeichen::N,işaret,agergarri
354,Ruf::N,çağırma,dei
355,Lärm::N,şamata,zarata
356,Lärm::N,şamata,harrabots
357,Lärm::N,gürültü,zarata
358,Lärm::N,gürültü,harrabots
359,Laut::N,ses,hots
360,Ton::N,ses,tonu
361,Ton::N,ses,soinu
362,Lied::N,türkü,abesti
363,Ruhe::N,sakinlik,nasaitasun
364,Leute::N,halk,jende
365,Leute::N,insanlar,jende
366,Volk::N,ulus,herri
367,Volk::N,ulus,populu
368,Volk::N,millet,herri
369,Volk::N,millet,populu
370,Arbeit::N,iş,lan
371,Arbeit::N,çalışma,lan
372,Gast::N,konuk,arrotz
373,Gast::N,konuk,apopilo
374,Gast::N,misafir,arrotz
375,Gast::N,misafir,apopilo
376,Geschenk::N,hediye,opari
377,Geschenk::N,armağan,opari
378,Spiel::N,oyun,jolas
379,Gesellschaft::N,çevre,gizarte
380,Gesellschaft::N,arkadaşlık,gizarte
381,Hilfe::N,yardım,helpide
382,Hilfe::N,yardım,laguntza
383,Freund::N,dost,lagun
384,Freund::N,arkadaş,lagun
385,Kamerad::N,arkadaş,adiskide
386,Kamerad::N,arkadaş,lagunkide
387,Angelegenheit::N,iş,afera
388,Angelegenheit::N,husus,afera
389,Anzahl::N,sayı,kopuru
390,Art::N,çeşit,mota
391,Stück::N,tane,puska
392,Stück::N,parça,puska
393,Teil::N,kısım,atal
394,Hälfte::N,yarı,erdi
395,Kreis::N,daire,biribilki
396,Kreuz::N,haç,gurutze
397,Linie::N,hat,linea
398,Linie::N,çizgi,linea
399,Strich::N,çizgi,marra
400,Abstand::N,aralık,tarte
401,Entfernung::N,mesafe,urrunera
402,Entfernung::N,uzaklık,urrunera
403,Gegend::N,yöre,alderdi
404,Gegend::N,yöre,eskualde
405,Platz::N,yer,leku
406,Ort::N,yer,toki
407,Seite::N,yan,albo
408,Seite::N,taraf,albo
409,Mitte::N,orta,erdi
410,Mitte::N,merkez,erdi
411,Gegenstand::N,şey,gauzaki
412,Sache::N,iş,gauza
413,Sache::N,şey,gauza
414,Rand::N,kenar,ertz
415,Kante::N,kenar,ertz
416,Ecke::N,köşe,kantoi
417,Spitze::N,uç,punta
418,Spitze::N,baş,punta
419,Ende::N,uç,buru
420,Ende::N,uç,mutur
421,Loch::N,oyuk,zulo
422,Loch::N,delik,zulo
423,Winkel::N,köşe,zoko
424,Winkel::N,köşe,bazter
425,Muster::N,örnek,eredu
426,Muster::N,örnek,marrazki
