,Concept_ID,kv,sah
0,Auge::N,син,харах
1,Ohr::N,пель,кулгаах
2,Nase::N,ныр,мурун
3,Mund::N,ӧм,айах
4,Zahn::N,пинь,тиис
5,Zunge::N,кыв,тыл
6,Lippe::N,тырп,уос
7,Wange::N,рожабан,иэдэс
8,Gesicht::N,бан,сирэй
9,Stirn::N,кымӧс,сүүс
10,Haar::N,юрси,баттах
11,Schnurrbart::N,уссэз,уос бытыга
12,Bart::N,тош,сэҥийэ бытыга
13,Kinn::N,тшӧка,сэҥийэ
14,Kiefer[Anatomie]::N,ан,сыҥаах
15,Kehle::N,юан,тамах
16,Kehle::N,юан,күөмэй
17,Hals::N,юан,моой
18,Genick::N,юр бӧр,кэтэх
19,Kopf::N,юр,бас
20,Rücken::N,мышк,көҕүс
21,Bauch::N,кынӧм,ис
22,Nabel::N,гӧг,киин
23,Busen::N,морос,эмиий
24,Brust::N,морос,түөс
25,Schulter::N,пельпон,сарын
26,Arm::N,ки,илии
27,Ellenbogen::N,гырдзза,тоҕонох
28,Hand::N,кикар,илии
29,Handfläche::N,ки пыдӧс,ытыс
30,Finger::N,чунь,тарбах
31,Fingernagel::N,гыж,тыҥырах
32,Nagel[Anatomie]::N,гыж,тыҥырах
33,Zeh::N,чунь,тарбах
34,Fuß::N,кокпыдӧс,уллуҥах
35,Ferse::N,кокдзир,тилэх
36,Knie::N,пидзӧс,тобук
37,Knie::N,пидзӧс,дьилбэк
38,Oberschenkel::N,лядьбей,уллук
39,Oberschenkel::N,лядьбей,өттүк
40,Bein::N,кок,атах
41,Körper::N,вывтыр,бэйэ
42,Haut::N,кучик,тирии
43,Blut::N,вир,хаан
44,Ader::N,сӧн,вена
45,Ader::N,сӧн,күөх_тымыр
46,Sehne::N,жила,иҥиир
47,Knochen::N,коска,уҥуох
48,Knochen::N,коска,уҥгуох
49,Gehirn::N,вем,мэйии
50,Herz::N,сьӧлӧм,сүрэх
51,Magen::N,жӧвдӧк,куртах
52,Leber::N,мус,быар
53,Atem::N,лолалӧм,тыын
54,Hunger::N,тшыг,аас
55,Träne::N,синва,харах уута
56,Geschmack::N,кӧр,амтан
57,Geruch::N,дук,сыт
58,Schlaf::N,он,утуйуу
59,Traum::N,вӧт,түүл
60,Himmel::N,небо,халлаан
61,Sonne::N,шондi,күн
62,Mond::N,тӧлiсь,ый
63,Stern::N,кӧдзыв,сулус
64,Luft::N,ру,салгын
65,Wind::N,тӧв,тыал
66,Welle::N,гы,долгун
67,Welle::N,гы,балхаан
68,Wasser::N,ва,уу
69,Stein::N,из,таас
70,Boden::N,му,сир
71,Erde::N,му,буор
72,Staub::N,бус,быыл
73,Rauch::N,тшын,буруо
74,Funke::N,бичир,кыым
75,Feuer::N,би,уот
76,Licht::N,би,уот
77,Schatten::N,вуджӧр,күлүк
78,Wetter::N,погоддя,күн-дьыл
79,Nebel::N,туман,туман
80,Wolke::N,кымӧр,былыт
81,Regen::N,зэр,самыыр
82,Schnee::N,лым,хаар
83,Eis::N,йы,муус
84,Frost::N,мороз,тымныы
85,Kälte::N,кӧдзыт,тымныы
86,Hitze::N,ӧд,куйаас
87,Raureif::N,кижа,кырыа
88,Regenbogen::N,енӧшка,кустук
89,Donner::N,гым,этиҥ
90,Strömung::N,визывтӧм,сүүрүк
91,Tropfen::N,тёп,таммах
92,Tropfen::N,тёп,хааппыла
93,Schaum::N,быг,күүгэн
94,Schmutz::N,нять,кир
95,See::N,ты,күөл
96,Sumpf::N,арай,бадараан
97,Moor::N,нюр,дьэбэрэ
98,Wiese::N,видз,ходуһа
99,Wald::N,вӧр,ойуур
100,Hügel::N,мыльк,булгунньах
101,Anhöhe::N,вывтас,үрдэл
102,Anhöhe::N,вылынін,үрдэл
103,Berg::N,керӧс,хайа
104,Gipfel::N,йыв,чыпчаал
105,Höhle::N,нора,хайа_хаспаҕа
106,Höhle::N,нора,көҥүс
107,Abhang::N,покат,эниэ
108,Quelle::N,больган,дьүүктэ
109,Bach::N,шор,үрүйэ
110,Fluss::N,ю,өрүс
111,Ufer::N,берег,биэрэк
112,Küste::N,берег,кытыл
113,Festland::N,му,кураанах сир
114,Meer::N,море,муора
115,Bucht::N,курья,хомо
116,Bucht::N,курья,бухта
117,Blume::N,цветок,сибэкки
118,Gras::N,турун,от
119,Wurzel::N,вуж,силис
120,Baum::N,пу,мас
121,Stamm::N,мыр,умнас
122,Stamm::N,кер,умнас
123,Rinde::N,кач,хатырык
124,Ast::N,ув,мутук
125,Zweig::N,ув,лабаа
126,Blatt::N,лист,сэбирдэх
127,Birke::N,кыдз,хатыҥ
128,Kiefer[Baum]::N,пожум,бэс
129,Weide[Baum]::N,бадь,үөт
130,Weide[Baum]::N,бадь,талах
131,Tanne::N,кӧз,харыйа
132,Horn::N,сюр,муос
133,Feder::N,гӧн,куорсун
134,Fell::N,кучик,тирии
135,Flügel::N,борд,кынат
136,Klaue::N,гыж,тыҥырах
137,Kralle::N,кабыр,баппаҕай
138,Schwanz::N,бӧж,кутурук
139,Ei::N,кольть,сымыыт
140,Nest::N,поз,уйа
