,Concept_ID,vep,sv
0,Auge::N,sil'm,öga
1,Ohr::N,korv,öra
2,Nase::N,nena,näsa
3,Mund::N,su,mun
4,Zahn::N,pi,tand
5,Zahn::N,hambaz,tand
6,Zunge::N,kel',tunga
7,Lippe::N,hul',läpp
8,Wange::N,modpolišk,kind
9,Gesicht::N,mod,syn
10,Gesicht::N,mod,ansikte
11,Stirn::N,oc,panna
12,Haar::N,tuk,hår
13,Haar::N,hibuz,hår
14,Schnurrbart::N,habinod,mustasch
15,Bart::N,bard,skägg
16,Kinn::N,löug,haka
17,Kiefer[Anatomie]::N,hambazlu,käke
18,Kehle::N,kurk,strupe
19,Hals::N,kagl,hals
20,Genick::N,tagarai,nacke
21,Kopf::N,pä,huvud
22,Rücken::N,sel'g,rygg
23,Bauch::N,vac,buk
24,Bauch::N,vac,mage
25,Bauch::N,koht,buk
26,Bauch::N,koht,mage
27,Nabel::N,naba,navel
28,Busen::N,niža,barm
29,Brust::N,rind,bröst
30,Schulter::N,oug,skuldra
31,Arm::N,käzi,arm
32,Ellenbogen::N,künambruz,armbåge
33,Hand::N,käzi,hand
34,Hand::N,käzitera,hand
35,Handfläche::N,kämen,handflata
36,Finger::N,sor'm,finger
37,Fingernagel::N,künz',fingernagel
38,Nagel[Anatomie]::N,künz',nagel
39,Zeh::N,barbaz,tå
40,Fuß::N,jaug,fot
41,Ferse::N,kand,häl
42,Knie::N,komb,knä
43,Knie::N,pol'v,knä
44,Oberschenkel::N,riiže,lår
45,Bein::N,jaug,ben
46,Körper::N,hibj,kropp
47,Haut::N,nahk,hud
48,Haut::N,nahk,skinn
49,Blut::N,čak,blod
50,Blut::N,veri,blod
51,Ader::N,son',åder
52,Sehne::N,jände,sena
53,Knochen::N,lu,ben
54,Gehirn::N,aivod,hjärna
55,Herz::N,südäin,hjärta
56,Magen::N,südäikoht,mage
57,Leber::N,maks,lever
58,Atem::N,hengaiduz,anda
59,Atem::N,hengaiduz,andedräkt
60,Hunger::N,näl'g,svält
61,Hunger::N,näl'g,hunger
62,Träne::N,kündal',tår
63,Geschmack::N,magu,smak
64,Geruch::N,haju,lukt
65,Schlaf::N,uni,sömn
66,Traum::N,unikuva,dröm
67,Himmel::N,taivaz,himmel
68,Sonne::N,päiväine,sol
69,Mond::N,kudmaine,måne
70,Stern::N,tähtaz,stjärna
71,Luft::N,il'm,luft
72,Wind::N,döl,vind
73,Wind::N,tullei,vind
74,Welle::N,ald,våg
75,Welle::N,ald,bölja
76,Welle::N,laineh,våg
77,Welle::N,laineh,bölja
78,Wasser::N,vezi,vatten
79,Stein::N,kivi,sten
80,Boden::N,ma,mark
81,Boden::N,pohj,mark
82,Erde::N,ma,jord
83,Staub::N,pölü,damm
84,Rauch::N,savu,rök
85,Funke::N,kibin,gnista
86,Feuer::N,lämoi,eld
87,Licht::N,vauktuz,ljus
88,Schatten::N,pil'vez,skugga
89,Schatten::N,kuvahaine,skugga
90,Wetter::N,sä,väder
91,Nebel::N,sumeg,dimma
92,Nebel::N,sumeg,töcken
93,Wolke::N,pil'v,sky
94,Wolke::N,pil'v,moln
95,Regen::N,vihm,regn
96,Schnee::N,lumi,snö
97,Eis::N,jä,is
98,Frost::N,hala,frost
99,Frost::N,pakaine,frost
100,Kälte::N,vilu,köld
101,Hitze::N,räk,hetta
102,Raureif::N,hüde,rimfrost
103,Regenbogen::N,jumalanbembel',regnbåge
104,Donner::N,juru,åska
105,Donner::N,juru,dunder
106,Donner::N,jumalanjuru,åska
107,Donner::N,jumalanjuru,dunder
108,Strömung::N,joksmuz,strömning
109,Tropfen::N,tilkuine,dropper
110,Schaum::N,vaht,skum
111,Schmutz::N,redu,lort
112,Schmutz::N,redu,smuts
113,Schmutz::N,pačak,lort
114,Schmutz::N,pačak,smuts
115,See::N,järv,sjö
116,Sumpf::N,so,träsk
117,Moor::N,so,myr
118,Moor::N,so,mosse
119,Wiese::N,nit,äng
120,Wald::N,mec,skog
121,Hügel::N,kukaz,höjd
122,Hügel::N,kukaz,kulle
123,Anhöhe::N,kukaz,höjd
124,Anhöhe::N,kukaz,backe
125,Berg::N,mägi,berg
126,Berg::N,mägi,fjäll
127,Gipfel::N,ladv,topp
128,Höhle::N,mägionduz,håla
129,Höhle::N,mägionduz,grotta
130,Abhang::N,paute,slänt
131,Abhang::N,paute,sluttning
132,Quelle::N,lähte,källa
133,Bach::N,oja,bäck
134,Fluss::N,jogi,älv
135,Fluss::N,jogi,flod
136,Ufer::N,rand,strand
137,Küste::N,randišt,kust
138,Festland::N,kuivma,fastland
139,Meer::N,meri,hav
140,Bucht::N,laht,vik
141,Bucht::N,laht,bukt
142,Insel::N,sar',ö
143,Blume::N,änik,blomma
144,Blume::N,änik,blomster
145,Gras::N,hein,gräs
146,Wurzel::N,jur',rot
147,Baum::N,pu,träd
148,Stamm::N,tüvi,stam
149,Rinde::N,kor',bark
150,Ast::N,oks,gren
151,Zweig::N,oks,kvist
152,Zweig::N,barb,kvist
153,Blatt::N,lehtez,löv
154,Blatt::N,lehtez,blad
155,Birke::N,koiv,björk
156,Kiefer[Baum]::N,pedai,tall
157,Weide[Baum]::N,raid,pil
158,Weide[Baum]::N,raid,vide
159,Tanne::N,kuz',gran
160,Horn::N,sar'v,horn
161,Feder::N,höuneh,fjäder
162,Fell::N,nahk,fäll
163,Fell::N,nahk,skinn
164,Flügel::N,suug,vinge
165,Klaue::N,künz',klöv
166,Kralle::N,künz',klo
167,Schwanz::N,händ,svans
168,Schwanz::N,händ,stjärt
169,Ei::N,muna,ägg
170,Nest::N,peza,rede
171,Nest::N,peza,näste
172,Bau::N,uru,bo
173,Tier::N,živat,djur
174,Herde::N,kogo,flock
175,Kuh::N,lehm,ko
176,Bulle::N,härg,tjur
177,Pferd::N,hebo,häst
178,Schaf::N,lambaz,får
179,Schwein::N,siga,svin
180,Hund::N,koir,hund
181,Katze::N,kaži,katt
182,Bär::N,kondi,björn
183,Eichhörnchen::N,orav,ekorre
184,Elch::N,hirb',älg
185,Fuchs::N,reboi,räv
186,Hase::N,jäniš,hare
187,Maus::N,hir',mus
188,Wolf::N,händikaz,varg
189,Vogel::N,lind,fågel
190,Schwarm::N,parveh,svärm
191,Huhn::N,kana,höns
192,Hahn::N,kukoi,tupp
193,Gans::N,hanh',gås
194,Adler::N,orl,örn
195,Ente::N,sorz,anka
196,Eule::N,hir'pulo,uggla
197,Kranich::N,kurg,trana
198,Krähe::N,variš,kråka
199,Kuckuck::N,kägi,gök
200,Schwan::N,joucen,svan
201,Fisch::N,kala,fisk
202,Barsch::N,ahven,abborre
203,Hecht::N,haug',gädda
204,Schlange[Tier]::N,kü,orm
205,Schlange[Tier]::N,mado,orm
206,Wurm::N,mado,mask
207,Spinne::N,hämähouk,spindel
208,Ameise::N,murahaine,myra
209,Laus::N,täi,lus
210,Mücke::N,säs'k,mygga
211,Fliege::N,kärbhaine,fluga
212,Schmetterling::N,lipkaine,fjäril
213,Beere::N,marj,bär
214,Apfel::N,jablok,äpple
215,Pilz::N,sen',svamp
216,Pilz::N,babuk,svamp
217,Zwiebel::N,lauk,lök
218,Saat::N,semned,sådd
219,Korn::N,jüvä,korn
220,Korn::N,vill',korn
221,Heu::N,hein,hö
222,Schale::N,kor',skal
