,Concept_ID,cy,ku
0,Auge::N,llygad,çav
1,Ohr::N,clust,guh
2,Nase::N,trwyn,bêvil
3,Mund::N,ceg,dev
4,Zahn::N,dant,didan
5,Zunge::N,tafod,ziman
6,Lippe::N,gwefus,lêv
7,Wange::N,boch,dêm
8,Wange::N,boch,hinarik
9,Gesicht::N,wyneb,rû
10,Stirn::N,talcen,enî
11,Haar::N,blew,por
12,Schnurrbart::N,mwstas,simbêl
13,Bart::N,barf,rih
14,Kinn::N,gên,zenî
15,Kiefer[Anatomie]::N,gên,arguşk
16,Kehle::N,gwddf,qirik
17,Hals::N,gwddf,stû
18,Hals::N,gwddf,qirik
19,Genick::N,gwar,stû
20,Genick::N,gwegil,stû
21,Kopf::N,pen,serî
22,Rücken::N,cefn,pişt
23,Bauch::N,bol,ûr
24,Bauch::N,bol,zik
25,Nabel::N,bogail,navik
26,Busen::N,bron,sîng
27,Brust::N,brest,sîng
28,Schulter::N,ysgwydd,mil
29,Arm::N,braich,çepil
30,Ellenbogen::N,penelin,enîşk
31,Hand::N,llaw,dest
32,Handfläche::N,palf,kefadest
33,Finger::N,bys,tilî
34,Fingernagel::N,ewin,neynuk
35,Nagel[Anatomie]::N,ewin,bizmar
36,Zeh::N,bys troed,tilî linga
37,Fuß::N,troed,ling
38,Ferse::N,sawdl,pahnî
39,Knie::N,glin,kabok
40,Oberschenkel::N,clun,rahn
41,Bein::N,coes,çip
42,Körper::N,corff,laş
43,Körper::N,corff,gowde
44,Haut::N,croen,çerm
45,Blut::N,gwaed,xwîn
46,Ader::N,gwythïen,reh
47,Sehne::N,gewyn,reh
48,Knochen::N,asgwrn,hestî
49,Gehirn::N,ymennydd,mêjî
50,Herz::N,calon,dil
51,Magen::N,cylla,navêş
52,Magen::N,stumog,navêş
53,Leber::N,iau,kezeb
54,Atem::N,anadl,hilm
55,Hunger::N,newyn,birçîtî
56,Träne::N,deigryn,hêstir
57,Geschmack::N,cyflas,tam
58,Geruch::N,aroglau,bêhn
59,Schlaf::N,cwsg,xew
60,Traum::N,breuddwyd,xewn
61,Himmel::N,awyr,ezman
62,Sonne::N,haul,roj
63,Mond::N,lleuad,heyv
64,Stern::N,seren,stêrk
65,Luft::N,awyr,ba
66,Wind::N,gwynt,ba
67,Welle::N,ton,şewl
68,Wasser::N,dŵr,av
69,Stein::N,carreg,kevir
70,Boden::N,llawr,herd
71,Erde::N,pridd,ax
72,Staub::N,llwch,toz
73,Rauch::N,mwg,dû
74,Funke::N,gwreichioni,çirûşk
75,Feuer::N,tân,agir
76,Licht::N,golau,ronahî
77,Schatten::N,cysgod,sî
78,Wetter::N,tywydd,hewa
79,Nebel::N,niwl,mij
80,Wolke::N,cwmwl,ewr
81,Regen::N,glaw,baran
82,Schnee::N,ôd,berf
83,Schnee::N,eira,berf
84,Eis::N,iâ,qeşa
85,Frost::N,rhew,xûsik
86,Kälte::N,oerni,serma
87,Kälte::N,annwyd,serma
88,Hitze::N,gwres,germayî
89,Raureif::N,barrug,şext
90,Regenbogen::N,enfys,heftreng
91,Donner::N,tyrfau,gire-gir
92,Strömung::N,cerrynt,şewl
93,Tropfen::N,dafn,dilop
94,Tropfen::N,diferyn,dilop
95,Schaum::N,ewyn,kef
96,Schmutz::N,baw,gemar
97,Schmutz::N,budreddi,gemar
98,See::N,llyn,gol
99,Sumpf::N,cors,hezek
100,Moor::N,rhos,mafêl
101,Wiese::N,dôl,sûrik
102,Wald::N,coedwig,çiya
103,Wald::N,coedwig,daristan
104,Hügel::N,bryn,gir
105,Anhöhe::N,bryn,sere gir
106,Berg::N,mynydd,kaş
107,Gipfel::N,copa,sere gir
108,Höhle::N,ogof,şikeft
109,Abhang::N,llethr,kaş
110,Quelle::N,tarddiad,kanî
111,Quelle::N,ffynhonnell,kanî
112,Bach::N,nant,çem
113,Bach::N,afonig,çem
114,Bach::N,cornant,çem
115,Fluss::N,afon,çem
116,Fluss::N,afon,rûbar
117,Ufer::N,glan,kevî
118,Küste::N,traeth,berav
119,Küste::N,arfordir,berav
120,Festland::N,tir,bejahî
121,Meer::N,môr,behr
122,Bucht::N,bae,derav
123,Insel::N,ynys,girav
124,Blume::N,blodyn,kulînk
125,Gras::N,glaswellt,giha
126,Wurzel::N,gwreiddyn,reh
127,Baum::N,coeden,dar
128,Stamm::N,colfen,bavik
129,Stamm::N,boncyff,bavik
130,Rinde::N,rhisgl,qaqil
131,Ast::N,cangen,gulî
132,Zweig::N,cainc,şax
133,Zweig::N,cangen,şax
134,Blatt::N,deilen,pel
135,Birke::N,bedwen,dara sipî
136,Kiefer[Baum]::N,pinwydden,dara bî
137,Weide[Baum]::N,helygen,dara belalûk
138,Tanne::N,ffynidwydden,merx
139,Horn::N,corn,strô
140,Feder::N,plufyn,pîrtîk
141,Fell::N,ffwr,heyar
142,Flügel::N,adain,per
143,Klaue::N,crafanc,napîk
144,Kralle::N,ewin,dinik
145,Kralle::N,ewin,dirnax
146,Schwanz::N,cwt,dûv
147,Schwanz::N,cynffon,dûv
148,Ei::N,wy,hêk
149,Nest::N,nyth,hêlîn
150,Bau::N,ffau,avahî
151,Tier::N,anifail,heywan
152,Herde::N,praidd,hoz
153,Herde::N,diadell,hoz
154,Kuh::N,buwch,çêlek
155,Bulle::N,tarw,ga
156,Pferd::N,ceffyl,hesp
157,Schaf::N,dafad,mîh
158,Schwein::N,mochyn,beraz
159,Hund::N,ci,seh
160,Katze::N,cath,pişîk
161,Bär::N,arth,hirç
162,Eichhörnchen::N,gwiwer,pilûr
163,Elch::N,elc,pazkovî
164,Fuchs::N,cadno,rovî
165,Hase::N,ysgyfarnog,kîroşk
166,Maus::N,llygoden,mişk
167,Wolf::N,blaidd,gur
168,Vogel::N,aderyn,çûk
169,Schwarm::N,haid,lufik
170,Huhn::N,cyw,mirîşk
171,Hahn::N,ceiliog,dîk
172,Gans::N,gŵydd,qaz
173,Adler::N,eryr,eylo
174,Ente::N,hwyad,werdek
175,Eule::N,tylluan,bûm
176,Eule::N,tylluan,kund
177,Kranich::N,garan,quling
178,Kranich::N,crychydd,quling
179,Krähe::N,brân,qijik
180,Kuckuck::N,cog,pepûk
181,Kuckuck::N,cwcw,pepûk
182,Schwan::N,alarch,qû
183,Fisch::N,pysgod,masî
184,Barsch::N,draenog,okûn
185,Hecht::N,penhwyad,mesîyê lûf
186,Schlange[Tier]::N,neidr,mar
187,Wurm::N,abwydyn,kurm
188,Wurm::N,pryf genwair,kurm
189,Spinne::N,cor,pîrê
190,Spinne::N,pryf copyn,pîrê
191,Ameise::N,morgrugyn,mîro
192,Ameise::N,morgrugyn,gêrîk
193,Laus::N,lleuen,spi
194,Mücke::N,gwybedyn,mêş
195,Fliege::N,cleren,mêş
196,Schmetterling::N,glöyn byw,perperîk
197,Schmetterling::N,iâr fach yr haf,perperîk
198,Beere::N,aeronen,hirç
199,Apfel::N,afal,sêv
200,Pilz::N,madarch,bîrov
201,Zwiebel::N,nionyn,pîvaz
202,Zwiebel::N,winwnsyn,pîvaz
203,Saat::N,had,tov
204,Korn::N,grawn,dexl
205,Heu::N,gwair,sap
206,Schale::N,croen,qaşik
207,Schale::N,plisgyn,qaşik
208,Grube::N,pwll,çahl
209,Grube::N,pydew,çahl
210,Falle::N,magl,dafik
211,Schlinge::N,cwlwm rhedeg,dahf
212,Spur::N,ôl,rêç
213,Asche::N,lludw,xweli
214,Dreck::N,baw,gemarî
215,Dreck::N,budreddi,gemarî
216,Eisen::N,haearn,hesing
217,Gold::N,aur,zêr
218,Silber::N,arian,zîv
219,Kohle::N,glo,komir
220,Glas::N,gwydr,qedeh
221,Lehm::N,clai,kelpîç
222,Sand::N,tywod,qûm
223,Mensch::N,dyn,mirov
224,Mann::N,dyn,mêr
225,Frau::N,merch,jin
226,Frau::N,gwraig,jin
227,Kind::N,plentyn,zarok
228,Junge::N,hogyn,kur
229,Junge::N,bachgen,kur
230,Mädchen::N,merch,keç
231,Mädchen::N,merch,keçik
232,Mädchen::N,geneth,keç
233,Mädchen::N,geneth,keçik
234,Familie::N,teulu,malbat
235,Familie::N,tylwyth,malbat
236,Großvater::N,taid,bapîr
237,Großvater::N,tad-cu,bapîr
238,Großmutter::N,nain,pîrik
239,Großmutter::N,mam-gu,pîrik
240,Eltern::N,rhieni,bavudê
241,Vater::N,tad,bav
242,Mutter::N,mam,dê
243,Mutter::N,mam,dayik
244,Sohn::N,mab,kur
245,Tochter::N,merch,keç
246,Bruder::N,brawd,bira
247,Schwester::N,chwaer,xweh
248,Onkel::N,ewythr,am
249,Onkel::N,ewythr,xal
250,Tante::N,modryb,metik
251,Tante::N,modryb,xaltîk
252,Ehemann::N,gŵr,mêr
253,Ehefrau::N,gwraig,kulfet
254,Freude::N,gorfoledd,kêfxweşî
255,Gelächter::N,chwerthin,pîrqînî
256,Glück::N,hapusrwydd,bext
257,Kummer::N,galar,derd
258,Wunsch::N,dymuniad,daxwaz
259,Wunsch::N,dymuniad,xwestek
260,Lust::N,chwant,şewq
261,Geist::N,ysbryd,aqil
262,Gedanke::N,meddwl,fikir
263,Gedächtnis::N,cof,aqil
264,Verstand::N,meddwl,fêm
265,Sinn::N,ystyr,aqil
266,Grund::N,achos,asas
267,Grund::N,rheswm,asas
268,Wahrheit::N,gwir,rastî
269,Wahrheit::N,gwirionedd,rastî
270,Gespräch::N,sgwrs,guftûgo
271,Märchen::N,chwedl werin,çirok
272,Erzählung::N,stori,çirok
273,Erzählung::N,stori,vegotin
274,Nachricht::N,neges,nûçe
275,Neuigkeit::N,newydd,hewal
276,Name::N,enw,nav
277,Name::N,enw,paşnav
278,Rätsel::N,pos,tiştonek
279,Rede::N,araith,gotar
280,Rede::N,araith,axavtin
281,Sprache::N,iaith,ziman
282,Stimme::N,llais,pejn
283,Wort::N,gair,gotin
284,Zeichen::N,arwydd,şanek
285,Ruf::N,galwad,hawar
286,Lärm::N,trwst,xarbalix
287,Laut::N,sain,deng
288,Laut::N,sain,hês
289,Ton::N,tôn,awaz
290,Lied::N,cân,sitran
291,Ruhe::N,tawelwch,rihetî
292,Leute::N,pobl,xelk
293,Volk::N,pobl,xelk
294,Arbeit::N,gwaith,xebat
295,Gast::N,gwestai,mêvan
296,Geschenk::N,rhodd,diyarî
297,Geschenk::N,anrheg,diyarî
298,Spiel::N,chwarae,lîstik
299,Gesellschaft::N,cwmni,komal
300,Hilfe::N,cymorth,alîkarî
301,Freund::N,cyfaill,heval
302,Kamerad::N,cydymaith,heval
303,Angelegenheit::N,pwnc,pirsgirêk
304,Anzahl::N,cyfrif,çend
305,Art::N,bath,çeh
306,Stück::N,darn,lib
307,Stück::N,darn,parçe
308,Teil::N,rhan,parçe
309,Hälfte::N,hanner,nîvî
310,Kreis::N,cylch,çemil
311,Kreuz::N,croes,xaç
312,Linie::N,llinell,xezik
313,Strich::N,strôc,xezik
314,Strich::N,trawiad,xezik
315,Abstand::N,bwlch,dûrahî
316,Abstand::N,pellter,dûrahî
317,Entfernung::N,pellter,dûrahî
318,Gegend::N,cylch,dever
319,Platz::N,lle,çih
320,Ort::N,lle,dever
321,Seite::N,ochr,rûpel
322,Mitte::N,canol,nav
323,Mitte::N,canol,nabênê
324,Gegenstand::N,eitem,tişt
325,Sache::N,peth,tişt
326,Rand::N,cwr,kevî
327,Rand::N,ymyl,kevî
328,Kante::N,min,kevî
329,Kante::N,ymyl,kevî
330,Ecke::N,cornel,qunç
331,Spitze::N,blaen,derzî
332,Ende::N,pen,talî
333,Loch::N,twll,qul
334,Winkel::N,congl,kurnîşk
335,Muster::N,patrwm,desen
336,Größe::N,maint,mezinî
337,Größe::N,maintioli,mezinî
338,Länge::N,hyd,dirêjahî
339,Höhe::N,uchder,bilindayî
340,Gewicht::N,pwysau,giranî
341,Menge::N,swm,qas
342,Menge::N,maint,qas
343,Haufen::N,pentwr,lod
344,Reihe::N,rhes,rêz
345,Boot::N,cwch,kelek
346,Ruder::N,rhwyf,bêrik
347,Schlitten::N,sled,xîjik
348,Schlitten::N,car llusg,xîjik
349,Ski::N,sgi,lakan
350,Lagerfeuer::N,coelcerth,agir
351,Last::N,llwyth,bar
352,Gang::N,tro,fîtêz
353,Schritt::N,cam,gav
354,Norden::N,gogledd,bakur
355,Süden::N,de,başur
356,Westen::N,gorllewin,rojava
357,Osten::N,dwyrain,rojhilat
358,Holz::N,pren,dep
359,Brett::N,bwrdd,dep
360,Brett::N,astell,dep
361,Platte::N,llech,dep
362,Stütze::N,ateg,destek
363,Stütze::N,cynhalydd,destek
364,Stange::N,polyn,sing
365,Stock::N,ffon,çam
366,Stock::N,brigyn,çam
367,Stab::N,ffon,qat
368,Rohr::N,pibell,borî
369,Haus::N,tŷ,mal
370,Haus::N,tŷ,xanî
371,Heim::N,cartref,mal
372,Ofen::N,stof,sobe
373,Fußboden::N,llawr,binpê
374,Tisch::N,bwrdd,mase
375,Stuhl::N,cadair,kursî
376,Wiege::N,crud,derguş
377,Bett::N,gwely,qerewêle
378,Regal::N,silff,rêbaz
379,Kiste::N,bocs,sindoq
380,Kiste::N,blwch,sindoq
381,Fenster::N,ffenestr,çam
382,Fenster::N,ffenestr,şibeke
383,Tür::N,drws,derî
384,Tor::N,porth,derge
385,Zaun::N,ffens,hejik
386,Dach::N,to,sere xanî
387,Leiter::N,ysgol,pêling
388,Besen::N,ysgub,melkes
389,Spaten::N,rhaw,mer
390,Schaufel::N,rhaw,bêr
391,Gabel::N,fforc,çetel
392,Löffel::N,llwy,kevçî
393,Messer::N,cyllell,kêr
394,Nagel::N,hoel,bizmar
395,Netz::N,gwe,tor
396,Netz::N,rhwyd,tor
397,Haken::N,bach,çenqel
398,Griff::N,carn,destî
399,Schloss::N,clo,qonax
400,Bild::N,llun,dimen
401,Bild::N,pictiwr,dimen
402,Figur::N,ffigur,figûr
403,Puppe::N,dol,bûk
404,Beutel::N,cwd,kîsik
405,Bündel::N,bwndel,pêçek
406,Bündel::N,coflaid,pêçek
407,Tasche::N,cod,bêrîk
408,Eimer::N,bwced,dewl
409,Eimer::N,cunnog,dewl
410,Deckel::N,caead,devik
411,Geschirr::N,llestri,ferax
412,Sack::N,sach,tûr
413,Tasse::N,cwpan,kada
414,Topf::N,pot,beroş
415,Topf::N,crochan,beroş
416,Kessel::N,tegell,şîril
417,Essen::N,pryd o fwyd,xwarin
418,Nahrung::N,bwyd,xwarin
419,Speise::N,saig,xwarin
420,Fleisch::N,cig,goşt
421,Getreide::N,ŷd,zad
422,Getreide::N,llafur,zad
423,Brei::N,uwd,hewdêl
424,Brot::N,bara,
425,Scheibe::N,tafell,parçe
426,Fett::N,saim,rûn
427,Fett::N,braster,rûn
428,Butter::N,ymenyn,rûn
429,Öl::N,olew,rûn
430,Salz::N,halen,xwe
431,Suppe::N,cawl,şorbe
432,Honig::N,mêl,hingiv
433,Milch::N,llaeth,şîr
434,Milch::N,llefrith,şîr
435,Tee::N,te,çay
436,Leder::N,lledr,çerm
437,Wolle::N,gwlân,herî
438,Stoff::N,lliain,paç
439,Stoff::N,brethyn,paç
440,Nadel::N,nodwydd,derzî
441,Faden::N,edau,ta
442,Faden::N,edefyn,ta
443,Knopf::N,botwm,bişkok
444,Knoten::N,cwlwm,girêk
445,Farbe::N,paent,boyax
446,Kleidung::N,dillad,çil
447,Kleidung::N,gwisgoedd,çil
448,Hemd::N,crys,qutik
449,Hemd::N,crys,miltan
450,Kragen::N,coler,stûvang
451,Ärmel::N,llawes,hûçik
452,Hose::N,trowsus,şewel
453,Gürtel::N,gwregys,qayiş
454,Mütze::N,cap,fîno
455,Schuh::N,esgid,şêkal
456,Stiefel::N,botasen,gizme
457,Stiefel::N,botasen,çizme
458,Ring::N,modrwy,xelek
459,Band::N,rhuban,band
460,Kamm::N,crib,şeh
461,Spiegel::N,drych,eynik
462,Riemen::N,strap,qayiş
463,Schnur::N,llinyn,doxin
464,Leine::N,tennyn,şirît
465,Decke::N,blanced,bataniye
466,Decke::N,gwrthban,bataniye
467,Kissen::N,clustog,balgî
468,Kissen::N,gobennydd,balgî
469,Tuch::N,sgarff,şar
470,Handtuch::N,tywel,dezmal
471,Handtuch::N,lliain sychu,dezmal
472,Kraft::N,grym,hêz
