,Concept_ID,uz,ml
0,Auge::N,ko'z,കണ്ണ്
1,Ohr::N,quloq,ചെവി
2,Nase::N,burun,മൂക്ക്
3,Mund::N,og'iz,വായ
4,Zahn::N,tish,പല്ല്
5,Zunge::N,til,നാക്ക്
6,Lippe::N,dudoq,ചുണ്ട്
7,Wange::N,bet,കവിൾത്തടം
8,Gesicht::N,yuz,മുഖം
9,Stirn::N,manglay,നെറ്റി
10,Haar::N,soch,തലമുടി
11,Schnurrbart::N,mo'ylov,മീശ
12,Bart::N,soqol,താടിരോമം
13,Kinn::N,ängak,താടി
14,Kiefer[Anatomie]::N,iyak,താടിയെല്ല്
15,Kehle::N,bo'g'iz,കണ്ഠനാളം
16,Hals::N,bo'yin,കഴുത്ത്
17,Genick::N,gardan,പിടലി
18,Kopf::N,bosh,തല
19,Rücken::N,orqa,മുതുക്
20,Bauch::N,qorin,നയറ്
21,Nabel::N,kindik,നാഭി
22,Busen::N,ämchak,സ്തനം
23,Brust::N,ko'krak,സ്തനം
24,Schulter::N,elka,തോൾ
25,Arm::N,bilak,കൈ
26,Ellenbogen::N,tirsak,കൈമുട്ട്
27,Hand::N,qo'l,കൈ
28,Handfläche::N,kaft,ഉള്ളം കൈ
29,Finger::N,barmoq,വിരൽ
30,Fingernagel::N,tirnoq,നഖം
31,Nagel[Anatomie]::N,tirnoq,നഖം
32,Zeh::N,oyoq barmog'i,കാൽവിരൽ
33,Fuß::N,oyoq,കാൽപ്പാദം
34,Ferse::N,tovon,ഉപ്പൂറ്റി
35,Knie::N,tiz,കാൽമുട്ട്
36,Oberschenkel::N,son,തുട
37,Bein::N,oyoq,കാൽ
38,Körper::N,badna,ശരീരം
39,Haut::N,teri,ചർമ്മം
40,Blut::N,qon,രക്തം
41,Ader::N,qon tomir,ഞരമ്പ്
42,Sehne::N,tomir,സ്നായു
43,Knochen::N,suyak,അസ്ഥി
44,Gehirn::N,miya,തലച്ചോറ്
45,Herz::N,qalb,ഹൃദയം
46,Magen::N,oshqozon,വയർ
47,Leber::N,bag'ir,കരൾ
48,Atem::N,dam,ശ്വാസം
49,Hunger::N,ochlik,വിശപ്പ്
50,Träne::N,yosh,കണ്ണീർ
51,Geschmack::N,tam,രുചി
52,Geruch::N,jid,ഗന്ധം
53,Schlaf::N,uyqu,ഉറകും
54,Traum::N,tush,സ്വപ്നം
55,Himmel::N,osmon,ആകാശം
56,Sonne::N,quyosh,സൂര്യൻ
57,Mond::N,oy,ചന്ദ്രൻ
58,Stern::N,yulduz,നക്ഷത്രം
59,Luft::N,havo,കാറ്റ്
60,Wind::N,el,കാറ്റ്
61,Welle::N,to'lqin,തിരമാല
62,Wasser::N,suv,വെള്ളം
63,Stein::N,tosh,ശില
64,Stein::N,tosh,കല്ല്
65,Boden::N,tuproq,തറ
66,Boden::N,tuproq,നിലം
67,Erde::N,er,മണ്ണ്
68,Staub::N,chang,പൊടി
69,Rauch::N,tutun,പുക
70,Funke::N,yalt,തീപ്പൊരി
71,Feuer::N,o't,തീ
72,Licht::N,yorug',വിളക്ക്
73,Licht::N,yorug',സൂര്യപ്രകാശം
74,Schatten::N,soya,തണൽ
75,Wetter::N,havo,കാലാവസ്ഥ
76,Nebel::N,tuman,മൂടൽമഞ്ഞ്
77,Wolke::N,bulut,മേഘം
78,Regen::N,yomg'ir,മഴ
79,Schnee::N,qor,മഞ്ഞ്
80,Eis::N,muz,ഐസ്
81,Frost::N,ajoz,മൂടൽമഞ്ഞ്
82,Kälte::N,ajoz,തണുപ്പ്
83,Hitze::N,issiq,ചൂട്
84,Raureif::N,qirov,കോടമഞ്ഞ്
85,Regenbogen::N,kamalak,മഴവില്ല്
86,Donner::N,guldur,ഇടി
87,Strömung::N,oqim,പ്രവാഹം
88,Tropfen::N,tomchi,തുള്ളി
89,Schaum::N,ko'pik,നുര
90,Schmutz::N,gard,അഴുക്ക്
91,See::N,ko'l,തടാകം
92,Sumpf::N,botqoq,ചതുപ്പുനിലം
93,Moor::N,qir-adir,പാഴ്നിലം
94,Wiese::N,o'tzor,പുൽത്തകിടി
95,Wald::N,o'rmon,വനം
96,Wald::N,o'rmon,കാട്
97,Hügel::N,tepa,കുന്ന്
98,Anhöhe::N,adir,ഉയർന്ന ഭൂമി
99,Berg::N,tog',പർവ്വതം
100,Gipfel::N,cho'qqi,ഉച്ചകോടി
101,Höhle::N,kavak,ഗുഹ
102,Abhang::N,to'sh,ചരിവ്
103,Quelle::N,buloq,ഉറവിടം
104,Bach::N,o'zan,അരുവി
105,Fluss::N,daryo,നദി
106,Ufer::N,sohil,തീരം
107,Küste::N,qirg'oq,കടൽത്തീരം
108,Festland::N,materik,കര
109,Meer::N,dengiz,കടൽ
110,Bucht::N,qo'ltiq,ഉൾക്കടല്
111,Insel::N,orol,ദ്വീപ്
112,Blume::N,gul,പൂവ്
113,Gras::N,sabza,പുല്ല്
114,Wurzel::N,tub,വേര്
115,Wurzel::N,tomir,വേര്
116,Baum::N,daraxt,മരം
117,Stamm::N,o'simta,തായ്ത്തടി
118,Rinde::N,qobiq,പട്ട
119,Ast::N,shox,ശാഖ
120,Zweig::N,butoq,ശാഖ
121,Blatt::N,barg,ഇല
122,Birke::N,qayin,പൂവരശ്
123,Kiefer[Baum]::N,qarag'ay,പൈൻമരം
124,Weide[Baum]::N,shum,വില്ലോ
125,Tanne::N,archa,ദേവദാരു
126,Horn::N,mugiz,മൃഗത്തിൻറെ കൊമ്പ്
127,Feder::N,par,തൂവൽ
128,Fell::N,mo'yna,മൃദുരോമം
129,Flügel::N,qanot,ചിറക്
130,Klaue::N,tirnoq,നഖം
131,Kralle::N,tirnoq,നഖം
132,Schwanz::N,quyruq,വാൽ
133,Ei::N,tuxum,മുട്ട
134,Nest::N,oshyon,കൂട്
135,Bau::N,o'pqon,മാളം
136,Tier::N,hayvon,മൃഗം
137,Herde::N,gala,കൂട്ടം
138,Kuh::N,inak,പശു
139,Bulle::N,ho'kiz,കാള
140,Pferd::N,ot,കുതിര
141,Schaf::N,qo'y,ആട്
142,Schwein::N,cho'chqa,പന്നി
143,Hund::N,it,നായ്
144,Katze::N,mushuk,പൂച്ച
145,Bär::N,ayiq,കരടി
146,Eichhörnchen::N,tiyin,അണ്ണാൻ
147,Elch::N,los,കടമാന്
148,Fuchs::N,tulki,കുറുക്കൻ
149,Hase::N,kuyon,മുയൽ
150,Maus::N,sichqon,ചുണ്ടലി
151,Wolf::N,bo'ri,ചെന്നായ
152,Vogel::N,qush,പക്ഷി
153,Schwarm::N,to'da,കൂട്ടം
154,Huhn::N,tovuq,കോഴി
155,Hahn::N,xo'roz,പൂവൻകോഴി
156,Gans::N,g'oz,അരയന്നം
157,Adler::N,burgut,കഴുകൻ
158,Ente::N,o'rdak,താറാവ്
159,Eule::N,boyo'g'li,മൂങ്ങ
