,Concept_ID,pl,ro
0,Auge::N,oko,ochi
1,Ohr::N,ucho,ureche
2,Nase::N,nos,nas
3,Mund::N,usta,gură
4,Zahn::N,ząb,dinte
5,Zunge::N,język,limbă
6,Lippe::N,warga,buză
7,Wange::N,policzek,bucă
8,Wange::N,policzek,obraz
9,Gesicht::N,twarz,față
10,Gesicht::N,twarz,figură
11,Stirn::N,czoło,frunte
12,Haar::N,włos,păr
13,Haar::N,włosy,păr
14,Schnurrbart::N,wąsy,mustață
15,Bart::N,broda,barbă
16,Kinn::N,podbródek,bărbie
17,Kiefer[Anatomie]::N,czeluść,falcă
18,Kehle::N,gardło,beregată
19,Hals::N,szyja,gât
20,Genick::N,kark,ceafă
21,Kopf::N,głowa,cap
22,Rücken::N,plecy,dos
23,Rücken::N,plecy,spate
24,Rücken::N,plecy,spinare
25,Rücken::N,grzbiet,dos
26,Rücken::N,grzbiet,spate
27,Rücken::N,grzbiet,spinare
28,Bauch::N,brzuch,burtă
29,Bauch::N,brzuch,pântece
30,Nabel::N,pępek,buric
31,Busen::N,biust,sân
32,Brust::N,pierś,piept
33,Schulter::N,bark,umăr
34,Schulter::N,bark,spate
35,Schulter::N,ramię,umăr
36,Schulter::N,ramię,spate
37,Arm::N,ręka,braț
38,Arm::N,ramię,braț
39,Ellenbogen::N,łokieć,cot
40,Hand::N,dłoń,mână
41,Handfläche::N,dłoń,palmă
42,Finger::N,palec,deget
43,Fingernagel::N,paznokieć,unghie
44,Nagel[Anatomie]::N,paznokieć,unghie
45,Zeh::N,palec,deget de la picior
46,Fuß::N,stopa,picior
47,Ferse::N,pięta,călcâi
48,Knie::N,kolano,genunchi
49,Oberschenkel::N,udo,coapsă
50,Bein::N,noga,picior
51,Körper::N,ciało,corp
52,Haut::N,skóra,piele
53,Blut::N,krew,sânge
54,Ader::N,żyła,vână
55,Ader::N,żyła,arteră
56,Sehne::N,ścięgno,tendon
57,Knochen::N,kość,os
58,Gehirn::N,mózg,creier
59,Herz::N,serce,inimă
60,Magen::N,żołądek,stomac
61,Leber::N,wątroba,ficat
62,Atem::N,dech,răsuflare
63,Atem::N,dech,respirație
64,Atem::N,oddech,răsuflare
65,Atem::N,oddech,respirație
66,Hunger::N,głód,foame
67,Träne::N,łza,lacrimă
68,Geschmack::N,smak,gust
69,Geruch::N,woń,miros
70,Geruch::N,zapach,miros
71,Schlaf::N,sen,somn
72,Traum::N,sen,vis
73,Himmel::N,niebo,cer
74,Sonne::N,słońce,soare
75,Mond::N,księżyc,lună
76,Stern::N,gwiazda,stea
77,Luft::N,powietrze,aer
78,Wind::N,wiatr,vânt
79,Welle::N,fala,val
80,Welle::N,fala,undă
81,Wasser::N,woda,apă
82,Stein::N,kamień,piatră
83,Boden::N,grunt,sol
84,Boden::N,grunt,pământ
85,Erde::N,ziemia,pământ
86,Staub::N,pył,praf
87,Staub::N,kurz,praf
88,Rauch::N,dym,fum
89,Funke::N,iskra,scânteie
90,Feuer::N,ogień,foc
91,Licht::N,światło,lumină
92,Schatten::N,cień,umbră
93,Wetter::N,pogoda,timp
94,Wetter::N,pogoda,vreme
95,Nebel::N,mgła,ceață
96,Nebel::N,mgła,negură
97,Wolke::N,obłok,nor
98,Wolke::N,chmura,nor
99,Regen::N,deszcz,ploaie
100,Schnee::N,śnieg,zăpadă
101,Eis::N,lód,gheață
102,Frost::N,mróz,ger
103,Kälte::N,chłód,frig
104,Hitze::N,gorąco,arșiță
105,Hitze::N,gorąco,căldură
106,Raureif::N,szron,chiciură
107,Regenbogen::N,tęcza,curcubeu
108,Donner::N,grzmot,tunet
109,Strömung::N,nurt,curent
110,Tropfen::N,kropla,picătură
111,Schaum::N,piana,spumă
112,Schmutz::N,brud,murdărie
113,See::N,jezioro,lac
114,Sumpf::N,bagno,mlaștină
115,Moor::N,bagno,bărăgan
116,Wiese::N,łąka,fânaț
117,Wiese::N,łąka,livadă
118,Wald::N,las,codru
119,Wald::N,las,pădure
120,Hügel::N,pagórek,deal
121,Hügel::N,pagórek,movilă
122,Anhöhe::N,wzgórze,deal
123,Anhöhe::N,wzgórze,ridicătură
124,Berg::N,góra,munte
125,Gipfel::N,szczyt,pisc
126,Gipfel::N,wierzchołek,pisc
127,Höhle::N,pieczara,peșteră
128,Abhang::N,stok,pantă
129,Abhang::N,stok,versant
130,Abhang::N,zbocze,pantă
131,Abhang::N,zbocze,versant
132,Quelle::N,zdrój,izvor
133,Quelle::N,źródło,izvor
134,Bach::N,potok,gârlă
135,Bach::N,strumień,gârlă
136,Fluss::N,rzeka,râu
137,Fluss::N,rzeka,fluviu
138,Ufer::N,brzeg,mal
139,Ufer::N,brzeg,țărm
140,Küste::N,wybrzeże,coastă
141,Festland::N,ląd,uscat
142,Meer::N,morze,mare
143,Bucht::N,zatoka,golf
144,Insel::N,wyspa,insulă
145,Blume::N,kwiat,floare
146,Gras::N,trawa,iarbă
147,Wurzel::N,korzeń,rădăcină
148,Baum::N,drzewo,copac
149,Baum::N,drzewo,arbore
150,Stamm::N,pień,tulpină
151,Rinde::N,kora,scoarță
152,Ast::N,gałąź,cracă
153,Ast::N,gałąź,creangă
154,Zweig::N,gałąź,ramură
155,Zweig::N,gałąź,creangă
156,Blatt::N,liść,frunză
157,Birke::N,brzoza,mesteacăn
158,Kiefer[Baum]::N,sosna,pin
159,Weide[Baum]::N,wierzba,salcie
160,Weide[Baum]::N,wierzba,răchită
161,Tanne::N,jodła,brad
162,Horn::N,róg,corn
163,Feder::N,pióro,pană
164,Fell::N,futro,piele
165,Flügel::N,skrzydło,aripă
166,Klaue::N,szpon,gheară
167,Kralle::N,pazur,labă
168,Kralle::N,pazur,gheară
169,Schwanz::N,ogon,coadă
170,Ei::N,jajko,ou
171,Nest::N,gniazdo,cuib
172,Bau::N,nora,bârlog
173,Bau::N,nora,vizuină
174,Tier::N,zwierzę,animal
175,Herde::N,stado,turmă
176,Herde::N,stado,cireadă
177,Herde::N,trzoda,turmă
178,Herde::N,trzoda,cireadă
179,Kuh::N,krowa,vacă
180,Bulle::N,byk,taur
181,Pferd::N,koń,cal
182,Schaf::N,owca,oaie
183,Schwein::N,świnia,porc
184,Hund::N,pies,câine
185,Katze::N,kot,pisică
186,Katze::N,kotka,pisică
187,Bär::N,niedźwiedż,urs
188,Eichhörnchen::N,wiewiórka,veveriță
189,Elch::N,łóś,elan
190,Fuchs::N,lis,vulpe
191,Hase::N,zając,iepure
192,Maus::N,mysz,șoarece
193,Wolf::N,wilk,lup
194,Vogel::N,ptak,pasăre
195,Schwarm::N,stado,cârd
196,Huhn::N,kura,găină
197,Hahn::N,kogut,cocoș
198,Gans::N,gęś,gâscă
199,Adler::N,orzeł,vultur
200,Ente::N,kaczka,rață
201,Eule::N,sowa,bufniță
202,Kranich::N,żuraw,cocor
203,Krähe::N,wrona,cioară
204,Kuckuck::N,kukułka,cuc
205,Schwan::N,łabędż,lebădă
