,Concept_ID,lez,az
0,Auge::N,вил,göz
1,Ohr::N,яб,qulaq
2,Nase::N,нер,burun
3,Mund::N,сив,ağız
4,Zahn::N,сас,diş
5,Zahn::N,свах,diş
6,Zunge::N,мез,dil
7,Lippe::N,пӏуз,dodaq
8,Wange::N,хъвехъ,yanaq
9,Gesicht::N,ччин,üz
10,Stirn::N,пел,alın
11,Haar::N,чӏар,saç
12,Schnurrbart::N,спел,bığ
13,Schnurrbart::N,спелар,bığ
14,Bart::N,ччуру,saqqal
15,Kinn::N,чене,çənə
16,Kiefer[Anatomie]::N,чене,çənə
17,Kehle::N,туьд,boğaz
18,Hals::N,гардан,boyun
19,Genick::N,кьам,ənsə
20,Kopf::N,кьил,baş
21,Rücken::N,далу,bel
22,Bauch::N,руфун,qarın
23,Nabel::N,пицӏ,göbək
24,Busen::N,мам,məmə
25,Brust::N,хур,döş
26,Schulter::N,къуьн,çiyin
27,Arm::N,гъил,qol
28,Ellenbogen::N,кьуьнт,dirsək
29,Hand::N,капаш,əl
30,Handfläche::N,капан юкь,ovuc
31,Finger::N,тӏуб,barmaq
32,Fingernagel::N,кек,barmaq dırnağı
33,Nagel[Anatomie]::N,кек,dırnak
34,Zeh::N,кул,ayaq barmağı
35,Fuß::N,кӏвач,ayaq
36,Ferse::N,дабан,daban
37,Knie::N,мет,diz
38,Bein::N,кӏвач,qıç
39,Körper::N,беден,əndam
40,Haut::N,хам,dəri
41,Blut::N,иви,qan
42,Ader::N,дамар,damar
43,Sehne::N,кьуру дамар,vətər
44,Knochen::N,кӏараб,sümük
45,Gehirn::N,мефт,beyin
46,Herz::N,рикӏ,ürək
47,Magen::N,хук,mədə
48,Leber::N,лекь,qara ciyər
49,Atem::N,ял,nəfəs
50,Atem::N,нефес,nəfəs
51,Hunger::N,каш,aclıq
52,Träne::N,вилин нагъв,göz yaşı
53,Geschmack::N,дад,tam
54,Geschmack::N,дад,ləzzət
55,Geschmack::N,тӏям,tam
56,Geschmack::N,тӏям,ləzzət
57,Geruch::N,ни,qoxu
58,Schlaf::N,ахвар,yuxu
59,Traum::N,ахвар,röya
60,Himmel::N,цав,göy
61,Himmel::N,цав,səma
62,Sonne::N,рагъ,günəş
63,Mond::N,варз,ay
64,Stern::N,гъед,ulduz
65,Luft::N,гьава,hava
66,Wind::N,гар,yel
67,Wind::N,гар,külək
68,Welle::N,лепе,dalğa
69,Wasser::N,яд,su
70,Stein::N,къван,daş
71,Boden::N,накьв,yer
72,Boden::N,накьв,zəmin
73,Erde::N,ччил,yer torpaq
74,Staub::N,руг,toz
75,Rauch::N,гум,tüstü
76,Funke::N,цӏелхем,qığılcım
77,Feuer::N,цӏай,od
78,Licht::N,экв,işıq
79,Schatten::N,серин,kölgə
80,Wetter::N,гьава,hava
81,Nebel::N,ччилин циф,duman
82,Wolke::N,циф,bulud
83,Regen::N,марф,yağış
84,Regen::N,марф,yağmur
85,Schnee::N,жив,qar
86,Eis::N,мурк,buz
87,Frost::N,аяз,ayaz
88,Kälte::N,мекь,soyuq
89,Kälte::N,мекьивал,soyuq
90,Hitze::N,зегьем,coşğunluq
91,Raureif::N,къирав,qırov
92,Regenbogen::N,яргъируш,göy qurşağı
93,Donner::N,цавун ван,göy gurultusu
94,Tropfen::N,стӏал,damcı
95,Schaum::N,каф,köpük
96,Schmutz::N,чирк,çamır
97,Schmutz::N,кьуруш,çamır
98,See::N,вир,göl
99,Sumpf::N,уьлен,bataqlıq
100,Wiese::N,векь,çəmən
101,Wald::N,там,meşə
102,Hügel::N,кӏунтӏ,təpə
103,Anhöhe::N,тепе,təpə
104,Anhöhe::N,гьуьндуьрвал,təpə
105,Berg::N,дагъ,dağ
106,Gipfel::N,кӏукӏ,zirvə
107,Höhle::N,кьветӏ,mağara
108,Abhang::N,гуьне,yamac
109,Quelle::N,чешме,bulaq
110,Bach::N,булах,kiçik çay
111,Fluss::N,вацӏ,çay
112,Ufer::N,къерех,kənar
113,Küste::N,къерех,sahil
114,Festland::N,кьурамат,materik
115,Meer::N,гьуьл,dəniz
116,Bucht::N,бухта,körfəz
117,Insel::N,остров,ada
118,Blume::N,цуьк,çiçək
119,Gras::N,хъач,ot
120,Wurzel::N,дувул,kök
121,Baum::N,ттар,ağac
122,Stamm::N,тан,gövdə
123,Rinde::N,чкал,qabıq
124,Ast::N,тӏур,şax
125,Zweig::N,хел,budaq
126,Blatt::N,пеш,yarpaq
127,Birke::N,верх,tozağacı
128,Kiefer[Baum]::N,шамагъаж,şam
129,Weide[Baum]::N,цӏвелин ттар,söyüd
130,Tanne::N,ель,küknar
131,Horn::N,карч,buynuz
132,Feder::N,цӏакул,tük
133,Feder::N,цӏакул,lələk
134,Fell::N,хам,xəz
135,Flügel::N,лув,qanad
136,Klaue::N,къармах,pəncə
137,Kralle::N,пац,dırnaq
138,Kralle::N,тапас,dırnaq
139,Schwanz::N,ттум,quyruq
140,Ei::N,кака,yumurta
141,Nest::N,муг,yuva
142,Bau::N,тӏеквен,yuva
143,Tier::N,гьайван,heyvan
144,Herde::N,суьруь,sürü
145,Kuh::N,ккал,inək
146,Bulle::N,яц,öküz
147,Bulle::N,бугъа,öküz
148,Pferd::N,балкӏан,at
149,Schaf::N,хеб,qoyun
150,Schwein::N,вак,donuz
151,Hund::N,кицӏ,it
152,Hund::N,кицӏ,köpək
153,Katze::N,кац,pişik
154,Bär::N,сев,ayı
155,Eichhörnchen::N,белка,dələ
156,Elch::N,лось,sığın
157,Fuchs::N,сикӏ,tülkü
158,Hase::N,къуьр,dovşan
159,Maus::N,кьиф,siçan
160,Wolf::N,жанавур,qurd
161,Vogel::N,луван ничхир,quş
162,Schwarm::N,луж,sürü
163,Huhn::N,верч,toyuq
164,Hahn::N,кӏек,xoruz
165,Gans::N,къаз,qaz
166,Adler::N,лекь,qartal
167,Adler::N,лекь,qaraquş
168,Ente::N,пӏатӏ,ördək
169,Eule::N,тӏиб,bayquş
170,Kranich::N,дурна,durna
171,Krähe::N,къаргъа,qarğa
172,Kuckuck::N,кукупӏ,ququ
173,Schwan::N,къугь,qu quşu
174,Fisch::N,гъед,balıq
175,Barsch::N,окунь,tar
176,Hecht::N,щука,durnabalığı
177,Schlange[Tier]::N,илан,ilan
178,Schlange[Tier]::N,гъуьлягъ,ilan
179,Wurm::N,квак,qurd
180,Spinne::N,хуьшрекан,hörümçək
181,Ameise::N,цегв,qarışqa
182,Laus::N,нет,bit
183,Mücke::N,ветӏ,ağcaqanad
184,Fliege::N,тӏветӏ,milçək
185,Schmetterling::N,чепелукь,kəpənək
186,Beere::N,куьлуь емиш,gilə
187,Apfel::N,ич,alma
188,Pilz::N,къарникъуз,göbələk
189,Zwiebel::N,чичӏек,soğan
190,Saat::N,тумар,əkin
191,Korn::N,твар,taxıl
192,Heu::N,векь,quru ot
193,Heu::N,векьер,quru ot
194,Schale::N,пириш,qabıq
195,Schale::N,хъуьруьш,qabıq
196,Grube::N,фур,çuxur
197,Falle::N,ракьар,tələ
198,Falle::N,ракьар,duzaq
199,Schlinge::N,гьалкъа,ilmək
200,Spur::N,гел,iz
201,Asche::N,руьхъ,kül
202,Dreck::N,чирк,kir
203,Dreck::N,кьуруш,kir
204,Eisen::N,ракь,dəmir
205,Gold::N,алтун,altun
206,Silber::N,гимиш,gümüş
207,Kohle::N,цӏивин,kömür
208,Glas::N,шуьше,şüşə
209,Lehm::N,ччеб,gil
210,Lehm::N,ччеб,palçıq
211,Sand::N,къум,qum
212,Mensch::N,инсан,adam
213,Mensch::N,инсан,insan
214,Mann::N,итим,kişi
215,Frau::N,паб,qadın
216,Frau::N,дишегьли,qadın
217,Kind::N,аял,uşaq
218,Junge::N,гада,oğlan
219,Mädchen::N,руш,qız
220,Familie::N,хзан,ailə
221,Familie::N,килфет,ailə
222,Großvater::N,чӏехи буба,baba
223,Großmutter::N,чӏехи диде,nənə
224,Eltern::N,диде-буба,valideyn
225,Vater::N,буба,ata
226,Mutter::N,диде,ana
227,Sohn::N,хва,oğul
228,Tochter::N,руш,qız
229,Bruder::N,стха,qardaş
230,Schwester::N,вах,bacı
231,Onkel::N,ими,əmi
232,Onkel::N,ими,dayı
233,Onkel::N,халу,əmi
234,Onkel::N,халу,dayı
235,Tante::N,эме,bibi
236,Tante::N,хала,bibi
237,Ehemann::N,гъуьл,ər
238,Ehefrau::N,паб,arvad
239,Freude::N,шадвал,nəşə
240,Freude::N,шадвал,sevinc
241,Gelächter::N,хъвер,gülüş
242,Gelächter::N,хъвер,qəhqəhə
243,Glück::N,бахт,səadət
244,Glück::N,бахт,xoşbəxtlik
245,Kummer::N,дерт,qəm
246,Kummer::N,дерт,kədər
247,Kummer::N,хажалат,qəm
248,Kummer::N,хажалат,kədər
249,Wunsch::N,мурад,arzu
250,Lust::N,гьевес,həvəs
251,Geist::N,руьгь,ruh
252,Gedanke::N,фикир,fikir
253,Gedanke::N,фикир,düşüncə
254,Verstand::N,акьул,ağıl
255,Sinn::N,мана,məna
256,Grund::N,себеб,səbəb
257,Wahrheit::N,керчек,haqq
258,Wahrheit::N,керчек,doğruluq
259,Wahrheit::N,гьакъикъат,haqq
260,Wahrheit::N,гьакъикъат,doğruluq
261,Gespräch::N,ихтилат,söhbət
262,Gespräch::N,ихтилат,qonuşma
263,Märchen::N,мах,nağıl
264,Erzählung::N,кьиса,hekayə
265,Nachricht::N,хабар,xəbər
266,Neuigkeit::N,цӏийи хабар,xəbər
267,Neuigkeit::N,цӏийи хабар,yenilik
268,Name::N,тӏвар,ad
269,Rätsel::N,мискӏал,tapmaca
270,Rede::N,рахун,nitq
271,Sprache::N,чӏал,dil
272,Stimme::N,ван,səs
273,Wort::N,гаф,söz
274,Wort::N,гаф,kəlmə
275,Zeichen::N,ишара,nişan
276,Ruf::N,эвер,çığırtı
277,Lärm::N,ван-сес,gurultu
278,Laut::N,ван,səs
279,Laut::N,сес,səs
280,Ton::N,ван-сес,ton
281,Lied::N,мани,mahnı
282,Ruhe::N,ласвал,sakitlik
283,Ruhe::N,фаракъат,sakitlik
284,Ruhe::N,асайиш,sakitlik
285,Leute::N,инсанар,xalq
286,Volk::N,халкь,millət
287,Arbeit::N,кӏвалах,iş
288,Arbeit::N,кӏвалах,əmək
289,Gast::N,мугьман,qonaq
290,Gast::N,мугьман,müsafir
291,Geschenk::N,савкьат,hədiyyə
292,Spiel::N,къугъун,oyun
293,Spiel::N,къугъун,tamaşa
294,Gesellschaft::N,жемят,cəmiyyet
295,Gesellschaft::N,общество,cəmiyyet
296,Hilfe::N,куьмек,kömək
297,Hilfe::N,куьмек,yardım
298,Freund::N,дуст,dost
299,Kamerad::N,яр-дуст,yoldaş
300,Angelegenheit::N,кар,iş
301,Anzahl::N,сан,say
302,Anzahl::N,кьадар,say
303,Art::N,жуьре,çeşid
304,Stück::N,кӏус,dənə
305,Stück::N,кӏус,parça
306,Teil::N,пай,qisim
307,Hälfte::N,зур,yarım
308,Hälfte::N,зур пай,yarım
309,Kreis::N,круг,dairə
310,Kreis::N,чкаяр,dairə
311,Kreis::N,элкъвей цӏар,dairə
312,Kreuz::N,хаш,xaç
313,Linie::N,цӏар,xətt
314,Strich::N,цӏар,cızıq
315,Abstand::N,ара,məsafə
316,Entfernung::N,мензил,məsafə
317,Entfernung::N,мензил,uzaqlıq
318,Gegend::N,чка,bölgə
319,Platz::N,ара,yer
320,Ort::N,чка,yer
321,Seite::N,пад,yan
322,Seite::N,пад,tərəf
323,Mitte::N,юкь,orta
324,Gegenstand::N,затӏ,şey
325,Sache::N,шей,şey
326,Sache::N,затӏ,şey
327,Rand::N,къерех,kənar
328,Kante::N,син,tiyə
329,Kante::N,син,kənar
330,Ecke::N,пӏипӏ,bucaq
331,Spitze::N,кӏвенкӏв,uc
332,Ende::N,кьил,son
333,Ende::N,кьил,axır
334,Loch::N,тӏеквен,deşik
335,Winkel::N,пӏипӏ,guşə
336,Muster::N,гишир,ülgü
337,Größe::N,кьадар,böyüklük
338,Länge::N,яргъивал,uzunluq
339,Höhe::N,кьакьанвал,yüksəklik
340,Gewicht::N,заланвал,çəki
341,Gewicht::N,заланвал,ağırlıq
342,Menge::N,кьадар,miqdar
343,Haufen::N,хара,yığın
344,Reihe::N,жерге,səf
345,Reihe::N,жерге,sıra
346,Boot::N,луьткве,qayıq
347,Ruder::N,кьусу,kürək
348,Schlitten::N,гъелерар,kirşə
349,Lagerfeuer::N,цӏай,düşərgə tonqalı
350,Last::N,заланвал,yük
351,Gang::N,ериш,yeriş
352,Schritt::N,къадам,addım
353,Norden::N,кефер,şimal
354,Norden::N,кефер пад,şimal
355,Süden::N,кьибле,cənub
356,Westen::N,рагъакӏидай пад,qərb
357,Osten::N,рагъэкъечӏдай пад,şərq
358,Holz::N,кӏарас,ağac
359,Holz::N,кӏарас,taxta
360,Brett::N,кьул,taxta
361,Brett::N,тахта,taxta
362,Stütze::N,даях,dayaq
