,Concept_ID,cy,pl
0,Auge::N,llygad,oko
1,Ohr::N,clust,ucho
2,Nase::N,trwyn,nos
3,Mund::N,ceg,usta
4,Zahn::N,dant,ząb
5,Zunge::N,tafod,język
6,Lippe::N,gwefus,warga
7,Wange::N,boch,policzek
8,Gesicht::N,wyneb,twarz
9,Stirn::N,talcen,czoło
10,Haar::N,blew,włos
11,Haar::N,blew,włosy
12,Schnurrbart::N,mwstas,wąsy
13,Bart::N,barf,broda
14,Kinn::N,gên,podbródek
15,Kiefer[Anatomie]::N,gên,czeluść
16,Kehle::N,gwddf,gardło
17,Hals::N,gwddf,szyja
18,Genick::N,gwar,kark
19,Genick::N,gwegil,kark
20,Kopf::N,pen,głowa
21,Rücken::N,cefn,plecy
22,Rücken::N,cefn,grzbiet
23,Bauch::N,bol,brzuch
24,Nabel::N,bogail,pępek
25,Busen::N,bron,biust
26,Brust::N,brest,pierś
27,Schulter::N,ysgwydd,bark
28,Schulter::N,ysgwydd,ramię
29,Arm::N,braich,ręka
30,Arm::N,braich,ramię
31,Ellenbogen::N,penelin,łokieć
32,Hand::N,llaw,dłoń
33,Handfläche::N,palf,dłoń
34,Finger::N,bys,palec
35,Fingernagel::N,ewin,paznokieć
36,Nagel[Anatomie]::N,ewin,paznokieć
37,Zeh::N,bys troed,palec
38,Fuß::N,troed,stopa
39,Ferse::N,sawdl,pięta
40,Knie::N,glin,kolano
41,Oberschenkel::N,clun,udo
42,Bein::N,coes,noga
43,Körper::N,corff,ciało
44,Haut::N,croen,skóra
45,Blut::N,gwaed,krew
46,Ader::N,gwythïen,żyła
47,Sehne::N,gewyn,ścięgno
48,Knochen::N,asgwrn,kość
49,Gehirn::N,ymennydd,mózg
50,Herz::N,calon,serce
51,Magen::N,cylla,żołądek
52,Magen::N,stumog,żołądek
53,Leber::N,iau,wątroba
54,Atem::N,anadl,dech
55,Atem::N,anadl,oddech
56,Hunger::N,newyn,głód
57,Träne::N,deigryn,łza
58,Geschmack::N,cyflas,smak
59,Geruch::N,aroglau,woń
