,Concept_ID,no,it
0,Auge::N,øye,occhio
1,Ohr::N,øre,orecchio
2,Nase::N,nese,naso
3,Mund::N,munn,bocca
4,Zahn::N,tann,dente
5,Zunge::N,tunge,lingua
6,Lippe::N,leppe,labbro
7,Wange::N,kinn,guancia
8,Gesicht::N,fjes,viso
9,Gesicht::N,fjes,faccia
10,Gesicht::N,ansikt,viso
11,Gesicht::N,ansikt,faccia
12,Stirn::N,panne,fronte
13,Haar::N,hår,capello
14,Schnurrbart::N,bart,baffi
15,Schnurrbart::N,bart,mustacchi
16,Bart::N,skjegg,barba
17,Kinn::N,hake,mento
18,Kiefer[Anatomie]::N,kjeve,mascella
19,Kehle::N,strupe,gola
20,Hals::N,hals,collo
21,Genick::N,nakke,nuca
22,Kopf::N,hode,capo
23,Kopf::N,hode,testa
24,Rücken::N,rygg,dorso
25,Rücken::N,rygg,schiena
26,Bauch::N,buk,ventre
27,Bauch::N,mage,ventre
28,Nabel::N,navle,ombelico
29,Busen::N,barm,seno
30,Brust::N,bryst,petto
31,Schulter::N,skulder,spalla
32,Arm::N,arm,braccio
33,Ellenbogen::N,albue,gomito
34,Hand::N,hånd,mano
35,Handfläche::N,håndflate,palma
36,Finger::N,finger,dito
37,Fingernagel::N,fingernegl,unghia
38,Nagel[Anatomie]::N,negl,unghia
39,Zeh::N,tå,dito del piede
40,Fuß::N,fot,piede
41,Ferse::N,hæl,tallone
42,Ferse::N,hæl,calcagno
43,Knie::N,kne,ginocchio
44,Oberschenkel::N,lår,fèmore
45,Bein::N,bein,gamba
46,Körper::N,kropp,corpo
47,Körper::N,legeme,corpo
48,Haut::N,hud,pelle
49,Haut::N,skinn,pelle
50,Blut::N,blod,sangue
51,Ader::N,åre,vena
52,Sehne::N,sene,tèndine
53,Knochen::N,bein,osso
54,Knochen::N,knokkel,osso
55,Gehirn::N,hjerne,cervello
56,Herz::N,hjerte,cuore
57,Magen::N,mage,stòmaco
58,Leber::N,lever,fegato
59,Atem::N,pust,fiato
60,Atem::N,pust,respiro
61,Hunger::N,sult,fame
62,Träne::N,tåre,làcrima
63,Geschmack::N,smak,gusto
64,Geschmack::N,smak,sapore
65,Geruch::N,lukt,odore
66,Schlaf::N,søvn,sonno
