,Concept_ID,el,myv
0,Auge::N,μάτι,сельме
1,Auge::N,οφθαλμός,сельме
2,Ohr::N,αυτί,пиле
3,Nase::N,μύτη,судо
4,Mund::N,στόμα,курго
5,Zahn::N,δόντι,пей
6,Zunge::N,γλώσσα,кель
7,Lippe::N,χείλος,турва
8,Wange::N,παρειά,чамабока
9,Wange::N,παρειά,чамаумарь
10,Wange::N,μάγουλο,чамабока
11,Wange::N,μάγουλο,чамаумарь
12,Gesicht::N,πρόσωπο,чама
13,Stirn::N,μέτωπο,коня
14,Haar::N,μαλλιά,черь
15,Schnurrbart::N,μουστάκι,ус
16,Schnurrbart::N,μουστάκι,муюк
17,Bart::N,γένια,сакал
18,Kinn::N,πιγούνι,уло
19,Kiefer[Anatomie]::N,σαγόνι,пейпакар
20,Kiefer[Anatomie]::N,σαγόνι,пейловажа
21,Kehle::N,λαρύγγι,кирьгапарь
22,Hals::N,λαιμός,кирьга
23,Genick::N,σβέρκος,човонь
24,Kopf::N,κεφάλι,пря
25,Rücken::N,ράχη,копорь
26,Bauch::N,κοιλιά,пеке
27,Nabel::N,αφαλός,почо
28,Busen::N,στήθος,поте
29,Brust::N,στήθος,меште
30,Schulter::N,ώμος,лавтов
31,Arm::N,χέρι,кедь
32,Arm::N,μπράτςο,кедь
33,Ellenbogen::N,αγκώνας,кенерепакарь
34,Hand::N,χέρι,кедь
35,Handfläche::N,παλάμη,кедькуншка
36,Handfläche::N,παλάμη,кедьлапушка
37,Finger::N,δάχτυλο,сур
38,Fingernagel::N,νύχι,кенже
39,Nagel[Anatomie]::N,νύχι,кенже
40,Zeh::N,δάχτυλο του ποδιού,пильге сур
41,Fuß::N,πόδι,пильге
42,Ferse::N,φτέρνα,кочкаря
43,Knie::N,γόνατο,эле
44,Knie::N,γόνατο,эзне
45,Knie::N,γόνατο,кумажа
46,Oberschenkel::N,μηρός,качо
47,Bein::N,πόδι,пильге
48,Körper::N,σώμα,рунго
49,Körper::N,κορμί,рунго
50,Haut::N,πετσί,киське
51,Blut::N,αίμα,верь
52,Ader::N,φλέβα,сан
53,Sehne::N,νεύρο,коське сан
54,Sehne::N,τένοντας,коське сан
55,Knochen::N,οστό,пакарь
56,Knochen::N,κόκκαλο,пакарь
57,Gehirn::N,μυαλό,удем
58,Gehirn::N,εγκέφαλος,удем
59,Herz::N,καρδιά,седей
60,Magen::N,στομάχι,пеке
61,Leber::N,ήπαρ,максо
62,Leber::N,συκωτί,максо
63,Atem::N,αναπνοή,лексема
64,Atem::N,αναπνοή,оймень таргсема
65,Hunger::N,πείνα,вачочи
66,Träne::N,δάκρυ,селведь
67,Geschmack::N,γεύση,тансть
68,Geruch::N,οσμή,чине
69,Geruch::N,μυρωδία,чине
70,Schlaf::N,ύπνος,удома
71,Traum::N,όνειρο,он
72,Himmel::N,ουρανός,менель
73,Sonne::N,ήλιος,чи
74,Mond::N,σελήνη,ков
75,Mond::N,φεγγάρι,ков
76,Stern::N,άστρο,теште
77,Stern::N,αστέρι,теште
78,Luft::N,αέρας,кошт
79,Wind::N,αέρας,варма
80,Wind::N,άνεμος,варма
81,Welle::N,κύμα,толкун
82,Wasser::N,νερό,ведь
83,Stein::N,πέτρα,кев
84,Boden::N,χώμα,мода
85,Erde::N,γη,мастор
86,Staub::N,σκόνη,пуль
87,Rauch::N,καπνός,качамо
88,Funke::N,σπίθα,сятко
89,Funke::N,σπινθήρας,сятко
90,Feuer::N,φωτιά,тол
91,Licht::N,φως,валдо
92,Schatten::N,σκιά,сулей
93,Schatten::N,σκιά,сулейкс
94,Schatten::N,ίσκιος,сулей
95,Schatten::N,ίσκιος,сулейкс
96,Wetter::N,καιρός,ушо
97,Nebel::N,ομίχλη,сув
98,Wolke::N,σύννεφο,пель
99,Regen::N,βροχή,пиземс
