,Concept_ID,myv,ga
0,Auge::N,сельме,súil
1,Ohr::N,пиле,cluas
2,Nase::N,судо,soc
3,Mund::N,курго,béal
4,Zahn::N,пей,fiacail
5,Zunge::N,кель,teanga
6,Lippe::N,турва,liopa
7,Wange::N,чамабока,grua
8,Wange::N,чамабока,leiceann
9,Wange::N,чамаумарь,grua
10,Wange::N,чамаумарь,leiceann
11,Gesicht::N,чама,éadan
12,Gesicht::N,чама,aghaidh
13,Stirn::N,коня,baithis
14,Stirn::N,коня,clár éadain
15,Haar::N,черь,gruaig
16,Schnurrbart::N,ус,croiméal
17,Schnurrbart::N,муюк,croiméal
18,Bart::N,сакал,féasóg
19,Kinn::N,уло,smig
20,Kiefer[Anatomie]::N,пейпакар,giall
21,Kiefer[Anatomie]::N,пейловажа,giall
22,Kehle::N,кирьгапарь,scornach
23,Hals::N,кирьга,muinéal
24,Genick::N,човонь,baic
25,Kopf::N,пря,ceann
26,Rücken::N,копорь,droim
27,Bauch::N,пеке,bolg
28,Nabel::N,почо,imleacán
29,Busen::N,поте,cíoch
30,Brust::N,меште,brollach
31,Schulter::N,лавтов,gualainn
32,Arm::N,кедь,lámh
33,Ellenbogen::N,кенерепакарь,uillinn
34,Hand::N,кедь,lámh
35,Handfläche::N,кедькуншка,bos
36,Handfläche::N,кедьлапушка,bos
37,Finger::N,сур,méar
38,Fingernagel::N,кенже,ionga
39,Nagel[Anatomie]::N,кенже,ionga
40,Zeh::N,пильге сур,ladhar
41,Fuß::N,пильге,cos
42,Fuß::N,пильге,troigh
43,Ferse::N,кочкаря,sáil
44,Knie::N,эле,glúin
45,Knie::N,эзне,glúin
46,Knie::N,кумажа,glúin
47,Oberschenkel::N,качо,ceathrú
48,Bein::N,пильге,cos
49,Körper::N,рунго,corp
50,Körper::N,рунго,colainn
51,Haut::N,киське,cneas
52,Haut::N,киське,craiceann
53,Blut::N,верь,fuil
54,Ader::N,сан,
55,Sehne::N,коське сан,teannán
56,Sehne::N,коське сан,féitheog
57,Knochen::N,пакарь,cnámh
58,Gehirn::N,удем,inchinn
59,Herz::N,седей,croí
60,Magen::N,пеке,bolg
61,Magen::N,пеке,goile
62,Leber::N,максо,ae
63,Atem::N,лексема,anáil
64,Atem::N,оймень таргсема,anáil
65,Hunger::N,вачочи,ocras
66,Träne::N,селведь,deoir
67,Geschmack::N,тансть,blas
68,Geruch::N,чине,boladh
69,Schlaf::N,удома,suan
70,Schlaf::N,удома,codladh
71,Traum::N,он,taibhreamh
72,Himmel::N,менель,spéir
73,Sonne::N,чи,grian
74,Mond::N,ков,ré
75,Mond::N,ков,gealach
76,Stern::N,теште,rinn
77,Stern::N,теште,réalta
78,Luft::N,кошт,aer
79,Wind::N,варма,gaoth
80,Welle::N,толкун,tonn
81,Wasser::N,ведь,uisce
82,Stein::N,кев,cloch
83,Boden::N,мода,talamh
84,Erde::N,мастор,cré
85,Erde::N,мастор,ithir
86,Staub::N,пуль,dusta
87,Staub::N,пуль,deannach
88,Rauch::N,качамо,toit
89,Rauch::N,качамо,deatach
