,Concept_ID,cv,is
0,Auge::N,куҫ,auga
1,Ohr::N,хӑлха,eyra
2,Nase::N,сӑмса,nef
3,Mund::N,ҫӑвар,munnur
4,Zahn::N,шӑл,tönn
5,Zunge::N,чӗлхе,tunga
6,Lippe::N,тута,vör
7,Wange::N,пит ҫӑмарти,kinn
8,Wange::N,пит ҫӑмарти,vangi
9,Gesicht::N,пит,andlit
10,Gesicht::N,пит-куҫ,andlit
11,Stirn::N,ҫамка,enni
12,Haar::N,ҫӳҫ,hár
13,Schnurrbart::N,усси,yfirskegg
14,Bart::N,сухал,skegg
15,Kinn::N,янах,haka
16,Kiefer[Anatomie]::N,янах,kjálki
17,Kiefer[Anatomie]::N,янах,skoltur
18,Kehle::N,пыр,kverk
19,Kehle::N,карланкӑ,kverk
20,Hals::N,пыр,háls
21,Genick::N,ӗнсе,hnakki
22,Kopf::N,пуҫ,höfuð
23,Rücken::N,ҫурӑм,hryggur
24,Nabel::N,кӑвапа,nafli
25,Busen::N,кӑкӑр,barmur
26,Brust::N,умӗ,brjóst
27,Schulter::N,хул пуҫҫи,öxl
28,Arm::N,алӑ,armur
29,Ellenbogen::N,чавса,olnbogi
30,Hand::N,алӑ сыппи,hönd
31,Handfläche::N,ал лаппи,lófi
32,Finger::N,пӳрне,fingur
33,Fingernagel::N,чӗрне,fingurnögl
34,Nagel[Anatomie]::N,чӗрне,nögl
35,Zeh::N,пӳрне,tá
36,Fuß::N,ура лаппи,fótur
37,Ferse::N,кӗле,hæll
38,Knie::N,чӗркуҫҫи,kné
39,Oberschenkel::N,пӗҫӗ,læri
40,Bein::N,ура,fótleggur
41,Körper::N,ӳт,búkur
42,Körper::N,ӳт,líkami
43,Körper::N,ӳт-пӳ,búkur
44,Körper::N,ӳт-пӳ,líkami
45,Haut::N,тир,húð
46,Haut::N,тир,skinn
47,Blut::N,юн,blóð
48,Ader::N,вена,æð
49,Sehne::N,шӑнӑр,sin
50,Knochen::N,шӑмӑ,bein
51,Gehirn::N,миме,heili
52,Herz::N,чӗре,hjarta
53,Magen::N,хырӑмлӑх,magi
54,Leber::N,пӗвер,lifur
55,Atem::N,сывлав,andi
56,Atem::N,сывлав,andardráttur
57,Hunger::N,выҫлӑх,hungur
58,Träne::N,куҫҫуль,tár
59,Geschmack::N,техӗм,smekkur
60,Geruch::N,шӑршӑ,lykt
61,Schlaf::N,ыйхӑ,svefn
62,Traum::N,тӗлӗк,draumur
63,Himmel::N,пӗлӗт,himinn
64,Sonne::N,хӗвел,sól
65,Mond::N,уйӑх,tungl
66,Stern::N,ҫӑлтӑр,stjarna
67,Luft::N,сывлӑш,loft
68,Wind::N,ҫил,vindur
69,Welle::N,хум,alda
70,Welle::N,хум,bylgja
71,Wasser::N,шыв,vatn
72,Wasser::N,шыв-шур,vatn
73,Stein::N,чул,steinn
74,Boden::N,тӑпра,botn
75,Erde::N,ҫӗр,jörð
76,Staub::N,тусан,ryk
77,Staub::N,тусан,duft
78,Rauch::N,тӗтӗм,reykur
79,Funke::N,хӗм,neisti
80,Feuer::N,вут,eldur
81,Feuer::N,ҫулӑм,eldur
82,Licht::N,ҫутӑ,ljós
83,Schatten::N,сулхӑн,skuggi
84,Wetter::N,ҫанталӑк,veður
85,Nebel::N,тӗтре,þoka
86,Wolke::N,пӗлӗт,ský
87,Regen::N,ҫумӑр,regn
88,Schnee::N,юр,snjór
89,Eis::N,пӑр,ís
90,Frost::N,сивӗ,frost
91,Kälte::N,сивӗ,kuldi
92,Hitze::N,вӗри,hiti
93,Hitze::N,шӑрӑх,hiti
94,Raureif::N,пас,hrím
95,Regenbogen::N,асамат кӗперӗ,regnbogi
96,Donner::N,аслати,þruma
97,Strömung::N,юхӑ,straumur
98,Tropfen::N,тумлам,dropi
99,Schaum::N,кӑпӑк,froða
100,Schmutz::N,пылчӑк,óhreinindi
101,See::N,кӳлӗ,stöðuvatn
102,Sumpf::N,шур,fen
103,Sumpf::N,шурлӑх,fen
104,Moor::N,торфлӑ шурлӑх,mýri
105,Wiese::N,улӑх,engi
106,Wiese::N,ҫаран,engi
107,Wald::N,вӑрман,skógur
108,Hügel::N,сӑрт,hæð
109,Hügel::N,сӑрт,hóll
110,Hügel::N,тӗмеске,hæð
111,Hügel::N,тӗмеске,hóll
112,Anhöhe::N,сӑрт,hæð
113,Anhöhe::N,сӑрт,hóll
114,Berg::N,ту,fell
115,Berg::N,ту,fjall
116,Gipfel::N,тӳпе,tindur
117,Höhle::N,ҫӗр хӑвӑлӗ,hellir
118,Abhang::N,тӑвайкки,hlíð
119,Abhang::N,тӑвайкки,brekka
120,Quelle::N,ҫӑл куҫ,lind
121,Quelle::N,ҫӑл куҫ,uppspretta
122,Bach::N,пӗчӗк шыв,lækur
123,Fluss::N,юхан шыв,á
124,Fluss::N,юхан шыв,fljót
125,Ufer::N,ҫыран,árbakki
126,Ufer::N,ҫыран,sjávarbakki
127,Küste::N,тинӗс ҫыранӗ,strönd
128,Festland::N,тип ҫӗр,meginland
129,Meer::N,тинӗс,haf
130,Meer::N,тинӗс,sjór
131,Bucht::N,тинӗс кукӑрӗ,vík
132,Insel::N,утрав,eyja
133,Blume::N,чечек,blóm
134,Gras::N,курӑк,gras
135,Wurzel::N,тымар,rót
136,Baum::N,йывӑҫ,tré
137,Stamm::N,вулӑ,stofn
138,Rinde::N,хуйӑр,börkur
139,Ast::N,турат,grein
