,Concept_ID,la,no
0,Auge::N,oculus,øye
1,Ohr::N,auris,øre
2,Nase::N,nasus,nese
3,Mund::N,os,munn
4,Zahn::N,dens,tann
5,Zunge::N,lingua,tunge
6,Lippe::N,labrum,leppe
7,Wange::N,gena,kinn
8,Gesicht::N,vultus,fjes
9,Gesicht::N,vultus,ansikt
10,Stirn::N,frons,panne
11,Haar::N,capillus,hår
12,Schnurrbart::N,barba labri superioris,bart
13,Bart::N,barba,skjegg
14,Kinn::N,mentum,hake
15,Kiefer[Anatomie]::N,mala,kjeve
16,Kehle::N,iugulums,strupe
17,Hals::N,collum,hals
18,Genick::N,cervices,nakke
19,Kopf::N,caput,hode
20,Rücken::N,tergum,rygg
21,Bauch::N,venter,buk
22,Bauch::N,venter,mage
23,Nabel::N,umbilicus,navle
24,Busen::N,sinus,barm
25,Brust::N,pectus,bryst
26,Schulter::N,umerus,skulder
27,Arm::N,bracchium,arm
28,Ellenbogen::N,cubitum,albue
29,Hand::N,manus,hånd
30,Handfläche::N,palma,håndflate
31,Finger::N,digitus,finger
32,Fingernagel::N,unguiculus,fingernegl
33,Nagel[Anatomie]::N,unguis,negl
34,Zeh::N,digitus,tå
35,Fuß::N,pes,fot
36,Ferse::N,calx,hæl
37,Knie::N,genu,kne
38,Oberschenkel::N,femur,lår
39,Bein::N,crus,bein
40,Körper::N,corpus,kropp
41,Körper::N,corpus,legeme
42,Haut::N,cutis,hud
43,Haut::N,cutis,skinn
44,Haut::N,pellis,hud
45,Haut::N,pellis,skinn
46,Blut::N,sanguis,blod
47,Ader::N,vena,åre
48,Sehne::N,nervus,sene
49,Knochen::N,os,bein
50,Knochen::N,os,knokkel
51,Gehirn::N,cerebrum,hjerne
52,Herz::N,cor,hjerte
53,Herz::N,animus,hjerte
54,Magen::N,stomachus,mage
55,Leber::N,iecur,lever
56,Atem::N,spiritus,pust
57,Hunger::N,fames,sult
58,Träne::N,lacrima,tåre
59,Geschmack::N,sapor,smak
60,Geschmack::N,gustus,smak
61,Geruch::N,odor,lukt
62,Schlaf::N,somnus,søvn
63,Traum::N,somnium,drøm
64,Himmel::N,caelum,himmel
65,Sonne::N,sol,sol
66,Mond::N,luna,måne
67,Stern::N,sidus,stjerne
68,Stern::N,stella,stjerne
69,Luft::N,aer,luft
70,Wind::N,ventus,vind
71,Welle::N,unda,bølge
72,Wasser::N,aqua,vann
73,Stein::N,lapis,stein
74,Boden::N,solum,bakke
75,Erde::N,terra,jord
76,Staub::N,pulvis,støv
77,Rauch::N,fumus,røyk
78,Funke::N,scintilla,gnist
79,Feuer::N,ignis,ild
80,Licht::N,lux,lys
81,Licht::N,lumen,lys
82,Schatten::N,umbra,skygge
83,Wetter::N,caelum,vær
84,Wetter::N,tempestas,vær
85,Nebel::N,nebula,tåke
86,Wolke::N,nubes,sky
87,Regen::N,imber,regn
88,Regen::N,pluvia,regn
89,Schnee::N,nix,snø
90,Eis::N,glacies,is
91,Frost::N,gelu,frost
92,Kälte::N,frigus,kulde
93,Hitze::N,calor,hete
94,Hitze::N,aestus,hete
95,Raureif::N,pruina,rimfrost
96,Regenbogen::N,arcus,regnbue
97,Donner::N,tonitrus,torden
98,Strömung::N,fluctus,strømning
99,Tropfen::N,gutta,dråpe
100,Schaum::N,spuma,skum
101,Schmutz::N,sordes,søl
102,Schmutz::N,sordes,skitt
103,Schmutz::N,squalor,søl
104,Schmutz::N,squalor,skitt
105,See::N,lacus,sjø
106,Sumpf::N,palus,sump
107,Sumpf::N,palus,myrlende
108,Moor::N,palus,myr
109,Moor::N,palus,myrhei
110,Wiese::N,pratum,eng
111,Wald::N,silva,skog
112,Hügel::N,collis,haug
113,Hügel::N,collis,bakke
114,Anhöhe::N,specula,haug
115,Anhöhe::N,specula,bakke
116,Berg::N,mons,berg
117,Berg::N,mons,fjell
118,Gipfel::N,vertex,topp
119,Höhle::N,caverna,hule
120,Höhle::N,spelunca,hule
121,Abhang::N,declivum,li
122,Abhang::N,declivum,skråning
123,Quelle::N,fons,kilde
124,Bach::N,rivus,bekk
125,Fluss::N,flumen,elv
126,Ufer::N,ripa,bredd
127,Küste::N,litus,kyst
128,Festland::N,continens,fastland
129,Meer::N,mare,hav
130,Bucht::N,sinus,bukt
131,Insel::N,insula,øy
132,Blume::N,flos,blomst
133,Gras::N,herba,gress
134,Gras::N,gramen,gress
135,Wurzel::N,radix,rot
136,Baum::N,arbor,tre
137,Stamm::N,truncus,stamme
138,Rinde::N,cortex,bark
139,Ast::N,ramus,gren
140,Zweig::N,ramus,kvist
141,Blatt::N,folium,blad
142,Birke::N,betulla,bjørk
