,Concept_ID,pl,lbe
0,Auge::N,oko,я
1,Ohr::N,ucho,вичӏи
2,Nase::N,nos,май
3,Mund::N,usta,кьацӏ
4,Zahn::N,ząb,ккарччи
5,Zunge::N,język,маз
6,Lippe::N,warga,мурччи
7,Wange::N,policzek,чӏав
8,Gesicht::N,twarz,лажин
9,Stirn::N,czoło,ненттабакӏ
10,Haar::N,włos,чӏара
11,Haar::N,włosy,чӏара
12,Schnurrbart::N,wąsy,ссирссилтту
13,Bart::N,broda,чӏири
14,Kinn::N,podbródek,лунттубакӏ
15,Kiefer[Anatomie]::N,czeluść,ххинчулул
16,Kehle::N,gardło,кьакьари
17,Hals::N,szyja,ссурссу
18,Genick::N,kark,махъабакӏ
19,Kopf::N,głowa,бакӏ
20,Rücken::N,plecy,ттиликӏ
21,Rücken::N,grzbiet,ттиликӏ
22,Bauch::N,brzuch,лякьа
23,Nabel::N,pępek,цӏумуккутӏ
24,Busen::N,biust,ккукку
25,Brust::N,pierś,хъазам
26,Schulter::N,bark,хъачӏ
27,Schulter::N,ramię,хъачӏ
28,Arm::N,ręka,ка
29,Arm::N,ramię,ка
30,Ellenbogen::N,łokieć,ссюрхъ
31,Hand::N,dłoń,бартка
32,Handfläche::N,dłoń,хъат
33,Handfläche::N,dłoń,битӏянхъ
34,Finger::N,palec,кӏисса
35,Fingernagel::N,paznokieć,михь
36,Nagel[Anatomie]::N,paznokieć,михь
37,Zeh::N,palec,кӏисса
38,Fuß::N,stopa,чӏанччан
39,Ferse::N,pięta,никъа
40,Knie::N,kolano,ник
41,Oberschenkel::N,udo,жира
42,Bein::N,noga,ччан
43,Körper::N,ciało,чурх
44,Haut::N,skóra,бурчу
45,Blut::N,krew,оь
46,Ader::N,żyła,тунну
47,Sehne::N,ścięgno,хьхьа
48,Knochen::N,kość,ттаркӏ
49,Gehirn::N,mózg,ня
50,Herz::N,serce,дакӏ
51,Herz::N,serce,къюкӏ
52,Magen::N,żołądek,лякьа
53,Leber::N,wątroba,
54,Atem::N,dech,ссихӏ ласаву
55,Atem::N,dech,ссихӏ бигьаву
56,Atem::N,oddech,ссихӏ ласаву
57,Atem::N,oddech,ссихӏ бигьаву
58,Hunger::N,głód,ккаши
59,Träne::N,łza,макь
60,Geschmack::N,smak,тӏин
61,Geschmack::N,smak,тӏааьн
62,Geruch::N,woń,кьанкь
63,Geruch::N,zapach,кьанкь
64,Schlaf::N,sen,шану
65,Traum::N,sen,макӏру
66,Himmel::N,niebo,ссав
67,Sonne::N,słońce,баргъ
68,Mond::N,księżyc,барз
69,Stern::N,gwiazda,цӏуку
70,Luft::N,powietrze,гьава
71,Wind::N,wiatr,марч
72,Welle::N,fala,щатӏи
73,Wasser::N,woda,щин
74,Stein::N,kamień,чару
75,Boden::N,grunt,аьрщи
76,Erde::N,ziemia,аьрщи
77,Staub::N,pył,ххит
78,Staub::N,kurz,ххит
79,Rauch::N,dym,пуркӏу
80,Funke::N,iskra,пиягь
81,Feuer::N,ogień,цӏу
82,Licht::N,światło,чани
83,Schatten::N,cień,ххют
84,Wetter::N,pogoda,гьава
85,Nebel::N,mgła,шархь ттурлу
86,Wolke::N,obłok,ттурлу
87,Wolke::N,chmura,ттурлу
88,Regen::N,deszcz,гъарал
89,Schnee::N,śnieg,марххала
90,Eis::N,lód,микӏ
91,Frost::N,mróz,дяркъу
92,Frost::N,mróz,замгьар
93,Kälte::N,chłód,дяркъу
94,Hitze::N,gorąco,кӏиришиву
95,Raureif::N,szron,сил
96,Raureif::N,szron,бурса
97,Regenbogen::N,tęcza,ссурул ккуртта
98,Donner::N,grzmot,къув
99,Strömung::N,nurt,экьинанаву
100,Tropfen::N,kropla,кӏунтӏ
101,Schaum::N,piana,хьама
102,Schmutz::N,brud,кьяркьи
103,See::N,jezioro,бяр
104,Sumpf::N,bagno,кунцӏа
105,Moor::N,bagno,
106,Wiese::N,łąka,кьан
107,Wald::N,las,вацӏа
108,Hügel::N,pagórek,бакӏу
109,Anhöhe::N,wzgórze,
110,Berg::N,góra,зунтту
111,Gipfel::N,szczyt,мицӏ
112,Gipfel::N,wierzchołek,мицӏ
113,Höhle::N,pieczara,нух
114,Abhang::N,stok,сун
115,Abhang::N,zbocze,сун
116,Quelle::N,zdrój,дайдихьу
117,Quelle::N,zdrój,бакӏ
118,Quelle::N,źródło,дайдихьу
119,Quelle::N,źródło,бакӏ
120,Bach::N,potok,чӏрир нех
121,Bach::N,strumień,чӏрир нех
122,Fluss::N,rzeka,нех
123,Ufer::N,brzeg,зума
124,Küste::N,wybrzeże,зумаинхалу
125,Küste::N,wybrzeże,зуманицӏалу
126,Festland::N,ląd,кьири
127,Meer::N,morze,хьхьири
128,Bucht::N,zatoka,
129,Insel::N,wyspa,жазира
130,Blume::N,kwiat,тӏутӏи
131,Gras::N,trawa,уртту
132,Wurzel::N,korzeń,мархха
133,Baum::N,drzewo,мурхь
134,Stamm::N,pień,ттарцӏ
135,Rinde::N,kora,ккамара
136,Ast::N,gałąź,матӏи
137,Zweig::N,gałąź,къяртта
138,Blatt::N,liść,чӏапӏи
139,Birke::N,brzoza,кӏялахӏи
140,Birke::N,brzoza,кӏялахӏилул мурхь
141,Kiefer[Baum]::N,sosna,ттар
142,Kiefer[Baum]::N,sosna,ттарлил мурхь
143,Weide[Baum]::N,wierzba,щавщи
144,Tanne::N,jodła,ттарлил мурхь
145,Horn::N,róg,хъи
146,Feder::N,pióro,лелуххул тӏиму
147,Fell::N,futro,бурчу
148,Flügel::N,skrzydło,хъа
149,Flügel::N,skrzydło,ххурупӏайрал тӏиму
150,Klaue::N,szpon,михь
151,Kralle::N,pazur,ххяппа
152,Schwanz::N,ogon,магъ
153,Ei::N,jajko,ккунук
154,Nest::N,gniazdo,кюру
155,Bau::N,nora,цукъуккутӏ
156,Tier::N,zwierzę,хӏайван
157,Herde::N,stado,газу
158,Herde::N,trzoda,газу
159,Kuh::N,krowa,оьл
160,Bulle::N,byk,ниц
161,Pferd::N,koń,чу
162,Schaf::N,owca,тта
163,Schwein::N,świnia,дунгъуз
164,Hund::N,pies,ккаччи
165,Katze::N,kot,ччиту
166,Katze::N,kotka,ччиту
167,Bär::N,niedźwiedż,цуша
168,Eichhörnchen::N,wiewiórka,бюрхттукку
