,Concept_ID,ga,no
1016,schlucken::V,slog,svelge
1017,müde werden::V,tuirsigh,bli trett
1018,einschlafen::V,tit ina chodladh,sovne
1019,schlafen::V,codail,sove
1020,aufwachen::V,múscail,våkne
1021,aufstehen::V,éirigh,stå opp
1022,sich erholen::V,lig scíth,bli bra
1023,sich erholen::V,lig scíth,komme seg
1024,krank werden::V,éirigh tinn,bli syk
1025,krank sein::V,tá tinn,være syk
1026,schmerzen::V,tá pian i,gjøre vondt
1027,husten::V,déan casacht,hoste
1028,genesen::V,téarnaigh,komme seg
1029,sterben::V,éag,dø
1030,sterben::V,faigh bás,dø
1031,umkommen::V,caill,omkomme
1032,sich bewegen::V,bog,bevege seg
1033,sich bewegen::V,gluais,bevege seg
1034,sich rühren::V,corraigh,røre på seg
1035,sich erheben::V,seas suas,reise seg
1036,sich setzen::V,suigh,sette sig
1037,hinfallen::V,tit,falle over ende
1038,laufen::V,siúil,løpe
1039,schreiten::V,siúil,skride
1040,spazierengehen::V,téigh ag spaisteoireacht,spasere
1041,spazierengehen::V,téigh ag spaisteoireacht,gå en tur
1042,eilen::V,deifrigh,ile
1043,eilen::V,brostaigh,ile
1044,sich beeilen::V,deifrigh,skynde seg
1045,sich beeilen::V,déan deifir,skynde seg
1046,sausen::V,luathaigh,suse
1047,rennen::V,rith,løpe
1048,springen::V,léim,hoppe
1049,springen::V,léim,springe
1050,klettern::V,dreap,klatre
1051,schaukeln::V,téigh ar an maide corrach,huske
1052,kriechen::V,snámh,krype
1053,schwimmen::V,snámh,svømme
1054,tauchen::V,tum,dykke
1055,rudern::V,iomair,ro
1056,rudern::V,rámhaigh,ro
1057,fahren::V,tiomáin,kjøre
1058,fliegen::V,eitil,fly
1059,gehen::V,téigh,gå
1060,weggehen::V,imigh,gå bort
1061,abfahren::V,imigh,reise
1062,anhalten::V,stad,stanse
1063,hineingehen::V,téigh isteach,gå inn
1064,eintreten::V,téigh isteach,tre inn
1065,kommen::V,tar,komme
1066,ankommen::V,tar,ankomme
1067,ankommen::V,tar,komme til
1068,zurückkommen::V,fill,komme tilbake
1069,bleiben::V,fan,bli
1070,bleiben::V,fan,forbli
1071,warten::V,fan,vente
1072,erwarten::V,tá ag súil le,vente
1073,erwarten::V,tá ag dréim le,vente
1074,suchen::V,lorg,søke
1075,finden::V,faigh,finne
1076,finden::V,aimsigh,finne
1077,versuchen::V,triail,prøve
1078,versuchen::V,triail,forsøke
1079,vorbereiten::V,réitigh,forberede
1080,lieben::V,gráigh,elske
1081,mögen::V,taitin le,like
1082,mögen::V,is maith le,like
1083,lachen::V,gáir,le
1084,rühren::V,téigh i bhfeidhm ar,røre
1085,weinen::V,goil,gråte
1086,weinen::V,caoin,gråte
1087,schimpfen::V,tá ag clamhsán,skjelle
1088,sich ärgern::V,tá corraithe,ergre seg
1089,sich fürchten::V,tá eagla ar,være redd
1090,fürchten::V,tá eagla ar,være redd for
1091,fliehen::V,teith,rømme
1092,fliehen::V,teith,flykte
1093,flüchten::V,éalaigh,flykte
1094,sehen::V,feic,se
1095,anschauen::V,dearc,se på
1096,anschauen::V,dearc,betrakte
1097,anschauen::V,féach ar,se på
1098,anschauen::V,féach ar,betrakte
1099,ansehen::V,breathnaigh,anse
1100,hören::V,cluin,høre
1101,zuhören::V,éist,tilhøre
1102,probieren::V,bliais,smake
