,Concept_ID,cy,ady
0,Auge::N,llygad,нэ
1,Ohr::N,clust,тхьакӏу́м
2,Nase::N,trwyn,пэ
3,Mund::N,ceg,жэ
4,Zahn::N,dant,цэ
5,Zunge::N,tafod,бзэгу
6,Lippe::N,gwefus,ӏупшӏэ́
7,Wange::N,boch,нэкӏу́шъу
8,Gesicht::N,wyneb,нэ́гу
9,Stirn::N,talcen,натӏэ́
10,Haar::N,blew,шъхьацы́
11,Schnurrbart::N,mwstas,
12,Bart::N,barf,жакӏэ́
13,Kinn::N,gên,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,gên,жэпкъы́
15,Kehle::N,gwddf,чый
16,Hals::N,gwddf,пшъэ
17,Genick::N,gwar,шъхьэпхэтыку
18,Genick::N,gwegil,шъхьэпхэтыку
19,Kopf::N,pen,шъхьэ́
20,Rücken::N,cefn,кӏыбы́
21,Bauch::N,bol,ныбэ́
22,Nabel::N,bogail,
23,Busen::N,bron,бгъэ́
24,Brust::N,brest,бгъэ́
25,Schulter::N,ysgwydd,блыпкъ
26,Arm::N,braich,ӏэ
27,Ellenbogen::N,penelin,ӏэнтэ́гъу
28,Hand::N,llaw,ӏэтхьэцу
29,Handfläche::N,palf,ӏэ́гу
30,Finger::N,bys,ӏэхъуа́мб
31,Fingernagel::N,ewin,ӏэбжъа́н
32,Nagel[Anatomie]::N,ewin,ӏэбжъа́н
33,Zeh::N,bys troed,ӏэхъуа́мб
34,Fuß::N,troed,лъэгу
35,Ferse::N,sawdl,лъэдакъэ
36,Knie::N,glin,лъагуа́ндж
37,Oberschenkel::N,clun,ко
38,Bein::N,coes,лъакъо́
39,Körper::N,corff,пкъышъол
40,Haut::N,croen,кӏы́шъу
41,Blut::N,gwaed,лъы
42,Ader::N,gwythïen,льытф
43,Sehne::N,gewyn,фэ
44,Knochen::N,asgwrn,къупшъхьэ́
45,Gehirn::N,ymennydd,куцӏы
46,Herz::N,calon,гу
47,Magen::N,cylla,мышкӏу
48,Magen::N,stumog,мышкӏу
49,Leber::N,iau,шӏу
50,Atem::N,anadl,къэщэныр
51,Hunger::N,newyn,гъаблэ́
52,Träne::N,deigryn,нэпсы
53,Geschmack::N,cyflas,ӏэшӏугъа́кӏ
54,Geruch::N,aroglau,мэ
55,Schlaf::N,cwsg,пчыхьы́пӏ
56,Traum::N,breuddwyd,пчыхьы́пӏ
57,Himmel::N,awyr,уашъо́
58,Sonne::N,haul,тыгъэ
59,Mond::N,lleuad,мазэ
60,Stern::N,seren,жъуагъо́
61,Luft::N,awyr,жьы
62,Wind::N,gwynt,жьыбгъэ́
63,Welle::N,ton,ор
64,Welle::N,ton,оры
65,Wasser::N,dŵr,псы
66,Stein::N,carreg,мыжъо́
67,Boden::N,llawr,чӏ́ыгу
68,Erde::N,pridd,чӏ́ыгу
69,Staub::N,llwch,сап
70,Rauch::N,mwg,ӏугъо́
71,Funke::N,gwreichioni,мэшӏуа́ч
72,Feuer::N,tân,машӏо́
73,Licht::N,golau,нэфы
74,Licht::N,golau,нэфын
75,Schatten::N,cysgod,жьау́
76,Schatten::N,cysgod,ныбжьыкъу
77,Wetter::N,tywydd,
78,Nebel::N,niwl,пща́гъу
79,Wolke::N,cwmwl,ошъуапщэ
80,Regen::N,glaw,ощхы
81,Schnee::N,ôd,осы́
82,Schnee::N,eira,осы́
83,Eis::N,iâ,мылы
84,Frost::N,rhew,
85,Kälte::N,oerni,чъыӏэ́
86,Kälte::N,annwyd,чъыӏэ́
87,Hitze::N,gwres,фэба́е
88,Raureif::N,barrug,
89,Regenbogen::N,enfys, лэгъупэкъо́пс
90,Donner::N,tyrfau,шыблэ́
91,Strömung::N,cerrynt,ток
92,Tropfen::N,dafn,ткӏопс
93,Tropfen::N,dafn,гъуаткӏу
94,Tropfen::N,diferyn,ткӏопс
95,Tropfen::N,diferyn,гъуаткӏу
96,Schaum::N,ewyn,тхъурбэ
97,Schmutz::N,baw,псынжъы
98,Schmutz::N,budreddi,псынжъы
99,See::N,llyn,хыку́м
100,See::N,llyn,псыхъура́й
101,Sumpf::N,cors,орыжъ
102,Moor::N,rhos,орыжъ
103,Wiese::N,dôl,хъупӏэ́
104,Wiese::N,dôl,мэкъупӏ
105,Wald::N,coedwig,мэзы́
106,Hügel::N,bryn,ӏуашъхь
107,Anhöhe::N,bryn,чӏыӏэтыгъ
108,Berg::N,mynydd,къушъхьэ́
109,Gipfel::N,copa,шыгу
110,Höhle::N,ogof,гъочӏэгъ
111,Abhang::N,llethr,чапэ
112,Quelle::N,tarddiad,псынэчэ́чъ
113,Quelle::N,ffynhonnell,псынэчэ́чъ
114,Bach::N,nant,псышкуашку
115,Bach::N,afonig,псышкуашку
116,Bach::N,cornant,псышкуашку
117,Fluss::N,afon,псыхъо́
118,Ufer::N,glan,нэпкъы
119,Küste::N,traeth,ӏушъо
120,Küste::N,arfordir,ӏушъо
121,Festland::N,tir,чӏл́ыгу
122,Meer::N,môr,хы
123,Bucht::N,bae,хыблыгу
124,Insel::N,ynys,хыгъэхъу́н
125,Blume::N,blodyn,къэгъа́гь
126,Gras::N,glaswellt,уцы́
127,Wurzel::N,gwreiddyn,лъапсэ́
128,Baum::N,coeden,чъыгы́
129,Stamm::N,colfen,пкъы
130,Stamm::N,boncyff,пкъы
131,Rinde::N,rhisgl,пхъашъо́
132,Ast::N,cangen,куамэ
133,Zweig::N,cainc,къутамэ́
134,Zweig::N,cangen,къутамэ́
135,Blatt::N,deilen,тхьап
136,Birke::N,bedwen,пчэн
137,Kiefer[Baum]::N,pinwydden,сэснэй
138,Weide[Baum]::N,helygen,пце́л
139,Tanne::N,ffynidwydden,ель
140,Horn::N,corn,бжъэ
141,Feder::N,plufyn,къамӏы́й
142,Fell::N,ffwr,шъо
143,Flügel::N,adain,тамэ́
144,Klaue::N,crafanc,лъэбжъа́н
145,Kralle::N,ewin,лъакъо
146,Schwanz::N,cwt,кӏэ
147,Schwanz::N,cynffon,кӏэ
148,Ei::N,wy,кӏэнкӏэ́
149,Nest::N,nyth,набгъо́
150,Bau::N,ffau,гъу
151,Bau::N,ffau,бы
152,Tier::N,anifail,псэу́шъхь
153,Herde::N,praidd,ӏэхъогъу
154,Herde::N,diadell,ӏэхъогъу
155,Kuh::N,buwch,чэмы́
156,Bulle::N,tarw,цу
157,Pferd::N,ceffyl,шы
158,Schaf::N,dafad,мэлы́
159,Schwein::N,mochyn,къо
160,Hund::N,ci,бьэ
161,Katze::N,cath,чэты́у
162,Bär::N,arth,мышъэ́
163,Eichhörnchen::N,gwiwer,цызэ́
164,Elch::N,elc,лось
165,Fuchs::N,cadno,баджэ́
166,Hase::N,ysgyfarnog,тхьакӏумкӏы́хь
167,Maus::N,llygoden,цыгъо́
168,Wolf::N,blaidd,тыгъу́жъ
169,Vogel::N,aderyn,бзы́у
170,Schwarm::N,haid,отэр
171,Huhn::N,cyw,чэты́
172,Hahn::N,ceiliog,атакъэ́
173,Gans::N,gŵydd,къа́з
174,Adler::N,eryr,
175,Ente::N,hwyad,псычэ́т
176,Eule::N,tylluan,тыгъурыгъу
177,Kranich::N,garan,къэрэ́у
178,Kranich::N,crychydd,къэрэ́у
179,Krähe::N,brân,къолэ́жъ
180,Kuckuck::N,cog,куку́у
181,Kuckuck::N,cwcw,куку́у
182,Schwan::N,alarch,
183,Fisch::N,pysgod,пцэжъы́й
184,Barsch::N,draenog,тхыкъэц
185,Hecht::N,penhwyad,лэнд
186,Schlange[Tier]::N,neidr,блэ́
187,Wurm::N,abwydyn,хьамлыу
188,Wurm::N,pryf genwair,хьамлыу
189,Spinne::N,cor,бэдж
190,Spinne::N,pryf copyn,бэдж
191,Ameise::N,morgrugyn,къамзэ́гу
192,Laus::N,lleuen,цӏэ
193,Mücke::N,gwybedyn,аргъо́й
194,Fliege::N,cleren,бадзэ́
195,Schmetterling::N,glöyn byw,хьампӏыра́шъу
196,Schmetterling::N,iâr fach yr haf,хьампӏыра́шъу
197,Beere::N,aeronen,маткӏо
198,Apfel::N,afal,мыӏэры́с
199,Pilz::N,madarch,хьаӏу
200,Zwiebel::N,nionyn,бжьыны́
201,Zwiebel::N,winwnsyn,бжьыны́
202,Saat::N,had,чылапхъ
203,Korn::N,grawn,цэ
204,Heu::N,gwair,мэкъу
205,Schale::N,croen,кӏы́шъу
206,Schale::N,plisgyn,кӏы́шъу
207,Grube::N,pwll,машэ́
208,Grube::N,pydew,машэ́
209,Falle::N,magl,зэраубытырэ́ ӏэмэпсы́м
210,Schlinge::N,cwlwm rhedeg,бзыуубыт
211,Spur::N,ôl,ужы
212,Spur::N,ôl,лъэуж
213,Asche::N,lludw,яжьэ́
214,Dreck::N,baw,псынжъы
215,Dreck::N,budreddi,псынжъы
216,Eisen::N,haearn,гыучӏы́
217,Eisen::N,haearn,къэнджа́л
218,Gold::N,aur,дышъэ́
219,Silber::N,arian,тыжьы́н
220,Kohle::N,glo,шӏомыкӏ
221,Glas::N,gwydr,апч
222,Lehm::N,clai,етӏагъо́
223,Sand::N,tywod,пшахъо
224,Mensch::N,dyn,цӏыфы́
225,Mann::N,dyn,хъулъфы́гъ
226,Frau::N,merch,бӏылъфыгъэ́
227,Frau::N,gwraig,бӏылъфыгъэ́
228,Kind::N,plentyn,кӏэлэцӏы́кӏу
229,Junge::N,hogyn,кӏэлэцӏы́кӏу
230,Junge::N,bachgen,кӏэлэцӏы́кӏу
231,Mädchen::N,merch,пшъэшъэжъый
232,Mädchen::N,geneth,пшъэшъэжъый
233,Familie::N,teulu,быны́
234,Familie::N,teulu,уна́гъу
235,Familie::N,tylwyth,быны́
236,Familie::N,tylwyth,уна́гъу
237,Großvater::N,taid,тэтэ́жъ
238,Großvater::N,tad-cu,тэтэ́жъ
239,Großmutter::N,nain,нэнэ́жъ
240,Großmutter::N,mam-gu,нэнэ́жъ
241,Eltern::N,rhieni,ны-тыхэ́р
242,Vater::N,tad,ты
243,Mutter::N,mam,ны
244,Sohn::N,mab,къо
245,Tochter::N,merch,пхъу
246,Bruder::N,brawd,шы
247,Schwester::N,chwaer,шы́пхъу
248,Onkel::N,ewythr,янэ́ш
249,Tante::N,modryb,атэшыпхъу
250,Ehemann::N,gŵr,лӏы
251,Ehefrau::N,gwraig,шъу́з
252,Freude::N,gorfoledd,гушӏуа́гъу
253,Gelächter::N,chwerthin,щхыныр
254,Glück::N,hapusrwydd,насы́п
255,Kummer::N,galar,тхьамыкӏагъу
256,Wunsch::N,dymuniad,шӏонгъоны́гъ
257,Lust::N,chwant,шӏонгъоны́гъ
258,Geist::N,ysbryd,гу
259,Gedanke::N,meddwl,гупшыс
260,Gedächtnis::N,cof,память
261,Verstand::N,meddwl,акъы́л
262,Sinn::N,ystyr,мэхьанэ
263,Grund::N,achos,ушъхьагъу
264,Grund::N,rheswm,ушъхьагъу
265,Wahrheit::N,gwir,шъыпкъэ́
266,Wahrheit::N,gwirionedd,шъыпкъэ́
267,Gespräch::N,sgwrs,гущыӏ
268,Märchen::N,chwedl werin,пшысэ
269,Erzählung::N,stori,къэба́р
270,Nachricht::N,neges,къэба́р
271,Neuigkeit::N,newydd,къэбарыкӏ
272,Name::N,enw,цӏэ
273,Rätsel::N,pos,коджэхь-къоджэшх
274,Rede::N,araith,гущыӏ
275,Sprache::N,iaith,бзэ
276,Stimme::N,llais,макъэ́
277,Wort::N,gair,гущыӏ
278,Zeichen::N,arwydd,тамы́гъ
279,Ruf::N,galwad,джэ макъ
280,Lärm::N,trwst,макъэ
281,Laut::N,sain,макъэ
282,Ton::N,tôn,
283,Lied::N,cân,орэ́д
284,Ruhe::N,tawelwch,самбырыныгъ
285,Leute::N,pobl,цӏыфхэ́р
286,Volk::N,pobl,цӏыф лъэпкъ
287,Arbeit::N,gwaith,ӏофшӏакӏэ́н
288,Gast::N,gwestai,хьакӏэ́
289,Geschenk::N,rhodd,шӏухьафтын
290,Geschenk::N,anrheg,шӏухьафтын
291,Spiel::N,chwarae,еоны́р
292,Spiel::N,chwarae,джэгуны́р
293,Spiel::N,chwarae,къегъэӏоны́р
294,Gesellschaft::N,cwmni,обществ
295,Hilfe::N,cymorth,ӏэпыӏэгъу
296,Freund::N,cyfaill,ныбджэгъу
297,Kamerad::N,cydymaith,ныбджэгъу
298,Angelegenheit::N,pwnc,ӏофы́
299,Anzahl::N,cyfrif,пчъагъэ́
300,Art::N,bath,изэрэщы́т
301,Art::N,bath,лъэпкъ
302,Stück::N,darn,такъы́р
303,Teil::N,rhan,щыщ
304,Teil::N,rhan,ӏахь
305,Hälfte::N,hanner,ныкъо́
306,Kreis::N,cylch,хъура́й
307,Kreuz::N,croes,къащ
308,Linie::N,llinell,хъахъ
309,Linie::N,llinell,итхъа́гъ
310,Strich::N,strôc,хъахъ
311,Strich::N,strôc,итхъагъ
312,Strich::N,trawiad,хъахъ
313,Strich::N,trawiad,итхъагъ
314,Abstand::N,bwlch,азыфагу
315,Abstand::N,pellter,азыфагу
316,Entfernung::N,pellter,чӏыгууанэ
317,Gegend::N,cylch,чӏыпӏэ́
318,Platz::N,lle,азыфагу
319,Ort::N,lle,чӏыпӏэ́
320,Seite::N,ochr,лъэны́къу
321,Mitte::N,canol,гузэ́гу
322,Gegenstand::N,eitem,пкъыгъо
323,Sache::N,peth,
324,Rand::N,cwr,цакӏэ́
325,Rand::N,ymyl,цакӏэ́
326,Kante::N,min,цэгэналъ
327,Kante::N,ymyl,цэгэналъ
328,Ecke::N,cornel,къогъу
329,Spitze::N,blaen,пакӏэ
330,Ende::N,pen,кӏэ
331,Loch::N,twll,гъуа́н
332,Winkel::N,congl,къогъу
333,Muster::N,patrwm,тхыпхъэ
334,Größe::N,maint,иина́гъ
335,Größe::N,maintioli,иина́гъ
336,Länge::N,hyd,икӏыхьа́гъ
337,Höhe::N,uchder,лъэгагъ
338,Gewicht::N,pwysau,онтэгъугъэ́
339,Menge::N,swm,пчъагъэ́
340,Menge::N,maint,пчъагъэ́
341,Haufen::N,pentwr,ӏат
342,Reihe::N,rhes,саты́р
343,Boot::N,cwch,къуашъо́
344,Ruder::N,rhwyf,къошъобэ́щ
345,Schlitten::N,sled,
346,Schlitten::N,car llusg,
347,Ski::N,sgi,лыжэхэр
348,Lagerfeuer::N,coelcerth,пхъэмашӏу
349,Last::N,llwyth,
350,Gang::N,tro,кӏоныр
351,Schritt::N,cam,лъэубэ́къу
352,Norden::N,gogledd,темы́р
353,Süden::N,de,къыблэ́
354,Westen::N,gorllewin,тыгъэкъохьа́пӏ
355,Osten::N,dwyrain,тыгьэкъокӏы́пӏ
356,Holz::N,pren,чъыгы́
357,Brett::N,bwrdd,пхъэ́мбгъу
358,Brett::N,astell,пхъэ́мбгъу
359,Platte::N,llech,упсыхьагъ
360,Stütze::N,ateg,кӏэгъэкъон
361,Stütze::N,cynhalydd,кӏэгъэкъон
362,Stange::N,polyn,къорэ́гъ
363,Stock::N,ffon,бэщ
364,Stock::N,brigyn,бэщ
365,Stab::N,ffon,бэщ кӏы́хь
366,Rohr::N,pibell,онджэкъ
367,Haus::N,tŷ,унэ́
368,Heim::N,cartref,унэ́
369,Ofen::N,stof,гъэжъэн
370,Fußboden::N,llawr,джэхашъу
371,Tisch::N,bwrdd,стол
372,Stuhl::N,cadair,пхъэнтӏэ́кӏу
373,Wiege::N,crud,кушъэ́
374,Bett::N,gwely,пӏэкӏо́р
375,Regal::N,silff,мэкӏай
376,Kiste::N,bocs,ящык
377,Kiste::N,blwch,ящык
378,Fenster::N,ffenestr,шъхьаныгъу́пчъ
379,Tür::N,drws,пчъэ
380,Tor::N,porth,къэла́пчъ
381,Zaun::N,ffens,шӏыхьагъэ́
382,Dach::N,to,шъхьэ́
383,Leiter::N,ysgol,лъэо́й
384,Leiter::N,ysgol,дэкӏояпӏэ́
385,Besen::N,ysgub,пхъэнкӏы́пхъ
386,Spaten::N,rhaw,къазгъы́р
387,Schaufel::N,rhaw,хэӏалъ
388,Gabel::N,fforc,цацэ
389,Löffel::N,llwy,джэмы́шх
390,Messer::N,cyllell,шъэжъы́й
391,Nagel::N,hoel,гъучӏыӏу́н
392,Netz::N,gwe,хъытыу
393,Netz::N,rhwyd,хъытыу
394,Haken::N,bach,хьажтӏаркъу
395,Griff::N,carn,къопс
396,Schloss::N,clo,ӏункӏы́бз
397,Bild::N,llun,сурэ́т
398,Bild::N,pictiwr,сурэ́т
399,Figur::N,ffigur,
400,Puppe::N,dol,нысхъа́п
401,Beutel::N,cwd,дзыо́
402,Bündel::N,bwndel,
403,Bündel::N,coflaid,
404,Tasche::N,cod,ӏэлъмэ́къ
405,Eimer::N,bwced,щалъ
406,Eimer::N,cunnog,щалъ
407,Deckel::N,caead,шъхьэ
408,Geschirr::N,llestri,хьакъу-шыкъу
409,Sack::N,sach,дзыо́
410,Tasse::N,cwpan,чашк
411,Topf::N,pot,кастрюль
412,Topf::N,crochan,кастрюль
413,Kessel::N,tegell,шыуа́н
414,Essen::N,pryd o fwyd,шхэн
415,Nahrung::N,bwyd,шхэн
416,Speise::N,saig,шхыныгъу
417,Fleisch::N,cig,лы
418,Getreide::N,ŷd,лэжьыгъацэ́
419,Getreide::N,llafur,лэжьыгъацэ́
420,Brei::N,uwd,пӏастэ́
421,Brot::N,bara,хьалыгъу
422,Scheibe::N,tafell,такъы́р
423,Fett::N,saim,дагъэ́
424,Fett::N,braster,дагъэ́
425,Butter::N,ymenyn,тхъу
426,Öl::N,olew,тхъу
427,Salz::N,halen,щыгъу
428,Suppe::N,cawl,хьантхъупс
429,Honig::N,mêl,шъоу́
430,Milch::N,llaeth,щэ
431,Milch::N,llefrith,щэ
432,Tee::N,te,щай
433,Leder::N,lledr,кӏы́шъу
434,Wolle::N,gwlân,цы
435,Stoff::N,lliain,шэкӏы
436,Stoff::N,brethyn,шэкӏы
437,Nadel::N,nodwydd,бгъэ́хаӏу
