,Concept_ID,ja,es
0,Auge::N,目,ojo
1,Ohr::N,耳,oreja
2,Nase::N,鼻,nariz
3,Mund::N,口,boca
4,Zahn::N,歯,diente
5,Zunge::N,舌,lengua
6,Lippe::N,唇,labio
7,Wange::N,頬,mejilla
8,Gesicht::N,顔,cara
9,Stirn::N,額,frente
10,Haar::N,髪,cabello
11,Schnurrbart::N,口髭,bigote
12,Bart::N,髭,barba
13,Kinn::N,顎,barbilla
14,Kiefer[Anatomie]::N,顎,mandíbula
15,Kehle::N,喉,garganta
16,Hals::N,首,cuello
17,Genick::N,首,nuca
18,Genick::N,首,cerviz
19,Kopf::N,頭,cabeza
20,Rücken::N,背中,espalda
21,Bauch::N,腹,vientre
22,Bauch::N,お腹,vientre
23,Nabel::N,へそ,ombligo
24,Busen::N,乳房,pecho
25,Brust::N,胸,pecho
26,Schulter::N,肩,hombro
27,Arm::N,腕,brazo
28,Ellenbogen::N,肘,codo
29,Hand::N,手,mano
30,Handfläche::N,手のひら,palma
31,Finger::N,指,dedo
32,Fingernagel::N,爪,uña
33,Nagel[Anatomie]::N,爪,uña
34,Zeh::N,足の指,dedo del pie
35,Fuß::N,足,pie
36,Ferse::N,かかと,talón
37,Knie::N,膝,rodilla
38,Oberschenkel::N,上腿,muslo
39,Bein::N,足,pierna
40,Körper::N,体,cuerpo
41,Haut::N,皮膚,piel
42,Blut::N,血,sangre
43,Ader::N,血管,vena
44,Sehne::N,腱,tendón
45,Knochen::N,骨,hueso
46,Gehirn::N,脳,cerebro
47,Gehirn::N,脳,encéfalo
48,Herz::N,心,corazón
49,Herz::N,心臓,corazón
50,Magen::N,胃,estómago
51,Leber::N,肝臓,hígado
52,Atem::N,息,aliento
53,Atem::N,呼吸,aliento
54,Hunger::N,空腹,hambre
55,Träne::N,涙,lágrima
56,Geschmack::N,味,gusto
57,Geruch::N,匂い,olor
58,Schlaf::N,睡眠,sueño
59,Traum::N,夢,sueño
60,Traum::N,夢,ensueño
61,Himmel::N,空,cielo
62,Sonne::N,太陽,sol
63,Mond::N,月,luna
64,Stern::N,星,estrella
65,Luft::N,空気,aire
66,Wind::N,風,viento
67,Welle::N,波,ola
68,Welle::N,波,onda
69,Wasser::N,水,agua
70,Stein::N,石,piedra
71,Boden::N,土地,suelo
72,Erde::N,土,tierra
73,Staub::N,埃,polvo
74,Rauch::N,煙,humo
75,Funke::N,火花,chispa
76,Feuer::N,火,fuego
77,Licht::N,光,luz
78,Schatten::N,陰,sombra
79,Wetter::N,天気,tiempo
80,Nebel::N,霧,niebla
81,Wolke::N,雲,nube
82,Regen::N,雨,lluvia
83,Schnee::N,雪,nieve
84,Eis::N,氷,hielo
85,Frost::N,霜,helada
86,Kälte::N,寒さ,frío
87,Hitze::N,暑さ,calor
88,Raureif::N,霧氷,escarcha
89,Regenbogen::N,虹,arco iris
90,Donner::N,雷,trueno
91,Strömung::N,流れ,corriente
92,Tropfen::N,滴,gota
93,Schaum::N,泡,espuma
94,Schmutz::N,汚れ,suciedad
95,See::N,湖,lago
96,Sumpf::N,沼,pantano
97,Moor::N,湿原,turbera
98,Wiese::N,草原,prado
99,Wiese::N,草原,pradera
100,Wald::N,森,bosque
101,Hügel::N,丘,colina
102,Anhöhe::N,高み,cerro
103,Berg::N,山,monte
104,Berg::N,山,montaña
105,Gipfel::N,頂上,cima
106,Gipfel::N,頂上,cumbre
107,Höhle::N,洞窟,cueva
108,Höhle::N,洞窟,caverna
109,Abhang::N,斜面,cuesta
110,Abhang::N,斜面,declive
111,Quelle::N,泉,fuente
112,Quelle::N,泉,manantial
113,Bach::N,小川,arroyo
114,Fluss::N,川,río
115,Ufer::N,岸,orilla
116,Küste::N,海岸,costa
117,Festland::N,陸,tierra firme
118,Meer::N,海,mar
119,Bucht::N,湾,cala
120,Bucht::N,湾,bahía
121,Insel::N,島,isla
122,Blume::N,花,flor
123,Gras::N,草,hierba
124,Wurzel::N,根,raíz
125,Baum::N,木,árbol
126,Stamm::N,幹,tronco
127,Rinde::N,皮層,corteza
128,Ast::N,枝,rama
129,Zweig::N,小枝,ramo
130,Blatt::N,葉,hoja
131,Birke::N,樺,abedul
132,Kiefer[Baum]::N,松,pino
133,Weide[Baum]::N,柳,sauce
134,Tanne::N,樅,abeto
135,Horn::N,角,asta
136,Horn::N,角,cuerno
137,Feder::N,羽根,pluma
138,Fell::N,毛皮,piel
139,Flügel::N,羽,ala
140,Klaue::N,鉤爪,garra
141,Kralle::N,爪,uña
142,Kralle::N,爪,garra
143,Schwanz::N,尻尾,cola
144,Ei::N,卵,huevo
145,Nest::N,巣,nido
146,Bau::N,穴,madriguera
147,Tier::N,動物,animal
148,Herde::N,群れ,rebaño
149,Kuh::N,牛,vaca
150,Bulle::N,雄牛,toro
151,Pferd::N,馬,caballo
152,Schaf::N,羊,oveja
153,Schwein::N,豚,cerdo
154,Hund::N,犬,perro
155,Katze::N,猫,gato
156,Bär::N,熊,oso
157,Eichhörnchen::N,栗鼠,ardilla
158,Elch::N,ヘラジカ,alce
159,Fuchs::N,狐,zorro
160,Hase::N,兎,liebre
161,Maus::N,鼠,ratón
162,Wolf::N,狼,lobo
163,Vogel::N,鳥,ave
164,Vogel::N,鳥,pájaro
165,Schwarm::N,群れ,bandada
166,Huhn::N,鶏,gallina
167,Hahn::N,雄鶏,gallo
168,Gans::N,ガチョウ,oca
169,Gans::N,ガチョウ,ganso
170,Adler::N,鷲,águila
171,Ente::N,鴨,pato
172,Eule::N,フクロウ,lechuza
173,Kranich::N,鶴,grulla
174,Krähe::N,烏,corneja
175,Kuckuck::N,郭公,cuco
176,Schwan::N,白鳥,cisne
177,Fisch::N,魚,pez
178,Barsch::N,鱸,perca
179,Hecht::N,川魳,lucio
180,Schlange[Tier]::N,蛇,serpiente
181,Wurm::N,虫,gusano
182,Spinne::N,蜘蛛,araña
183,Ameise::N,蟻,hormiga
184,Laus::N,虱,piojo
185,Mücke::N,蚊,mosquito
186,Fliege::N,蝿,mosca
187,Schmetterling::N,蝶,mariposa
188,Beere::N,漿果,baya
189,Apfel::N,林檎,manzana
190,Pilz::N,茸,seta
191,Pilz::N,茸,hongo
192,Zwiebel::N,玉葱,cebolla
193,Saat::N,種,siembra
194,Korn::N,粒,grano
195,Heu::N,干し草,heno
196,Schale::N,皮,cáscara
197,Grube::N,穴,foso
198,Falle::N,わな,trampa
199,Schlinge::N,輪,lazo
200,Spur::N,跡,huella
201,Asche::N,灰,ceniza
202,Dreck::N,泥,suciedad
203,Eisen::N,鉄,hierro
204,Gold::N,金,oro
205,Silber::N,銀,plata
206,Kohle::N,炭,carbón
207,Glas::N,ガラス,vidrio
208,Glas::N,ガラス,cristal
209,Lehm::N,ローム,barro
210,Sand::N,砂,arena
211,Mensch::N,人,hombre
212,Mensch::N,人,ser humano
213,Mann::N,男,hombre
214,Mann::N,男性,hombre
215,Frau::N,女,mujer
216,Frau::N,女性,mujer
217,Kind::N,子,niño
218,Kind::N,子供,niño
219,Junge::N,男の子,chico
220,Junge::N,男の子,muchacho
221,Mädchen::N,女の子,chica
222,Mädchen::N,女の子,muchacha
223,Familie::N,家族,familia
224,Großvater::N,祖父,abuelo
225,Großvater::N,おじいさん,abuelo
226,Großmutter::N,祖母,abuela
227,Großmutter::N,おばあさん,abuela
228,Eltern::N,親,padres
229,Eltern::N,両親,padres
230,Vater::N,父,padre
231,Vater::N,お父さん,padre
232,Mutter::N,母,madre
233,Mutter::N,お母さん,madre
234,Sohn::N,息子,hijo
235,Sohn::N,息子さん,hijo
236,Tochter::N,娘,hija
237,Tochter::N,お嬢さん,hija
238,Bruder::N,弟,hermano
239,Schwester::N,妹,hermana
240,Onkel::N,伯父,tío
241,Onkel::N,伯父さん,tío
242,Tante::N,叔母,tía
243,Tante::N,叔母さん,tía
244,Ehemann::N,夫,esposo
245,Ehemann::N,主人,esposo
246,Ehefrau::N,妻,esposa
247,Ehefrau::N,奥さん,esposa
