,Concept_ID,ta,fr
0,Auge::N,கண்,œil
1,Ohr::N,காது,oreille
2,Nase::N,மூக்கு,nez
3,Mund::N,வாய்,bouche
4,Zahn::N,பல்,dent
5,Zunge::N,நாக்கு,langue
6,Lippe::N,உதடு,lèvre
7,Wange::N,கன்னம்,joue
8,Gesicht::N,முகம்,face
9,Gesicht::N,முகம்,visage
10,Stirn::N,முன்னெற்றி,front
11,Haar::N,முடி,cheveu
12,Schnurrbart::N,மீசை,moustache
13,Bart::N,தாடி,barbe
14,Kinn::N,கீழதாடை,menton
15,Kiefer[Anatomie]::N,தாடை,mâchoire
16,Kehle::N,தொண்டை,gorge
17,Hals::N,கழுத்து,cou
18,Genick::N,கழுத்து,nuque
19,Kopf::N,தலை,tête
20,Rücken::N,முதுகு,dos
21,Bauch::N,வயிறு,ventre
22,Nabel::N,தொப்புள்,nombril
23,Busen::N,மார்பகம்,sein
24,Brust::N, மார்பு,poitrine
25,Schulter::N,தோள்பட்டை,épaule
26,Arm::N,கரம்,bras
27,Ellenbogen::N,முழங்கை,coude
28,Hand::N,கை,main
29,Handfläche::N,உள்ளங்கை,paume
30,Finger::N,விரல்,doigt
31,Fingernagel::N,விரல் நகம்,ongle
32,Nagel[Anatomie]::N,நகம்,ongle
33,Zeh::N,கால்விரல்,orteil
34,Zeh::N,கால்விரல்,doigt de pied
35,Fuß::N,கால்,pied
36,Ferse::N,குதிகால்,talon
37,Knie::N,முழங்கால்,genou
38,Oberschenkel::N,தொடை,cuisse
39,Bein::N,கால்,jambe
40,Körper::N,உடல்,corps
41,Haut::N,சருமம்,peau
42,Blut::N,இரத்தம்,sang
43,Ader::N,நாளம்,veine
44,Sehne::N,தசைநார்,tendon
45,Knochen::N,எலுமபு,os
46,Gehirn::N,மூனை,cerveau
47,Herz::N,இதயம,cœur
48,Magen::N,வயிறு,estomac
49,Leber::N,கல்லீரல்,foie
50,Atem::N,மூச்சு,haleine
51,Hunger::N,பசி,faim
52,Träne::N,கண்ணீர்,larme
53,Geschmack::N,நறுமணம்,goût
54,Geschmack::N,நறுமணம்,saveur
55,Geruch::N,துர்நாற்றம்,odeur
56,Schlaf::N,தூக்கம்,sommeil
57,Traum::N,கனவு,songe
58,Himmel::N,வானம்,ciel
59,Sonne::N,சூரியன்,soleil
60,Mond::N,சந்திரன்,lune
61,Stern::N,நட்சத்திரம்,étoile
62,Luft::N,காறறு,air
63,Wind::N,காற்று,vent
64,Welle::N,அலை,vague
65,Wasser::N,நீர்,eau
66,Stein::N,கல்,pierre
67,Boden::N,தரை,sol
68,Boden::N,தரை,terrain
69,Erde::N,மண்,terre
70,Staub::N,தூசி,poussière
71,Rauch::N,புகை,fumée
72,Funke::N,தீப்பொறி,étincelle
73,Feuer::N,தீ,feu
74,Licht::N,வெளிச்சம்,lumière
75,Schatten::N,நிழல்,ombre
76,Wetter::N,வானிலை,temps
77,Nebel::N,பனிமூட்டம்,brume
78,Nebel::N,பனிமூட்டம்,brouillard
79,Wolke::N,மேகம்,nuage
80,Regen::N,மழை,pluie
81,Schnee::N,உறைபனி,neige
82,Eis::N,பனிக்கட்டி,glace
83,Frost::N,உறைபனி,gel
84,Frost::N,உறைபனி,gelée
85,Kälte::N,குளிர்ந்த,froid
86,Hitze::N,சூடு,chaleur
87,Raureif::N,உறைபனி வெண்திரை,givre
88,Regenbogen::N,வானவில்,arc-en-ciel
89,Donner::N,இடி,tonnerre
90,Strömung::N,நீரோட்டம்,courant
91,Tropfen::N,துளி,goutte
92,Schaum::N,நுரை,écume
93,Schaum::N,நுரை,mousse
94,Schmutz::N,அழுக்கு,boue
95,Schmutz::N,அழுக்கு,saleté
96,See::N,ஏரி,lac
97,Sumpf::N,சதுப்பு நிலம்,marais
98,Sumpf::N,சதுப்பு நிலம்,marécage
99,Moor::N,முட்புதற்காடு,tourbière
100,Wiese::N,பசும் புல்தரை,pré
101,Wald::N,காடு,bois
102,Wald::N,காடு,forêt
103,Hügel::N,குன்று,coteau
104,Hügel::N,குன்று,colline
105,Anhöhe::N,பதுக்கை,éminence
106,Anhöhe::N,பதுக்கை,élévation
107,Berg::N,மலை,mont
108,Berg::N,மலை,montagne
109,Gipfel::N,உச்சி மாநாடு,cime
110,Gipfel::N,உச்சி மாநாடு,sommet
111,Höhle::N,குகை,caverne
112,Abhang::N,சரிவு,pente
113,Abhang::N,சரிவு,versant
114,Quelle::N,மூலம்,source
115,Quelle::N,மூலம்,fontaine
116,Bach::N,ஓடை,ruisseau
117,Fluss::N,ஆறு,fleuve
118,Fluss::N,ஆறு,rivière
119,Ufer::N,நீர்க்கரை,bord
120,Ufer::N,நீர்க்கரை,rivage
121,Küste::N,கடற்கரை,côte
122,Festland::N,நிலம்,terre ferme
123,Meer::N,கடல்,mer
124,Bucht::N,சிறுகுடா,baie
125,Insel::N,தீவு,île
126,Blume::N,பூ,fleur
127,Gras::N,புல்தரை,herbe
128,Wurzel::N,வேர்,racine
129,Baum::N,மரம்,arbre
130,Stamm::N,அடிமரம்,tronc
131,Rinde::N,பட்டை,écorce
132,Rinde::N,மரப்பட்டை,écorce
133,Ast::N,கினை,branche
134,Zweig::N,குச்சி,rameau
135,Blatt::N,இலை,feuille
136,Birke::N,பிர்ச் மரம்,bouleau
137,Kiefer[Baum]::N,தேவதாரு மரம்,pin
138,Weide[Baum]::N,மர வகைகளுள் ஒன்று,saule
139,Tanne::N,சாதிக்கய்,sapin
140,Horn::N,கொம்பு,corne
141,Feder::N,இறகு,plume
142,Fell::N,மென்முடி,peau
143,Flügel::N,இறக்கை,aile
144,Klaue::N,நகம்,serre
145,Kralle::N,நகம்,ongle
146,Kralle::N,நகம்,griffe
147,Schwanz::N,வால்,queue
148,Ei::N,முட்டை,œuf
149,Nest::N,கூடு,nid
150,Bau::N,குகை,terrier
151,Tier::N,விலங்கு,animal
152,Herde::N,கூட்டம்,troupeau
153,Kuh::N,பசு,vache
