,Concept_ID,is,es
0,Auge::N,auga,ojo
1,Ohr::N,eyra,oreja
2,Nase::N,nef,nariz
3,Mund::N,munnur,boca
4,Zahn::N,tönn,diente
5,Zunge::N,tunga,lengua
6,Lippe::N,vör,labio
7,Wange::N,kinn,mejilla
8,Wange::N,vangi,mejilla
9,Gesicht::N,andlit,cara
10,Stirn::N,enni,frente
11,Haar::N,hár,cabello
12,Schnurrbart::N,yfirskegg,bigote
13,Bart::N,skegg,barba
14,Kinn::N,haka,barbilla
15,Kiefer[Anatomie]::N,kjálki,mandíbula
16,Kiefer[Anatomie]::N,skoltur,mandíbula
17,Kehle::N,kverk,garganta
18,Hals::N,háls,cuello
19,Genick::N,hnakki,nuca
20,Genick::N,hnakki,cerviz
21,Kopf::N,höfuð,cabeza
22,Rücken::N,hryggur,espalda
23,Bauch::N,kviður,vientre
24,Nabel::N,nafli,ombligo
25,Busen::N,barmur,pecho
26,Brust::N,brjóst,pecho
27,Schulter::N,öxl,hombro
28,Arm::N,armur,brazo
29,Ellenbogen::N,olnbogi,codo
30,Hand::N,hönd,mano
31,Handfläche::N,lófi,palma
32,Finger::N,fingur,dedo
33,Fingernagel::N,fingurnögl,uña
34,Nagel[Anatomie]::N,nögl,uña
35,Zeh::N,tá,dedo del pie
36,Fuß::N,fótur,pie
37,Ferse::N,hæll,talón
38,Knie::N,kné,rodilla
39,Oberschenkel::N,læri,muslo
40,Bein::N,fótleggur,pierna
41,Körper::N,búkur,cuerpo
42,Körper::N,líkami,cuerpo
43,Haut::N,húð,piel
44,Haut::N,skinn,piel
45,Blut::N,blóð,sangre
46,Ader::N,æð,vena
47,Sehne::N,sin,tendón
48,Knochen::N,bein,hueso
49,Gehirn::N,heili,cerebro
50,Gehirn::N,heili,encéfalo
51,Herz::N,hjarta,corazón
52,Magen::N,magi,estómago
53,Leber::N,lifur,hígado
54,Atem::N,andi,aliento
55,Atem::N,andardráttur,aliento
56,Hunger::N,hungur,hambre
57,Träne::N,tár,lágrima
58,Geschmack::N,smekkur,gusto
59,Geruch::N,lykt,olor
60,Schlaf::N,svefn,sueño
61,Traum::N,draumur,sueño
62,Traum::N,draumur,ensueño
63,Himmel::N,himinn,cielo
64,Sonne::N,sól,sol
65,Mond::N,tungl,luna
66,Stern::N,stjarna,estrella
67,Luft::N,loft,aire
68,Wind::N,vindur,viento
69,Welle::N,alda,ola
70,Welle::N,alda,onda
71,Welle::N,bylgja,ola
72,Welle::N,bylgja,onda
73,Wasser::N,vatn,agua
74,Stein::N,steinn,piedra
75,Boden::N,botn,suelo
76,Erde::N,jörð,tierra
77,Staub::N,ryk,polvo
78,Staub::N,duft,polvo
79,Rauch::N,reykur,humo
80,Funke::N,neisti,chispa
81,Feuer::N,eldur,fuego
82,Licht::N,ljós,luz
83,Schatten::N,skuggi,sombra
84,Wetter::N,veður,tiempo
85,Nebel::N,þoka,niebla
86,Wolke::N,ský,nube
87,Regen::N,regn,lluvia
88,Schnee::N,snjór,nieve
89,Eis::N,ís,hielo
90,Frost::N,frost,helada
91,Kälte::N,kuldi,frío
92,Hitze::N,hiti,calor
93,Raureif::N,hrím,escarcha
