,Concept_ID,myv,ce
0,Auge::N,сельме,бӏаьрг
1,Ohr::N,пиле,лерг
2,Nase::N,судо,мара
3,Mund::N,курго,бага
4,Zahn::N,пей,церг
5,Zunge::N,кель,мотт
6,Lippe::N,турва,балда
7,Wange::N,чамабока,бесни
8,Wange::N,чамаумарь,бесни
9,Gesicht::N,чама,юьхь
10,Stirn::N,коня,хьаж
11,Haar::N,черь,мас
12,Schnurrbart::N,ус,мекх
13,Schnurrbart::N,муюк,мекх
14,Bart::N,сакал,маж
15,Kinn::N,уло,чӏениг
16,Kiefer[Anatomie]::N,пейпакар,мочхал
17,Kiefer[Anatomie]::N,пейловажа,мочхал
18,Kehle::N,кирьгапарь,къамкъарг
19,Hals::N,кирьга,ворта
20,Genick::N,човонь,кӏесаркӏаг
21,Kopf::N,пря,корта
22,Rücken::N,копорь,букъ
23,Bauch::N,пеке,кийра
24,Nabel::N,почо,цӏонга
25,Busen::N,поте,зударийн накха
26,Brust::N,меште,накха
27,Schulter::N,лавтов,белш
28,Arm::N,кедь,пхьарс
29,Ellenbogen::N,кенерепакарь,пхьаьрсан гола
30,Hand::N,кедь,куьг
31,Handfläche::N,кедькуншка,кераюкъ
32,Handfläche::N,кедьлапушка,кераюкъ
33,Finger::N,сур,пӏелг
34,Fingernagel::N,кенже,мӏара
35,Nagel[Anatomie]::N,кенже,мӏара
36,Zeh::N,пильге сур,кога пӏелг
37,Fuß::N,пильге,ког
38,Ferse::N,кочкаря,кӏажа
39,Knie::N,эле,гола
40,Knie::N,эзне,гола
41,Knie::N,кумажа,гола
42,Oberschenkel::N,качо,варе
43,Bein::N,пильге,ког
44,Körper::N,рунго,хӏума
45,Haut::N,киське,чкъор
46,Blut::N,верь,цӏий
47,Ader::N,сан,пха
48,Sehne::N,коське сан,хьорзам
49,Knochen::N,пакарь,даьӏахк
50,Gehirn::N,удем,хье
51,Herz::N,седей,дог
52,Magen::N,пеке,зорх
53,Leber::N,максо,доӏах
54,Atem::N,лексема,садеӏар
55,Atem::N,оймень таргсема,садеӏар
56,Hunger::N,вачочи,мацалла
57,Träne::N,селведь,бӏаьрхи
58,Geschmack::N,тансть,чам
59,Geruch::N,чине,хьожа
60,Schlaf::N,удома,наб
61,Traum::N,он,гӏан
62,Himmel::N,менель,стигал
63,Sonne::N,чи,малх
64,Mond::N,ков,бутт
65,Stern::N,теште,седа
66,Luft::N,кошт,xӏаваъ
67,Wind::N,варма,мох
68,Welle::N,толкун,тулгӏе
69,Wasser::N,ведь,хи
70,Stein::N,кев,тӏулг
71,Boden::N,мода,цӏенкъа
72,Erde::N,мастор,латта
73,Staub::N,пуль,чан
74,Rauch::N,качамо,кӏур
75,Funke::N,сятко,суй
76,Feuer::N,тол,цӏе
77,Licht::N,валдо,серло
78,Schatten::N,сулей,ӏиндагӏ
79,Schatten::N,сулейкс,ӏиндагӏ
80,Wetter::N,ушо,хенан хӏоттам
81,Nebel::N,сув,дохк
82,Wolke::N,пель,марха
83,Regen::N,пиземс,догӏа
84,Schnee::N,лов,ло
85,Eis::N,эй,ша
86,Frost::N,кельме,шело
87,Kälte::N,якшамо,шело
88,Hitze::N,пси,йовхо
89,Raureif::N,лекш,йис
90,Regenbogen::N,пурьгинечирьке,стелаӏад
