,Concept_ID,ga,kv
0,Auge::N,súil,син
1,Ohr::N,cluas,пель
2,Nase::N,soc,ныр
3,Mund::N,béal,ӧм
4,Zahn::N,fiacail,пинь
5,Zunge::N,teanga,кыв
6,Lippe::N,liopa,тырп
7,Wange::N,grua,рожабан
8,Wange::N,leiceann,рожабан
9,Gesicht::N,éadan,бан
10,Gesicht::N,aghaidh,бан
11,Stirn::N,baithis,кымӧс
12,Stirn::N,clár éadain,кымӧс
13,Haar::N,gruaig,юрси
14,Schnurrbart::N,croiméal,уссэз
15,Bart::N,féasóg,тош
16,Kinn::N,smig,тшӧка
17,Kiefer[Anatomie]::N,giall,ан
18,Kehle::N,scornach,юан
19,Hals::N,muinéal,юан
20,Genick::N,baic,юр бӧр
21,Kopf::N,ceann,юр
22,Rücken::N,droim,мышк
23,Bauch::N,bolg,кынӧм
24,Nabel::N,imleacán,гӧг
25,Busen::N,cíoch,морос
26,Brust::N,brollach,морос
27,Schulter::N,gualainn,пельпон
28,Arm::N,lámh,ки
29,Ellenbogen::N,uillinn,гырдзза
30,Hand::N,lámh,кикар
31,Handfläche::N,bos,ки пыдӧс
32,Finger::N,méar,чунь
33,Fingernagel::N,ionga,гыж
34,Nagel[Anatomie]::N,ionga,гыж
35,Zeh::N,ladhar,чунь
36,Fuß::N,cos,кокпыдӧс
37,Fuß::N,troigh,кокпыдӧс
38,Ferse::N,sáil,кокдзир
39,Knie::N,glúin,пидзӧс
40,Oberschenkel::N,ceathrú,лядьбей
41,Bein::N,cos,кок
42,Körper::N,corp,вывтыр
43,Körper::N,colainn,вывтыр
44,Haut::N,cneas,кучик
45,Haut::N,craiceann,кучик
46,Blut::N,fuil,вир
47,Sehne::N,teannán,жила
48,Sehne::N,féitheog,жила
49,Knochen::N,cnámh,коска
50,Gehirn::N,inchinn,вем
51,Herz::N,croí,сьӧлӧм
52,Magen::N,bolg,жӧвдӧк
53,Magen::N,goile,жӧвдӧк
54,Leber::N,ae,мус
55,Atem::N,anáil,лолалӧм
56,Hunger::N,ocras,тшыг
57,Träne::N,deoir,синва
58,Geschmack::N,blas,кӧр
59,Geruch::N,boladh,дук
60,Schlaf::N,suan,он
61,Schlaf::N,codladh,он
62,Traum::N,taibhreamh,вӧт
63,Himmel::N,spéir,небо
64,Sonne::N,grian,шондi
65,Mond::N,ré,тӧлiсь
66,Mond::N,gealach,тӧлiсь
67,Stern::N,rinn,кӧдзыв
68,Stern::N,réalta,кӧдзыв
69,Luft::N,aer,ру
70,Wind::N,gaoth,тӧв
71,Welle::N,tonn,гы
72,Wasser::N,uisce,ва
73,Stein::N,cloch,из
74,Boden::N,talamh,му
75,Erde::N,cré,му
76,Erde::N,ithir,му
77,Staub::N,dusta,бус
78,Staub::N,deannach,бус
79,Rauch::N,toit,тшын
80,Rauch::N,deatach,тшын
81,Funke::N,drithle,бичир
82,Feuer::N,tine,би
83,Licht::N,solas,би
84,Schatten::N,scáth,вуджӧр
85,Wetter::N,aimsir,погоддя
86,Nebel::N,ceo,туман
87,Wolke::N,néal,кымӧр
88,Wolke::N,scamall,кымӧр
89,Regen::N,báisteach,зэр
90,Regen::N,fearthainn,зэр
91,Schnee::N,sneachta,лым
92,Eis::N,oighear,йы
93,Frost::N,sioc,мороз
94,Kälte::N,fuacht,кӧдзыт
95,Hitze::N,teas,ӧд
96,Hitze::N,teocht,ӧд
97,Raureif::N,sioc bán,кижа
98,Regenbogen::N,stua ceatha,енӧшка
99,Regenbogen::N,bogha báistí,енӧшка
100,Donner::N,toirneach,гым
101,Strömung::N,sruth,визывтӧм
102,Tropfen::N,deoir,тёп
103,Schaum::N,cúr,быг
104,Schmutz::N,salachar,нять
105,See::N,loch,ты
106,Sumpf::N,portach,арай
107,Moor::N,caorán,нюр
108,Moor::N,móinteán,нюр
109,Wiese::N,cluain,видз
110,Wiese::N,móinéar,видз
111,Wald::N,coill,вӧр
112,Wald::N,foraois,вӧр
113,Hügel::N,ard,мыльк
114,Anhöhe::N,ard,вывтас
115,Anhöhe::N,ard,вылынін
116,Anhöhe::N,ardán,вывтас
117,Anhöhe::N,ardán,вылынін
118,Berg::N,sliabh,керӧс
119,Gipfel::N,barr,йыв
120,Gipfel::N,mullach,йыв
121,Höhle::N,uaimh,нора
122,Höhle::N,pluais,нора
123,Abhang::N,fána,покат
124,Quelle::N,foinse,больган
125,Bach::N,sruthán,шор
126,Fluss::N,abhainn,ю
127,Ufer::N,bruach,берег
128,Küste::N,cósta,берег
129,Küste::N,cladach,берег
130,Festland::N,míntír,му
131,Meer::N,muir,море
132,Meer::N,farraige,море
133,Bucht::N,bá,курья
134,Bucht::N,cuan,курья
135,Insel::N,inis,
136,Insel::N,oileán,
137,Blume::N,bláth,цветок
138,Gras::N,féar,турун
139,Wurzel::N,rúta,вуж
140,Wurzel::N,fréamh,вуж
141,Baum::N,crann,пу
142,Stamm::N,stoc,мыр
143,Stamm::N,stoc,кер
144,Stamm::N,tamhan,мыр
145,Stamm::N,tamhan,кер
146,Rinde::N,coirt,кач
147,Rinde::N,craiceann,кач
148,Ast::N,géag,ув
149,Zweig::N,géag,ув
150,Zweig::N,craobh,ув
151,Blatt::N,duille,лист
152,Blatt::N,duilleog,лист
153,Birke::N,beith,кыдз
154,Birke::N,crann beithe,кыдз
155,Kiefer[Baum]::N,péine,пожум
156,Weide[Baum]::N,saileach,бадь
157,Tanne::N,giúis,кӧз
158,Horn::N,adharc,сюр
159,Feder::N,cleite,гӧн
160,Fell::N,clúmh,кучик
161,Flügel::N,eite,борд
162,Flügel::N,sciathán,борд
163,Klaue::N,crúb,гыж
164,Klaue::N,crobh,гыж
165,Kralle::N,crobh,кабыр
166,Schwanz::N,eireaball,бӧж
167,Ei::N,ubh,кольть
168,Nest::N,nead,поз
169,Bau::N,brocais,осьта
170,Bau::N,brocais,нора
171,Tier::N,ainmhí,зверь
172,Tier::N,beithíoch,зверь
173,Herde::N,tréad,гурт
174,Kuh::N,bó,мӧс
175,Bulle::N,tarbh,ӧшка
176,Pferd::N,each,вӧв
177,Pferd::N,capall,вӧв
