,Concept_ID,uz,fr
0,Auge::N,ko'z,œil
1,Ohr::N,quloq,oreille
2,Nase::N,burun,nez
3,Mund::N,og'iz,bouche
4,Zahn::N,tish,dent
5,Zunge::N,til,langue
6,Lippe::N,dudoq,lèvre
7,Wange::N,bet,joue
8,Gesicht::N,yuz,face
9,Gesicht::N,yuz,visage
10,Stirn::N,manglay,front
11,Haar::N,soch,cheveu
12,Schnurrbart::N,mo'ylov,moustache
13,Bart::N,soqol,barbe
14,Kinn::N,ängak,menton
15,Kiefer[Anatomie]::N,iyak,mâchoire
16,Kehle::N,bo'g'iz,gorge
17,Hals::N,bo'yin,cou
18,Genick::N,gardan,nuque
19,Kopf::N,bosh,tête
20,Rücken::N,orqa,dos
21,Bauch::N,qorin,ventre
22,Nabel::N,kindik,nombril
23,Busen::N,ämchak,sein
24,Brust::N,ko'krak,poitrine
25,Schulter::N,elka,épaule
26,Arm::N,bilak,bras
27,Ellenbogen::N,tirsak,coude
28,Hand::N,qo'l,main
29,Handfläche::N,kaft,paume
30,Finger::N,barmoq,doigt
31,Fingernagel::N,tirnoq,ongle
32,Nagel[Anatomie]::N,tirnoq,ongle
33,Zeh::N,oyoq barmog'i,orteil
34,Zeh::N,oyoq barmog'i,doigt de pied
35,Fuß::N,oyoq,pied
36,Ferse::N,tovon,talon
37,Knie::N,tiz,genou
38,Oberschenkel::N,son,cuisse
39,Bein::N,oyoq,jambe
40,Körper::N,badna,corps
41,Haut::N,teri,peau
42,Blut::N,qon,sang
43,Ader::N,qon tomir,veine
44,Sehne::N,tomir,tendon
45,Knochen::N,suyak,os
46,Gehirn::N,miya,cerveau
47,Herz::N,qalb,cœur
48,Magen::N,oshqozon,estomac
49,Leber::N,bag'ir,foie
50,Atem::N,dam,haleine
51,Hunger::N,ochlik,faim
52,Träne::N,yosh,larme
53,Geschmack::N,tam,goût
54,Geschmack::N,tam,saveur
55,Geruch::N,jid,odeur
56,Schlaf::N,uyqu,sommeil
57,Traum::N,tush,songe
58,Himmel::N,osmon,ciel
59,Sonne::N,quyosh,soleil
60,Mond::N,oy,lune
61,Stern::N,yulduz,étoile
62,Luft::N,havo,air
63,Wind::N,el,vent
64,Welle::N,to'lqin,vague
65,Wasser::N,suv,eau
66,Stein::N,tosh,pierre
67,Boden::N,tuproq,sol
68,Boden::N,tuproq,terrain
69,Erde::N,er,terre
70,Staub::N,chang,poussière
71,Rauch::N,tutun,fumée
72,Funke::N,yalt,étincelle
73,Feuer::N,o't,feu
74,Licht::N,yorug',lumière
75,Schatten::N,soya,ombre
76,Wetter::N,havo,temps
77,Nebel::N,tuman,brume
78,Nebel::N,tuman,brouillard
79,Wolke::N,bulut,nuage
80,Regen::N,yomg'ir,pluie
81,Schnee::N,qor,neige
82,Eis::N,muz,glace
83,Frost::N,ajoz,gel
84,Frost::N,ajoz,gelée
85,Kälte::N,ajoz,froid
86,Hitze::N,issiq,chaleur
87,Raureif::N,qirov,givre
88,Regenbogen::N,kamalak,arc-en-ciel
89,Donner::N,guldur,tonnerre
90,Strömung::N,oqim,courant
91,Tropfen::N,tomchi,goutte
92,Schaum::N,ko'pik,écume
93,Schaum::N,ko'pik,mousse
94,Schmutz::N,gard,boue
95,Schmutz::N,gard,saleté
96,See::N,ko'l,lac
97,Sumpf::N,botqoq,marais
98,Sumpf::N,botqoq,marécage
99,Moor::N,qir-adir,tourbière
100,Wiese::N,o'tzor,pré
101,Wald::N,o'rmon,bois
102,Wald::N,o'rmon,forêt
103,Hügel::N,tepa,coteau
104,Hügel::N,tepa,colline
105,Anhöhe::N,adir,éminence
106,Anhöhe::N,adir,élévation
107,Berg::N,tog',mont
108,Berg::N,tog',montagne
109,Gipfel::N,cho'qqi,cime
110,Gipfel::N,cho'qqi,sommet
111,Höhle::N,kavak,caverne
112,Abhang::N,to'sh,pente
113,Abhang::N,to'sh,versant
114,Quelle::N,buloq,source
115,Quelle::N,buloq,fontaine
116,Bach::N,o'zan,ruisseau
117,Fluss::N,daryo,fleuve
118,Fluss::N,daryo,rivière
119,Ufer::N,sohil,bord
120,Ufer::N,sohil,rivage
121,Küste::N,qirg'oq,côte
122,Festland::N,materik,terre ferme
123,Meer::N,dengiz,mer
124,Bucht::N,qo'ltiq,baie
125,Insel::N,orol,île
126,Blume::N,gul,fleur
127,Gras::N,sabza,herbe
128,Wurzel::N,tub,racine
129,Wurzel::N,tomir,racine
130,Baum::N,daraxt,arbre
131,Stamm::N,o'simta,tronc
132,Rinde::N,qobiq,écorce
133,Ast::N,shox,branche
134,Zweig::N,butoq,rameau
135,Blatt::N,barg,feuille
136,Birke::N,qayin,bouleau
137,Kiefer[Baum]::N,qarag'ay,pin
138,Weide[Baum]::N,shum,saule
139,Tanne::N,archa,sapin
140,Horn::N,mugiz,corne
141,Feder::N,par,plume
142,Fell::N,mo'yna,peau
143,Flügel::N,qanot,aile
144,Klaue::N,tirnoq,serre
145,Kralle::N,tirnoq,ongle
146,Kralle::N,tirnoq,griffe
147,Schwanz::N,quyruq,queue
148,Ei::N,tuxum,œuf
149,Nest::N,oshyon,nid
150,Bau::N,o'pqon,terrier
151,Tier::N,hayvon,animal
152,Herde::N,gala,troupeau
153,Kuh::N,inak,vache
154,Bulle::N,ho'kiz,taureau
155,Pferd::N,ot,cheval
156,Schaf::N,qo'y,mouton
157,Schwein::N,cho'chqa,porc
158,Schwein::N,cho'chqa,cochon
159,Hund::N,it,chien
160,Katze::N,mushuk,chat
161,Bär::N,ayiq,ours
162,Eichhörnchen::N,tiyin,écureuil
163,Elch::N,los,élan
164,Fuchs::N,tulki,renard
165,Hase::N,kuyon,lièvre
166,Maus::N,sichqon,souris
167,Wolf::N,bo'ri,loup
168,Vogel::N,qush,oiseau
169,Schwarm::N,to'da,nuée
170,Schwarm::N,to'da,volée
171,Huhn::N,tovuq,poule
172,Hahn::N,xo'roz,coq
173,Gans::N,g'oz,oie
174,Adler::N,burgut,aigle
175,Ente::N,o'rdak,canard
176,Eule::N,boyo'g'li,hibou
177,Kranich::N,turna,grue
178,Krähe::N,qarg'a,corneille
179,Kuckuck::N,kakku,coucou
180,Schwan::N,oqkush,cygne
181,Fisch::N,baliq,poisson
182,Barsch::N,olabug'a,perche
183,Hecht::N,cho'rtan,brochet
184,Schlange[Tier]::N,ilon,serpent
185,Wurm::N,qurt,ver
186,Spinne::N,o'rgimchak,araignée
187,Ameise::N,chumoli,fourmi
188,Laus::N,bit,pou
189,Mücke::N,chivin,moucheron
190,Fliege::N,pashsha,mouche
191,Schmetterling::N,kapalak,papillon
192,Beere::N,meva,baie
193,Apfel::N,olma,pomme
194,Pilz::N,qo'ziqorin,champignon
195,Zwiebel::N,piyoz,oignon
196,Saat::N,äkin,semence
197,Korn::N,zarra,grain
198,Heu::N,xashak,foin
199,Schale::N,po'choq,pelure
200,Grube::N,co'ra,fosse
201,Falle::N,qopqon,piège
202,Schlinge::N,sirtmoq,lacs
203,Spur::N,iz,trace
204,Asche::N,kul,cendre
205,Dreck::N,kir,crotte
206,Eisen::N,temir,fer
207,Gold::N,tilla,or
208,Silber::N,kumush,argent
209,Kohle::N,ko'mir,charbon
210,Glas::N,oyna,verre
211,Lehm::N,loy,glaise
212,Sand::N,qum,sable
213,Mensch::N,odam,homme
214,Mann::N,ärkak,homme
215,Frau::N,ayol,femme
216,Kind::N,bola,enfant
217,Kind::N,kichkintoy,enfant
218,Junge::N,bola,garçon
219,Mädchen::N,qiz,fille
220,Mädchen::N,qiz,jeune fille
221,Familie::N,oila,famille
222,Großvater::N,buva,grand-père
223,Großvater::N,katta ota,grand-père
224,Großmutter::N,buvi,grand-mère
225,Großmutter::N,katta oyi,grand-mère
226,Eltern::N,ota-ona,parents
227,Vater::N,ota,père
228,Mutter::N,ona,mère
229,Sohn::N,o'g'il,fils
230,Tochter::N,qiz,fille
231,Bruder::N,og'a,frère
232,Bruder::N,uka,frère
233,Schwester::N,opa,sœur
234,Schwester::N,singil,sœur
235,Onkel::N,amaki,oncle
236,Tante::N,amma,tante
237,Tante::N,xola,tante
238,Ehemann::N,är,mari
239,Ehemann::N,är,époux
240,Ehefrau::N,rafiqa,femme
241,Ehefrau::N,rafiqa,épouse
242,Freude::N,ayish,joie
243,Freude::N,ayish,plaisir
244,Gelächter::N,kulgi,rires
245,Glück::N,saodat,bonheur
246,Kummer::N,g'am,peine
247,Kummer::N,g'am,chagrin
248,Wunsch::N,orzu,désir
249,Lust::N,rag'bat,envie
250,Geist::N,ruh,esprit
251,Gedanke::N,fikr,idée
252,Gedanke::N,fikr,pensée
253,Gedächtnis::N,äs,mémoire
254,Verstand::N,aql,raison
255,Sinn::N,ma'ni,sens
256,Grund::N,sabab,cause
257,Grund::N,sabab,raison
258,Wahrheit::N,haq,vérité
259,Gespräch::N,gap,conversation
260,Märchen::N,ärtak,conte
261,Märchen::N,ärtak,conte de fées
262,Erzählung::N,rivoyat,conte
263,Erzählung::N,rivoyat,narration
264,Nachricht::N,xabar,message
265,Neuigkeit::N,yangilik,nouvelle
266,Name::N,ot,nom
267,Rätsel::N,topishmoq,énigme
268,Rätsel::N,topishmoq,devinette
269,Rede::N,nutq,parole
270,Rede::N,nutq,discours
271,Sprache::N,til,langue
272,Sprache::N,til,langage
273,Stimme::N,ovoz,voix
274,Wort::N,so'z,mot
275,Zeichen::N,alomat,signe
276,Ruf::N,chaqiriq,cri
277,Ruf::N,chaqiriq,appel
278,Lärm::N,taraq,bruit
279,Laut::N,tovush,son
280,Ton::N,un,ton
281,Lied::N,ashula,chant
282,Lied::N,ashula,chanson
283,Ruhe::N,tinchlik,calme
284,Ruhe::N,tinchlik,tranquillité
285,Leute::N,xaloyiq,gens
286,Volk::N,xalq,peuple
287,Arbeit::N,ish,travail
288,Gast::N,mehmon,hôte
289,Gast::N,mehmon,invité
290,Geschenk::N,hadya,cadeau
291,Geschenk::N,hadya,présent
292,Spiel::N,o'yin,jeu
293,Gesellschaft::N,jamiyat,compagnie
294,Hilfe::N,yordam,aide
295,Hilfe::N,yordam,secours
296,Freund::N,do'st,ami
297,Kamerad::N,yo'ldosh,copain
298,Kamerad::N,yo'ldosh,camarade
299,Angelegenheit::N,daxl,affaire
300,Anzahl::N,son,nombre
301,Art::N,tur,sorte
302,Art::N,tur,espèce
303,Stück::N,parcha,morceau
304,Teil::N,bo'lak,part
305,Teil::N,bo'lak,partie
306,Hälfte::N,yarim,moitié
307,Kreis::N,aylana,cercle
308,Kreuz::N,xoch,croix
309,Linie::N,liniya,ligne
310,Strich::N,chiziq,trait
311,Abstand::N,oralik,écart
312,Entfernung::N,uzoqlik,distance
313,Gegend::N,yer,région
314,Gegend::N,yer,contrée
315,Platz::N,oralig,place
316,Ort::N,joy,lieu
317,Ort::N,joy,endroit
318,Seite::N,yon,côté
319,Mitte::N,o'rta,milieu
320,Gegenstand::N,ashyo,objet
321,Sache::N,buyum,chose
322,Rand::N,chek,bord
323,Kante::N,tig',arête
324,Ecke::N,burchak,coin
325,Ecke::N,burchak,tournant
326,Spitze::N,uch,cime
327,Spitze::N,uch,pointe
328,Ende::N,oxir,bout
329,Loch::N,teshik,trou
330,Winkel::N,go'sha,coin
331,Winkel::N,go'sha,réduit
332,Muster::N,nusha,dessin
333,Größe::N,kattalik,grandeur
334,Länge::N,uzunlik,longueur
335,Höhe::N,yuksaklik,hauteur
336,Höhe::N,yuksaklik,altitude
337,Gewicht::N,solmoq,poids
338,Menge::N,miqdor,quantité
339,Haufen::N,uyum,tas
340,Reihe::N,saf,file
341,Reihe::N,saf,rangée
342,Boot::N,qayiq,canot
343,Boot::N,qayiq,bateau
344,Ruder::N,äshkak,rame
345,Ruder::N,äshkak,aviron
346,Schlitten::N,chana,traîneau
347,Ski::N,chang'i,ski
348,Lagerfeuer::N,gulxan,feu de camp
349,Last::N,yuk,charge
350,Last::N,yuk,fardeau
351,Gang::N,yurish,tour
352,Gang::N,yurish,marche
353,Schritt::N,qadam,pas
354,Norden::N,shimol,nord
355,Süden::N,janub,sud
356,Westen::N,g'arb,ouest
357,Westen::N,g'arb,occident
358,Osten::N,sharq,est
359,Osten::N,sharq,orient
360,Holz::N,yog'och,bois
