,Concept_ID,se,la
0,Auge::N,tjelmie,oculus
1,Auge::N,tjalmme,oculus
2,Auge::N,čalbmi,oculus
3,Auge::N,čalme,oculus
4,Auge::N,čâ´lmm,oculus
5,Auge::N,ча̄лльм,oculus
6,Ohr::N,bieljie,auris
7,Ohr::N,biellje,auris
8,Ohr::N,beallji,auris
9,Ohr::N,pelji,auris
10,Ohr::N,pe´llj,auris
11,Ohr::N,пе̄лльй,auris
12,Nase::N,njuenie,nasus
13,Nase::N,njunnje,nasus
14,Nase::N,njunni,nasus
15,Nase::N,njuṇe,nasus
16,Nase::N,njuu´nn,nasus
17,Nase::N,нюннҍ,nasus
18,Mund::N,njaelmie,os
19,Mund::N,njálmme,os
20,Mund::N,njálbmi,os
21,Mund::N,njälmi,os
22,Mund::N,njä´lmm,os
23,Mund::N,ня̄лльм,os
24,Zahn::N,baenie,dens
25,Zahn::N,bádne,dens
26,Zahn::N,bátni,dens
27,Zahn::N,pääṇi,dens
28,Zahn::N,pää´nn,dens
29,Zahn::N,па̄ннҍ,dens
30,Zunge::N,njoektjeme,lingua
31,Zunge::N,njuovtjav,lingua
32,Zunge::N,njuovčča,lingua
33,Zunge::N,njuovčâ,lingua
34,Zunge::N,njuhččâm,lingua
35,Zunge::N,нюхчем,lingua
36,Lippe::N,bangseme,labrum
37,Lippe::N,njálmmerabdda,labrum
38,Lippe::N,bavssa,labrum
39,Lippe::N,poovsâ,labrum
40,Lippe::N,põõus,labrum
41,Lippe::N,пэ̄кс,labrum
42,Wange::N,skiehrie,gena
43,Wange::N,nierra,gena
44,Wange::N,muohtu,gena
45,Wange::N,nieṛâ,gena
46,Wange::N,njiõrr,gena
47,Wange::N,нӣрр,gena
48,Gesicht::N,ååredæjja,vultus
49,Gesicht::N,muohto,vultus
50,Gesicht::N,muođut,vultus
51,Gesicht::N,ámadadju,vultus
52,Gesicht::N,muáđuh,vultus
53,Gesicht::N,muâđ,vultus
54,Gesicht::N,ка̄ссв,vultus
55,Stirn::N,gaalloe,frons
56,Stirn::N,gállo,frons
57,Stirn::N,gállu,frons
58,Stirn::N,kállu,frons
59,Stirn::N,käll,frons
60,Stirn::N,вуэххьц,frons
61,Haar::N,voepte,capillus
62,Haar::N,vuoppta,capillus
63,Haar::N,vuokta,capillus
64,Haar::N,vuop'tâ,capillus
65,Haar::N,vuõpt,capillus
66,Haar::N,вӯппт,capillus
67,Schnurrbart::N,bijjie-skaavtjoe,barba labri superioris
68,Schnurrbart::N,njunjevuolskávttjá,barba labri superioris
69,Schnurrbart::N,seamu,barba labri superioris
70,Schnurrbart::N,siämu,barba labri superioris
71,Schnurrbart::N,ää´bben,barba labri superioris
72,Schnurrbart::N,о̄а̄бпан,barba labri superioris
73,Bart::N,skaavtja,barba
74,Bart::N,skaavtjoe,barba
75,Bart::N,skávttjá,barba
76,Bart::N,seamu,barba
77,Bart::N,siämu,barba
78,Bart::N,seäm,barba
79,Bart::N,ся̄м,barba
80,Kinn::N,gaejpie,mentum
81,Kinn::N,gájbbe,mentum
82,Kinn::N,gáibi,mentum
83,Kinn::N,käibi,mentum
84,Kinn::N,käi´bb,mentum
85,Kinn::N,ка̄ййп,mentum
86,Kiefer[Anatomie]::N,gaejpie,mala
87,Kiefer[Anatomie]::N,oalol,mala
88,Kiefer[Anatomie]::N,oaloldákte,mala
89,Kiefer[Anatomie]::N,gáibi,mala
90,Kiefer[Anatomie]::N,uá'lultähti,mala
91,Kiefer[Anatomie]::N,vuâl'lõš,mala
92,Kiefer[Anatomie]::N,вуаллнешш,mala
93,Kehle::N,gealoe,iugulums
94,Kehle::N,tjåttå,iugulums
95,Kehle::N,njiello,iugulums
96,Kehle::N,čotta,iugulums
97,Kehle::N,čuudâ,iugulums
98,Kehle::N,čoodd,iugulums
99,Kehle::N,чонт,iugulums
100,Kehle::N,кэ̄ҏс,iugulums
101,Hals::N,tjeapohke,collum
102,Hals::N,tjiebet,collum
103,Hals::N,čeabet,collum
104,Hals::N,čiäppát,collum
105,Hals::N,čeäppat,collum
106,Hals::N,ча̄пэх,collum
107,Genick::N,tjovrese,cervices
108,Genick::N,nisske,cervices
109,Genick::N,niehkki,cervices
110,Genick::N,niski,cervices
111,Genick::N,niek'ki,cervices
112,Genick::N,nji´šǩǩmaadd,cervices
113,Genick::N,нышшькмоант,cervices
114,Kopf::N,åejjie,caput
115,Kopf::N,oajvve,caput
116,Kopf::N,oaivi,caput
117,Kopf::N,uái'vi,caput
118,Kopf::N,vuei´vv,caput
119,Kopf::N,вуэййв,caput
120,Rücken::N,rudtje,tergum
121,Rücken::N,hárddo,tergum
122,Rücken::N,tjavelk,tergum
123,Rücken::N,sealgi,tergum
124,Rücken::N,selgi,tergum
125,Rücken::N,čielgi,tergum
126,Rücken::N,seä´lǧǧ,tergum
127,Rücken::N,се̄лльк,tergum
128,Bauch::N,tjåejjie,venter
129,Bauch::N,tjoajvve,venter
130,Bauch::N,čoavji,venter
131,Bauch::N,čuáv'ji,venter
132,Bauch::N,čåu´jj,venter
