,Concept_ID,xal,lbe
0,Auge::N,нүдн,я
1,Ohr::N,чикн,вичӏи
2,Nase::N,хамр,май
3,Mund::N,амн,кьацӏ
4,Zahn::N,шүдн,ккарччи
5,Zunge::N,келн,маз
6,Lippe::N,урл,мурччи
7,Wange::N,халх,чӏав
8,Gesicht::N,нүр,лажин
9,Stirn::N,маңна,ненттабакӏ
10,Haar::N,үсн,чӏара
11,Schnurrbart::N,сахл,ссирссилтту
12,Bart::N,сахл,чӏири
13,Bart::N,өргнә сахл,чӏири
14,Kinn::N,өргн,лунттубакӏ
15,Kiefer[Anatomie]::N,өргн,ххинчулул
16,Kehle::N,хол,кьакьари
17,Hals::N,күзүн,ссурссу
18,Genick::N,гиҗг,махъабакӏ
19,Kopf::N,толһа,бакӏ
20,Rücken::N,нурһн,ттиликӏ
21,Bauch::N,гесн,лякьа
22,Nabel::N,киисн,цӏумуккутӏ
23,Busen::N,көкн,ккукку
24,Brust::N,чееҗ,хъазам
25,Schulter::N,ээм,хъачӏ
26,Arm::N,һар,ка
27,Ellenbogen::N,тоха,ссюрхъ
28,Hand::N,баһлцг,бартка
29,Handfläche::N,альхн,хъат
30,Handfläche::N,альхн,битӏянхъ
31,Finger::N,хурһн,кӏисса
32,Finger::N,һарин хурһн,кӏисса
33,Fingernagel::N,хумсн,михь
34,Nagel[Anatomie]::N,хумсн,михь
35,Zeh::N,хурһн,кӏисса
36,Zeh::N,көлин хурһн,кӏисса
37,Fuß::N,тавг,чӏанччан
38,Ferse::N,өскә,никъа
39,Knie::N,өвдг,ник
40,Oberschenkel::N,һуй,жира
41,Bein::N,көл,ччан
42,Körper::N,махмуд,чурх
43,Haut::N,арсн,бурчу
44,Blut::N,цусн,оь
45,Ader::N,судцн,тунну
46,Sehne::N,шүрүсн,хьхьа
47,Knochen::N,ясн,ттаркӏ
48,Gehirn::N,экн,ня
49,Herz::N,зүркн,дакӏ
50,Herz::N,зүркн,къюкӏ
51,Magen::N,гесн,лякьа
52,Leber::N,элкн,
53,Atem::N,әмсхл,ссихӏ ласаву
54,Atem::N,әмсхл,ссихӏ бигьаву
55,Hunger::N,харһнлһн,ккаши
56,Träne::N,нульмсн,макь
57,Geschmack::N,амтн,тӏин
58,Geschmack::N,амтн,тӏааьн
59,Geruch::N,үнр,кьанкь
60,Schlaf::N,нөр,шану
61,Traum::N,зүүдн,макӏру
62,Himmel::N,теңгр,ссав
63,Sonne::N,нарн,баргъ
64,Mond::N,сар,барз
65,Stern::N,одн,цӏуку
66,Luft::N,аһар,гьава
67,Wind::N,салькн,марч
68,Welle::N,дольган,щатӏи
69,Wasser::N,усн,щин
70,Stein::N,чолун,чару
71,Boden::N,Һазр,аьрщи
72,Erde::N,Һазр,аьрщи
73,Staub::N,тоосн,ххит
74,Rauch::N,утан,пуркӏу
75,Funke::N,очн,пиягь
76,Feuer::N,һал,цӏу
77,Licht::N,герл,чани
78,Schatten::N,сүүдр,ххют
79,Wetter::N,теңгр,гьава
