,Concept_ID,zh,ml
0,Auge::N,眼睛,കണ്ണ്
1,Ohr::N,耳朵,ചെവി
2,Nase::N,鼻子,മൂക്ക്
3,Mund::N,嘴,വായ
4,Zahn::N,牙齿,പല്ല്
5,Zunge::N,舌头,നാക്ക്
6,Lippe::N,嘴唇,ചുണ്ട്
7,Wange::N,面颊,കവിൾത്തടം
8,Gesicht::N,脸,മുഖം
9,Stirn::N,额,നെറ്റി
10,Haar::N,头发,തലമുടി
11,Schnurrbart::N,髭须,മീശ
12,Bart::N,胡子,താടിരോമം
13,Kinn::N,下巴,താടി
14,Kiefer[Anatomie]::N,颌,താടിയെല്ല്
15,Kehle::N,嗓子,കണ്ഠനാളം
16,Hals::N,颈,കഴുത്ത്
17,Genick::N,后颈,പിടലി
18,Kopf::N,头,തല
19,Rücken::N,背,മുതുക്
20,Bauch::N,肚子,നയറ്
21,Nabel::N,肚脐,നാഭി
22,Busen::N,胸脯,സ്തനം
23,Brust::N,胸,സ്തനം
24,Schulter::N,肩膀,തോൾ
25,Arm::N,臂膀,കൈ
26,Ellenbogen::N,肘,കൈമുട്ട്
27,Hand::N,手,കൈ
28,Handfläche::N,手掌,ഉള്ളം കൈ
29,Finger::N,手指,വിരൽ
30,Fingernagel::N,指甲,നഖം
31,Nagel[Anatomie]::N,指甲,നഖം
32,Zeh::N,脚趾,കാൽവിരൽ
33,Fuß::N,脚,കാൽപ്പാദം
34,Ferse::N,后跟,ഉപ്പൂറ്റി
35,Knie::N,膝,കാൽമുട്ട്
36,Oberschenkel::N,大腿,തുട
37,Bein::N,腿,കാൽ
38,Körper::N,身体,ശരീരം
39,Haut::N,皮肤,ചർമ്മം
40,Blut::N,血,രക്തം
41,Ader::N,血管,ഞരമ്പ്
42,Sehne::N,腱,സ്നായു
43,Knochen::N,骨,അസ്ഥി
44,Gehirn::N,脑,തലച്ചോറ്
45,Herz::N,心,ഹൃദയം
46,Magen::N,胃,വയർ
47,Leber::N,肝,കരൾ
48,Atem::N,呼吸,ശ്വാസം
49,Hunger::N,饿,വിശപ്പ്
50,Träne::N,眼泪,കണ്ണീർ
51,Geschmack::N,味道,രുചി
52,Geruch::N,气味,ഗന്ധം
53,Schlaf::N,睡眠,ഉറകും
54,Traum::N,梦,സ്വപ്നം
55,Himmel::N,天空,ആകാശം
56,Sonne::N,太阳,സൂര്യൻ
57,Mond::N,月亮,ചന്ദ്രൻ
58,Stern::N,星,നക്ഷത്രം
59,Luft::N,空气,കാറ്റ്
60,Wind::N,风,കാറ്റ്
61,Welle::N,波,തിരമാല
62,Wasser::N,水,വെള്ളം
63,Stein::N,石头,ശില
64,Stein::N,石头,കല്ല്
65,Boden::N,地面,തറ
66,Boden::N,地面,നിലം
67,Erde::N,地,മണ്ണ്
68,Staub::N,灰尘,പൊടി
69,Rauch::N,烟,പുക
70,Funke::N,火花,തീപ്പൊരി
71,Feuer::N,火,തീ
72,Licht::N,光,വിളക്ക്
73,Licht::N,光,സൂര്യപ്രകാശം
74,Schatten::N,影子,തണൽ
75,Wetter::N,天气,കാലാവസ്ഥ
76,Nebel::N,雾,മൂടൽമഞ്ഞ്
77,Wolke::N,云,മേഘം
78,Regen::N,雨,മഴ
79,Schnee::N,雪,മഞ്ഞ്
80,Eis::N,冰,ഐസ്
81,Frost::N,霜冻,മൂടൽമഞ്ഞ്
82,Kälte::N,寒冷,തണുപ്പ്
83,Hitze::N,炎热,ചൂട്
84,Raureif::N,霜,കോടമഞ്ഞ്
85,Regenbogen::N,虹,മഴവില്ല്
86,Donner::N,雷,ഇടി
87,Strömung::N,水流,പ്രവാഹം
88,Tropfen::N,滴,തുള്ളി
89,Schaum::N,泡沫,നുര
90,Schmutz::N,赃物,അഴുക്ക്
91,See::N,湖,തടാകം
92,Sumpf::N,沼泽,ചതുപ്പുനിലം
93,Moor::N,沼泽,പാഴ്നിലം
94,Wiese::N,草地,പുൽത്തകിടി
95,Wald::N,森林,വനം
96,Wald::N,森林,കാട്
97,Hügel::N,丘陵,കുന്ന്
98,Anhöhe::N,山丘,ഉയർന്ന ഭൂമി
99,Berg::N,山,പർവ്വതം
100,Gipfel::N,峰,ഉച്ചകോടി
101,Höhle::N,洞穴,ഗുഹ
102,Abhang::N,斜坡,ചരിവ്
103,Quelle::N,泉,ഉറവിടം
104,Bach::N,溪,അരുവി
105,Fluss::N,河流,നദി
106,Ufer::N,岸,തീരം
107,Küste::N,海岸,കടൽത്തീരം
108,Festland::N,大陆,കര
109,Meer::N,海,കടൽ
110,Bucht::N,海湾,ഉൾക്കടല്
111,Insel::N,岛,ദ്വീപ്
112,Blume::N,花,പൂവ്
113,Gras::N,草,പുല്ല്
114,Wurzel::N,根,വേര്
115,Baum::N,树,മരം
116,Stamm::N,树干,തായ്ത്തടി
117,Rinde::N,树皮,പട്ട
118,Ast::N,树枝,ശാഖ
119,Zweig::N,树枝,ശാഖ
120,Blatt::N,叶子,ഇല
121,Birke::N,桦木,പൂവരശ്
122,Kiefer[Baum]::N,松树,പൈൻമരം
123,Weide[Baum]::N,柳树,വില്ലോ
124,Tanne::N,冷杉,ദേവദാരു
125,Horn::N,角,മൃഗത്തിൻറെ കൊമ്പ്
126,Feder::N,羽毛,തൂവൽ
127,Fell::N,皮毛,മൃദുരോമം
128,Flügel::N,翅膀,ചിറക്
129,Klaue::N,爪子,നഖം
130,Kralle::N,爪子,നഖം
131,Schwanz::N,尾巴,വാൽ
132,Ei::N,蛋,മുട്ട
133,Nest::N,巢,കൂട്
134,Bau::N,穴,മാളം
135,Tier::N,动物,മൃഗം
136,Herde::N,群,കൂട്ടം
137,Kuh::N,母牛,പശു
138,Bulle::N,公牛,കാള
139,Pferd::N,马,കുതിര
140,Schaf::N,羊,ആട്
141,Schwein::N,猪,പന്നി
142,Hund::N,狗,നായ്
