,Concept_ID,myv,kv
0,Auge::N,сельме,син
1,Ohr::N,пиле,пель
2,Nase::N,судо,ныр
3,Mund::N,курго,ӧм
4,Zahn::N,пей,пинь
5,Zunge::N,кель,кыв
6,Lippe::N,турва,тырп
7,Wange::N,чамабока,рожабан
8,Wange::N,чамаумарь,рожабан
9,Gesicht::N,чама,бан
10,Stirn::N,коня,кымӧс
11,Haar::N,черь,юрси
12,Schnurrbart::N,ус,уссэз
13,Schnurrbart::N,муюк,уссэз
14,Bart::N,сакал,тош
15,Kinn::N,уло,тшӧка
16,Kiefer[Anatomie]::N,пейпакар,ан
17,Kiefer[Anatomie]::N,пейловажа,ан
18,Kehle::N,кирьгапарь,юан
19,Hals::N,кирьга,юан
20,Genick::N,човонь,юр бӧр
21,Kopf::N,пря,юр
22,Rücken::N,копорь,мышк
23,Bauch::N,пеке,кынӧм
24,Nabel::N,почо,гӧг
25,Busen::N,поте,морос
26,Brust::N,меште,морос
27,Schulter::N,лавтов,пельпон
28,Arm::N,кедь,ки
29,Ellenbogen::N,кенерепакарь,гырдзза
30,Hand::N,кедь,кикар
31,Handfläche::N,кедькуншка,ки пыдӧс
32,Handfläche::N,кедьлапушка,ки пыдӧс
33,Finger::N,сур,чунь
34,Fingernagel::N,кенже,гыж
35,Nagel[Anatomie]::N,кенже,гыж
36,Zeh::N,пильге сур,чунь
37,Fuß::N,пильге,кокпыдӧс
38,Ferse::N,кочкаря,кокдзир
39,Knie::N,эле,пидзӧс
40,Knie::N,эзне,пидзӧс
41,Knie::N,кумажа,пидзӧс
42,Oberschenkel::N,качо,лядьбей
43,Bein::N,пильге,кок
44,Körper::N,рунго,вывтыр
45,Haut::N,киське,кучик
46,Blut::N,верь,вир
47,Ader::N,сан,сӧн
48,Sehne::N,коське сан,жила
49,Knochen::N,пакарь,коска
50,Gehirn::N,удем,вем
51,Herz::N,седей,сьӧлӧм
52,Magen::N,пеке,жӧвдӧк
53,Leber::N,максо,мус
54,Atem::N,лексема,лолалӧм
55,Atem::N,оймень таргсема,лолалӧм
56,Hunger::N,вачочи,тшыг
57,Träne::N,селведь,синва
