,Concept_ID,udm,ru
0,Auge::N,син,глаз
1,Ohr::N,пель,ухо
2,Nase::N,ныр,нос
3,Mund::N,ым,рот
4,Zahn::N,пинь,зуб
5,Zunge::N,кыл,язык
6,Lippe::N,ымдур,губа
7,Wange::N,бам,щека
8,Gesicht::N,ымныр,лицо
9,Stirn::N,кымес,лоб
10,Haar::N,йырси,волос
11,Haar::N,йырси,волосы
12,Schnurrbart::N,мыйык,ус
13,Schnurrbart::N,мыйык,усы
14,Bart::N,туш,борода
15,Kinn::N,ангес,подбородок
16,Kiefer[Anatomie]::N,ан,челюсть
17,Kiefer[Anatomie]::N,анлы,челюсть
18,Kehle::N,гульым,горло
19,Hals::N,чырты,шея
20,Genick::N,йырбер,затылок
21,Kopf::N,йыр,голова
22,Rücken::N,мыш,спина
23,Bauch::N,кӧт,живот
24,Nabel::N,гогы,пупок
25,Busen::N,ноны,женская грудь
26,Brust::N,мӧля,грудь
27,Schulter::N,пельпум,плечо
28,Arm::N,суй,рука
29,Ellenbogen::N,гырпум,локоть
30,Hand::N,ки,кисть
31,Handfläche::N,ки пыдэс,ладонь
32,Handfläche::N,кырым пыдэс,ладонь
33,Finger::N,чиньы,палец
34,Fingernagel::N,гижы,ноготь
35,Fingernagel::N,гиждӥнь,ноготь
36,Nagel[Anatomie]::N,гижы,ноготь
37,Zeh::N,пыдчиньы,палец
38,Fuß::N,пыд,ступня
39,Ferse::N,пыдбер,пята
40,Ferse::N,пыдбер,пятка
41,Knie::N,пыдес,колено
42,Oberschenkel::N,макес,бедро
43,Bein::N,пыд,нога
44,Körper::N,мугор,тело
45,Körper::N,вылтыр,тело
46,Haut::N,ку,кожа
47,Blut::N,вир,кровь
48,Ader::N,вирсэр,вена
49,Ader::N,вирсэр,сосуд
50,Sehne::N,вуж,жила
51,Sehne::N,вуж,тетива
52,Sehne::N,вуж,сухожилие
53,Knochen::N,лы,кость
54,Gehirn::N,вим,мозг
55,Herz::N,сюлэм,сердце
56,Magen::N,ӝуш,желудок
57,Leber::N,мус,печень
58,Atem::N,лул,дух
59,Atem::N,лул,дыхание
60,Atem::N,шокан,дух
61,Atem::N,шокан,дыхание
62,Hunger::N,кӧтсюман,голод
63,Träne::N,синкыли,слеза
64,Geschmack::N,шӧм,вкус
65,Geruch::N,зын,запах
66,Schlaf::N,вӧт,сон
67,Traum::N,уйвӧт,сновидение
68,Himmel::N,ин,небо
69,Sonne::N,шунды,солнце
70,Mond::N,толэзь,луна
71,Stern::N,кизили,звезда
72,Luft::N,омыр,воздух
73,Wind::N,тӧл,ветер
74,Welle::N,тулкым,волна
75,Wasser::N,ву,вода
76,Stein::N,из,камень
77,Boden::N,музъем,почва
78,Erde::N,му,земля
79,Staub::N,пыль,пыль
80,Rauch::N,ӵын,дым
81,Funke::N,гизьы,искра
82,Feuer::N,тыл,огонь
83,Licht::N,тыл,свет
84,Schatten::N,вужер,тень
85,Wetter::N,куазь,погода
86,Nebel::N,бус,туман
87,Wolke::N,пилем,облако
88,Regen::N,зор,дождь
89,Schnee::N,лымы,снег
90,Eis::N,йӧ,лед
91,Frost::N,кезьыт,мороз
92,Kälte::N,кезьыт,холод
93,Hitze::N,пӧсь,жара
