,Concept_ID,mrj,mhr
0,Auge::N,сӹнзӓ,шинча́
1,Ohr::N,пӹлӹш,пы́лыш
2,Nase::N,нер,нер
3,Mund::N,ышма,умша́
4,Zahn::N,пӱ,пӱй
5,Zunge::N,йӹлмӹ,йы́лме
6,Lippe::N,тӹрвӹ,тӱ́рвӧ
7,Wange::N,шӹргӹ,шӱ́ргӧ
8,Gesicht::N,лицӓ,чури́й
9,Stirn::N,лепкӓ,саҥга́
10,Haar::N,ӱп,ӱп
11,Schnurrbart::N,öрш,ӧ́рыш
12,Bart::N,пандаш,понда́ш
13,Kinn::N,онгылаш,оҥыла́ш
14,Kiefer[Anatomie]::N,пӱ арата,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,пӱ арата,пӱйората́
16,Kehle::N,логер,лога́р
17,Hals::N,шӱ,шӱй
18,Genick::N,ланга,шӱйло́дыш
19,Kopf::N,вуй,вуй
20,Rücken::N,туп,туп
21,Bauch::N,мӹшкӹр,мӱ́шкыр
22,Nabel::N,кӹлӹмдӹ,кы́лымде
23,Busen::N,цӹзӹ,чы́зе
24,Brust::N,мел,оҥ
25,Schulter::N,ӹнгӹжӓ,ва́че
26,Arm::N,кид,кид
27,Ellenbogen::N,кӹнервуй,кынерву́й
28,Hand::N,лапа,кид
29,Hand::N,лапа,копа́
30,Handfläche::N,кид лапа,со́во
31,Finger::N,парня,парня́
32,Fingernagel::N,кӹч,кидкӱ́ч
33,Fingernagel::N,кӹч,парнягӱ́ч
34,Nagel[Anatomie]::N,кӹч,кӱч
35,Zeh::N,парня,йолварня́
36,Fuß::N,ял лапа,йол
37,Fuß::N,ял лапа,йолкопа́
38,Ferse::N,ялгавал,тага́н
39,Ferse::N,ял кавал,тага́н
40,Knie::N,пылвуй,пулву́й
41,Oberschenkel::N,ӓрдӹ,э́рде
42,Bein::N,ял,йол
43,Körper::N,монгыр,кап
44,Haut::N,кавашты,кова́ште
45,Blut::N,вӹр,вӱр
46,Ader::N,вӹршӓр,шӧн
47,Sehne::N,кукшышӱн,шӧн
48,Sehne::N,кукшышӱн,кӱсе́н
49,Knochen::N,лу,лу
50,Gehirn::N,вим,вем
51,Gehirn::N,вим,вуйве́м
52,Herz::N,шӱм,шӱм
53,Magen::N,шӱм,пага́р
54,Leber::N,мокш,мокш
55,Atem::N,шӱлӹш,шӱ́лыш
56,Hunger::N,шужымаш,шужыма́ш
57,Träne::N,сӹнзӓвӹд,шинчавӱ́д
58,Geschmack::N,тот,там
59,Geruch::N,пыш,пуш
60,Schlaf::N,ом,о́мо
61,Traum::N,ом,йӱдо́мо
