,Concept_ID,ro,tr
0,Auge::N,ochi,göz
1,Ohr::N,ureche,kulak
2,Nase::N,nas,burun
3,Mund::N,gură,ağız
4,Zahn::N,dinte,diş
5,Zunge::N,limbă,dil
6,Lippe::N,buză,dudak
7,Wange::N,bucă,yanak
8,Wange::N,obraz,yanak
9,Gesicht::N,față,yüz
10,Gesicht::N,figură,yüz
11,Stirn::N,frunte,alın
12,Haar::N,păr,saç
13,Schnurrbart::N,mustață,bıyık
14,Bart::N,barbă,sakal
15,Kinn::N,bărbie,çene
16,Kiefer[Anatomie]::N,falcă,çene
17,Kehle::N,beregată,boğaz
18,Hals::N,gât,boyun
19,Hals::N,gât,gerdan
20,Genick::N,ceafă,ense
21,Kopf::N,cap,baş
22,Kopf::N,cap,kafa
23,Rücken::N,dos,arka
24,Rücken::N,spate,arka
25,Rücken::N,spinare,arka
26,Bauch::N,burtă,karın
27,Bauch::N,pântece,karın
28,Nabel::N,buric,göbek
29,Busen::N,sân,koyun
30,Brust::N,piept,göğüs
31,Schulter::N,umăr,omuz
32,Schulter::N,spate,omuz
33,Arm::N,braț,kol
34,Ellenbogen::N,cot,dirsek
35,Hand::N,mână,el
36,Handfläche::N,palmă,avuç
37,Handfläche::N,palmă,el ayası
38,Finger::N,deget,parmak
39,Fingernagel::N,unghie,el tırnağı
40,Nagel[Anatomie]::N,unghie,tırnak
41,Zeh::N,deget de la picior,ayak parmağı
42,Fuß::N,picior,ayak
43,Ferse::N,călcâi,topuk
44,Knie::N,genunchi,diz
45,Oberschenkel::N,coapsă,uyluk
46,Bein::N,picior,bacak
47,Körper::N,corp,vücut
48,Haut::N,piele,cilt
49,Blut::N,sânge,kan
50,Ader::N,vână,damar
51,Ader::N,arteră,damar
52,Sehne::N,tendon,kiriş
53,Knochen::N,os,kemik
54,Gehirn::N,creier,beyin
55,Herz::N,inimă,kalp
56,Herz::N,inimă,yürek
57,Magen::N,stomac,mide
58,Leber::N,ficat,karaciğer
59,Atem::N,răsuflare,nefes
60,Atem::N,respirație,nefes
61,Hunger::N,foame,açlık
62,Träne::N,lacrimă,gözyaşı
63,Geschmack::N,gust,tat
64,Geschmack::N,gust,lezzet
65,Geruch::N,miros,koku
66,Schlaf::N,somn,uyku
67,Traum::N,vis,düş
68,Traum::N,vis,rüya
69,Himmel::N,cer,gök
70,Sonne::N,soare,güneş
71,Mond::N,lună,ay
72,Stern::N,stea,yıldız
73,Luft::N,aer,hava
74,Wind::N,vânt,yel
75,Wind::N,vânt,rüzgâr
76,Welle::N,val,dalga
77,Welle::N,undă,dalga
78,Wasser::N,apă,su
79,Stein::N,piatră,taş
80,Boden::N,sol,yer
81,Boden::N,sol,zemin
82,Boden::N,pământ,yer
83,Boden::N,pământ,zemin
84,Erde::N,pământ,toprak
85,Staub::N,praf,toz
86,Rauch::N,fum,duman
87,Funke::N,scânteie,kıvılcım
88,Feuer::N,foc,ateş
89,Licht::N,lumină,ışık
90,Schatten::N,umbră,gölge
91,Wetter::N,timp,hava
92,Wetter::N,vreme,hava
93,Nebel::N,ceață,pus
94,Nebel::N,negură,pus
95,Wolke::N,nor,bulut
96,Regen::N,ploaie,yağmur
97,Schnee::N,zăpadă,kar
98,Eis::N,gheață,buz
99,Frost::N,ger,don
100,Kälte::N,frig,soğukluk
101,Hitze::N,arșiță,sıcaklık
102,Hitze::N,căldură,sıcaklık
103,Raureif::N,chiciură,kırç
104,Regenbogen::N,curcubeu,gökkuşağı
