,Concept_ID,bg,ta
0,Auge::N,око,கண்
1,Ohr::N,ухо,காது
2,Nase::N,нос,மூக்கு
3,Mund::N,уста,வாய்
4,Zahn::N,зъб,பல்
5,Zunge::N,език,நாக்கு
6,Lippe::N,устна,உதடு
7,Wange::N,буза,கன்னம்
8,Gesicht::N,лице,முகம்
9,Gesicht::N,образ,முகம்
10,Stirn::N,чело,முன்னெற்றி
11,Haar::N,коса,முடி
12,Haar::N,косъм,முடி
13,Schnurrbart::N,мустаци,மீசை
14,Bart::N,брада,தாடி
15,Kinn::N,брада,கீழதாடை
16,Kinn::N,брадичка,கீழதாடை
17,Kiefer[Anatomie]::N,челюст,தாடை
18,Kehle::N,гърло,தொண்டை
19,Hals::N,врат,கழுத்து
20,Genick::N,тил,கழுத்து
21,Kopf::N,глава,தலை
22,Rücken::N,гръб,முதுகு
23,Bauch::N,корем,வயிறு
24,Nabel::N,пъп,தொப்புள்
25,Busen::N,бозка,மார்பகம்
26,Brust::N,гръд, மார்பு
27,Schulter::N,рамо,தோள்பட்டை
28,Schulter::N,плещи,தோள்பட்டை
29,Arm::N,ръка,கரம்
30,Ellenbogen::N,лакът,முழங்கை
31,Hand::N,ръка,கை
32,Hand::N,китка,கை
33,Handfläche::N,длан,உள்ளங்கை
34,Finger::N,пръст,விரல்
35,Fingernagel::N,нокът,விரல் நகம்
36,Nagel[Anatomie]::N,нокът,நகம்
37,Zeh::N,пръст на крак,கால்விரல்
38,Fuß::N,крак,கால்
39,Fuß::N,нога,கால்
40,Ferse::N,пета,குதிகால்
41,Knie::N,коляно,முழங்கால்
42,Oberschenkel::N,бедро,தொடை
43,Bein::N,крак,கால்
44,Bein::N,нога,கால்
45,Körper::N,тяло,உடல்
46,Haut::N,кожа,சருமம்
47,Blut::N,кръв,இரத்தம்
48,Ader::N,вена,நாளம்
49,Ader::N,артерия,நாளம்
50,Sehne::N,жила,தசைநார்
51,Sehne::N,сухожилие,தசைநார்
52,Knochen::N,кост,எலுமபு
53,Gehirn::N,мозък,மூனை
54,Herz::N,сърце,இதயம
55,Magen::N,стомах,வயிறு
56,Leber::N,черен дроб,கல்லீரல்
57,Atem::N,дишане,மூச்சு
58,Hunger::N,глад,பசி
59,Träne::N,сълза,கண்ணீர்
60,Geschmack::N,вкус,நறுமணம்
61,Geruch::N,миризма,துர்நாற்றம்
62,Schlaf::N,сън,தூக்கம்
63,Traum::N,сън,கனவு
64,Himmel::N,небе,வானம்
65,Sonne::N,слънце,சூரியன்
66,Mond::N,луна,சந்திரன்
67,Mond::N,месец,சந்திரன்
68,Stern::N,звезда,நட்சத்திரம்
69,Luft::N,въздух,காறறு
70,Wind::N,вятър,காற்று
71,Welle::N,вълна,அலை
72,Wasser::N,вода,நீர்
73,Stein::N,камък,கல்
74,Boden::N,земя,தரை
75,Boden::N,почва,தரை
76,Erde::N,земя,மண்
77,Erde::N,почва,மண்
78,Staub::N,прах,தூசி
79,Rauch::N,дим,புகை
80,Rauch::N,пушек,புகை
81,Funke::N,искра,தீப்பொறி
82,Feuer::N,огън,தீ
83,Licht::N,светлина,வெளிச்சம்
84,Schatten::N,сянка,நிழல்
85,Wetter::N,време,வானிலை
86,Nebel::N,мъгла,பனிமூட்டம்
87,Wolke::N,облак,மேகம்
88,Regen::N,дъжд,மழை
89,Schnee::N,сняг,உறைபனி
90,Eis::N,лед,பனிக்கட்டி
91,Frost::N,мраз,உறைபனி
92,Kälte::N,студ,குளிர்ந்த
93,Hitze::N,жега,சூடு
94,Hitze::N,горещина,சூடு
95,Raureif::N,скреж,உறைபனி வெண்திரை
96,Raureif::N,слана,உறைபனி வெண்திரை
97,Regenbogen::N,дъга,வானவில்
98,Donner::N,гръм,இடி
99,Strömung::N,течение,நீரோட்டம்
100,Tropfen::N,капка,துளி
101,Schaum::N,пяна,நுரை
102,Schmutz::N,кал,அழுக்கு
103,Schmutz::N,мръсотия,அழுக்கு
104,See::N,езеро,ஏரி
105,Sumpf::N,блато,சதுப்பு நிலம்
106,Moor::N,мочурище,முட்புதற்காடு
107,Wiese::N,ливада,பசும் புல்தரை
108,Wald::N,гора,காடு
109,Hügel::N,рид,குன்று
110,Hügel::N,хълм,குன்று
111,Anhöhe::N,могила,பதுக்கை
112,Anhöhe::N,възвишение,பதுக்கை
113,Berg::N,планина,மலை
