,Concept_ID,ar,ca
0,Auge::N,عين,ull
1,Ohr::N,أذن,orella
2,Nase::N,أنف,nas
3,Mund::N,فم,boca
4,Zahn::N,سن,dent
5,Zunge::N,لسان,llēngua
6,Lippe::N,شفة,llavi
7,Wange::N,خد,galta
8,Wange::N,وجنة,galta
9,Gesicht::N,وجه,cara
10,Stirn::N,جبين,front
11,Haar::N,شعر,cabēll
12,Schnurrbart::N,شارب,bigoti
13,Bart::N,لحية,barba
14,Kinn::N,ذقن,mentó
15,Kinn::N,ذقن,barbeta
16,Kiefer[Anatomie]::N,فك,queix
17,Kiefer[Anatomie]::N,فك,mandíbula
18,Kehle::N,حلق,gola
19,Kehle::N,حلق,gorja
20,Hals::N,عنق,coll
21,Hals::N,رقبة,coll
22,Genick::N,قفا,nuca
23,Kopf::N,رأس,cap
24,Rücken::N,ظهر,esquena
25,Bauch::N,بطن,panxa
26,Nabel::N,سرة,llombrígol
27,Busen::N,ثدي,pit
28,Busen::N,ثدي,mama
29,Brust::N,صدر,pit
30,Schulter::N,كتف,espatlla
31,Arm::N,ذراع,braç
32,Ellenbogen::N,كوع,colze
33,Hand::N,يد,mà
34,Handfläche::N,كف,palma
35,Finger::N,إصبع,dit
36,Fingernagel::N,ظفر,ungla
37,Nagel[Anatomie]::N,ظفر,ungla
38,Zeh::N,إصبع القدم,dit del peu
39,Fuß::N,قدم,peu
40,Ferse::N,كعب,taló
41,Knie::N,ركبة,genoll
42,Oberschenkel::N,فخذ,cuixa
43,Bein::N,ساق,cama
44,Körper::N,جسم,cos
45,Haut::N,بشرة,pell
46,Blut::N,دم,sang
47,Ader::N,عرق,vena
48,Sehne::N,طنب,tendó
49,Knochen::N,عظم,os
50,Gehirn::N,دماغ,cervell
51,Herz::N,قلب,cor
52,Magen::N,معدة,estómac
53,Leber::N,كبد,fetge
54,Atem::N,نفس,alè
55,Atem::N,نفس,hàlit
56,Hunger::N,جوع,fam
57,Hunger::N,جوع,gana
58,Träne::N,دمعة,llàgrima
59,Geschmack::N,طعم,gust
60,Geschmack::N,طعم,sabor
61,Geschmack::N,مذاق,gust
62,Geschmack::N,مذاق,sabor
63,Geruch::N,رائحة,olor
64,Schlaf::N,نوم,son
65,Schlaf::N,منام,son
66,Traum::N,حلم,somni
67,Himmel::N,سماء,celm
68,Sonne::N,شمس,sol
69,Mond::N,قمر,lluna
70,Stern::N,نجم,estel
71,Stern::N,نجم,estrella
72,Stern::N,كوكب,estel
73,Stern::N,كوكب,estrella
74,Luft::N,هواء,aire
75,Wind::N,ريح,vent
76,Welle::N,موجة,ona
77,Wasser::N,ماء,āigua
78,Stein::N,حجر,pedra
79,Boden::N,تراب,sòl
80,Erde::N,أرض,terra
81,Staub::N,غبار,pols
82,Rauch::N,دخان,fum
