,Concept_ID,it,kv
0,Auge::N,occhio,син
1,Ohr::N,orecchio,пель
2,Nase::N,naso,ныр
3,Mund::N,bocca,ӧм
4,Zahn::N,dente,пинь
5,Zunge::N,lingua,кыв
6,Lippe::N,labbro,тырп
7,Wange::N,guancia,рожабан
8,Gesicht::N,viso,бан
9,Gesicht::N,faccia,бан
10,Stirn::N,fronte,кымӧс
11,Haar::N,capello,юрси
12,Schnurrbart::N,baffi,уссэз
13,Schnurrbart::N,mustacchi,уссэз
14,Bart::N,barba,тош
15,Kinn::N,mento,тшӧка
16,Kiefer[Anatomie]::N,mascella,ан
17,Kehle::N,gola,юан
18,Hals::N,collo,юан
19,Genick::N,nuca,юр бӧр
20,Kopf::N,capo,юр
21,Kopf::N,testa,юр
22,Rücken::N,dorso,мышк
23,Rücken::N,schiena,мышк
24,Bauch::N,ventre,кынӧм
25,Nabel::N,ombelico,гӧг
26,Busen::N,seno,морос
27,Brust::N,petto,морос
28,Schulter::N,spalla,пельпон
29,Arm::N,braccio,ки
30,Ellenbogen::N,gomito,гырдзза
31,Hand::N,mano,кикар
32,Handfläche::N,palma,ки пыдӧс
33,Finger::N,dito,чунь
34,Fingernagel::N,unghia,гыж
35,Nagel[Anatomie]::N,unghia,гыж
36,Zeh::N,dito del piede,чунь
37,Fuß::N,piede,кокпыдӧс
38,Ferse::N,tallone,кокдзир
39,Ferse::N,calcagno,кокдзир
40,Knie::N,ginocchio,пидзӧс
41,Oberschenkel::N,fèmore,лядьбей
42,Bein::N,gamba,кок
43,Körper::N,corpo,вывтыр
44,Haut::N,pelle,кучик
45,Blut::N,sangue,вир
46,Ader::N,vena,сӧн
47,Sehne::N,tèndine,жила
48,Knochen::N,osso,коска
49,Gehirn::N,cervello,вем
50,Herz::N,cuore,сьӧлӧм
51,Magen::N,stòmaco,жӧвдӧк
52,Leber::N,fegato,мус
53,Atem::N,fiato,лолалӧм
54,Atem::N,respiro,лолалӧм
55,Hunger::N,fame,тшыг
56,Träne::N,làcrima,синва
57,Geschmack::N,gusto,кӧр
58,Geschmack::N,sapore,кӧр
59,Geruch::N,odore,дук
60,Schlaf::N,sonno,он
61,Traum::N,sogno,вӧт
62,Himmel::N,cielo,небо
63,Sonne::N,sole,шондi
64,Mond::N,luna,тӧлiсь
65,Stern::N,stella,кӧдзыв
66,Luft::N,aria,ру
67,Wind::N,vento,тӧв
68,Welle::N,onda,гы
69,Wasser::N,acqua,ва
70,Stein::N,sasso,из
71,Stein::N,pietra,из
72,Boden::N,suolo,му
73,Boden::N,terreno,му
74,Erde::N,terra,му
75,Staub::N,polvere,бус
76,Rauch::N,fumo,тшын
77,Funke::N,scintilla,бичир
78,Feuer::N,fuoco,би
79,Licht::N,luce,би
80,Schatten::N,ombra,вуджӧр
81,Wetter::N,tempo,погоддя
82,Nebel::N,nebbia,туман
83,Wolke::N,nube,кымӧр
84,Wolke::N,nùvola,кымӧр
85,Regen::N,pioggia,зэр
86,Schnee::N,neve,лым
87,Eis::N,ghiaccio,йы
88,Frost::N,gelo,мороз
89,Kälte::N,freddo,кӧдзыт
90,Hitze::N,caldo,ӧд
91,Hitze::N,calura,ӧд
92,Raureif::N,brina,кижа
93,Regenbogen::N,arcobaleno,енӧшка
94,Donner::N,tuono,гым
95,Strömung::N,corrente,визывтӧм
96,Tropfen::N,goccia,тёп
97,Schaum::N,spuma,быг
98,Schaum::N,schiuma,быг
99,Schmutz::N,sudiciume,нять
100,See::N,lago,ты
101,Sumpf::N,palude,арай
102,Moor::N,torbiera,нюр
103,Wiese::N,prato,видз
104,Wald::N,bosco,вӧр
105,Wald::N,foresta,вӧр
106,Hügel::N,colle,мыльк
107,Hügel::N,collina,мыльк
108,Anhöhe::N,altura,вывтас
109,Anhöhe::N,altura,вылынін
110,Berg::N,monte,керӧс
111,Berg::N,montagna,керӧс
112,Gipfel::N,cima,йыв
113,Höhle::N,grotta,нора
114,Höhle::N,caverna,нора
115,Abhang::N,pendìo,покат
116,Quelle::N,sorgente,больган
117,Bach::N,ruscello,шор
118,Fluss::N,fiume,ю
119,Ufer::N,riva,берег
120,Küste::N,costa,берег
121,Festland::N,terraferma,му
122,Meer::N,mare,море
123,Bucht::N,cala,курья
124,Insel::N,ìsola,
125,Blume::N,fiore,цветок
126,Gras::N,erba,турун
127,Wurzel::N,radice,вуж
128,Baum::N,àlbero,пу
129,Stamm::N,tronco,мыр
130,Stamm::N,tronco,кер
131,Rinde::N,corteccia,кач
132,Ast::N,ramo,ув
133,Zweig::N,ramo,ув
134,Blatt::N,foglia,лист
135,Birke::N,betulla,кыдз
136,Kiefer[Baum]::N,pino,пожум
137,Weide[Baum]::N,sàlice,бадь
138,Tanne::N,abete,кӧз
139,Horn::N,corno,сюр
140,Feder::N,penna,гӧн
141,Fell::N,manto,кучик
142,Fell::N,pelame,кучик
143,Flügel::N,ala,борд
144,Klaue::N,grinfia,гыж
145,Kralle::N,unghia,кабыр
146,Kralle::N,artiglio,кабыр
147,Schwanz::N,coda,бӧж
148,Ei::N,uovo,кольть
149,Nest::N,nido,поз
150,Bau::N,covo,осьта
151,Bau::N,covo,нора
152,Tier::N,bestia,зверь
153,Tier::N,animale,зверь
154,Herde::N,gregge,гурт
155,Kuh::N,vacca,мӧс
156,Bulle::N,toro,ӧшка
157,Pferd::N,cavallo,вӧв
158,Schaf::N,pècora,баля
159,Schwein::N,porco,порсь
160,Schwein::N,maiale,порсь
161,Hund::N,cane,пон
162,Katze::N,gatta,кань
163,Bär::N,orso,ош
164,Eichhörnchen::N,scoiàttolo,ур
165,Elch::N,alce,вӧр мӧс
166,Fuchs::N,volpe,руч
167,Hase::N,lepre,кӧч
168,Maus::N,topo,шыр
169,Maus::N,sorcio,шыр
170,Wolf::N,lupo,кӧин
171,Vogel::N,uccello,кай
172,Schwarm::N,stormo,стая
173,Schwarm::N,stormo,чукӧр
174,Huhn::N,gallina,курӧг
175,Hahn::N,gallo,петух
176,Hahn::N,gallo,ай курӧг
177,Gans::N,oca,дзодзог
178,Adler::N,àquila,куч
179,Adler::N,àquila,кутш
180,Ente::N,ànatra,утка
181,Eule::N,gufo,тупка
182,Eule::N,civetta,тупка
183,Kranich::N,gru,тури
184,Krähe::N,cornacchia,рака
185,Kuckuck::N,cuccù,кӧк
186,Kuckuck::N,cùculo,кӧк
187,Schwan::N,cigno,юсь
188,Fisch::N,pesce,чери
189,Barsch::N,pèrsico,ёкыш
190,Hecht::N,luccio,сирпинь
191,Schlange[Tier]::N,serpente,змей
192,Wurm::N,baco,номыр
193,Wurm::N,verme,номыр
194,Spinne::N,ragno,черань
195,Ameise::N,formica,кӧдзывкар
196,Laus::N,pidocchio,ляпа той
