,Concept_ID,kk,ru
0,Auge::N,көз,глаз
1,Ohr::N,құлақ,ухо
2,Nase::N,мұрын,нос
3,Mund::N,ауыз,рот
4,Zahn::N,тіс,зуб
5,Zunge::N,тіл,язык
6,Lippe::N,ерін,губа
7,Wange::N,ұрт,щека
8,Gesicht::N,бет-аузы,лицо
9,Stirn::N,маңдай,лоб
10,Haar::N,қыл,волос
11,Haar::N,қыл,волосы
12,Schnurrbart::N,мұрт,ус
13,Schnurrbart::N,мұрт,усы
14,Bart::N,сақал,борода
15,Kinn::N,иек,подбородок
16,Kiefer[Anatomie]::N,жақ,челюсть
17,Kehle::N,алқым,горло
18,Hals::N,мойын,шея
19,Genick::N,желке,затылок
20,Kopf::N,кәллә,голова
21,Rücken::N,арқа,спина
22,Bauch::N,қарын,живот
23,Nabel::N,кіндік,пупок
24,Busen::N,омырау,женская грудь
25,Brust::N,кеуде,грудь
26,Schulter::N,иық,плечо
27,Arm::N,қол,рука
28,Ellenbogen::N,шынтақ,локоть
29,Hand::N,қол,кисть
30,Handfläche::N,алақан,ладонь
31,Finger::N,саусақ,палец
32,Fingernagel::N,тырнақ,ноготь
33,Nagel[Anatomie]::N,тырнақ,ноготь
34,Zeh::N,тырнақ,палец
35,Zeh::N,тұяқ,палец
36,Fuß::N,аяқ-басы,ступня
37,Ferse::N,өкше,пята
38,Ferse::N,өкше,пятка
39,Ferse::N,өкшелік,пята
40,Ferse::N,өкшелік,пятка
41,Knie::N,тізе,колено
42,Oberschenkel::N,жамбас,бедро
43,Bein::N,аяқ,нога
44,Körper::N,дене,тело
45,Haut::N,тері,кожа
46,Blut::N,қан,кровь
47,Ader::N,көктамыр,вена
48,Ader::N,көктамыр,сосуд
49,Ader::N,күретамыр,вена
50,Ader::N,күретамыр,сосуд
51,Sehne::N,сіңір,жила
52,Sehne::N,сіңір,тетива
53,Sehne::N,сіңір,сухожилие
54,Knochen::N,жілік,кость
55,Gehirn::N,ми,мозг
56,Herz::N,жүрек,сердце
57,Magen::N,асқазан,желудок
58,Leber::N,бауыр,печень
59,Atem::N,леп,дух
60,Atem::N,леп,дыхание
61,Hunger::N,ашаршылық,голод
62,Träne::N,жас,слеза
63,Geschmack::N,дәм,вкус
64,Geschmack::N,татым,вкус
65,Geschmack::N,талғам,вкус
66,Geruch::N,иіс,запах
67,Schlaf::N,ұйқы,сон
68,Schlaf::N,ұйықтау,сон
69,Traum::N,түс,сновидение
70,Himmel::N,аспан,небо
71,Himmel::N,көқ,небо
72,Himmel::N,таңдай,небо
73,Sonne::N,күн,солнце
74,Mond::N,ай,луна
75,Stern::N,жұлдыз,звезда
76,Luft::N,әуе,воздух
77,Wind::N,жел,ветер
78,Welle::N,толқын,волна
79,Wasser::N,су,вода
80,Stein::N,тас,камень
81,Boden::N,қыртыс,почва
82,Erde::N,топырақ,земля
83,Staub::N,шаң,пыль
84,Rauch::N,түтін,дым
85,Funke::N,ұшқын,искра
86,Feuer::N,алау,огонь
87,Licht::N,шұғыла,свет
88,Schatten::N,көлеңке,тень
89,Wetter::N,ауа райы,погода
90,Nebel::N,тұман,туман
91,Wolke::N,бұлт,облако
92,Regen::N,жаңбыр,дождь
93,Schnee::N,қар,снег
94,Eis::N,мұз,лед
95,Frost::N,суық,мороз
96,Kälte::N,ызғар,холод
97,Kälte::N,суықтық,холод
98,Hitze::N,аптап,жара
99,Raureif::N,қырау,иней
100,Regenbogen::N,кемпірқосақ,радуга
101,Donner::N,күн күркіреу,гром
102,Strömung::N,ағын,течение
103,Tropfen::N,тамшы,капля
104,Schaum::N,көбік,пена
105,Schmutz::N,кір,грязь
106,See::N,көл,озеро
107,Sumpf::N,саз,топь
108,Moor::N,саз,болото
109,Wiese::N,шалғын,луг
110,Wald::N,орман,лес
111,Hügel::N,төбе,холм
112,Hügel::N,белес,холм
113,Hügel::N,белес-белес,холм
114,Anhöhe::N,дөң,возвышенность
115,Anhöhe::N,адыр,возвышенность
116,Anhöhe::N,қырат,возвышенность
117,Berg::N,тау,гора
118,Gipfel::N,төбе,вершина
119,Höhle::N,үңгір,пещера
120,Abhang::N,бауыр,склон
121,Quelle::N,қайнар,источник
122,Bach::N,жылға,ручей
123,Fluss::N,өзен,река
124,Ufer::N,жиек,берег
125,Küste::N,жиегі,побережье
126,Küste::N,жағалау,побережье
127,Festland::N,құрылық,суша
128,Meer::N,теңіз,море
129,Bucht::N,шығанақ,бухта
130,Insel::N,арал,остров
131,Blume::N,гүл,цветок
132,Gras::N,от,трава
133,Wurzel::N,түбір,корень
134,Baum::N,ағаш,дерево
135,Baum::N,дарақ,дерево
136,Stamm::N,сояу,ствол
137,Stamm::N,оқпан,ствол
138,Rinde::N,қабық,кора
139,Ast::N,бұтақ,сук
140,Zweig::N,шыбық,ветвь
141,Blatt::N,жапырақ,лист
142,Birke::N,қайың,береза
143,Kiefer[Baum]::N,қарағай,сосна
144,Weide[Baum]::N,тал,ива
145,Tanne::N,шырша,ель
146,Horn::N,мүйіз,рог
147,Feder::N,қаламұш,перо
148,Fell::N,тері,шкура
149,Flügel::N,қанат,крыло
150,Klaue::N,тырнақ,коготь
151,Kralle::N,аяқ,лапа
152,Schwanz::N,құйрық,хвост
153,Ei::N,жұмыртқа,яйцо
154,Nest::N,ұя,гнездо
155,Bau::N,жатақ,нора
156,Tier::N,айуан,животное
157,Tier::N,жануар,животное
158,Herde::N,пада,стадо
159,Kuh::N,сиыр,корова
160,Bulle::N,өгіз,бык
161,Pferd::N,жылқы,лошадь
162,Schaf::N,қой,овца
163,Schwein::N,шошқа,свинья
164,Hund::N,ит,собака
165,Katze::N,мысық,кошка
166,Bär::N,аю,медведь
167,Eichhörnchen::N,тиін,белка
168,Elch::N,бұғы,лось
169,Fuchs::N,түлкі,лиса
170,Hase::N,қоян,заяц
171,Maus::N,қаптесер,мышь
172,Wolf::N,бөрі,волк
173,Wolf::N,қасқыр,волк
174,Vogel::N,құс,птица
175,Schwarm::N,топ,стая
176,Schwarm::N,үйір,стая
177,Huhn::N,тауық,курица
178,Huhn::N,мекиен,курица
179,Hahn::N,әтеш,петух
180,Hahn::N,қораз,петух
181,Gans::N,қаз,гусь
182,Adler::N,бүркіт,орел
183,Ente::N,үйрек,утка
184,Eule::N,жапалақ,сова
185,Kranich::N,тырна,журавль
186,Krähe::N,қарға,ворона
187,Kuckuck::N,көкек,кукушка
188,Schwan::N,аққу,лебедь
189,Fisch::N,балық,рыба
190,Barsch::N,алабұға,окунь
191,Hecht::N,шортан,щука
192,Schlange[Tier]::N,жылан,змея
193,Wurm::N,шұбалшаң,червяк
194,Spinne::N,өрмекші,паук
195,Ameise::N,қүмырска,муравей
196,Laus::N,бит,вошь
197,Mücke::N,маса,комар
198,Fliege::N,шыбын,муха
199,Schmetterling::N,көбелек,бабочка
200,Beere::N,жидек,ягода
201,Apfel::N,алма,яблоко
202,Pilz::N,қозықұйрық,гриб
203,Pilz::N,саңыраукулақ,гриб
204,Zwiebel::N,жуа,луковица
205,Saat::N,тұқым,семя
206,Korn::N,дән,зерно
207,Heu::N,шөп,сено
208,Schale::N,қабық,шелуха
209,Schale::N,қабығы,шелуха
210,Grube::N,ор,яма
211,Falle::N,дұзақ,ловушка
212,Falle::N,қақпан,ловушка
213,Schlinge::N,ілмек,силок
214,Spur::N,із,след
215,Asche::N,күл,зола
216,Asche::N,күл,пепел
217,Dreck::N,былғаныш,грязь
218,Eisen::N,темір,железо
219,Gold::N,алтын,золото
220,Silber::N,күміс,серебро
221,Kohle::N,көмір,уголь
222,Glas::N,шыны,стекло
223,Lehm::N,балшық,глина
224,Sand::N,құм,песок
225,Mensch::N,адам,человек
226,Mann::N,еркек,мужчина
227,Mann::N,ер адам,мужчина
228,Frau::N,бике,женщина
229,Frau::N,қатын,женщина
230,Kind::N,бала,ребенок
231,Kind::N,перзент,ребенок
232,Junge::N,бала,мальчик
233,Junge::N,ер бала,мальчик
234,Mädchen::N,қыз,девочка
235,Familie::N,жанұя,семья
236,Großvater::N,ата,дедушка
237,Großmutter::N,әже,бабушка
238,Großmutter::N,әжей,бабушка
239,Eltern::N,ата-аналар,родители
240,Vater::N,әке,отец
241,Mutter::N,ана,мать
242,Sohn::N,ұл,сын
243,Tochter::N,қызым,дочь
244,Bruder::N,бауырым,брат
245,Schwester::N,әпке,сестра
246,Onkel::N,көке,дядя
247,Tante::N,тәте,тетя
248,Ehemann::N,ер,муж
249,Ehefrau::N,зайып,жена
250,Freude::N,қуаныш,радость
251,Freude::N,сүйініш,радость
252,Freude::N,шат-думан,радость
253,Freude::N,қуаныштылық,радость
254,Gelächter::N,күлу,смех
255,Glück::N,бақыт,счастье
256,Glück::N,бақыттылық,счастье
257,Kummer::N,аза,горе
258,Kummer::N,қайғы,горе
259,Kummer::N,қасырет,горе
260,Wunsch::N,мүдде,желание
261,Lust::N,тәбет,влечение
262,Lust::N,ынтызар,влечение
263,Lust::N,құштарлық,влечение
264,Geist::N,рух,дух
265,Gedanke::N,ой,мысль
266,Gedächtnis::N,ес,память
267,Gedächtnis::N,жады,память
268,Gedächtnis::N,ақыл-ес,память
269,Verstand::N,ақыл,ум
270,Verstand::N,парасат,ум
271,Sinn::N,мән,смысл
272,Sinn::N,маныз,смысл
273,Sinn::N,мағына,смысл
274,Sinn::N,мән-мағына,смысл
275,Grund::N,себеп,повод
276,Wahrheit::N,рас,правда
277,Gespräch::N,әңгіме,беседа
278,Märchen::N,ертеп,сказка
279,Märchen::N,ертек,сказка
280,Erzählung::N,әңгіме,рассказ
281,Nachricht::N,хабар,сообщение
