,Concept_ID,se,ku
0,Auge::N,tjelmie,çav
1,Auge::N,tjalmme,çav
2,Auge::N,čalbmi,çav
3,Auge::N,čalme,çav
4,Auge::N,čâ´lmm,çav
5,Auge::N,ча̄лльм,çav
6,Ohr::N,bieljie,guh
7,Ohr::N,biellje,guh
8,Ohr::N,beallji,guh
9,Ohr::N,pelji,guh
10,Ohr::N,pe´llj,guh
11,Ohr::N,пе̄лльй,guh
12,Nase::N,njuenie,bêvil
13,Nase::N,njunnje,bêvil
14,Nase::N,njunni,bêvil
15,Nase::N,njuṇe,bêvil
16,Nase::N,njuu´nn,bêvil
17,Nase::N,нюннҍ,bêvil
18,Mund::N,njaelmie,dev
19,Mund::N,njálmme,dev
20,Mund::N,njálbmi,dev
21,Mund::N,njälmi,dev
22,Mund::N,njä´lmm,dev
23,Mund::N,ня̄лльм,dev
24,Zahn::N,baenie,didan
25,Zahn::N,bádne,didan
26,Zahn::N,bátni,didan
27,Zahn::N,pääṇi,didan
28,Zahn::N,pää´nn,didan
29,Zahn::N,па̄ннҍ,didan
30,Zunge::N,njoektjeme,ziman
31,Zunge::N,njuovtjav,ziman
32,Zunge::N,njuovčča,ziman
33,Zunge::N,njuovčâ,ziman
34,Zunge::N,njuhččâm,ziman
35,Zunge::N,нюхчем,ziman
36,Lippe::N,bangseme,lêv
37,Lippe::N,njálmmerabdda,lêv
38,Lippe::N,bavssa,lêv
39,Lippe::N,poovsâ,lêv
40,Lippe::N,põõus,lêv
41,Lippe::N,пэ̄кс,lêv
42,Wange::N,skiehrie,dêm
43,Wange::N,skiehrie,hinarik
44,Wange::N,nierra,dêm
45,Wange::N,nierra,hinarik
46,Wange::N,muohtu,dêm
47,Wange::N,muohtu,hinarik
48,Wange::N,nieṛâ,dêm
49,Wange::N,nieṛâ,hinarik
50,Wange::N,njiõrr,dêm
51,Wange::N,njiõrr,hinarik
52,Wange::N,нӣрр,dêm
53,Wange::N,нӣрр,hinarik
54,Gesicht::N,ååredæjja,rû
55,Gesicht::N,muohto,rû
56,Gesicht::N,muođut,rû
57,Gesicht::N,ámadadju,rû
58,Gesicht::N,muáđuh,rû
59,Gesicht::N,muâđ,rû
60,Gesicht::N,ка̄ссв,rû
61,Stirn::N,gaalloe,enî
62,Stirn::N,gállo,enî
63,Stirn::N,gállu,enî
64,Stirn::N,kállu,enî
65,Stirn::N,käll,enî
66,Stirn::N,вуэххьц,enî
67,Haar::N,voepte,por
68,Haar::N,vuoppta,por
69,Haar::N,vuokta,por
70,Haar::N,vuop'tâ,por
71,Haar::N,vuõpt,por
72,Haar::N,вӯппт,por
73,Schnurrbart::N,bijjie-skaavtjoe,simbêl
74,Schnurrbart::N,njunjevuolskávttjá,simbêl
75,Schnurrbart::N,seamu,simbêl
76,Schnurrbart::N,siämu,simbêl
77,Schnurrbart::N,ää´bben,simbêl
78,Schnurrbart::N,о̄а̄бпан,simbêl
79,Bart::N,skaavtja,rih
80,Bart::N,skaavtjoe,rih
81,Bart::N,skávttjá,rih
82,Bart::N,seamu,rih
83,Bart::N,siämu,rih
84,Bart::N,seäm,rih
85,Bart::N,ся̄м,rih
86,Kinn::N,gaejpie,zenî
87,Kinn::N,gájbbe,zenî
88,Kinn::N,gáibi,zenî
89,Kinn::N,käibi,zenî
90,Kinn::N,käi´bb,zenî
91,Kinn::N,ка̄ййп,zenî
92,Kiefer[Anatomie]::N,gaejpie,arguşk
93,Kiefer[Anatomie]::N,oalol,arguşk
94,Kiefer[Anatomie]::N,oaloldákte,arguşk
95,Kiefer[Anatomie]::N,gáibi,arguşk
96,Kiefer[Anatomie]::N,uá'lultähti,arguşk
97,Kiefer[Anatomie]::N,vuâl'lõš,arguşk
98,Kiefer[Anatomie]::N,вуаллнешш,arguşk
99,Kehle::N,gealoe,qirik
100,Kehle::N,tjåttå,qirik
101,Kehle::N,njiello,qirik
102,Kehle::N,čotta,qirik
103,Kehle::N,čuudâ,qirik
104,Kehle::N,čoodd,qirik
105,Kehle::N,чонт,qirik
106,Kehle::N,кэ̄ҏс,qirik
107,Hals::N,tjeapohke,stû
108,Hals::N,tjeapohke,qirik
109,Hals::N,tjiebet,stû
110,Hals::N,tjiebet,qirik
111,Hals::N,čeabet,stû
112,Hals::N,čeabet,qirik
113,Hals::N,čiäppát,stû
114,Hals::N,čiäppát,qirik
115,Hals::N,čeäppat,stû
116,Hals::N,čeäppat,qirik
117,Hals::N,ча̄пэх,stû
118,Hals::N,ча̄пэх,qirik
119,Genick::N,tjovrese,stû
120,Genick::N,nisske,stû
121,Genick::N,niehkki,stû
122,Genick::N,niski,stû
123,Genick::N,niek'ki,stû
124,Genick::N,nji´šǩǩmaadd,stû
125,Genick::N,нышшькмоант,stû
126,Kopf::N,åejjie,serî
127,Kopf::N,oajvve,serî
128,Kopf::N,oaivi,serî
129,Kopf::N,uái'vi,serî
130,Kopf::N,vuei´vv,serî
131,Kopf::N,вуэййв,serî
132,Rücken::N,rudtje,pişt
133,Rücken::N,hárddo,pişt
134,Rücken::N,tjavelk,pişt
135,Rücken::N,sealgi,pişt
136,Rücken::N,selgi,pişt
137,Rücken::N,čielgi,pişt
138,Rücken::N,seä´lǧǧ,pişt
139,Rücken::N,се̄лльк,pişt
140,Bauch::N,tjåejjie,ûr
141,Bauch::N,tjåejjie,zik
142,Bauch::N,tjoajvve,ûr
143,Bauch::N,tjoajvve,zik
144,Bauch::N,čoavji,ûr
145,Bauch::N,čoavji,zik
146,Bauch::N,čuáv'ji,ûr
147,Bauch::N,čuáv'ji,zik
