,Concept_ID,ab,ku
0,Auge::N,ала,çav
1,Ohr::N,алымҳа,guh
2,Nase::N,аҧынҵа,bêvil
3,Mund::N,аҧышə,dev
4,Zahn::N,ахаҧыц,didan
5,Zunge::N,абз,ziman
6,Lippe::N,ақьышə,lêv
7,Wange::N,аӡамҩа,dêm
8,Wange::N,аӡамҩа,hinarik
9,Gesicht::N,аҿы,rû
10,Stirn::N,алахь,enî
11,Haar::N,ахəыц,por
12,Schnurrbart::N,аҧаҵа,simbêl
13,Bart::N,ажакьа,rih
14,Kinn::N,ацламкəыгə,zenî
15,Kiefer[Anatomie]::N,ацламҳəа,arguşk
16,Kehle::N,ахəда,qirik
17,Hals::N,ахəда,stû
18,Hals::N,ахəда,qirik
19,Genick::N,ахəдаџьал,stû
20,Kopf::N,ахы,serî
21,Rücken::N,азқəа,pişt
22,Bauch::N,амгəа,ûr
23,Bauch::N,амгəа,zik
24,Nabel::N,аҷапан,navik
25,Busen::N,агəыҧҳəы,sîng
26,Brust::N,агəышҧы,sîng
27,Schulter::N,ажəҩахыр,mil
28,Arm::N,амахəар,çepil
29,Ellenbogen::N,амашьхəылҵ,enîşk
30,Hand::N,анапы,dest
31,Handfläche::N,анапсаргəыҵа,kefadest
32,Finger::N,анацəа,tilî
33,Fingernagel::N,анапхыц,neynuk
34,Nagel[Anatomie]::N,ашьапхыц,bizmar
35,Zeh::N,ашьацəа,tilî linga
36,Fuß::N,ашьапсыргəыҵа,ling
37,Ferse::N,ашьхəа,pahnî
38,Knie::N,ашьамхы,kabok
39,Oberschenkel::N,ауаҭəа,rahn
40,Bein::N,ашьапы,çip
41,Körper::N,ацəеижь,laş
42,Körper::N,ацəеижь,gowde
43,Haut::N,ацəа,çerm
44,Blut::N,ашьа,xwîn
45,Ader::N,ада,reh
46,Sehne::N,адаш,reh
47,Knochen::N,абаҩ,hestî
48,Gehirn::N,ахшлыбаҩ,mêjî
49,Gehirn::N,ахшыбаҩ,mêjî
50,Herz::N,агəы,dil
51,Magen::N,аца,navêş
52,Magen::N,ацар,navêş
53,Leber::N,агəаҵəа,kezeb
54,Atem::N,аҧсыҧлагаҩгара,hilm
55,Hunger::N,амла,birçîtî
56,Träne::N,алабжыш,hêstir
57,Geschmack::N,агьама,tam
58,Geruch::N,афҩы,bêhn
59,Schlaf::N,ацəа,xew
60,Traum::N,аҧхыӡ,xewn
61,Himmel::N,ажəҩан,ezman
62,Sonne::N,амра,roj
63,Mond::N,амза,heyv
64,Stern::N,аеҵəа,stêrk
65,Luft::N,аҳаир,ba
66,Wind::N,аҧша,ba
67,Welle::N,ацəқəырҧа,şewl
68,Wasser::N,аӡы,av
69,Stein::N,ахаҳə,kevir
70,Boden::N,адгьыл,herd
71,Erde::N,адгьыл,ax
72,Staub::N,асаба,toz
73,Rauch::N,алҩа,dû
74,Funke::N,акəиц,çirûşk
75,Funke::N,ацҧхь,çirûşk
76,Feuer::N,амца,agir
77,Licht::N,алашара,ronahî
78,Schatten::N,ашəшьыра,sî
79,Wetter::N,амш,hewa
80,Nebel::N,анаҟəа,mij
81,Wolke::N,аҧсҭҳəа,ewr
82,Regen::N,ақəа,baran
83,Schnee::N,асы,berf
84,Eis::N,аҵаа,qeşa
85,Frost::N,аҵаа,xûsik
86,Kälte::N,ахьҭа,serma
87,Hitze::N,ашоура,germayî
88,Raureif::N,аҵааҧшқа,şext
89,Regenbogen::N,ацəаҟəа,heftreng
90,Donner::N,адыд,gire-gir
91,Strömung::N,аиасра,şewl
92,Strömung::N,амҩасра,şewl
93,Tropfen::N,ацəыкəбар,dilop
94,Schaum::N,ашəах,kef
95,Schmutz::N,алымт,gemar
96,See::N,аӡиа,gol
97,Sumpf::N,аӡмах,hezek
98,Wiese::N,адəы,sûrik
99,Wald::N,абна,çiya
100,Wald::N,абна,daristan
101,Hügel::N,ахəы,gir
102,Anhöhe::N,аҳаракыра,sere gir
103,Berg::N,ашьха,kaş
104,Gipfel::N,ацəқəа,sere gir
105,Höhle::N,аҳаҧы,şikeft
106,Abhang::N,анаара,kaş
107,Quelle::N,аҵҵырҭа,kanî
108,Bach::N,акəараҷҷа,çem
109,Fluss::N,аӡиас,çem
110,Fluss::N,аӡиас,rûbar
111,Ufer::N,ахықə,kevî
112,Küste::N,ахықə,berav
113,Festland::N,абарра,bejahî
114,Meer::N,амшын,behr
115,Bucht::N,аӡбжьахала,derav
116,Insel::N,адгьылбжьаха,girav
117,Blume::N,ашəҭ,kulînk
118,Gras::N,аҳасакьын,giha
119,Wurzel::N,адац,reh
120,Baum::N,аҵла,dar
121,Stamm::N,ашьапы,bavik
122,Rinde::N,ацəа,qaqil
123,Ast::N,амахə,gulî
124,Ast::N,амахəҭа,gulî
125,Zweig::N,амахə,şax
126,Zweig::N,амахəҭа,şax
127,Blatt::N,абҕьы,pel
128,Birke::N,аҵааҵла,dara sipî
129,Kiefer[Baum]::N,амза,dara bî
130,Weide[Baum]::N,аҧслыш,dara belalûk
131,Tanne::N,аҧсаӡ,merx
132,Horn::N,атəыҩа,strô
133,Feder::N,ахӡы,pîrtîk
134,Fell::N,ацəа,heyar
135,Flügel::N,амҵəыжəа,per
136,Klaue::N,ашьапхыц,napîk
137,Schwanz::N,аҵыхəа,dûv
138,Ei::N,акəтаӷь,hêk
139,Nest::N,аҭра,hêlîn
140,Nest::N,аҵысҭра,hêlîn
141,Bau::N,аҭыҩра,avahî
142,Tier::N,аҧстəы,heywan
143,Tier::N,агыгшəыг,heywan
144,Herde::N,агəарҭа,hoz
145,Kuh::N,ажə,çêlek
146,Bulle::N,ацə,ga
147,Pferd::N,аҽы,hesp
148,Schaf::N,ауаса,mîh
149,Schwein::N,аҳəа,beraz
150,Hund::N,ала,seh
151,Katze::N,ацгəы,pişîk
152,Bär::N,амшə,hirç
153,Eichhörnchen::N,аеш,pilûr
154,Elch::N,аҽаҩа,pazkovî
155,Fuchs::N,абгахəыҷы,rovî
156,Hase::N,ажьа,kîroşk
157,Maus::N,аҳəынаҧ,mişk
158,Wolf::N,абгаду,gur
159,Vogel::N,аҧсаатə,çûk
160,Huhn::N,акəты,mirîşk
161,Hahn::N,арбаҕь,dîk
162,Gans::N,аҟыз,qaz
163,Adler::N,ауарба,eylo
164,Ente::N,акəата,werdek
165,Eule::N,аты,bûm
166,Eule::N,аты,kund
167,Kranich::N,апҟа,quling
168,Krähe::N,аҟəараан,qijik
169,Kuckuck::N,акəыкəу,pepûk
170,Schwan::N,агьад,qû
171,Fisch::N,аҧсыӡ,masî
172,Barsch::N,ацəыбла,okûn
173,Hecht::N,ахиаала,mesîyê lûf
174,Schlange[Tier]::N,амаҭ,mar
175,Wurm::N,ахəа,kurm
176,Wurm::N,ахəац,kurm
177,Spinne::N,абызкаҭаҳа,pîrê
178,Ameise::N,ашышкамс,mîro
179,Ameise::N,ашышкамс,gêrîk
180,Laus::N,аҵа,spi
181,Mücke::N,акəыбры,mêş
182,Fliege::N,амҵ,mêş
183,Schmetterling::N,аҧарҧалыкь,perperîk
184,Beere::N,аргуц,hirç
185,Apfel::N,аҵəа,sêv
186,Pilz::N,акəкəбаа,bîrov
187,Zwiebel::N,аџьымшьы,pîvaz
188,Zwiebel::N,аџьымшьхы,pîvaz
189,Saat::N,ажəла,tov
190,Korn::N,арыц,dexl
191,Heu::N,аҭəа,sap
192,Schale::N,ацəа,qaşik
193,Grube::N,ажра,çahl
194,Grube::N,атыша,çahl
195,Falle::N,арыҧҟьа,dafik
196,Schlinge::N,аҟəараҟəантə,dahf
197,Spur::N,ашьҭа,rêç
198,Asche::N,ахəа,xweli
199,Dreck::N,аҳəынҵəа,gemarî
200,Dreck::N,аҟьамсар,gemarî
201,Eisen::N,аиха,hesing
202,Gold::N,ахьы,zêr
203,Silber::N,аразны,zîv
204,Kohle::N,арацəа,komir
205,Glas::N,асаркьа,qedeh
206,Lehm::N,анышəаҧшь,kelpîç
