,Concept_ID,mhr,os
0,Auge::N,шинча́,цӕст
1,Ohr::N,пы́лыш,хъус
2,Nase::N,нер,фындз
3,Mund::N,умша́,дзых
4,Zahn::N,пӱй,дӕндаг
5,Zunge::N,йы́лме,ӕвзаг
6,Lippe::N,тӱ́рвӧ,был
7,Wange::N,шӱ́ргӧ,рус
8,Wange::N,шӱ́ргӧ,уадул
9,Wange::N,шӱ́ргӧ,ӕхсӕрфарс
10,Gesicht::N,чури́й,цӕсгом
11,Stirn::N,саҥга́,ных
12,Haar::N,ӱп,хил
13,Schnurrbart::N,ӧ́рыш,рихи
14,Bart::N,понда́ш,зачъе
15,Kinn::N,оҥыла́ш,роцъо
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ӕфсӕр
17,Kiefer[Anatomie]::N,пӱйората́,ӕфсӕр
18,Kehle::N,лога́р,хъуыр
19,Hals::N,шӱй,къубал
20,Genick::N,шӱйло́дыш,къӕбут
21,Kopf::N,вуй,сӕр
22,Rücken::N,туп,фӕсонтӕ
23,Bauch::N,мӱ́шкыр,гуыбын
24,Nabel::N,кы́лымде,бикъ
25,Busen::N,чы́зе,дзидзи
26,Brust::N,оҥ,риу
27,Schulter::N,ва́че,уӕхск
28,Arm::N,кид,цонг
29,Ellenbogen::N,кынерву́й,рæмбын
30,Hand::N,кид,къух
31,Hand::N,копа́,къух
32,Handfläche::N,со́во,армытъӕпӕн
33,Finger::N,парня́,ӕнруылдз
34,Fingernagel::N,кидкӱ́ч,ных
35,Fingernagel::N,парнягӱ́ч,ных
36,Nagel[Anatomie]::N,кӱч,ных
37,Zeh::N,йолварня́,къух
38,Fuß::N,йол,фад
39,Fuß::N,йолкопа́,фад
40,Ferse::N,тага́н,зӕвӕт
41,Knie::N,пулву́й,уӕраг
42,Oberschenkel::N,э́рде,агъд
43,Bein::N,йол,зӕнг
44,Körper::N,кап,буар
45,Haut::N,кова́ште,царм
46,Blut::N,вӱр,туг
47,Ader::N,шӧн,дадзин
48,Ader::N,шӧн,тугдадзин
49,Sehne::N,шӧн,хъиутæ
50,Sehne::N,шӧн,нуар
51,Sehne::N,кӱсе́н,хъиутæ
52,Sehne::N,кӱсе́н,нуар
53,Knochen::N,лу,стӕг
54,Gehirn::N,вем,магъз
55,Gehirn::N,вуйве́м,магъз
56,Herz::N,шӱм,зӕрдӕ
57,Magen::N,пага́р,ахсӕн
58,Leber::N,мокш,игæр
59,Atem::N,шӱ́лыш,улӕфт
60,Hunger::N,шужыма́ш,стонг
61,Träne::N,шинчавӱ́д,цæссыг
62,Geschmack::N,там,ад
63,Geruch::N,пуш,смаг
64,Schlaf::N,о́мо,хуыссӕг
65,Traum::N,йӱдо́мо,фын
66,Himmel::N,кава́,арв
67,Himmel::N,кава́,уӕларв
68,Sonne::N,ке́че,хур
69,Mond::N,ты́лзе,мӕй
70,Stern::N,шӱ́дыр,стъалы
71,Luft::N,юж,уӕлдӕф
72,Wind::N,марде́ж,дымгӕ
73,Welle::N,то́лкын,уылӕн
74,Wasser::N,вӱд,дон
75,Stein::N,кӱ,дур
76,Boden::N,рок,зӕхх
77,Erde::N,мла́нде,сыджыт
78,Staub::N,пура́к,рыг
79,Rauch::N,шикш,фӕздӕг
80,Funke::N,сеске́м,цӕхӕр
81,Funke::N,тулйы́п,цӕхӕр
82,Feuer::N,тул,зынг
83,Licht::N,со́то,рухс
