,Concept_ID,ro,mn
0,Auge::N,ochi,нүд
1,Ohr::N,ureche,чих
2,Nase::N,nas,хамар
3,Mund::N,gură,ам
4,Zahn::N,dinte,шүд
5,Zunge::N,limbă,хэл
6,Lippe::N,buză,уруул
7,Wange::N,bucă,хацар
8,Wange::N,obraz,хацар
9,Gesicht::N,față,царай
10,Gesicht::N,față,нүүр
11,Gesicht::N,figură,царай
12,Gesicht::N,figură,нүүр
13,Stirn::N,frunte,дух
14,Haar::N,păr,үс
15,Schnurrbart::N,mustață,дээд сахал
16,Schnurrbart::N,mustață,живэр сахал
17,Bart::N,barbă,сахал
18,Kinn::N,bărbie,эрүү
19,Kiefer[Anatomie]::N,falcă,эрүү
20,Kehle::N,beregată,хоолой
21,Hals::N,gât,хүзүү
22,Genick::N,ceafă,шил
23,Genick::N,ceafă,хүзүү
24,Kopf::N,cap,толгой
25,Rücken::N,dos,ар
26,Rücken::N,dos,нуруу
27,Rücken::N,spate,ар
28,Rücken::N,spate,нуруу
29,Rücken::N,spinare,ар
30,Rücken::N,spinare,нуруу
31,Bauch::N,burtă,хэвлий
32,Bauch::N,burtă,гэдэс
33,Bauch::N,pântece,хэвлий
34,Bauch::N,pântece,гэдэс
35,Nabel::N,buric,хүйс
36,Busen::N,sân,хөх
37,Brust::N,piept,цээж
38,Schulter::N,umăr,мөр
39,Schulter::N,umăr,бугалга
40,Schulter::N,spate,мөр
41,Schulter::N,spate,бугалга
42,Arm::N,braț,гар
43,Ellenbogen::N,cot,тохой
44,Hand::N,mână,гар
45,Hand::N,mână,алга
46,Handfläche::N,palmă,алга
47,Finger::N,deget,хуруу
48,Fingernagel::N,unghie,хурууны хумс
49,Nagel[Anatomie]::N,unghie,хумс
50,Zeh::N,deget de la picior,хуруу
51,Fuß::N,picior,хөл
52,Ferse::N,călcâi,өсгий
53,Knie::N,genunchi,өвдөг
54,Oberschenkel::N,coapsă,гуя
55,Bein::N,picior,хөл
56,Körper::N,corp,бие
57,Haut::N,piele,арьс
58,Blut::N,sânge,цус
