,Concept_ID,myv,uk
0,Auge::N,сельме,око
1,Ohr::N,пиле,вухо
2,Nase::N,судо,ніс
3,Mund::N,курго,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кель,язик
6,Lippe::N,турва,губа
7,Wange::N,чамабока,щока
8,Wange::N,чамаумарь,щока
9,Gesicht::N,чама,обличчя
10,Stirn::N,коня,лоб
11,Haar::N,черь,волосся
12,Schnurrbart::N,ус,вуса
13,Schnurrbart::N,муюк,вуса
14,Bart::N,сакал,борода
15,Kinn::N,уло,підборіддя
16,Kiefer[Anatomie]::N,пейпакар,щелепа
17,Kiefer[Anatomie]::N,пейловажа,щелепа
18,Kehle::N,кирьгапарь,горло
19,Hals::N,кирьга,шия
20,Genick::N,човонь,потилиця
21,Kopf::N,пря,голова
22,Rücken::N,копорь,спина
23,Bauch::N,пеке,живіт
24,Nabel::N,почо,пупок
25,Busen::N,поте,груди
26,Brust::N,меште,груди
27,Schulter::N,лавтов,плече
28,Arm::N,кедь,рука
29,Ellenbogen::N,кенерепакарь,лікоть
30,Hand::N,кедь,рука
31,Handfläche::N,кедькуншка,долоня
32,Handfläche::N,кедьлапушка,долоня
33,Finger::N,сур,палець
34,Fingernagel::N,кенже,ніготь
35,Nagel[Anatomie]::N,кенже,ніготь
36,Zeh::N,пильге сур,палець на нозі
37,Fuß::N,пильге,нога
38,Ferse::N,кочкаря,п’ятка
39,Knie::N,эле,коліно
40,Knie::N,эзне,коліно
41,Knie::N,кумажа,коліно
42,Oberschenkel::N,качо,стегно
43,Bein::N,пильге,нога
44,Körper::N,рунго,тіло
45,Haut::N,киське,шкіра
46,Blut::N,верь,кров
47,Ader::N,сан,вена
48,Sehne::N,коське сан,сухожилля
49,Knochen::N,пакарь,кістка
50,Gehirn::N,удем,мозок
51,Herz::N,седей,серце
52,Magen::N,пеке,шлунок
53,Leber::N,максо,печінка
54,Atem::N,лексема,дихання
55,Atem::N,оймень таргсема,дихання
56,Hunger::N,вачочи,голод
57,Träne::N,селведь,сльоза
58,Geschmack::N,тансть,смак
59,Geruch::N,чине,запах
60,Schlaf::N,удома,сон
61,Schlaf::N,удома,сплячка
62,Traum::N,он,сон
63,Himmel::N,менель,небо
64,Sonne::N,чи,сонце
65,Mond::N,ков,місяць
66,Stern::N,теште,зірка
67,Luft::N,кошт,повітря
68,Wind::N,варма,вітер
69,Welle::N,толкун,хвиля
70,Wasser::N,ведь,вода
71,Stein::N,кев,камінь
72,Boden::N,мода,ґрунт
73,Erde::N,мастор,земля
74,Staub::N,пуль,пил
75,Rauch::N,качамо,дим
76,Funke::N,сятко,іскра
77,Feuer::N,тол,вогонь
78,Licht::N,валдо,світло
79,Schatten::N,сулей,тінь
80,Schatten::N,сулейкс,тінь
81,Wetter::N,ушо,погода
82,Nebel::N,сув,туман
83,Wolke::N,пель,хмара
84,Regen::N,пиземс,дощ
85,Schnee::N,лов,сніг
86,Eis::N,эй,лід
87,Frost::N,кельме,мороз
88,Kälte::N,якшамо,холод
89,Hitze::N,пси,жар
90,Raureif::N,лекш,іній
91,Regenbogen::N,пурьгинечирьке,райдуга
