,Concept_ID,bn,pl
0,Auge::N,চক্ষু,oko
1,Ohr::N,কর্ণ,ucho
2,Nase::N,নাক,nos
3,Mund::N,মুখ,usta
4,Zahn::N,দাঁত,ząb
5,Zunge::N,জিহবা,język
6,Lippe::N,অধর,warga
7,Wange::N,গণ্ড,policzek
8,Gesicht::N,মুখমণ্ডল,twarz
9,Stirn::N,কপাল,czoło
10,Haar::N,চুল,włos
11,Haar::N,চুল,włosy
12,Schnurrbart::N,গোঁফ,wąsy
13,Bart::N,শ্মশ্রু,broda
14,Kinn::N,চিবুক,podbródek
15,Kiefer[Anatomie]::N,চোয়াল,czeluść
16,Kehle::N,কণ্ঠ,gardło
17,Hals::N,গল,szyja
18,Genick::N,ঘাড়,kark
19,Kopf::N,মাথা,głowa
20,Rücken::N,পৃষ্ঠ,plecy
21,Rücken::N,পৃষ্ঠ,grzbiet
22,Bauch::N,উদর,brzuch
23,Nabel::N,নাভি,pępek
24,Busen::N,স্তন,biust
25,Brust::N,বুক,pierś
26,Schulter::N,স্কন্ধ,bark
27,Schulter::N,স্কন্ধ,ramię
28,Arm::N,বাহু,ręka
29,Arm::N,বাহু,ramię
30,Ellenbogen::N,কনুই,łokieć
31,Hand::N,হাত,dłoń
32,Handfläche::N,করতল,dłoń
33,Finger::N,আঙ্গুল,palec
34,Fingernagel::N,হাতের নখ,paznokieć
35,Nagel[Anatomie]::N,নখ,paznokieć
36,Zeh::N,আঙ্গুল,palec
37,Fuß::N,পা,stopa
38,Ferse::N,গোড়ালি,pięta
39,Knie::N,হাঁটু,kolano
40,Oberschenkel::N,ঊরু,udo
41,Bein::N,পা,noga
42,Körper::N,দেহ,ciało
43,Haut::N,ত্বক,skóra
44,Blut::N,রক্ত,krew
45,Ader::N,শিরা,żyła
46,Sehne::N,কণ্ডরা,ścięgno
47,Knochen::N,অস্থি,kość
48,Gehirn::N,মস্তিষ্ক,mózg
49,Herz::N,হৃৎপিণ্ড,serce
50,Magen::N,পাকস্থলী,żołądek
51,Leber::N,যকৃৎ,wątroba
52,Atem::N,শ্বাস,dech
53,Atem::N,শ্বাস,oddech
54,Hunger::N,ক্ষুধা,głód
55,Träne::N,অশ্রু,łza
56,Geschmack::N,স্বাদ,smak
57,Geruch::N,গন্ধ,woń
58,Geruch::N,গন্ধ,zapach
59,Schlaf::N,ঘুম,sen
60,Traum::N,স্বপ্ন,sen
61,Himmel::N,আকাশ,niebo
62,Sonne::N,সূর্য,słońce
63,Mond::N,চন্দ্র,księżyc
64,Stern::N,নক্ষত্র,gwiazda
65,Luft::N,বায়ু,powietrze
66,Wind::N,বাতাস,wiatr
67,Welle::N,ঢেউ,fala
68,Welle::N,তরঙ্গ,fala
69,Wasser::N,জল,woda
70,Stein::N,ঢিল,kamień
71,Stein::N,প্রস্তর,kamień
72,Boden::N,ভূতল,grunt
73,Erde::N,ভূমি,ziemia
74,Staub::N,ধুলা,pył
75,Staub::N,ধুলা,kurz
76,Rauch::N,ধোঁয়া,dym
77,Funke::N,স্ফুলিঙ্গ,iskra
78,Feuer::N,অগ্নি,ogień
79,Licht::N,আলো,światło
80,Schatten::N,ছায়া,cień
81,Wetter::N,আবহাওয়া,pogoda
82,Nebel::N,কুহেলিকা,mgła
83,Wolke::N,মেঘ,obłok
84,Wolke::N,মেঘ,chmura
85,Regen::N,বৃষ্টি,deszcz
86,Schnee::N,তুষার,śnieg
87,Eis::N,বরফ,lód
88,Frost::N,তুষার,mróz
89,Kälte::N,শৈত্য,chłód
90,Hitze::N,তাপ,gorąco
91,Raureif::N,তুহিন,szron
92,Regenbogen::N,রামধনু,tęcza
93,Donner::N,বজ্রধ্বনি,grzmot
94,Strömung::N,স্রোত,nurt
95,Tropfen::N,ফোঁটা,kropla
96,Schaum::N,ফেনা,piana
97,Schmutz::N,ধুলা,brud
98,See::N,হ্রদ,jezioro
99,Sumpf::N,জলা,bagno
100,Moor::N,মাঠ,bagno
101,Wiese::N,তৃণভূমি,łąka
102,Wald::N,বন,las
103,Hügel::N,পাহাড়,pagórek
104,Anhöhe::N,টিলা,wzgórze
105,Berg::N,পর্বত,góra
106,Gipfel::N,শীর্ষ,szczyt
107,Gipfel::N,শীর্ষ,wierzchołek
108,Höhle::N,গুহা,pieczara
109,Abhang::N,ঢাল,stok
110,Abhang::N,ঢাল,zbocze
111,Quelle::N,উৎস,zdrój
112,Quelle::N,উৎস,źródło
113,Bach::N,ক্ষুদ্র নদী,potok
114,Bach::N,ক্ষুদ্র নদী,strumień
115,Fluss::N,নদী,rzeka
116,Ufer::N,উপকূল,brzeg
117,Küste::N,তীর,wybrzeże
118,Festland::N,ভূমি,ląd
119,Meer::N,সমুদ্র,morze
120,Bucht::N,উপসাগর,zatoka
121,Insel::N,দ্বীপ,wyspa
122,Blume::N,ফুল,kwiat
123,Gras::N,ঘাস,trawa
124,Wurzel::N,শিকড়,korzeń
125,Baum::N,গাছ,drzewo
126,Stamm::N,স্কন্ধ,pień
127,Rinde::N,বল্কল,kora
128,Ast::N,শাখা,gałąź
129,Zweig::N,ডাল,gałąź
130,Blatt::N,পর্ণ,liść
131,Birke::N,ভুর্জ,brzoza
132,Kiefer[Baum]::N,পাইন গাছ,sosna
133,Weide[Baum]::N,উইলো,wierzba
134,Tanne::N,দেবদারূ গাছ,jodła
135,Horn::N,শিং,róg
136,Feder::N,পালক,pióro
137,Fell::N,রোম,futro
138,Flügel::N,ডানা,skrzydło
139,Klaue::N,নখর,szpon
140,Kralle::N,নখর,pazur
141,Schwanz::N,লেজ,ogon
142,Ei::N,ডিম,jajko
143,Nest::N,কুলায়,gniazdo
144,Bau::N,ডেরা,nora
145,Tier::N,জন্তু,zwierzę
146,Herde::N,ঝাঁক,stado
147,Herde::N,ঝাঁক,trzoda
148,Kuh::N,গোরু,krowa
149,Bulle::N,বৃষ,byk
150,Pferd::N,ঘোড়া,koń
151,Schaf::N,ভেড়া,owca
152,Schwein::N,শূকর,świnia
153,Hund::N,কুকুর,pies
154,Katze::N,বেড়াল,kot
155,Katze::N,বেড়াল,kotka
156,Bär::N,ভল্লুক,niedźwiedż
157,Eichhörnchen::N,কাঠবিড়াল,wiewiórka
158,Elch::N,হরিণবিশেষ,łóś
159,Fuchs::N,পাঁতিশিয়াল,lis
160,Hase::N,শশক,zając
161,Maus::N,নেংটি ইঁদুর,mysz
162,Wolf::N,নেকড়ে,wilk
163,Vogel::N,পক্ষী,ptak
164,Schwarm::N,ঝাঁক,stado
165,Huhn::N,মোরগ,kura
166,Hahn::N,কুক্কুট,kogut
167,Gans::N,হংসী,gęś
168,Adler::N,ইগল,orzeł
169,Ente::N,হংসী,kaczka
170,Eule::N,পেচক,sowa
171,Kranich::N,সারস,żuraw
172,Krähe::N,কাক,wrona
173,Kuckuck::N,কোকিল,kukułka
174,Schwan::N,মরাল,łabędż
175,Fisch::N,মাছ,ryba
176,Barsch::N,মৎন্যবিশেষ,okoń
177,Hecht::N,বানমাছ,szczupak
178,Schlange[Tier]::N,সর্প,wąż
179,Schlange[Tier]::N,সর্প,żmija
180,Wurm::N,কীট,robak
181,Spinne::N,মাকড়সা,pająk
182,Ameise::N,পিপীলিকা,mrówka
183,Laus::N,উকুন,wesz
184,Mücke::N,মশা,komar
185,Fliege::N,মাছি,mucha
186,Schmetterling::N,প্রজাপতি,motyl
187,Beere::N,বেরি,jagoda
188,Apfel::N,আপেল,jabłko
189,Pilz::N,ছত্রক,grzyb
190,Zwiebel::N,পিয়াজ,cebula
191,Saat::N,বীজ,siew
192,Korn::N,শস্য,ziarno
193,Heu::N,খড়,siano
194,Schale::N,খোসা,łupina
195,Grube::N,গর্ত,dół
196,Grube::N,গর্ত,jama
197,Falle::N,ফাঁদ,pułapka
198,Schlinge::N,পাশ,sidła
199,Spur::N,চিহ্ন,ślad
200,Asche::N,ভস্ম,popiół
201,Dreck::N,ময়লা,brud
202,Eisen::N,লোহা,żelazo
203,Gold::N,স্বর্ণ,złoto
204,Silber::N,রৌপ্য,srebro
205,Kohle::N,অঙ্গার,węgiel
206,Glas::N,কাচ,szkło
207,Lehm::N,মৃত্তিকা,glina
208,Sand::N,বালি,piasek
209,Mensch::N,নর,człowiek
210,Mensch::N,মানুষ,człowiek
211,Mann::N,মানুষ,mężczyzna
212,Frau::N,নারী,kobieta
213,Kind::N,বাচ্চা,dziecko
214,Junge::N,ছেলে,chłopak
215,Junge::N,ছেলে,chłopiec
216,Mädchen::N,মেয়ে,dziewczynka
217,Familie::N,পরিবার,rodzina
218,Großvater::N,মাতামহ,dziadek
219,Großmutter::N,মাতামহী,babka
220,Eltern::N,মাতাপিতা,rodzice
221,Vater::N,পিতা,ojciec
222,Mutter::N,মাতা,matka
223,Sohn::N,ছেলে,syn
224,Tochter::N,মেয়ে,córka
225,Bruder::N,দাদা,brat
226,Schwester::N,বোন,siostra
227,Schwester::N,দিদি,siostra
228,Onkel::N,মামা,wuj
229,Onkel::N,মামা,stryj
230,Tante::N,মাসী,ciotka
231,Ehemann::N,স্বামী,mąż
232,Ehefrau::N,পত্নী,żona
233,Freude::N,উল্লাস,radość
234,Gelächter::N,হাসি,śmiech
235,Glück::N,সুখ,szczęście
236,Kummer::N,দুঃখ,zmartwienie
237,Wunsch::N,আকাঙ্ক্ষা,życzenie
238,Lust::N,বাসনা,chęć
239,Lust::N,বাসনা,ochota
240,Geist::N,আত্না,duch
241,Gedanke::N,চিন্তা,myśl
242,Gedächtnis::N,স্মরণশক্তি,pamięć
243,Verstand::N,মন,rozum
244,Sinn::N,পদার্থ,zmysł
245,Grund::N,কারণ,powód
246,Wahrheit::N,সত্য,prawda
247,Gespräch::N,কথাবার্তা,rozmowa
248,Märchen::N,রূপকথা,bajka
249,Erzählung::N,গল্প,opowiadanie
250,Nachricht::N,তথ্য,wiadomość
251,Neuigkeit::N,খবরাখবর,nowina
252,Name::N,নাম,imię
253,Rätsel::N,ধাঁধা,zagadka
254,Rede::N,বক্তৃতা,mowa
255,Sprache::N,ভাষা,język
256,Stimme::N,স্বর,głos
257,Wort::N,শব্দ,słowo
258,Zeichen::N,প্রতীক,znak
259,Ruf::N,ডাক,wołanie
260,Lärm::N,হৈচৈ,hałas
261,Lärm::N,হৈচৈ,zgiełk
262,Laut::N,ধ্বনি,dźwięk
263,Ton::N,স্বর,ton
264,Ton::N,স্বর,dźwięk
265,Lied::N,গান,pieśń
266,Lied::N,গান,piosenka
267,Ruhe::N,শান্তি,spokój
268,Leute::N,প্রজাপুঞ্জ,ludzie
269,Volk::N,জাতি,naród
270,Arbeit::N,চাকরি,praca
271,Arbeit::N,চাকরি,robota
272,Gast::N,অতিথি,gość
273,Geschenk::N,উপহার,prezent
274,Geschenk::N,উপহার,podarunek
275,Spiel::N,খেলা,gra
276,Spiel::N,খেলা,zabawa
277,Gesellschaft::N,সঙ্গিগণ,towarzystwo
278,Hilfe::N,সাহায্য,pomoc
279,Freund::N,বন্ধু,przyjaciel
280,Kamerad::N,সঙ্গী,kolega
281,Angelegenheit::N,বিষয়,sprawa
282,Anzahl::N,পরিমাণ,ilość
283,Art::N,রকম,rodzaj
284,Stück::N,টুকরো,kawałek
285,Teil::N,অংশ,część
286,Hälfte::N,অর্ধেক,połowa
287,Kreis::N,বৃত্ত,krąg
288,Kreuz::N,ক্রুশ,krzyż
289,Linie::N,রেখা,linia
290,Strich::N,কষি,kreska
291,Abstand::N,ফাঁক,odstęp
292,Entfernung::N,ব্যবধান,odległość
293,Gegend::N,ক্ষেত্র,okolica
294,Platz::N,জায়গা,miejsce
295,Ort::N,স্থান,miejsce
296,Seite::N,পার্শ্ব,bok
297,Seite::N,পার্শ্ব,strona
298,Mitte::N,মধ্য,środek
299,Gegenstand::N,জিনিস,przedmiot
300,Sache::N,বস্তু,rzecz
301,Rand::N,কানা,skraj
302,Rand::N,কানা,krawędź
303,Kante::N,ধার,kant
304,Kante::N,ধার,krawędź
305,Ecke::N,কোণ,róg
306,Spitze::N,ডগা,ostrze
307,Ende::N,প্রান্ত,koniec
308,Loch::N,গর্ত,dziura
309,Winkel::N,কোণ,kąt
310,Winkel::N,কোণ,kącik
311,Muster::N,নমুন্,wzór
312,Größe::N,আয়তন,rozmiar
313,Größe::N,আয়তন,wielkość
314,Länge::N,দৈর্ঘ্য,długość
315,Höhe::N,উচ্চতা,wysokość
316,Gewicht::N,ওজন,ciężar
317,Menge::N,পরিমাণ,ilość
318,Haufen::N,পুঞ্জ,kupa
319,Reihe::N,শ্রেণী,rząd
