,Concept_ID,mhr,la
0,Auge::N,шинча́,oculus
1,Ohr::N,пы́лыш,auris
2,Nase::N,нер,nasus
3,Mund::N,умша́,os
4,Zahn::N,пӱй,dens
5,Zunge::N,йы́лме,lingua
6,Lippe::N,тӱ́рвӧ,labrum
7,Wange::N,шӱ́ргӧ,gena
8,Gesicht::N,чури́й,vultus
9,Stirn::N,саҥга́,frons
10,Haar::N,ӱп,capillus
11,Schnurrbart::N,ӧ́рыш,barba labri superioris
12,Bart::N,понда́ш,barba
13,Kinn::N,оҥыла́ш,mentum
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mala
15,Kiefer[Anatomie]::N,пӱйората́,mala
16,Kehle::N,лога́р,iugulums
17,Hals::N,шӱй,collum
18,Genick::N,шӱйло́дыш,cervices
19,Kopf::N,вуй,caput
20,Rücken::N,туп,tergum
21,Bauch::N,мӱ́шкыр,venter
22,Nabel::N,кы́лымде,umbilicus
23,Busen::N,чы́зе,sinus
24,Brust::N,оҥ,pectus
25,Schulter::N,ва́че,umerus
26,Arm::N,кид,bracchium
27,Ellenbogen::N,кынерву́й,cubitum
28,Hand::N,кид,manus
29,Hand::N,копа́,manus
30,Handfläche::N,со́во,palma
31,Finger::N,парня́,digitus
32,Fingernagel::N,кидкӱ́ч,unguiculus
33,Fingernagel::N,парнягӱ́ч,unguiculus
34,Nagel[Anatomie]::N,кӱч,unguis
35,Zeh::N,йолварня́,digitus
36,Fuß::N,йол,pes
37,Fuß::N,йолкопа́,pes
38,Ferse::N,тага́н,calx
39,Knie::N,пулву́й,genu
40,Oberschenkel::N,э́рде,femur
41,Bein::N,йол,crus
42,Körper::N,кап,corpus
43,Haut::N,кова́ште,cutis
44,Haut::N,кова́ште,pellis
45,Blut::N,вӱр,sanguis
46,Ader::N,шӧн,vena
47,Sehne::N,шӧн,nervus
48,Sehne::N,кӱсе́н,nervus
49,Knochen::N,лу,os
50,Gehirn::N,вем,cerebrum
51,Gehirn::N,вуйве́м,cerebrum
52,Herz::N,шӱм,cor
53,Herz::N,шӱм,animus
54,Magen::N,пага́р,stomachus
55,Leber::N,мокш,iecur
56,Atem::N,шӱ́лыш,spiritus
57,Hunger::N,шужыма́ш,fames
58,Träne::N,шинчавӱ́д,lacrima
59,Geschmack::N,там,sapor
60,Geschmack::N,там,gustus
61,Geruch::N,пуш,odor
62,Schlaf::N,о́мо,somnus
63,Traum::N,йӱдо́мо,somnium
64,Himmel::N,кава́,caelum
65,Sonne::N,ке́че,sol
66,Mond::N,ты́лзе,luna
67,Stern::N,шӱ́дыр,sidus
68,Stern::N,шӱ́дыр,stella
69,Luft::N,юж,aer
70,Wind::N,марде́ж,ventus
71,Welle::N,то́лкын,unda
72,Wasser::N,вӱд,aqua
73,Stein::N,кӱ,lapis
74,Boden::N,рок,solum
75,Erde::N,мла́нде,terra
76,Staub::N,пура́к,pulvis
77,Rauch::N,шикш,fumus
78,Funke::N,сеске́м,scintilla
79,Funke::N,тулйы́п,scintilla
80,Feuer::N,тул,ignis
81,Licht::N,со́то,lux
82,Licht::N,со́то,lumen
83,Schatten::N,ӱ́мыл,umbra
84,Wetter::N,иге́че,caelum
85,Wetter::N,иге́че,tempestas
86,Nebel::N,тӱтыра́,nebula
87,Wolke::N,пыл,nubes
88,Regen::N,йӱр,imber
89,Regen::N,йӱр,pluvia
90,Schnee::N,лум,nix
91,Eis::N,ий,glacies
92,Frost::N,чатлама́,gelu
93,Kälte::N,йӱ́штӧ,frigus
94,Hitze::N,шо́кшо,calor
95,Hitze::N,шо́кшо,aestus
96,Raureif::N,пӧрш,pruina
97,Raureif::N,по́кшым,pruina
98,Regenbogen::N,шонанпы́л,arcus
99,Donner::N,кӱ́дырчӧ,tonitrus
100,Strömung::N,йо́гын,fluctus
101,Tropfen::N,чӱча́лтыш,gutta
102,Schaum::N,шоҥ,spuma
103,Schmutz::N,лавыра́,sordes
104,Schmutz::N,лавыра́,squalor
105,See::N,ер,lacus
106,Sumpf::N,лӱ́кӧ,palus
107,Moor::N,куп,palus
108,Wiese::N,о́лык,pratum
109,Wald::N,чодыра́,silva
110,Hügel::N,арка́,collis
111,Anhöhe::N,тӧва́,specula
112,Anhöhe::N,кӱкшака́,specula
113,Berg::N,ку́рык,mons
114,Gipfel::N,чаҥга́,vertex
115,Gipfel::N,курыкву́й,vertex
116,Höhle::N,пеще́р,caverna
117,Höhle::N,пеще́р,spelunca
118,Höhle::N,курыкпо́мыш,caverna
119,Höhle::N,курыкпо́мыш,spelunca
120,Abhang::N,та́йыл,declivum
121,Quelle::N,важ,fons
122,Quelle::N,вӱдшинча́,fons
123,Bach::N,изэҥе́р,rivus
124,Fluss::N,эҥе́р,flumen
125,Ufer::N,сер,ripa
126,Küste::N,вӱдтӱ́р,litus
127,Festland::N,мла́нде,continens
128,Meer::N,те́ҥыз,mare
129,Bucht::N,икса́,sinus
130,Insel::N,отро́,insula
131,Blume::N,пеле́дыш,flos
132,Gras::N,шу́до,herba
133,Gras::N,шу́до,gramen
134,Wurzel::N,вож,radix
135,Baum::N,пуше́ҥге,arbor
136,Stamm::N,йы́тыр,truncus
137,Rinde::N,шӱм,cortex
138,Ast::N,укш,ramus
139,Zweig::N,торма́к,ramus
140,Blatt::N,лышта́ш,folium
141,Birke::N,куэ́,betulla
142,Kiefer[Baum]::N,пӱ́нчӧ,pinus
143,Weide[Baum]::N,уа́,salix
144,Tanne::N,кож,abies
145,Horn::N,шур,cornu
146,Feder::N,пы́стыл,penna
147,Fell::N,кова́ште,pellis
148,Flügel::N,шу́лдыр,ala
149,Klaue::N,кӱч,unguis
150,Kralle::N,ла́па,unguis
151,Kralle::N,копа́,unguis
152,Schwanz::N,поч,cauda
153,Ei::N,му́но,ovum
154,Nest::N,пыжа́ш,nidus
155,Bau::N,пыжа́ш,cavum
156,Bau::N,пыжа́ш,latibulum
157,Tier::N,я́нлык,bestia
158,Tier::N,живо́тный,bestia
159,Herde::N,кӱ́тӱ,grex
160,Herde::N,тӱшка́,grex
161,Kuh::N,ушка́л,vacca
162,Bulle::N,ӱ́шкыж,taurus
163,Pferd::N,и́мне,equus
164,Schaf::N,шо́рык,ovis
165,Schwein::N,сӧсна́,sus
166,Schwein::N,сӧсна́,porcus
167,Hund::N,пий,canis
168,Katze::N,пы́рыс,felis
169,Bär::N,маска́,ursus
170,Eichhörnchen::N,ур,sciurus
171,Elch::N,шо́рдо,alces
172,Fuchs::N,ры́выж,vulpes
173,Hase::N,мера́ҥ,lepus
174,Maus::N,коля́,mus
175,Wolf::N,пи́ре,lupus
176,Vogel::N,ка́йык,avis
177,Schwarm::N,каша́к,examen
178,Huhn::N,чы́ве,gallina
179,Hahn::N,агыта́н,gallus
180,Gans::N,ко́мбо,anser
181,Adler::N,карагу́ш,aquila
182,Ente::N,лу́до,anas
183,Eule::N,тумна́,ulula
184,Eule::N,тумна́,noctua
185,Kranich::N,турня́,grus
186,Krähe::N,кора́к,cornix
187,Kuckuck::N,куку́,cuculus
188,Schwan::N,йӱ́ксӧ,olor
189,Schwan::N,йӱ́ксӧ,cycnus
190,Fisch::N,кол,piscis
191,Barsch::N,ола́ҥге,perca
192,Hecht::N,нуж,esox
193,Hecht::N,чорта́н,esox
194,Schlange[Tier]::N,ки́шке,serpens
195,Wurm::N,шукш,vermis
196,Spinne::N,эҥыре́мыш,aranea
197,Ameise::N,ку́тко,formica
198,Laus::N,тий,pediculus
199,Mücke::N,шыҥа́,culex
200,Fliege::N,ка́рме,musca
201,Schmetterling::N,лы́ве,papilio
202,Beere::N,мӧр,baca
203,Apfel::N,олма́,malum
204,Pilz::N,по́ҥго,fungus
205,Zwiebel::N,шога́н,cepa
206,Saat::N,нӧ́шмӧ,seges
207,Saat::N,туш,seges
208,Korn::N,шу́рно,granum
209,Heu::N,шу́до,faenum
210,Schale::N,шӱм,putamen
211,Grube::N,выне́м,fovea
212,Falle::N,лӧ́дӧ,pedica
213,Schlinge::N,о́птыш,laqueus
214,Schlinge::N,шӧрга́лтыш,laqueus
215,Spur::N,кыша́,vestigium
216,Asche::N,ло́мыж,cinis
217,Dreck::N,лавыра́,lutum
218,Eisen::N,кӱ́ртньӧ,ferrum
219,Gold::N,шӧ́ртньӧ,aurum
