,Concept_ID,mdf,ca
0,Auge::N,сельме,ull
1,Ohr::N,пиле,orella
2,Nase::N,шалхка,nas
3,Mund::N,курга,boca
4,Zahn::N,пей,dent
5,Zunge::N,кяль,llēngua
6,Lippe::N,търва́,llavi
7,Wange::N,щёка,galta
8,Gesicht::N,шама,cara
9,Stirn::N,коня,front
10,Haar::N,шя́ярь,cabēll
11,Schnurrbart::N,уса́,bigoti
12,Bart::N,сакал,barba
13,Kinn::N,ула,mentó
14,Kinn::N,ула,barbeta
15,Kiefer[Anatomie]::N,саласка,queix
16,Kiefer[Anatomie]::N,саласка,mandíbula
17,Kehle::N,кълдома,gola
18,Kehle::N,кълдома,gorja
19,Kehle::N,кърга́парь,gola
20,Kehle::N,кърга́парь,gorja
21,Hals::N,сялдаз,coll
22,Genick::N,шовонь,nuca
23,Kopf::N,пря,cap
24,Rücken::N,копорь,esquena
25,Bauch::N,пеке,panxa
26,Nabel::N,по́кон,llombrígol
27,Busen::N,потя,pit
28,Busen::N,потя,mama
29,Brust::N,мяште,pit
30,Schulter::N,лафту,espatlla
31,Arm::N,кядь,braç
32,Ellenbogen::N,кенерьба́карь,colze
33,Hand::N,кядь,mà
34,Handfläche::N,кядьлапш,palma
35,Finger::N,сур,dit
36,Fingernagel::N,кенже,ungla
37,Nagel[Anatomie]::N,кенже,ungla
38,Zeh::N,пильгосу́р,dit del peu
39,Fuß::N,пильге,peu
40,Fuß::N,пильгелапа,peu
41,Ferse::N,кочкяря,taló
42,Knie::N,эль,genoll
43,Knie::N,пълма́нжа,genoll
44,Oberschenkel::N,пильгепукша,cuixa
45,Bein::N,пильге,cama
46,Körper::N,ро́нга,cos
47,Körper::N,по́нда,cos
48,Haut::N,киське,pell
49,Blut::N,вер,sang
50,Ader::N,сан,vena
51,Ader::N,верза́н,vena
52,Sehne::N,коське сан,tendó
53,Knochen::N,пакарь,os
54,Gehirn::N,уй,cervell
55,Herz::N,седи,cor
56,Magen::N,коткърдазь,estómac
57,Leber::N,макса,fetge
58,Atem::N,лекома,alè
59,Atem::N,лекома,hàlit
60,Atem::N,ваймонь тарксема,alè
61,Atem::N,ваймонь тарксема,hàlit
62,Hunger::N,вачеши,fam
63,Hunger::N,вачеши,gana
64,Träne::N,сельмове́дь,llàgrima
65,Geschmack::N,таньф,gust
66,Geschmack::N,таньф,sabor
67,Geruch::N,шине,olor
68,Schlaf::N,удома́,son
69,Traum::N,он,somni
70,Himmel::N,менель,celm
71,Sonne::N,ши,sol
72,Mond::N,ков,lluna
73,Stern::N,тяште,estel
74,Stern::N,тяште,estrella
75,Luft::N,кожф,aire
76,Wind::N,варма,vent
77,Welle::N,тавла,ona
78,Wasser::N,ведь,āigua
79,Stein::N,кев,pedra
80,Boden::N,мода,sòl
81,Boden::N,потмакс,sòl
82,Erde::N,мода,terra
83,Erde::N,мастор,terra
84,Staub::N,пуль,pols
85,Rauch::N,качам,fum
86,Funke::N,ця́тка,guspira
87,Funke::N,ця́тка,centella
88,Feuer::N,тол,foc
89,Licht::N,ва́лда,llum
90,Schatten::N,цильф,ombra
91,Wetter::N,уша,temps
92,Nebel::N,тума́н,boira
93,Wolke::N,ковол,núvol
94,Regen::N,пизем,pluja
95,Schnee::N,лов,neu
96,Eis::N,эй,gel
97,Eis::N,эй,glaç
98,Frost::N,ке́льме,glaçada
99,Kälte::N,якшама,fred
100,Hitze::N,пси,calor
101,Raureif::N,леш,gebre
102,Regenbogen::N,а́тямъёнга,arc iris
103,Donner::N,атям,tro
104,Strömung::N,шудема́,corrent
105,Tropfen::N,путькс,gota
106,Tropfen::N,пътняфкс,gota
107,Schaum::N,шов,escuma
108,Schmutz::N,ърда́з,brutícia
109,See::N,эрьхке,llac
110,Sumpf::N,шяй,pantà
111,Moor::N,шяй,pantà
112,Wiese::N,луга,prat
113,Wiese::N,луга,prada
114,Wald::N,вирь,bosc
115,Hügel::N,губо́р,puig
116,Hügel::N,губо́р,pujol
117,Hügel::N,пандоня,puig
118,Hügel::N,пандоня,pujol
119,Anhöhe::N,губо́р,turó
120,Berg::N,панда,muntanya
121,Gipfel::N,пря,cim
122,Höhle::N,у́нда,cova
123,Abhang::N,па́нда ша́ма,coster
124,Quelle::N,эшиня,font
125,Bach::N,шудерькс,riera
126,Fluss::N,ляй,riu
127,Ufer::N,търва́,riba
128,Küste::N,ляйтърва́,costa
129,Festland::N,мода,terra ferma
130,Meer::N,моря,mar
131,Bucht::N,ведьуське,cala
132,Bucht::N,ведьуське,badia
133,Insel::N,цёнга,illa
134,Blume::N,панчф,flor
135,Gras::N,тише,herba
136,Wurzel::N,юр,rel
137,Wurzel::N,юр,arrel
138,Wurzel::N,ункс,rel
139,Wurzel::N,ункс,arrel
140,Baum::N,шуфта,arbre
141,Stamm::N,ро́нга,tronc
142,Rinde::N,кер,escorça
143,Ast::N,морга,branca
144,Zweig::N,тарад,ram
145,Blatt::N,лопа,fulla
146,Birke::N,ке́лу,bedoll
147,Kiefer[Baum]::N,пиче,pi
148,Weide[Baum]::N,каль,salze
149,Tanne::N,куз,avet
150,Horn::N,сюра,corn
151,Horn::N,сюра,banya
152,Feder::N,толга,ploma
153,Fell::N,кедь,pell
154,Flügel::N,паця,ala
155,Klaue::N,кенже,urpa
156,Kralle::N,кенже,grapa
157,Schwanz::N,пула,cua
158,Ei::N,ал,ou
159,Nest::N,пиза,niu
160,Bau::N,пиза,cau
161,Tier::N,жува́та,animāl
162,Herde::N,нал,ramat
163,Herde::N,стада,ramat
164,Kuh::N,скал,vaca
165,Kuh::N,тракс,vaca
166,Bulle::N,бука,toro
167,Pferd::N,лишме,cavāll
168,Schaf::N,уча́,be
169,Schaf::N,уча́,ovella
170,Schwein::N,тува,bacó
171,Hund::N,пине,ca
172,Hund::N,пине,gos
173,Katze::N,катоня,gat
174,Katze::N,аваката,gat
175,Bär::N,офта,ós
176,Eichhörnchen::N,ур,esquirol
177,Elch::N,ся́рда,ant
178,Fuchs::N,келазь,guilla
179,Hase::N,ну́мол,llebre
180,Maus::N,шеер,ratolí
181,Wolf::N,върьгаз,llop
182,Vogel::N,нармонь,au
183,Vogel::N,нармонь,ocēll
184,Schwarm::N,ко́вол,bandada
185,Schwarm::N,ме́швеле,bandada
186,Huhn::N,сараз,gallina
187,Hahn::N,а́тякш,gall
188,Gans::N,маци,oca
189,Adler::N,куцькан,àguila
190,Ente::N,яксярга,ànec
191,Eule::N,ко́рож,òliba
192,Eule::N,ко́рож,mussol
193,Kranich::N,ка́рга,grua
194,Krähe::N,ва́рси,cornella
195,Kuckuck::N,ку́ку,cucut
196,Schwan::N,ло́ксти,cigne
197,Fisch::N,кал,peix
198,Barsch::N,о́кунь,perca
199,Hecht::N,щу́ка,lluç
200,Schlange[Tier]::N,куй,serp
201,Wurm::N,сукс,cuc
202,Spinne::N,унжа́,aranya
203,Ameise::N,панжам,formiga
204,Laus::N,си,poll
205,Mücke::N,ся́ське,mosquit
206,Fliege::N,кару,mosca
207,Schmetterling::N,ме́лав,papallona
208,Beere::N,и́мож,baia
209,Apfel::N,марь,poma
210,Pilz::N,панга,bolet
211,Zwiebel::N,шурьхкя́,ceba
212,Saat::N,видьмот,sembra
213,Korn::N,сёра,gra
214,Heu::N,тише,fenc
215,Schale::N,кедь,closca
216,Grube::N,лотка,sot
217,Grube::N,лотка,clot
218,Falle::N,туфкс,trampa
219,Falle::N,кунда́ма,trampa
220,Schlinge::N,килькш,baga
221,Spur::N,пильгоки́,traça
222,Asche::N,кулу,cendra
223,Dreck::N,ърда́з,llot
224,Eisen::N,кшни,ferro
225,Gold::N,ока,or
226,Gold::N,золота,or
227,Silber::N,сия́,plata
228,Kohle::N,седь,carbó
229,Kohle::N,седьвальмя,carbó
230,Glas::N,кля́нцек,vidre
231,Lehm::N,сёвонь,fang
232,Lehm::N,сёвонь,argila
233,Sand::N,шува́р,arena
234,Mensch::N,ломань,humà
235,Mensch::N,ломань,persona
236,Mann::N,аля,home
237,Mann::N,цёраломань,home
238,Frau::N,ава,dona
239,Kind::N,идь,nen
240,Kind::N,шаба,nen
241,Junge::N,цёраня,noi
242,Mädchen::N,стирня́,noia
243,Familie::N,тнал,família
244,Familie::N,семья,família
245,Großvater::N,атя,avi
246,Großvater::N,щя́тя,avi
247,Großmutter::N,баба,àvia
248,Eltern::N,тя́дят-а́лят,pares
249,Vater::N,аля,pare
250,Mutter::N,ава,mare
251,Mutter::N,тядя,mare
252,Sohn::N,цёра,fill
253,Tochter::N,стирь,filla
254,Bruder::N,дуган,germà
255,Bruder::N,пяльне,germà
256,Schwester::N,ака,germana
257,Schwester::N,сазор,germana
258,Onkel::N,оця,oncle
259,Onkel::N,патя,oncle
260,Onkel::N,щеня́,oncle
261,Tante::N,ака,tia
262,Tante::N,щака,tia
263,Ehemann::N,мирде,espòs
264,Ehefrau::N,ърьвя́,muller
265,Freude::N,ке́нярдема,goig
266,Freude::N,ке́нярдема,alegria
267,Gelächter::N,рахсема,riallada
268,Glück::N,паваз,felicitat
269,Kummer::N,ризф,pena
270,Kummer::N,пичефкс,pena
271,Wunsch::N,мяль,desig
272,Wunsch::N,таколдома,desig
273,Lust::N,таколдома,ganes
274,Geist::N,вайме,ment
275,Geist::N,вайме,esperit
276,Gedanke::N,мяль,pensament
277,Gedächtnis::N,прявий,memòria
278,Verstand::N,прявий,raó
279,Verstand::N,прявий,seny
280,Sinn::N,ён,solta
281,Sinn::N,ён,sentit
282,Grund::N,туфта́л,raó
283,Grund::N,туфта́л,causa
284,Wahrheit::N,ви́де,veritāt
285,Wahrheit::N,видеши́,veritāt
286,Gespräch::N,корхтама,conversa
287,Märchen::N,ёфкс,conte
288,Erzählung::N,азкс,narració
289,Nachricht::N,куля́,missatge
290,Neuigkeit::N,куля́,novetat
291,Name::N,лем,nom
292,Rätsel::N,со́дама ёфкс,endevinalla
293,Rede::N,вал,discurs
294,Rede::N,корхтама,discurs
295,Sprache::N,кяль,llēngua
296,Stimme::N,вайгяль,veu
297,Wort::N,вал,mot
298,Wort::N,вал,paraula
299,Zeichen::N,тя́ште,signe
300,Zeichen::N,тя́ште,senyal
301,Zeichen::N,тя́штькс,signe
302,Zeichen::N,тя́штькс,senyal
303,Ruf::N,тердема,crida
304,Lärm::N,гайф,sorōll
305,Lärm::N,жалакодома,sorōll
306,Laut::N,вайгяль,so
307,Ton::N,вайгяль,to
308,Lied::N,мора,cançó
309,Ruhe::N,сетьме,calma
310,Ruhe::N,сетьме,silenci
311,Leute::N,ломатть,gent
312,Volk::N,наро́д,poble
313,Arbeit::N,тев,labor
314,Arbeit::N,тев,treball
315,Gast::N,и́нжи,hoste
316,Gast::N,ко́нак,hoste
317,Geschenk::N,казне,regal
318,Geschenk::N,казне,obsequi
319,Spiel::N,налхкома,joc
320,Spiel::N,налхксема,joc
321,Gesellschaft::N,кружок,companyia
322,Hilfe::N,лездома,ajut
323,Freund::N,я́лга,amīc
324,Kamerad::N,я́лга,company
325,Kamerad::N,я́лга,camarada
326,Angelegenheit::N,тев,afer
327,Angelegenheit::N,тев,assumpte
328,Anzahl::N,лувкс,nombre
329,Anzahl::N,лувкс,quantitat
330,Art::N,вид,tipus
331,Art::N,вид,classe
332,Stück::N,пакш,peça
333,Teil::N,часть,part
334,Teil::N,пялькс,part
335,Hälfte::N,пяле,meitat
336,Kreis::N,шаркс,cercle
337,Kreuz::N,крёз,creu
338,Linie::N,межа,línia
339,Linie::N,китькс,línia
340,Strich::N,межа,traç
341,Strich::N,межа,ratlla
342,Abstand::N,ётка,distància
343,Entfernung::N,ётка,distància
344,Gegend::N,ва́ста,regió
345,Gegend::N,ва́ста,contrada
346,Gegend::N,перьфпя́ль,regió
347,Gegend::N,перьфпя́ль,contrada
348,Platz::N,ва́ста,cabuda
349,Ort::N,ва́ста,lloc
350,Seite::N,пяле,banda
351,Seite::N,пяле,costāt
352,Mitte::N,кучка́,mig
353,Mitte::N,кучка́,centre
354,Gegenstand::N,веща,objecte
355,Sache::N,тев,cosa
356,Sache::N,веща,cosa
357,Rand::N,пе,vora
358,Rand::N,пе,marge
359,Kante::N,и́рдез,caire
360,Kante::N,и́рдез,cantell
361,Ecke::N,ужа,cantonada
362,Spitze::N,пря,punta
363,Ende::N,пе,cap
364,Loch::N,варя,forāt
365,Winkel::N,ужа,racó
366,Muster::N,сёрма,dibuix
367,Muster::N,сёрма,disseny
368,Größe::N,серь,grandària
369,Länge::N,кува́лма,longitud
370,Höhe::N,серь,altura
371,Höhe::N,серь,altitud
372,Gewicht::N,сталма,pes
373,Menge::N,лувкс,quantitat
374,Haufen::N,мар,pila
375,Reihe::N,ряд,fila
376,Boot::N,венеж,bot
377,Boot::N,венеж,barca
378,Ruder::N,миле,rem
379,Schlitten::N,ну́рда,trineu
380,Ski::N,сокс,esquí
381,Lagerfeuer::N,то́лмар,foc de campament
382,Last::N,канкс,càrrega
383,Last::N,сталма,càrrega
384,Gang::N,молема,marxa
385,Schritt::N,аськолкс,pas
386,Norden::N,якшама шире,nord
387,Süden::N,ля́мбе ши́ре,sud
388,Westen::N,ши валгома шире,oest
389,Westen::N,ши валгома шире,occident
390,Osten::N,шинь стяма шире,est
391,Osten::N,шинь стяма шире,orient
392,Holz::N,вирь,fusta
393,Holz::N,шуфта,fusta
394,Brett::N,лавця,taula
395,Platte::N,плита́,placa
396,Stütze::N,неже,suport
397,Stange::N,олга,vara
398,Stock::N,байдек,pal
399,Stab::N,олгоня,bastó
400,Rohr::N,турама,tub
401,Haus::N,куд,casa
402,Heim::N,куд,llar
403,Ofen::N,пянакуд,estufa
404,Fußboden::N,кия́кс,terra
405,Tisch::N,шра,taula
406,Tisch::N,моркш,taula
407,Stuhl::N,стул,cadira
408,Wiege::N,нюря́м,bressol
409,Bett::N,ацам,llit
410,Regal::N,лавцяланга,prestatgeria
411,Kiste::N,парга,caixa
412,Fenster::N,валмья,finestra
413,Tür::N,кенкш,porta
414,Tor::N,ортат,portal
415,Zaun::N,перяфкс,tanca
416,Dach::N,кудпря,teulada
417,Leiter::N,куцема,escala
418,Leiter::N,куцема,escala de mà
419,Besen::N,тяльме,escombra
420,Spaten::N,ка́йме,pala
421,Schaufel::N,ко́поня,pala
422,Schaufel::N,ця́рдом,pala
423,Gabel::N,ця́нгоня,forquilla
424,Löffel::N,куцю,cullera
425,Messer::N,пеель,coltell
426,Nagel::N,эска,clau
427,Haken::N,кя́чказ,ganxo
428,Griff::N,недь,puny
429,Griff::N,недь,mànec
430,Griff::N,кунда́мка,puny
431,Griff::N,кунда́мка,mànec
432,Schloss::N,замо́к,pany
