,Concept_ID,ady,lt
0,Auge::N,нэ,akis
1,Ohr::N,тхьакӏу́м,ausis
2,Nase::N,пэ,nosis
3,Mund::N,жэ,burna
4,Zahn::N,цэ,dantis
5,Zunge::N,бзэгу,liežuvis
6,Lippe::N,ӏупшӏэ́,lūpa
7,Wange::N,нэкӏу́шъу,žandas
8,Wange::N,нэкӏу́шъу,skruostas
9,Gesicht::N,нэ́гу,veidas
10,Stirn::N,натӏэ́,kakta
11,Haar::N,шъхьацы́,plaukai
12,Bart::N,жакӏэ́,barzda
13,Kinn::N,жэкӏэпэпкъ,smakras
14,Kiefer[Anatomie]::N,жэпкъы́,žandikaulis
15,Kehle::N,чый,gerklė
16,Hals::N,пшъэ,kaklas
17,Genick::N,шъхьэпхэтыку,sprandas
18,Kopf::N,шъхьэ́,galva
19,Rücken::N,кӏыбы́,nugara
20,Bauch::N,ныбэ́,pilvas
21,Busen::N,бгъэ́,krūtinė
22,Brust::N,бгъэ́,krūtis
23,Schulter::N,блыпкъ,petys
24,Arm::N,ӏэ,ranka
25,Ellenbogen::N,ӏэнтэ́гъу,alkūnė
26,Hand::N,ӏэтхьэцу,ranka
27,Hand::N,ӏэтхьэцу,plaštaka
28,Handfläche::N,ӏэ́гу,delnas
29,Handfläche::N,ӏэ́гу,plaštaka
30,Finger::N,ӏэхъуа́мб,pirštas
31,Fingernagel::N,ӏэбжъа́н,nagas
32,Nagel[Anatomie]::N,ӏэбжъа́н,nagas
33,Zeh::N,ӏэхъуа́мб,pirštas
34,Fuß::N,лъэгу,pėda
35,Ferse::N,лъэдакъэ,kulnas
36,Knie::N,лъагуа́ндж,kelis
37,Oberschenkel::N,ко,kulšis
38,Oberschenkel::N,ко,šlaunis
39,Bein::N,лъакъо́,koja
40,Körper::N,пкъышъол,kūnas
41,Haut::N,кӏы́шъу,oda
42,Blut::N,лъы,kraujas
43,Ader::N,льытф,kraujagyslė
44,Sehne::N,фэ,sausgyslė
45,Knochen::N,къупшъхьэ́,kaulas
46,Gehirn::N,куцӏы,smegenys
47,Herz::N,гу,širdis
48,Magen::N,мышкӏу,skrandis
49,Leber::N,шӏу,kepenys
50,Atem::N,къэщэныр,kvapas
51,Hunger::N,гъаблэ́,badas
52,Hunger::N,гъаблэ́,alkis
53,Träne::N,нэпсы,ašara
54,Geschmack::N,ӏэшӏугъа́кӏ,skonis
55,Geruch::N,мэ,kvapas
56,Schlaf::N,пчыхьы́пӏ,miegas
57,Traum::N,пчыхьы́пӏ,sapnas
58,Himmel::N,уашъо́,dangus
59,Sonne::N,тыгъэ,saulė
60,Mond::N,мазэ,mėnulis
61,Stern::N,жъуагъо́,žvaigždė
62,Luft::N,жьы,oras
63,Wind::N,жьыбгъэ́,vėjas
64,Welle::N,ор,banga
65,Welle::N,ор,vilnis
66,Welle::N,оры,banga
67,Welle::N,оры,vilnis
68,Wasser::N,псы,vanduo
69,Stein::N,мыжъо́,akmuo
70,Boden::N,чӏ́ыгу,žemė
71,Boden::N,чӏ́ыгу,dugnas
72,Erde::N,чӏ́ыгу,žemė
73,Staub::N,сап,dulkės
74,Rauch::N,ӏугъо́,dūmai
75,Funke::N,мэшӏуа́ч,kibirkštis
76,Feuer::N,машӏо́,ugnis
77,Licht::N,нэфы,šviesa
78,Licht::N,нэфын,šviesa
79,Schatten::N,жьау́,paūksmė
80,Schatten::N,ныбжьыкъу,paūksmė
81,Nebel::N,пща́гъу,migla
82,Nebel::N,пща́гъу,rūkas
83,Wolke::N,ошъуапщэ,debesis
84,Regen::N,ощхы,lietus
85,Schnee::N,осы́,sniegas
86,Eis::N,мылы,ledas
87,Kälte::N,чъыӏэ́,šaltis
88,Hitze::N,фэба́е,karštis
