,Concept_ID,de,eu
0,Auge::N,Auge,begi
1,Ohr::N,Ohr,belarri
2,Nase::N,Nase,sudur
3,Mund::N,Mund,aho
4,Zahn::N,Zahn,hortz
5,Zunge::N,Zunge,mihi
6,Lippe::N,Lippe,ezpain
7,Wange::N,Wange,masail
8,Gesicht::N,Gesicht,aurpegi
9,Stirn::N,Stirn,bekoki
10,Haar::N,Haar,ile
11,Haar::N,Haar,bilo
12,Schnurrbart::N,Schnurrbart,bibote
13,Schnurrbart::N,Schnurrbart,sudurpeko
14,Bart::N,Bart,bizar
15,Kinn::N,Kinn,kokots
16,Kiefer[Anatomie]::N,Kiefer,masailezur
17,Kehle::N,Kehle,eztarri
18,Hals::N,Hals,sama
19,Genick::N,Genick,garondo
20,Kopf::N,Kopf,buru
21,Rücken::N,Rücken,bizkar
22,Bauch::N,Bauch,sabel
23,Nabel::N,Nabel,zilbor
24,Busen::N,Busen,titi
25,Busen::N,Busen,ugatz
26,Brust::N,Brust,bular
27,Schulter::N,Schulter,besaburu
28,Arm::N,Arm,beso
29,Ellenbogen::N,Ellenbogen,ukondo
30,Hand::N,Hand,esku
31,Handfläche::N,Handfläche,ahur
32,Finger::N,Finger,hatz
33,Fingernagel::N,Fingernagel,azazkal
34,Nagel[Anatomie]::N,Nagel,azazkal
35,Zeh::N,Zeh,behatz
36,Fuß::N,Fuß,oin
37,Ferse::N,Ferse,orpo
38,Ferse::N,Ferse,oinburu
39,Knie::N,Knie,belaun
40,Oberschenkel::N,Oberschenkel,izter
41,Bein::N,Bein,zango
42,Körper::N,Körper,soin
43,Haut::N,Haut,azal
44,Blut::N,Blut,odol
45,Ader::N,Ader,zain
46,Sehne::N,Sehne,gihar-zain
47,Knochen::N,Knochen,hezur
48,Gehirn::N,Gehirn,garun
49,Gehirn::N,Gehirn,burmuin
50,Herz::N,Herz,bihotz
51,Magen::N,Magen,urdail
52,Leber::N,Leber,gibel
53,Atem::N,Atem,hats
54,Atem::N,Atem,arnasa
55,Hunger::N,Hunger,gose
56,Träne::N,Träne,malko
57,Geschmack::N,Geschmack,dasta
58,Geruch::N,Geruch,usain
59,Schlaf::N,Schlaf,lo
60,Traum::N,Traum,amets
61,Himmel::N,Himmel,zeru
62,Sonne::N,Sonne,eguzki
63,Mond::N,Mond,ilargi
64,Stern::N,Stern,izar
65,Luft::N,Luft,aire
66,Wind::N,Wind,haize
67,Welle::N,Welle,uhin
68,Welle::N,Welle,olatu
69,Wasser::N,Wasser,ur
70,Stein::N,Stein,harri
71,Boden::N,Boden,lur
72,Boden::N,Boden,zoru
73,Erde::N,Erde,lur
74,Staub::N,Staub,hauts
75,Rauch::N,Rauch,ke
76,Funke::N,Funke,zirta
77,Funke::N,Funke,txinparta
78,Feuer::N,Feuer,su
79,Licht::N,Licht,argi
80,Schatten::N,Schatten,itzal
81,Schatten::N,Schatten,geriza
82,Wetter::N,Wetter,eguraldi
83,Nebel::N,Nebel,laino
84,Wolke::N,Wolke,hodei
85,Regen::N,Regen,euri
86,Schnee::N,Schnee,elur
87,Eis::N,Eis,horma
88,Frost::N,Frost,izotzaldi
89,Kälte::N,Kälte,hotz
90,Hitze::N,Hitze,bero
91,Raureif::N,Raureif,antzigar
92,Regenbogen::N,Regenbogen,ostadar
93,Regenbogen::N,Regenbogen,ortzadar
94,Donner::N,Donner,ostots
95,Donner::N,Donner,ihurtzuri
96,Strömung::N,Strömung,laster
97,Tropfen::N,Tropfen,xorta
98,Schaum::N,Schaum,bits
99,Schmutz::N,Schmutz,lohi
100,Schmutz::N,Schmutz,zikin
101,See::N,See,laku
102,See::N,See,aintzira
103,Sumpf::N,Sumpf,zingira
104,Moor::N,Moor,zohikaztegi
105,Wiese::N,Wiese,larre
106,Wiese::N,Wiese,belardi
107,Wald::N,Wald,baso
108,Wald::N,Wald,oihan
109,Hügel::N,Hügel,muino
110,Hügel::N,Hügel,pentoka
111,Anhöhe::N,Anhöhe,garai
112,Anhöhe::N,Anhöhe,goragune
113,Berg::N,Berg,mendi
114,Gipfel::N,Gipfel,gain
115,Gipfel::N,Gipfel,tontor
116,Höhle::N,Höhle,kobazulo
117,Abhang::N,Abhang,aldapa
118,Quelle::N,Quelle,iturri
119,Quelle::N,Quelle,iturbegi
120,Bach::N,Bach,lats
121,Bach::N,Bach,erreka
122,Fluss::N,Fluss,ibai
123,Fluss::N,Fluss,uhaitz
124,Ufer::N,Ufer,bazter
125,Küste::N,Küste,itsasalde
126,Festland::N,Festland,lehor
127,Meer::N,Meer,itsaso
128,Bucht::N,Bucht,golko
129,Insel::N,Insel,irla
130,Insel::N,Insel,uharte
131,Blume::N,Blume,lili
132,Gras::N,Gras,belar
133,Wurzel::N,Wurzel,zuztar
134,Wurzel::N,Wurzel,sustrai
135,Baum::N,Baum,zuhaitz
136,Stamm::N,Stamm,enbor
137,Rinde::N,Rinde,azal
138,Ast::N,Ast,adar
139,Zweig::N,Zweig,abar
140,Blatt::N,Blatt,hosto
141,Birke::N,Birke,urki
142,Kiefer[Baum]::N,Kiefer,ler
143,Weide[Baum]::N,Weide,zume
144,Weide[Baum]::N,Weide,sahats
145,Tanne::N,Tanne,izei
146,Horn::N,Horn,adar
147,Feder::N,Feder,luma
148,Feder::N,Feder,hegaki
149,Fell::N,Fell,ile
150,Fell::N,Fell,larru
151,Flügel::N,Flügel,hego
152,Klaue::N,Klaue,atzapar
153,Kralle::N,Kralle,erpe
154,Kralle::N,Kralle,atzapar
155,Schwanz::N,Schwanz,isats
156,Schwanz::N,Schwanz,buztan
157,Ei::N,Ei,arrautza
158,Nest::N,Nest,habia
159,Bau::N,Bau,ohantze
160,Tier::N,Tier,abere
161,Tier::N,Tier,piztia
162,Herde::N,Herde,saldo
163,Herde::N,Herde,abere talde
164,Kuh::N,Kuh,behi
165,Bulle::N,Bulle,zezen
166,Pferd::N,Pferd,zaldi
167,Schaf::N,Schaf,ardi
168,Schwein::N,Schwein,urde
169,Schwein::N,Schwein,txerri
170,Hund::N,Hund,txakur
171,Katze::N,Katze,katu
172,Bär::N,Bär,hartz
173,Eichhörnchen::N,Eichhörnchen,urtxintxa
174,Elch::N,Elch,altze
175,Fuchs::N,Fuchs,azeri
176,Hase::N,Hase,erbi
177,Maus::N,Maus,sagu
178,Wolf::N,Wolf,otso
179,Vogel::N,Vogel,txori
180,Vogel::N,Vogel,hegazti
181,Schwarm::N,Schwarm,aldra
182,Huhn::N,Huhn,oilo
183,Hahn::N,Hahn,oilar
184,Gans::N,Gans,antzara
185,Adler::N,Adler,arrano
