,Concept_ID,,ps
217,Mann::N,,نارینه
218,Frau::N,,ښځه
219,Kind::N,,بچی
220,Kind::N,,ماشوم
221,Junge::N,,هلک
222,Mädchen::N,,نجلۍ
223,Familie::N,,کورنۍ
224,Großvater::N,,بابا
225,Großmutter::N,,انا
226,Eltern::N,,مور او پلار
227,Vater::N,,پلار
228,Mutter::N,,مور
229,Sohn::N,,زوی
230,Tochter::N,,لور
231,Bruder::N,,ورور
232,Schwester::N,,خور
233,Onkel::N,,تره
234,Onkel::N,,ماما
235,Tante::N,,خاله
236,Ehemann::N,,مېړه
237,Ehefrau::N,,مېرمن
238,Freude::N,,خوشحالي
239,Gelächter::N,,خندا
240,Glück::N,,بخت
241,Kummer::N,,غم
242,Wunsch::N,,هيله
243,Wunsch::N,,غوښتنه
244,Lust::N,,شوق
245,Lust::N,,مینه
246,Geist::N,,روح
247,Gedanke::N,,فکر
248,Gedächtnis::N,,یاد
249,Gedächtnis::N,,حافظه
250,Verstand::N,,عقل
251,Verstand::N,,شعور
252,Sinn::N,,معنی
253,Grund::N,,علت
254,Grund::N,,اساس
255,Wahrheit::N,,حقیقت
256,Gespräch::N,,مرکه
257,Gespräch::N,,خبرې اترې
258,Märchen::N,,افسانه
259,Erzählung::N,,قصه
260,Erzählung::N,,کیسه
261,Nachricht::N,,خبر
262,Neuigkeit::N,,نوی خبر
263,Name::N,,نوم
264,Rätsel::N,,کیسۍ
265,Rätsel::N,,چیستان
266,Rede::N,,وینا
267,Sprache::N,,ژبه
268,Stimme::N,,غږ
269,Stimme::N,,اواز
270,Wort::N,,لغت
271,Wort::N,,کلمه
272,Zeichen::N,,نښه
273,Zeichen::N,,اشاره
274,Ruf::N,,ږغ
275,Ruf::N,,بلنه
276,Lärm::N,,غالمغال
277,Laut::N,,ږغ
278,Ton::N,,اواز
279,Lied::N,,غزله
280,Lied::N,,سندره
281,Ruhe::N,,ارامي
282,Leute::N,,خلک
283,Volk::N,,ولس
284,Arbeit::N,,کار
285,Gast::N,,مېلمه
286,Geschenk::N,,تحفه
287,Geschenk::N,,سوغات
288,Spiel::N,,لوبه
289,Gesellschaft::N,,ډله
290,Hilfe::N,,کومک
291,Hilfe::N,,مرسته
292,Freund::N,,ملګری
293,Kamerad::N,,انډيوال
294,Angelegenheit::N,,موضوع
295,Anzahl::N,,شمېر
296,Anzahl::N,,تعداد
297,Art::N,,ډول
298,Stück::N,,ټوټه
299,Teil::N,,برخه
300,Hälfte::N,,نیم
301,Kreis::N,,دایره
302,Kreuz::N,,صلیب
303,Linie::N,,خط
304,Linie::N,,لیکه
305,Strich::N,,کرښه
306,Abstand::N,,فاصله
307,Entfernung::N,,واټن
308,Gegend::N,,سیمه
309,Gegend::N,,منطقه
310,Platz::N,,ځای
311,Ort::N,,ځای
312,Seite::N,,مخ
313,Seite::N,,اړخ
314,Mitte::N,,وسط
315,Mitte::N,,مینځ
316,Gegenstand::N,,شی
317,Sache::N,,شی
318,Sache::N,,څيز
319,Rand::N,,څنډه
320,Rand::N,,کناره
321,Kante::N,,اړخ
322,Ecke::N,,ګوټ
323,Spitze::N,,څوکه
324,Ende::N,,څوکه
325,Loch::N,,سوری
326,Winkel::N,,کنج
327,Winkel::N,,کوتی
328,Muster::N,,نمونه
329,Größe::N,,قد
330,Größe::N,,لويوالی
331,Länge::N,,طول
332,Länge::N,,اوږد والی
333,Höhe::N,,جګوالی
334,Gewicht::N,,وزن
335,Menge::N,,اندازه
336,Haufen::N,,کوټه
337,Reihe::N,,صف
338,Reihe::N,,کتار
339,Boot::N,,قايق
340,Ruder::N,,چپه
341,Schlitten::N,,ښویېدونی
342,Ski::N,,سکي
343,Lagerfeuer::N,,اور
344,Last::N,,بار
345,Last::N,,پېټی
346,Gang::N,,تګ
347,Schritt::N,,ګام
348,Norden::N,,شمال
349,Süden::N,,سوېل
350,Westen::N,,لوېدېځ
351,Osten::N,,شرق
352,Osten::N,,ختیځ
353,Holz::N,,لرګی
354,Brett::N,,تخته
355,Platte::N,,تخته
356,Stütze::N,,تکیوان
