,Concept_ID,ab,ka
0,Auge::N,ала,თვალი
1,Ohr::N,алымҳа,ყური
2,Nase::N,аҧынҵа,ცხვირი
3,Mund::N,аҧышə,პირი
4,Zahn::N,ахаҧыц,კბილი
5,Zunge::N,абз,ენა
6,Lippe::N,ақьышə,ბაგე
7,Wange::N,аӡамҩа,ლოყა
8,Gesicht::N,аҿы,სახე
9,Stirn::N,алахь,შუბლი
10,Haar::N,ахəыц,თმა
11,Schnurrbart::N,аҧаҵа,ულვაში
12,Bart::N,ажакьа,წვერი
13,Kinn::N,ацламкəыгə,ნიკაპი
14,Kiefer[Anatomie]::N,ацламҳəа,ყბა
15,Kehle::N,ахəда,ყელი
16,Hals::N,ахəда,ყელი
17,Hals::N,ахəда,კისერი
18,Genick::N,ахəдаџьал,კეფა
19,Kopf::N,ахы,თავი
20,Rücken::N,азқəа,ზურგი
21,Bauch::N,амгəа,მუცელი
22,Nabel::N,аҷапан,ჭიპი
23,Busen::N,агəыҧҳəы,ძუძუ
24,Brust::N,агəышҧы,მკერდი
25,Schulter::N,ажəҩахыр,მხარი
26,Schulter::N,ажəҩахыр,მკლავი
27,Arm::N,амахəар,ხელი
28,Ellenbogen::N,амашьхəылҵ,იდაყვი
29,Hand::N,анапы,ხელი
30,Handfläche::N,анапсаргəыҵа,ნები
31,Handfläche::N,анапсаргəыҵа,ხელისგული
32,Finger::N,анацəа,თითი
33,Fingernagel::N,анапхыц,ფრჩხილი
34,Nagel[Anatomie]::N,ашьапхыц,ფრჩხილი
35,Zeh::N,ашьацəа,ფეხის თითი
36,Fuß::N,ашьапсыргəыҵа,ტერფი
37,Fuß::N,ашьапсыргəыҵа,ფეხისგული
38,Ferse::N,ашьхəа,ქუსლი
39,Knie::N,ашьамхы,მუხლი
40,Oberschenkel::N,ауаҭəа,ბარძაყი
41,Bein::N,ашьапы,ფეხი
42,Körper::N,ацəеижь,ტანი
43,Körper::N,ацəеижь,სხეული
44,Haut::N,ацəа,კანი
45,Blut::N,ашьа,სისხლი
46,Ader::N,ада,ძარღვი
47,Sehne::N,адаш,მყესი
48,Knochen::N,абаҩ,ძვალი
