,Concept_ID,no,bn
0,Auge::N,øye,চক্ষু
1,Ohr::N,øre,কর্ণ
2,Nase::N,nese,নাক
3,Mund::N,munn,মুখ
4,Zahn::N,tann,দাঁত
5,Zunge::N,tunge,জিহবা
6,Lippe::N,leppe,অধর
7,Wange::N,kinn,গণ্ড
8,Gesicht::N,fjes,মুখমণ্ডল
9,Gesicht::N,ansikt,মুখমণ্ডল
10,Stirn::N,panne,কপাল
11,Haar::N,hår,চুল
12,Schnurrbart::N,bart,গোঁফ
13,Bart::N,skjegg,শ্মশ্রু
14,Kinn::N,hake,চিবুক
15,Kiefer[Anatomie]::N,kjeve,চোয়াল
16,Kehle::N,strupe,কণ্ঠ
17,Hals::N,hals,গল
18,Genick::N,nakke,ঘাড়
19,Kopf::N,hode,মাথা
20,Rücken::N,rygg,পৃষ্ঠ
21,Bauch::N,buk,উদর
22,Bauch::N,mage,উদর
23,Nabel::N,navle,নাভি
24,Busen::N,barm,স্তন
25,Brust::N,bryst,বুক
26,Schulter::N,skulder,স্কন্ধ
27,Arm::N,arm,বাহু
28,Ellenbogen::N,albue,কনুই
29,Hand::N,hånd,হাত
30,Handfläche::N,håndflate,করতল
31,Finger::N,finger,আঙ্গুল
32,Fingernagel::N,fingernegl,হাতের নখ
33,Nagel[Anatomie]::N,negl,নখ
34,Zeh::N,tå,আঙ্গুল
35,Fuß::N,fot,পা
36,Ferse::N,hæl,গোড়ালি
37,Knie::N,kne,হাঁটু
38,Oberschenkel::N,lår,ঊরু
39,Bein::N,bein,পা
40,Körper::N,kropp,দেহ
41,Körper::N,legeme,দেহ
42,Haut::N,hud,ত্বক
43,Haut::N,skinn,ত্বক
44,Blut::N,blod,রক্ত
45,Ader::N,åre,শিরা
46,Sehne::N,sene,কণ্ডরা
47,Knochen::N,bein,অস্থি
48,Knochen::N,knokkel,অস্থি
49,Gehirn::N,hjerne,মস্তিষ্ক
50,Herz::N,hjerte,হৃৎপিণ্ড
51,Magen::N,mage,পাকস্থলী
52,Leber::N,lever,যকৃৎ
53,Atem::N,pust,শ্বাস
54,Hunger::N,sult,ক্ষুধা
55,Träne::N,tåre,অশ্রু
56,Geschmack::N,smak,স্বাদ
57,Geruch::N,lukt,গন্ধ
58,Schlaf::N,søvn,ঘুম
59,Traum::N,drøm,স্বপ্ন
60,Himmel::N,himmel,আকাশ
61,Sonne::N,sol,সূর্য
62,Mond::N,måne,চন্দ্র
63,Stern::N,stjerne,নক্ষত্র
64,Luft::N,luft,বায়ু
65,Wind::N,vind,বাতাস
66,Welle::N,bølge,ঢেউ
67,Welle::N,bølge,তরঙ্গ
68,Wasser::N,vann,জল
69,Stein::N,stein,ঢিল
70,Stein::N,stein,প্রস্তর
71,Boden::N,bakke,ভূতল
72,Erde::N,jord,ভূমি
73,Staub::N,støv,ধুলা
74,Rauch::N,røyk,ধোঁয়া
75,Funke::N,gnist,স্ফুলিঙ্গ
76,Feuer::N,ild,অগ্নি
77,Licht::N,lys,আলো
78,Schatten::N,skygge,ছায়া
79,Wetter::N,vær,আবহাওয়া
80,Nebel::N,tåke,কুহেলিকা
81,Wolke::N,sky,মেঘ
82,Regen::N,regn,বৃষ্টি
83,Schnee::N,snø,তুষার
84,Eis::N,is,বরফ
85,Frost::N,frost,তুষার
86,Kälte::N,kulde,শৈত্য
87,Hitze::N,hete,তাপ
88,Raureif::N,rimfrost,তুহিন
89,Regenbogen::N,regnbue,রামধনু
90,Donner::N,torden,বজ্রধ্বনি
91,Strömung::N,strømning,স্রোত
92,Tropfen::N,dråpe,ফোঁটা
93,Schaum::N,skum,ফেনা
94,Schmutz::N,søl,ধুলা
95,Schmutz::N,skitt,ধুলা
96,See::N,sjø,হ্রদ
97,Sumpf::N,sump,জলা
98,Sumpf::N,myrlende,জলা
99,Moor::N,myr,মাঠ
100,Moor::N,myrhei,মাঠ
101,Wiese::N,eng,তৃণভূমি
102,Wald::N,skog,বন
103,Hügel::N,haug,পাহাড়
104,Hügel::N,bakke,পাহাড়
105,Anhöhe::N,haug,টিলা
106,Anhöhe::N,bakke,টিলা
107,Berg::N,berg,পর্বত
108,Berg::N,fjell,পর্বত
109,Gipfel::N,topp,শীর্ষ
110,Höhle::N,hule,গুহা
111,Abhang::N,li,ঢাল
112,Abhang::N,skråning,ঢাল
113,Quelle::N,kilde,উৎস
114,Bach::N,bekk,ক্ষুদ্র নদী
115,Fluss::N,elv,নদী
116,Ufer::N,bredd,উপকূল
117,Küste::N,kyst,তীর
118,Festland::N,fastland,ভূমি
119,Meer::N,hav,সমুদ্র
120,Bucht::N,bukt,উপসাগর
121,Insel::N,øy,দ্বীপ
122,Blume::N,blomst,ফুল
123,Gras::N,gress,ঘাস
124,Wurzel::N,rot,শিকড়
125,Baum::N,tre,গাছ
126,Stamm::N,stamme,স্কন্ধ
127,Rinde::N,bark,বল্কল
128,Ast::N,gren,শাখা
129,Zweig::N,kvist,ডাল
130,Blatt::N,blad,পর্ণ
131,Birke::N,bjørk,ভুর্জ
132,Kiefer[Baum]::N,furu,পাইন গাছ
133,Weide[Baum]::N,selje,উইলো
134,Weide[Baum]::N,piletre,উইলো
135,Tanne::N,gran,দেবদারূ গাছ
136,Horn::N,horn,শিং
137,Feder::N,fjær,পালক
138,Fell::N,skinn,রোম
139,Flügel::N,vinge,ডানা
140,Klaue::N,klauv,নখর
141,Kralle::N,klo,নখর
142,Schwanz::N,hale,লেজ
143,Ei::N,egg,ডিম
144,Nest::N,rede,কুলায়
145,Bau::N,hi,ডেরা
146,Tier::N,dyr,জন্তু
147,Herde::N,flokk,ঝাঁক
148,Kuh::N,ku,গোরু
149,Bulle::N,tyr,বৃষ
150,Pferd::N,hest,ঘোড়া
151,Schaf::N,får,ভেড়া
152,Schwein::N,gris,শূকর
153,Hund::N,hund,কুকুর
154,Katze::N,katt,বেড়াল
155,Bär::N,bjørn,ভল্লুক
156,Eichhörnchen::N,ekorn,কাঠবিড়াল
157,Elch::N,elg,হরিণবিশেষ
158,Fuchs::N,rev,পাঁতিশিয়াল
159,Hase::N,hare,শশক
160,Maus::N,mus,নেংটি ইঁদুর
161,Wolf::N,ulv,নেকড়ে
162,Wolf::N,varg,নেকড়ে
163,Vogel::N,fugl,পক্ষী
164,Schwarm::N,sverm,ঝাঁক
165,Huhn::N,høne,মোরগ
166,Hahn::N,hane,কুক্কুট
167,Gans::N,gås,হংসী
168,Adler::N,ørn,ইগল
169,Ente::N,and,হংসী
170,Eule::N,ugle,পেচক
171,Kranich::N,trane,সারস
172,Krähe::N,kråke,কাক
173,Kuckuck::N,gjøk,কোকিল
174,Schwan::N,svane,মরাল
175,Fisch::N,fisk,মাছ
176,Barsch::N,abbor,মৎন্যবিশেষ
177,Hecht::N,gjedde,বানমাছ
178,Schlange[Tier]::N,orm,সর্প
179,Schlange[Tier]::N,slange,সর্প
180,Wurm::N,orm,কীট
181,Wurm::N,mark,কীট
182,Spinne::N,edderkopp,মাকড়সা
183,Ameise::N,maur,পিপীলিকা
184,Laus::N,lus,উকুন
185,Mücke::N,mygg,মশা
186,Fliege::N,flue,মাছি
187,Schmetterling::N,sommerfugl,প্রজাপতি
188,Beere::N,bær,বেরি
189,Apfel::N,eple,আপেল
190,Pilz::N,sopp,ছত্রক
191,Zwiebel::N,løk,পিয়াজ
192,Saat::N,sæd,বীজ
193,Korn::N,korn,শস্য
194,Heu::N,høy,খড়
195,Schale::N,skall,খোসা
196,Grube::N,grop,গর্ত
197,Falle::N,felle,ফাঁদ
198,Schlinge::N,snare,পাশ
199,Spur::N,spor,চিহ্ন
200,Asche::N,aske,ভস্ম
201,Dreck::N,møkk,ময়লা
202,Dreck::N,skitt,ময়লা
203,Eisen::N,jern,লোহা
204,Gold::N,gull,স্বর্ণ
205,Silber::N,sølv,রৌপ্য
206,Kohle::N,kol,অঙ্গার
207,Kohle::N,kull,অঙ্গার
208,Glas::N,glass,কাচ
209,Lehm::N,leire,মৃত্তিকা
210,Sand::N,sand,বালি
211,Mensch::N,menneske,নর
212,Mensch::N,menneske,মানুষ
213,Mann::N,mann,মানুষ
214,Frau::N,kvinne,নারী
215,Kind::N,barn,বাচ্চা
216,Junge::N,gutt,ছেলে
217,Mädchen::N,pike,মেয়ে
218,Mädchen::N,jente,মেয়ে
219,Familie::N,familie,পরিবার
220,Großvater::N,bestefar,মাতামহ
221,Großmutter::N,bestemor,মাতামহী
222,Eltern::N,foreldre,মাতাপিতা
223,Vater::N,far,পিতা
224,Mutter::N,mor,মাতা
225,Sohn::N,sønn,ছেলে
226,Tochter::N,datter,মেয়ে
227,Bruder::N,bror,দাদা
228,Schwester::N,søster,বোন
229,Schwester::N,søster,দিদি
230,Onkel::N,onkel,মামা
231,Tante::N,tante,মাসী
232,Ehemann::N,ektemann,স্বামী
233,Ehefrau::N,hustru,পত্নী
234,Freude::N,glede,উল্লাস
235,Gelächter::N,latter,হাসি
236,Glück::N,lykke,সুখ
237,Kummer::N,sorg,দুঃখ
238,Wunsch::N,ønske,আকাঙ্ক্ষা
239,Lust::N,lyst,বাসনা
240,Geist::N,ånd,আত্না
241,Gedanke::N,tanke,চিন্তা
242,Gedächtnis::N,minne,স্মরণশক্তি
243,Gedächtnis::N,hukommelse,স্মরণশক্তি
244,Verstand::N,forstand,মন
245,Sinn::N,mening,পদার্থ
246,Sinn::N,betydning,পদার্থ
247,Grund::N,grunn,কারণ
