,Concept_ID,hu,pl
0,Auge::N,szem,oko
1,Ohr::N,fül,ucho
2,Nase::N,orr,nos
3,Mund::N,száj,usta
4,Zahn::N,fog,ząb
5,Zunge::N,nyelv,język
6,Lippe::N,ajak,warga
7,Wange::N,orca,policzek
8,Gesicht::N,arc,twarz
9,Stirn::N,homlok,czoło
10,Haar::N,haj,włos
11,Haar::N,haj,włosy
12,Schnurrbart::N,bajusz,wąsy
13,Bart::N,szakáll,broda
14,Kinn::N,áll,podbródek
15,Kiefer[Anatomie]::N,állkapocs,czeluść
16,Kehle::N,gége,gardło
17,Kehle::N,torok,gardło
18,Hals::N,nyak,szyja
19,Genick::N,tarkó,kark
20,Kopf::N,fő,głowa
21,Kopf::N,fej,głowa
22,Rücken::N,hát,plecy
23,Rücken::N,hát,grzbiet
24,Bauch::N,has,brzuch
25,Nabel::N,köldök,pępek
26,Busen::N,mell,biust
27,Busen::N,kebel,biust
28,Brust::N,mell,pierś
29,Schulter::N,váll,bark
30,Schulter::N,váll,ramię
31,Arm::N,kar,ręka
32,Arm::N,kar,ramię
33,Ellenbogen::N,könyök,łokieć
34,Hand::N,kéz,dłoń
35,Handfläche::N,tenyér,dłoń
36,Finger::N,ujj,palec
37,Fingernagel::N,köröm,paznokieć
38,Nagel[Anatomie]::N,köröm,paznokieć
39,Zeh::N,lábujj,palec
40,Fuß::N,láb,stopa
41,Ferse::N,sarok,pięta
42,Knie::N,térd,kolano
43,Oberschenkel::N,comb,udo
44,Bein::N,láb,noga
45,Bein::N,lábszár,noga
46,Körper::N,test,ciało
47,Haut::N,bőr,skóra
48,Blut::N,vér,krew
49,Ader::N,ér,żyła
50,Sehne::N,ín,ścięgno
51,Knochen::N,csont,kość
52,Gehirn::N,agy,mózg
53,Gehirn::N,agyvelő,mózg
54,Herz::N,szív,serce
55,Magen::N,gyomor,żołądek
56,Leber::N,máj,wątroba
57,Atem::N,lehelet,dech
58,Atem::N,lehelet,oddech
59,Atem::N,lélegzet,dech
60,Atem::N,lélegzet,oddech
61,Hunger::N,éhség,głód
62,Träne::N,könny,łza
63,Geschmack::N,íz,smak
64,Geruch::N,szag,woń
65,Geruch::N,szag,zapach
66,Schlaf::N,álom,sen
67,Schlaf::N,alvás,sen
68,Traum::N,álom,sen
69,Himmel::N,ég,niebo
70,Himmel::N,menny,niebo
71,Sonne::N,nap,słońce
72,Mond::N,hold,księżyc
73,Stern::N,csillag,gwiazda
74,Luft::N,levegő,powietrze
75,Wind::N,szél,wiatr
76,Welle::N,hullám,fala
77,Wasser::N,víz,woda
78,Stein::N,kő,kamień
79,Boden::N,föld,grunt
80,Boden::N,talaj,grunt
81,Erde::N,föld,ziemia
82,Staub::N,por,pył
83,Staub::N,por,kurz
84,Rauch::N,füst,dym
85,Funke::N,szikra,iskra
86,Feuer::N,tűz,ogień
87,Licht::N,fény,światło
88,Schatten::N,árnyék,cień
89,Wetter::N,idő,pogoda
90,Wetter::N,időjárás,pogoda
91,Nebel::N,köd,mgła
92,Wolke::N,felhő,obłok
93,Wolke::N,felhő,chmura
94,Regen::N,eső,deszcz
95,Schnee::N,hó,śnieg
96,Eis::N,jég,lód
97,Frost::N,fagy,mróz
98,Kälte::N,hideg,chłód
99,Hitze::N,hő,gorąco
100,Hitze::N,hőség,gorąco
101,Raureif::N,zúzmara,szron
102,Regenbogen::N,szivárvány,tęcza
103,Donner::N,dörgés,grzmot
104,Donner::N,mennydörgés,grzmot
105,Strömung::N,áramlat,nurt
106,Tropfen::N,csepp,kropla
107,Schaum::N,hab,piana
108,Schaum::N,tajték,piana
109,Schmutz::N,piszok,brud
110,See::N,tó,jezioro
111,Sumpf::N,mocsár,bagno
112,Moor::N,láp,bagno
113,Wiese::N,rét,łąka
114,Wiese::N,mező,łąka
115,Wald::N,erdő,las
116,Hügel::N,domb,pagórek
117,Anhöhe::N,magaslat,wzgórze
118,Berg::N,hegy,góra
119,Gipfel::N,csúcs,szczyt
120,Gipfel::N,csúcs,wierzchołek
121,Höhle::N,barlang,pieczara
122,Abhang::N,lejtő,stok
123,Abhang::N,lejtő,zbocze
124,Quelle::N,forrás,zdrój
125,Quelle::N,forrás,źródło
126,Bach::N,patak,potok
127,Bach::N,patak,strumień
128,Fluss::N,folyó,rzeka
129,Ufer::N,part,brzeg
130,Küste::N,tengerpart,wybrzeże
131,Festland::N,szárazföld,ląd
132,Meer::N,tenger,morze
133,Bucht::N,öböl,zatoka
134,Insel::N,sziget,wyspa
135,Blume::N,virág,kwiat
136,Gras::N,fű,trawa
137,Wurzel::N,gyökér,korzeń
138,Baum::N,fa,drzewo
139,Stamm::N,tő,pień
140,Stamm::N,törzs,pień
141,Rinde::N,kéreg,kora
142,Ast::N,ág,gałąź
143,Zweig::N,gally,gałąź
144,Blatt::N,levél,liść
145,Birke::N,nyír,brzoza
146,Kiefer[Baum]::N,fenyő,sosna
147,Weide[Baum]::N,fűz,wierzba
148,Tanne::N,fenyő,jodła
149,Horn::N,szarv,róg
150,Feder::N,toll,pióro
151,Fell::N,szőr,futro
152,Fell::N,bunda,futro
153,Flügel::N,szárny,skrzydło
154,Klaue::N,köröm,szpon
155,Kralle::N,karom,pazur
156,Schwanz::N,farok,ogon
157,Ei::N,tojás,jajko
158,Nest::N,fészek,gniazdo
159,Bau::N,odú,nora
160,Tier::N,állat,zwierzę
161,Herde::N,nyáj,stado
162,Herde::N,nyáj,trzoda
163,Herde::N,csorda,stado
164,Herde::N,csorda,trzoda
165,Kuh::N,tehén,krowa
166,Bulle::N,bika,byk
167,Pferd::N,ló,koń
168,Schaf::N,juh,owca
169,Schaf::N,birka,owca
170,Schwein::N,sertés,świnia
171,Hund::N,eb,pies
172,Hund::N,kutya,pies
173,Katze::N,macska,kot
174,Katze::N,macska,kotka
175,Bär::N,medve,niedźwiedż
176,Eichhörnchen::N,mókus,wiewiórka
177,Elch::N,jávorszarvas,łóś
178,Fuchs::N,róka,lis
179,Hase::N,nyúl,zając
180,Maus::N,egér,mysz
181,Wolf::N,farkas,wilk
182,Vogel::N,madár,ptak
183,Schwarm::N,raj,stado
184,Huhn::N,tyúk,kura
185,Hahn::N,kakas,kogut
186,Gans::N,lúd,gęś
187,Gans::N,liba,gęś
188,Adler::N,sas,orzeł
189,Ente::N,kacsa,kaczka
190,Eule::N,bagoly,sowa
191,Kranich::N,daru,żuraw
192,Krähe::N,varjú,wrona
193,Kuckuck::N,kakukk,kukułka
194,Schwan::N,hattyú,łabędż
195,Fisch::N,hal,ryba
196,Barsch::N,sügér,okoń
197,Hecht::N,csuka,szczupak
198,Schlange[Tier]::N,kígyó,wąż
199,Schlange[Tier]::N,kígyó,żmija
200,Wurm::N,kukac,robak
201,Spinne::N,pók,pająk
202,Ameise::N,hangya,mrówka
203,Laus::N,tetű,wesz
204,Mücke::N,szúnyog,komar
205,Fliege::N,légy,mucha
206,Schmetterling::N,lepke,motyl
207,Schmetterling::N,pillangó,motyl
208,Beere::N,bogyó,jagoda
209,Apfel::N,alma,jabłko
210,Pilz::N,gomba,grzyb
211,Zwiebel::N,hagyma,cebula
212,Saat::N,vetőmag,siew
213,Korn::N,mag,ziarno
214,Korn::N,szem,ziarno
215,Heu::N,széna,siano
216,Schale::N,héj,łupina
217,Grube::N,verem,dół
218,Grube::N,verem,jama
219,Falle::N,csapda,pułapka
220,Schlinge::N,tőr,sidła
221,Spur::N,nyom,ślad
222,Asche::N,hamu,popiół
223,Dreck::N,sár,brud
224,Dreck::N,piszok,brud
225,Eisen::N,vas,żelazo
226,Gold::N,arany,złoto
227,Silber::N,ezüst,srebro
228,Kohle::N,szén,węgiel
229,Glas::N,üveg,szkło
230,Lehm::N,agyag,glina
231,Lehm::N,vályog,glina
232,Sand::N,homok,piasek
233,Mensch::N,ember,człowiek
234,Mann::N,úr,mężczyzna
235,Mann::N,férfi,mężczyzna
236,Frau::N,nő,kobieta
237,Frau::N,asszony,kobieta
238,Kind::N,gyerek,dziecko
239,Kind::N,gyermek,dziecko
240,Junge::N,fiú,chłopak
241,Junge::N,fiú,chłopiec
242,Mädchen::N,lány,dziewczynka
243,Familie::N,család,rodzina
244,Großvater::N,nagyapa,dziadek
245,Großmutter::N,nagyanya,babka
246,Eltern::N,szülők,rodzice
247,Vater::N,apa,ojciec
248,Vater::N,atya,ojciec
249,Mutter::N,anya,matka
250,Sohn::N,fiú,syn
251,Tochter::N,lány,córka
252,Bruder::N,fivér,brat
253,Bruder::N,testvér,brat
254,Schwester::N,nővér,siostra
255,Schwester::N,lánytestvér,siostra
256,Onkel::N,nagybácsi,wuj
257,Onkel::N,nagybácsi,stryj
258,Tante::N,nagynéni,ciotka
259,Ehemann::N,férj,mąż
260,Ehefrau::N,feleség,żona
261,Freude::N,öröm,radość
262,Gelächter::N,nevetés,śmiech
263,Gelächter::N,hahotázás,śmiech
264,Glück::N,boldogság,szczęście
265,Kummer::N,bánat,zmartwienie
266,Wunsch::N,óhaj,życzenie
267,Lust::N,kedv,chęć
268,Lust::N,kedv,ochota
269,Geist::N,elme,duch
270,Geist::N,szellem,duch
271,Gedanke::N,gondolat,myśl
272,Gedächtnis::N,emlékezet,pamięć
273,Verstand::N,ész,rozum
274,Verstand::N,értelem,rozum
275,Sinn::N,értelem,zmysł
276,Grund::N,ok,powód
277,Grund::N,alap,powód
278,Wahrheit::N,igaz,prawda
279,Wahrheit::N,igazság,prawda
280,Gespräch::N,beszélgetés,rozmowa
281,Märchen::N,mese,bajka
282,Erzählung::N,elbeszélés,opowiadanie
283,Nachricht::N,hír,wiadomość
284,Nachricht::N,híradás,wiadomość
285,Neuigkeit::N,újság,nowina
286,Name::N,név,imię
287,Rätsel::N,rejtvény,zagadka
288,Rede::N,beszéd,mowa
289,Rede::N,szónoklat,mowa
290,Sprache::N,nyelv,język
291,Stimme::N,hang,głos
292,Wort::N,szó,słowo
293,Zeichen::N,jel,znak
294,Ruf::N,kiáltás,wołanie
295,Lärm::N,zaj,hałas
296,Lärm::N,zaj,zgiełk
297,Laut::N,hang,dźwięk
298,Ton::N,hang,ton
299,Ton::N,hang,dźwięk
300,Lied::N,dal,pieśń
301,Lied::N,dal,piosenka
302,Lied::N,ének,pieśń
303,Lied::N,ének,piosenka
304,Ruhe::N,csend,spokój
305,Ruhe::N,nyugalom,spokój
306,Leute::N,emberek,ludzie
307,Volk::N,nép,naród
308,Arbeit::N,dolog,praca
309,Arbeit::N,dolog,robota
310,Gast::N,vendég,gość
311,Geschenk::N,ajándék,prezent
312,Geschenk::N,ajándék,podarunek
313,Spiel::N,játék,gra
314,Spiel::N,játék,zabawa
315,Gesellschaft::N,társaság,towarzystwo
316,Hilfe::N,segítség,pomoc
317,Freund::N,barát,przyjaciel
318,Kamerad::N,társ,kolega
319,Angelegenheit::N,ügy,sprawa
320,Anzahl::N,szám,ilość
321,Art::N,faj,rodzaj
322,Art::N,fajta,rodzaj
323,Stück::N,darab,kawałek
324,Teil::N,rész,część
325,Hälfte::N,fél,połowa
326,Kreis::N,kör,krąg
327,Kreuz::N,kereszt,krzyż
328,Linie::N,vonal,linia
329,Strich::N,vonás,kreska
330,Abstand::N,köz,odstęp
331,Entfernung::N,távolság,odległość
332,Gegend::N,táj,okolica
333,Gegend::N,vidék,okolica
334,Platz::N,hely,miejsce
335,Ort::N,hely,miejsce
336,Seite::N,fél,bok
337,Seite::N,fél,strona
338,Seite::N,oldal,bok
339,Seite::N,oldal,strona
340,Mitte::N,közép,środek
341,Gegenstand::N,tárgy,przedmiot
342,Sache::N,dolog,rzecz
343,Rand::N,szél,skraj
344,Rand::N,szél,krawędź
345,Rand::N,perem,skraj
346,Rand::N,perem,krawędź
347,Rand::N,szegély,skraj
348,Rand::N,szegély,krawędź
349,Kante::N,él,kant
350,Kante::N,él,krawędź
351,Ecke::N,sarok,róg
352,Ecke::N,szöglet,róg
353,Spitze::N,csúcs,ostrze
354,Ende::N,vég,koniec
355,Loch::N,lyuk,dziura
356,Winkel::N,szög,kąt
357,Winkel::N,szög,kącik
358,Muster::N,minta,wzór
359,Größe::N,nagyság,rozmiar
360,Größe::N,nagyság,wielkość
361,Länge::N,hossz,długość
362,Länge::N,hosszúság,długość
363,Höhe::N,magasság,wysokość
364,Gewicht::N,súly,ciężar
365,Menge::N,sokaság,ilość
366,Menge::N,mennyiség,ilość
367,Haufen::N,halom,kupa
368,Reihe::N,sor,rząd
369,Reihe::N,sor,szereg
370,Boot::N,csónak,łódź
371,Boot::N,csónak,łódka
372,Ruder::N,evező,wiosło
373,Schlitten::N,szánkó,sanki
374,Ski::N,sí,narta
375,Lagerfeuer::N,tábortűz,ognisko
376,Last::N,teher,ciężar
377,Last::N,teher,brzemię
378,Gang::N,járás,chód
379,Schritt::N,lépés,krok
380,Norden::N,észak,północ
381,Süden::N,dél,południe
382,Westen::N,nyugat,zachód
383,Osten::N,kelet,wschód
384,Holz::N,fa,drzewo
385,Brett::N,deszka,deska
386,Platte::N,lap,płyta
387,Platte::N,lemez,płyta
388,Stütze::N,támasz,podpora
389,Stütze::N,támaszték,podpora
390,Stange::N,rúd,drąg
391,Stange::N,rúd,żerdź
392,Stange::N,pózna,drąg
393,Stange::N,pózna,żerdź
394,Stock::N,pálca,kij
395,Stock::N,pálca,laska
396,Stab::N,bot,pręt
397,Rohr::N,cső,rura
398,Haus::N,ház,dom
399,Heim::N,otthon,dom
400,Ofen::N,kályha,piec
401,Fußboden::N,padló,podłoga
402,Tisch::N,asztal,stół
403,Stuhl::N,szék,krzesło
404,Wiege::N,bölcső,kołyska
405,Bett::N,ágy,łóżko
406,Bett::N,ágy,pościel
407,Regal::N,polc,regał
408,Regal::N,állvány,regał
409,Kiste::N,láda,skrzynia
410,Fenster::N,ablak,okno
411,Tür::N,ajtó,drzwi
412,Tor::N,kapu,brama
413,Zaun::N,kerítés,płot
414,Zaun::N,kerítés,parkan
415,Dach::N,tető,dach
416,Leiter::N,létra,drabina
417,Besen::N,seprű,miotła
418,Spaten::N,ásó,rydel
419,Schaufel::N,lapát,łopata
420,Gabel::N,villa,widelec
421,Löffel::N,kanál,łyżka
422,Messer::N,kés,nóż
423,Nagel::N,szeg,gwóźdź
424,Netz::N,háló,sieć
425,Haken::N,kampó,hak
426,Griff::N,nyél,chwyt
427,Griff::N,fogantyú,chwyt
428,Schloss::N,zár,zamek
