,Concept_ID,ab,nl
0,Auge::N,ала,oog
1,Ohr::N,алымҳа,oor
2,Nase::N,аҧынҵа,neus
3,Mund::N,аҧышə,mond
4,Zahn::N,ахаҧыц,tand
5,Zunge::N,абз,tong
6,Lippe::N,ақьышə,lip
7,Wange::N,аӡамҩа,wang
8,Gesicht::N,аҿы,gelaat
9,Gesicht::N,аҿы,gezicht
10,Stirn::N,алахь,voorhoofd
11,Haar::N,ахəыц,haar
12,Schnurrbart::N,аҧаҵа,snor
13,Bart::N,ажакьа,baard
14,Kinn::N,ацламкəыгə,kin
15,Kiefer[Anatomie]::N,ацламҳəа,kaak
16,Kehle::N,ахəда,keel
17,Kehle::N,ахəда,strot
18,Hals::N,ахəда,hals
19,Genick::N,ахəдаџьал,nek
20,Kopf::N,ахы,hoofd
21,Rücken::N,азқəа,rug
22,Bauch::N,амгəа,buik
23,Nabel::N,аҷапан,navel
24,Busen::N,агəыҧҳəы,boezem
25,Brust::N,агəышҧы,borst
26,Schulter::N,ажəҩахыр,schouder
27,Arm::N,амахəар,arm
28,Ellenbogen::N,амашьхəылҵ,elleboog
29,Hand::N,анапы,hand
30,Handfläche::N,анапсаргəыҵа,handpalm
31,Finger::N,анацəа,vinger
32,Fingernagel::N,анапхыц,nagel
33,Nagel[Anatomie]::N,ашьапхыц,nagel
34,Zeh::N,ашьацəа,teen
35,Fuß::N,ашьапсыргəыҵа,voet
36,Ferse::N,ашьхəа,hak
37,Ferse::N,ашьхəа,hiel
38,Knie::N,ашьамхы,knie
39,Oberschenkel::N,ауаҭəа,dij
40,Bein::N,ашьапы,been
41,Körper::N,ацəеижь,lichaam
42,Haut::N,ацəа,huid
43,Blut::N,ашьа,bloed
44,Ader::N,ада,ader
45,Sehne::N,адаш,pees
46,Knochen::N,абаҩ,bot
47,Knochen::N,абаҩ,been
48,Knochen::N,абаҩ,knook
49,Gehirn::N,ахшлыбаҩ,hersenen
50,Gehirn::N,ахшыбаҩ,hersenen
51,Herz::N,агəы,hart
52,Magen::N,аца,maag
53,Magen::N,ацар,maag
54,Leber::N,агəаҵəа,lever
55,Atem::N,аҧсыҧлагаҩгара,adem
56,Hunger::N,амла,honger
57,Träne::N,алабжыш,traan
58,Geschmack::N,агьама,smaak
59,Geruch::N,афҩы,geur
60,Schlaf::N,ацəа,slaap
61,Traum::N,аҧхыӡ,droom
62,Himmel::N,ажəҩан,hemel
63,Sonne::N,амра,zon
64,Mond::N,амза,maan
65,Stern::N,аеҵəа,ster
66,Luft::N,аҳаир,lucht
67,Wind::N,аҧша,wind
68,Welle::N,ацəқəырҧа,golf
69,Wasser::N,аӡы,water
70,Stein::N,ахаҳə,steen
71,Boden::N,адгьыл,grond
72,Erde::N,адгьыл,aarde
73,Staub::N,асаба,stof
74,Rauch::N,алҩа,rook
75,Funke::N,акəиц,vonk
76,Funke::N,ацҧхь,vonk
77,Feuer::N,амца,vuur
78,Licht::N,алашара,licht
79,Schatten::N,ашəшьыра,schaduw
80,Wetter::N,амш,weer
81,Nebel::N,анаҟəа,mist
82,Nebel::N,анаҟəа,nevel
83,Wolke::N,аҧсҭҳəа,wolk
84,Regen::N,ақəа,regen
85,Schnee::N,асы,sneeuw
86,Eis::N,аҵаа,ijs
87,Frost::N,аҵаа,vorst
88,Kälte::N,ахьҭа,kou
89,Kälte::N,ахьҭа,koude
90,Hitze::N,ашоура,hitte
91,Raureif::N,аҵааҧшқа,rijp
92,Regenbogen::N,ацəаҟəа,regenboog
93,Donner::N,адыд,donder
94,Strömung::N,аиасра,stroming
95,Strömung::N,амҩасра,stroming
96,Tropfen::N,ацəыкəбар,druppel
97,Schaum::N,ашəах,schuim
98,Schmutz::N,алымт,vuil
99,See::N,аӡиа,meer
100,Sumpf::N,аӡмах,moeras
101,Wiese::N,адəы,wei
102,Wiese::N,адəы,weide
103,Wald::N,абна,bos
104,Hügel::N,ахəы,heuvel
105,Anhöhe::N,аҳаракыра,hoogte
106,Berg::N,ашьха,berg
107,Gipfel::N,ацəқəа,top
108,Höhle::N,аҳаҧы,hol
109,Abhang::N,анаара,helling
110,Quelle::N,аҵҵырҭа,bron
111,Bach::N,акəараҷҷа,beek
112,Fluss::N,аӡиас,stroom
113,Ufer::N,ахықə,wal
114,Ufer::N,ахықə,oever
115,Küste::N,ахықə,kust
116,Festland::N,абарра,vasteland
117,Meer::N,амшын,zee
118,Bucht::N,аӡбжьахала,baai
119,Bucht::N,аӡбжьахала,inham
120,Insel::N,адгьылбжьаха,eiland
121,Blume::N,ашəҭ,bloem
122,Gras::N,аҳасакьын,gras
123,Wurzel::N,адац,wortel
124,Baum::N,аҵла,boom
125,Stamm::N,ашьапы,stam
126,Rinde::N,ацəа,schors
127,Ast::N,амахə,tak
128,Ast::N,амахəҭа,tak
129,Zweig::N,амахə,twijg
130,Zweig::N,амахəҭа,twijg
131,Blatt::N,абҕьы,blad
132,Birke::N,аҵааҵла,berk
133,Kiefer[Baum]::N,амза,den
134,Weide[Baum]::N,аҧслыш,wilg
135,Tanne::N,аҧсаӡ,spar
136,Horn::N,атəыҩа,hoorn
137,Feder::N,ахӡы,veer
138,Feder::N,ахӡы,pluim
139,Fell::N,ацəа,vel
140,Flügel::N,амҵəыжəа,vleugel
141,Klaue::N,ашьапхыц,klauw
142,Schwanz::N,аҵыхəа,staart
143,Ei::N,акəтаӷь,ei
144,Nest::N,аҭра,nest
145,Nest::N,аҵысҭра,nest
146,Bau::N,аҭыҩра,hol
147,Tier::N,аҧстəы,dier
148,Tier::N,агыгшəыг,dier
149,Herde::N,агəарҭа,kudde
150,Kuh::N,ажə,koe
151,Bulle::N,ацə,stier
152,Pferd::N,аҽы,paard
153,Schaf::N,ауаса,schaap
154,Schwein::N,аҳəа,varken
155,Hund::N,ала,hond
156,Katze::N,ацгəы,kat
157,Bär::N,амшə,beer
158,Eichhörnchen::N,аеш,eekhoorntje
159,Elch::N,аҽаҩа,eland
160,Fuchs::N,абгахəыҷы,vos
161,Hase::N,ажьа,haas
162,Maus::N,аҳəынаҧ,muis
163,Wolf::N,абгаду,wolf
164,Vogel::N,аҧсаатə,vogel
165,Huhn::N,акəты,kip
166,Huhn::N,акəты,hoen
167,Hahn::N,арбаҕь,haan
168,Gans::N,аҟыз,gans
169,Adler::N,ауарба,arend
170,Ente::N,акəата,eend
171,Eule::N,аты,uil
172,Kranich::N,апҟа,kraanvogel
173,Krähe::N,аҟəараан,kraai
174,Kuckuck::N,акəыкəу,koekoek
175,Schwan::N,агьад,zwaan
176,Fisch::N,аҧсыӡ,vis
177,Barsch::N,ацəыбла,baars
178,Hecht::N,ахиаала,snoek
179,Schlange[Tier]::N,амаҭ,slang
180,Wurm::N,ахəа,worm
181,Wurm::N,ахəац,worm
182,Spinne::N,абызкаҭаҳа,spin
183,Ameise::N,ашышкамс,mier
