,Concept_ID,es,ba
0,Auge::N,ojo,күҙ
1,Ohr::N,oreja,ҡолаҡ
2,Nase::N,nariz,танау
3,Mund::N,boca,ауыҙ
4,Zahn::N,diente,теш
5,Zunge::N,lengua,тел
6,Lippe::N,labio,ирен
7,Wange::N,mejilla,яцаҡтар
8,Gesicht::N,cara,бит
9,Stirn::N,frente,маңлай
10,Haar::N,cabello,сәс
11,Schnurrbart::N,bigote,мылтыҡ
12,Bart::N,barba,һаҡал
13,Kinn::N,barbilla,эйэк
14,Kiefer[Anatomie]::N,mandíbula,яңаҡ һөйәге
15,Kehle::N,garganta,тамаҡ
16,Hals::N,cuello,муйын
17,Genick::N,nuca,соңҡа
18,Genick::N,cerviz,соңҡа
19,Kopf::N,cabeza,баш
20,Rücken::N,espalda,арҡа
21,Bauch::N,vientre,ҡорһаҡ
22,Nabel::N,ombligo,кендек
23,Busen::N,pecho,күкрәк
24,Brust::N,pecho,түш
25,Schulter::N,hombro,яурын
26,Arm::N,brazo,ҡул
27,Ellenbogen::N,codo,терһәк
28,Hand::N,mano,ҡул
29,Hand::N,mano,ҡул суғы
30,Handfläche::N,palma,ус төбө
31,Finger::N,dedo,бармаҡ
32,Fingernagel::N,uña,тырнаҡ
33,Nagel[Anatomie]::N,uña,тырнаҡ
34,Zeh::N,dedo del pie,бармаҡ
35,Fuß::N,pie,табан
36,Ferse::N,talón,үксә
37,Knie::N,rodilla,тубыҡ
38,Oberschenkel::N,muslo,сандыр
39,Bein::N,pierna,аяҡ
40,Körper::N,cuerpo,тән
41,Haut::N,piel,тире
42,Blut::N,sangre,ҡан
43,Ader::N,vena,тамыр
44,Sehne::N,tendón,һеңер
45,Sehne::N,tendón,тарамыш
46,Knochen::N,hueso,һойәк
47,Gehirn::N,cerebro,мейе
48,Gehirn::N,encéfalo,мейе
49,Herz::N,corazón,йорәк
50,Magen::N,estómago,ашҡаҙан
51,Leber::N,hígado,бауыр
52,Atem::N,aliento,һулыш
53,Hunger::N,hambre,аслыҡ
54,Träne::N,lágrima,күҙ иәше
55,Geschmack::N,gusto,тәм
56,Geruch::N,olor,еҫ
57,Schlaf::N,sueño,йоҡлау
58,Traum::N,sueño,төш
59,Traum::N,ensueño,төш
60,Himmel::N,cielo,күк
61,Sonne::N,sol,ҡояш
62,Mond::N,luna,ай
63,Stern::N,estrella,йондоҙ
64,Luft::N,aire,һауа
65,Wind::N,viento,ел
66,Welle::N,ola,тулҡын
67,Welle::N,onda,тулҡын
68,Wasser::N,agua,һыу
69,Stein::N,piedra,таш
70,Boden::N,suelo,тупраҡ
71,Erde::N,tierra,балсҡ
72,Staub::N,polvo,туҙан
73,Rauch::N,humo,төтөн
74,Funke::N,chispa,осҡон
75,Feuer::N,fuego,ут
76,Licht::N,luz,яҡтылыҡ
77,Schatten::N,sombra,күләгә
78,Wetter::N,tiempo,һауа торошо
79,Nebel::N,niebla,төман
80,Wolke::N,nube,болот
81,Regen::N,lluvia,ямғыр
82,Schnee::N,nieve,ҡар
83,Eis::N,hielo,боҙ
84,Frost::N,helada,һалҡын
85,Kälte::N,frío,һыуыҡ
86,Hitze::N,calor,томра
87,Hitze::N,calor,эҫелек
88,Raureif::N,escarcha,ҡырау
89,Regenbogen::N,arco iris,йәйғор
90,Donner::N,trueno,күк күкрәү
91,Strömung::N,corriente,ағым
92,Tropfen::N,gota,тамсы
93,Schaum::N,espuma,күбек
94,Schmutz::N,suciedad,батҡаҡ
95,See::N,lago,күл
96,Sumpf::N,pantano,һаҙлык
97,Moor::N,turbera,һаҙ
98,Wiese::N,prado,болон
99,Wiese::N,pradera,болон
100,Wald::N,bosque,урман
101,Hügel::N,colina,түбә
102,Anhöhe::N,cerro,түбә
103,Anhöhe::N,cerro,ҡалҡыулыҡ
104,Berg::N,monte,тау
105,Berg::N,montaña,тау
106,Gipfel::N,cima,түбә
107,Gipfel::N,cumbre,түбә
108,Höhle::N,cueva,мәмерйә
109,Höhle::N,caverna,мәмерйә
110,Abhang::N,cuesta,ипкен
111,Abhang::N,declive,ипкен
112,Quelle::N,fuente,шишмә
113,Quelle::N,manantial,шишмә
114,Bach::N,arroyo,шишмә
115,Fluss::N,río,йылға
116,Ufer::N,orilla,яр
117,Küste::N,costa,яр буйы
118,Festland::N,tierra firme,ҡоро ер
119,Meer::N,mar,диңгез
120,Bucht::N,cala,бухта
121,Bucht::N,bahía,бухта
122,Insel::N,isla,үтрау
123,Blume::N,flor,сәскә
124,Gras::N,hierba,үлән
125,Wurzel::N,raíz,тамыр
126,Baum::N,árbol,ағас
127,Stamm::N,tronco,олон
128,Stamm::N,tronco,көбәк
129,Rinde::N,corteza,ҡабыҡ
130,Ast::N,rama,ботаҡ
131,Zweig::N,ramo,ботаҡ
132,Zweig::N,ramo,тармаҡ
133,Blatt::N,hoja,япраҡ
134,Birke::N,abedul,ҡайын
135,Kiefer[Baum]::N,pino,ҡарғай
136,Weide[Baum]::N,sauce,тал
137,Tanne::N,abeto,шыршы
138,Horn::N,asta,мөғөҙ
139,Horn::N,cuerno,мөғөҙ
140,Feder::N,pluma,ҡауырһын
141,Fell::N,piel,тире
142,Flügel::N,ala,ҡанат
143,Klaue::N,garra,тырнаҡ
144,Kralle::N,uña,аяҡ
145,Kralle::N,garra,аяҡ
146,Schwanz::N,cola,ҡойроҡ
147,Ei::N,huevo,йомортҡа
148,Nest::N,nido,оя
149,Bau::N,madriguera,оң
150,Tier::N,animal,жайуан
151,Tier::N,animal,йыртҡыс
152,Herde::N,rebaño,көтөү
153,Kuh::N,vaca,һыйыр
154,Bulle::N,toro,үгеҙ
155,Pferd::N,caballo,ат
156,Schaf::N,oveja,һарыҡ
157,Schwein::N,cerdo,сусҡа
158,Hund::N,perro,эт
159,Katze::N,gato,бесәй
160,Bär::N,oso,айыу
161,Eichhörnchen::N,ardilla,тейен
162,Elch::N,alce,мышы
163,Fuchs::N,zorro,төлкө
164,Hase::N,liebre,ҡуян
165,Maus::N,ratón,сысҡан
166,Wolf::N,lobo,бүре
167,Vogel::N,ave,ҡош
168,Vogel::N,pájaro,ҡош
169,Schwarm::N,bandada,көтөү
170,Huhn::N,gallina,тауыҡ
171,Hahn::N,gallo,әтәс
172,Gans::N,oca,ҡаҙ
173,Gans::N,ganso,ҡаҙ
174,Adler::N,águila,бөркөт
175,Ente::N,pato,өйрәк
176,Eule::N,lechuza,өкө
177,Eule::N,lechuza,ябалаҡ
178,Kranich::N,grulla,торна
179,Krähe::N,corneja,ҡарға
180,Kuckuck::N,cuco,кәкүк
181,Schwan::N,cisne,аҡҡош
182,Fisch::N,pez,балыҡ
183,Barsch::N,perca,алабуға
184,Hecht::N,lucio,суртан
185,Schlange[Tier]::N,serpiente,йылан
186,Wurm::N,gusano,селяүсен
187,Spinne::N,araña,үрмәксе
188,Ameise::N,hormiga,ҡырмыҫҡа
189,Laus::N,piojo,бет
190,Mücke::N,mosquito,серәкәй
191,Fliege::N,mosca,себен
192,Schmetterling::N,mariposa,күбәләк
193,Beere::N,baya,еләк
194,Apfel::N,manzana,алма
195,Pilz::N,seta,бәшмәк
196,Pilz::N,hongo,бәшмәк
197,Zwiebel::N,cebolla,һуган
198,Saat::N,siembra,орлоҡ
199,Korn::N,grano,иген
200,Heu::N,heno,бесән
201,Schale::N,cáscara,ҡабыҡ
202,Grube::N,foso,соҡор
203,Falle::N,trampa,тоҙак
204,Falle::N,trampa,ҡапҡан
205,Schlinge::N,lazo,тоҙак
206,Spur::N,huella,әҫер
207,Asche::N,ceniza,көл
