,Concept_ID,sq,la
0,Auge::N,sy,oculus
1,Ohr::N,vesh,auris
2,Nase::N,hundë,nasus
3,Mund::N,gojë,os
4,Zahn::N,dhëmb,dens
5,Zunge::N,gjuhë,lingua
6,Lippe::N,buzë,labrum
7,Wange::N,faqe,gena
8,Wange::N,mollëz,gena
9,Gesicht::N,fytyrë,vultus
10,Stirn::N,ballë,frons
11,Haar::N,flokë,capillus
12,Schnurrbart::N,mustaqe,barba labri superioris
13,Bart::N,mjekër,barba
14,Kinn::N,mjekër,mentum
15,Kiefer[Anatomie]::N,nofull,mala
16,Kehle::N,fyt,iugulums
17,Kehle::N,grykë,iugulums
18,Hals::N,qafë,collum
19,Genick::N,arrëz,cervices
20,Kopf::N,kokë,caput
21,Rücken::N,kurriz,tergum
22,Bauch::N,bark,venter
23,Nabel::N,kërthizë,umbilicus
24,Busen::N,gji,sinus
25,Brust::N,gjoks,pectus
26,Brust::N,kraharor,pectus
27,Schulter::N,sup,umerus
28,Schulter::N,krah,umerus
29,Arm::N,krah,bracchium
30,Ellenbogen::N,bërryl,cubitum
31,Hand::N,dorë,manus
32,Handfläche::N,pëllëmbë,palma
33,Finger::N,gisht,digitus
34,Fingernagel::N,thua,unguiculus
35,Nagel[Anatomie]::N,thua,unguis
36,Zeh::N,gisht i këmbës,digitus
37,Fuß::N,këmbë,pes
38,Ferse::N,thembër,calx
39,Knie::N,gju,genu
40,Oberschenkel::N,kofshë,femur
41,Bein::N,këmbë,crus
42,Körper::N,trup,corpus
43,Haut::N,lëkurë,cutis
44,Haut::N,lëkurë,pellis
45,Blut::N,gjak,sanguis
46,Ader::N,venë,vena
47,Sehne::N,dell,nervus
48,Knochen::N,asht,os
49,Knochen::N,kockë,os
50,Gehirn::N,tru,cerebrum
51,Herz::N,zemër,cor
52,Herz::N,zemër,animus
53,Magen::N,stomak,stomachus
54,Leber::N,mëlçi,iecur
55,Atem::N,frymë,spiritus
56,Hunger::N,uri,fames
57,Träne::N,lot,lacrima
58,Geschmack::N,shije,sapor
59,Geschmack::N,shije,gustus
60,Geruch::N,erë,odor
61,Schlaf::N,gjumë,somnus
62,Traum::N,ëndërr,somnium
63,Himmel::N,qiell,caelum
64,Sonne::N,diell,sol
65,Mond::N,hënë,luna
66,Stern::N,yll,sidus
67,Stern::N,yll,stella
68,Luft::N,ajër,aer
69,Wind::N,erë,ventus
70,Welle::N,valë,unda
71,Welle::N,dallgë,unda
72,Wasser::N,ujë,aqua
73,Stein::N,gur,lapis
74,Boden::N,tokë,solum
75,Boden::N,truall,solum
76,Erde::N,dhe,terra
77,Erde::N,baltë,terra
78,Staub::N,pluhur,pulvis
79,Rauch::N,tym,fumus
80,Funke::N,xixë,scintilla
81,Funke::N,shkëndijë,scintilla
82,Feuer::N,zjarr,ignis
83,Licht::N,dritë,lux
84,Licht::N,dritë,lumen
85,Schatten::N,hije,umbra
86,Wetter::N,mot,caelum
87,Wetter::N,mot,tempestas
88,Nebel::N,mjegull,nebula
89,Wolke::N,re,nubes
90,Regen::N,shi,imber
91,Regen::N,shi,pluvia
92,Schnee::N,borë,nix
93,Eis::N,akull,glacies
94,Frost::N,ngricë,gelu
95,Kälte::N,të ftohtë,frigus
96,Hitze::N,vapë,calor
97,Hitze::N,vapë,aestus
98,Hitze::N,nxehtësi,calor
99,Hitze::N,nxehtësi,aestus
100,Raureif::N,cikmë,pruina
101,Regenbogen::N,ylber,arcus
102,Donner::N,gjëmim,tonitrus
103,Donner::N,bubullimë,tonitrus
104,Strömung::N,rrymë,fluctus
105,Tropfen::N,pikë,gutta
106,Schaum::N,shkumë,spuma
107,Schmutz::N,baltë,sordes
108,Schmutz::N,baltë,squalor
109,See::N,liqen,lacus
110,Sumpf::N,batak,palus
111,Moor::N,kënetë,palus
112,Wiese::N,livadh,pratum
113,Wald::N,pyll,silva
114,Hügel::N,kodër,collis
115,Anhöhe::N,bregore,specula
116,Berg::N,mal,mons
117,Gipfel::N,kulm,vertex
118,Höhle::N,shpellë,caverna
119,Höhle::N,shpellë,spelunca
120,Höhle::N,zgafelle,caverna
121,Höhle::N,zgafelle,spelunca
122,Abhang::N,shpat,declivum
123,Abhang::N,tatëpjetë,declivum
124,Quelle::N,krua,fons
125,Quelle::N,burim,fons
126,Bach::N,virua,rivus
127,Fluss::N,lumë,flumen
128,Ufer::N,breg,ripa
129,Küste::N,anëdet,litus
130,Küste::N,bregdet,litus
131,Festland::N,kontinent,continens
132,Meer::N,det,mare
133,Bucht::N,gji deti,sinus
134,Insel::N,ishull,insula
135,Insel::N,ujdhesë,insula
136,Blume::N,lule,flos
137,Gras::N,bar,herba
138,Gras::N,bar,gramen
139,Wurzel::N,rrënjë,radix
140,Baum::N,pemë,arbor
141,Stamm::N,trung,truncus
142,Rinde::N,lëvore,cortex
143,Ast::N,degë,ramus
144,Zweig::N,bisk,ramus
145,Blatt::N,fletë,folium
146,Blatt::N,gjethe,folium
147,Birke::N,mështekën,betulla
148,Kiefer[Baum]::N,pishë,pinus
149,Weide[Baum]::N,shelg,salix
150,Tanne::N,bredh,abies
151,Horn::N,bri,cornu
152,Feder::N,pupël,penna
153,Fell::N,lëkurë,pellis
154,Flügel::N,krah,ala
155,Flügel::N,fletë,ala
156,Klaue::N,kthetër,unguis
157,Kralle::N,thua,unguis
158,Kralle::N,kthetër,unguis
159,Schwanz::N,bisht,cauda
160,Ei::N,vezë,ovum
161,Nest::N,fole,nidus
162,Bau::N,strofkë,cavum
163,Bau::N,strofkë,latibulum
164,Tier::N,kafshë,bestia
165,Herde::N,kope,grex
166,Herde::N,grigjë,grex
167,Kuh::N,lopë,vacca
168,Bulle::N,dem,taurus
169,Pferd::N,kalë,equus
170,Schaf::N,dele,ovis
171,Schwein::N,derr,sus
172,Schwein::N,derr,porcus
173,Hund::N,qen,canis
174,Katze::N,mace,felis
175,Bär::N,ari,ursus
176,Eichhörnchen::N,ketër,sciurus
177,Elch::N,dre brilopatë,alces
178,Fuchs::N,dhelpër,vulpes
179,Hase::N,lepur,lepus
180,Maus::N,mi,mus
181,Wolf::N,ujk,lupus
182,Vogel::N,zog,avis
183,Vogel::N,shpend,avis
184,Schwarm::N,luzmë,examen
185,Huhn::N,pulë,gallina
186,Hahn::N,gjel,gallus
187,Hahn::N,këndes,gallus
188,Gans::N,patë,anser
189,Adler::N,shqiponjë,aquila
190,Ente::N,rosë,anas
191,Eule::N,buf,ulula
192,Eule::N,buf,noctua
193,Kranich::N,lejlek,grus
194,Kranich::N,kurrillë,grus
195,Krähe::N,sorrë,cornix
196,Kuckuck::N,qyqe,cuculus
197,Schwan::N,mjellmë,olor
198,Schwan::N,mjellmë,cycnus
199,Fisch::N,peshk,piscis
200,Barsch::N,purtekë,perca
201,Hecht::N,mlysh,esox
202,Schlange[Tier]::N,gjarpër,serpens
203,Wurm::N,krimb,vermis
204,Spinne::N,marimangë,aranea
205,Ameise::N,thnegël,formica
206,Ameise::N,milingonë,formica
207,Laus::N,morr,pediculus
208,Mücke::N,kunup,culex
209,Mücke::N,mushkonjë,culex
210,Fliege::N,mizë,musca
211,Schmetterling::N,flutur,papilio
212,Beere::N,frutë,baca
213,Beere::N,manaferrë,baca
214,Apfel::N,mollë,malum
215,Pilz::N,kërpudhë,fungus
216,Zwiebel::N,qepë,cepa
217,Saat::N,farë,seges
218,Korn::N,grurë,granum
219,Korn::N,kokërr,granum
220,Heu::N,sanë,faenum
221,Schale::N,lëkurë,putamen
222,Grube::N,gropë,fovea
223,Falle::N,kurth,pedica
224,Falle::N,grackë,pedica
225,Schlinge::N,nyjë,laqueus
226,Spur::N,gjurmë,vestigium
227,Asche::N,hi,cinis
228,Dreck::N,baltë,lutum
229,Eisen::N,hekur,ferrum
230,Gold::N,ar,aurum
231,Gold::N,flori,aurum
232,Silber::N,argjend,argentum
233,Kohle::N,qymyr,carbo
234,Glas::N,qelq,vitrum
235,Lehm::N,argjilë,lutum
236,Sand::N,rërë,arena
237,Mensch::N,njeri,homo
238,Mann::N,burrë,vir
239,Mann::N,mashkull,vir
240,Frau::N,grua,mulier
241,Frau::N,femër,mulier
242,Kind::N,kalama,puer
243,Kind::N,kalama,infans
244,Junge::N,djalë,puer
245,Mädchen::N,gocë,puella
246,Mädchen::N,vajzë,puella
247,Familie::N,familje,familia
248,Großvater::N,gjysh,avus
249,Großmutter::N,gjyshe,avia
250,Eltern::N,prindër,parentes
251,Vater::N,atë,pater
252,Mutter::N,nënë,mater
253,Sohn::N,bir,filius
254,Tochter::N,bijë,filia
255,Bruder::N,vëlla,frater
256,Schwester::N,motër,soror
257,Onkel::N,dajë,patruus
258,Onkel::N,dajë,avunculus
259,Onkel::N,xhaxha,patruus
260,Onkel::N,xhaxha,avunculus
261,Tante::N,teze,amita
262,Tante::N,hallë,amita
263,Ehemann::N,burrë,maritus
264,Ehemann::N,bashkëshort,maritus
265,Ehefrau::N,grua,uxor
266,Ehefrau::N,bashkëshorte,uxor
267,Freude::N,gaz,gaudium
268,Freude::N,gaz,laetitia
269,Freude::N,gëzim,gaudium
270,Freude::N,gëzim,laetitia
271,Gelächter::N,qeshje,risus
272,Glück::N,lumturi,felicitas
273,Kummer::N,brengë,aegritudo
274,Kummer::N,pikëllim,aegritudo
275,Wunsch::N,dëshirë,voluntas
276,Wunsch::N,dëshirë,desiderium
277,Lust::N,epsh,libido
278,Lust::N,epsh,voluptas
279,Lust::N,dashuri,libido
280,Lust::N,dashuri,voluptas
281,Geist::N,frymë,mens
282,Geist::N,frymë,animus
283,Geist::N,shpirt,mens
284,Geist::N,shpirt,animus
285,Gedanke::N,ide,sententia
286,Gedanke::N,mendim,sententia
287,Gedächtnis::N,kujtesë,memoria
288,Verstand::N,mend,ratio
289,Verstand::N,mend,ingenium
290,Sinn::N,kuptim,sensus
291,Grund::N,arsye,causa
292,Wahrheit::N,vërtetë,veritas
293,Gespräch::N,bisedim,sermo
294,Märchen::N,përrallë,fabula
295,Erzählung::N,tregim,fabula
296,Erzählung::N,tregim,narratio
297,Nachricht::N,lajm,nuntius
298,Neuigkeit::N,risi,novitas
299,Name::N,emër,nomen
300,Rätsel::N,gjëzë,aenigma
301,Rätsel::N,gjëegjëzë,aenigma
302,Rede::N,fjalim,oratio
303,Sprache::N,gjuhë,lingua
304,Stimme::N,zë,vox
305,Wort::N,fjalë,verbum
306,Wort::N,fjalë,vocabulum
307,Zeichen::N,shenjë,signum
308,Ruf::N,thirrmë,clamor
309,Lärm::N,zhurmë,strepitus
310,Laut::N,tingull,sonus
311,Ton::N,ton,sonus
312,Lied::N,këngë,carmen
313,Ruhe::N,qetësi,quies
314,Leute::N,botë,homines
315,Leute::N,njerëz,homines
316,Volk::N,popull,populus
317,Arbeit::N,punë,labor
318,Gast::N,mik,hospes
