,Concept_ID,mdf,sk
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,шалхка,nos
3,Mund::N,курга,ústa
4,Zahn::N,пей,zub
5,Zunge::N,кяль,jazyk
6,Lippe::N,търва́,pera
7,Wange::N,щёка,líce
8,Gesicht::N,шама,tvár
9,Gesicht::N,шама,obličaj
10,Stirn::N,коня,čelo
11,Haar::N,шя́ярь,vlas
12,Schnurrbart::N,уса́,fúzy
13,Bart::N,сакал,brada
14,Kinn::N,ула,brada
15,Kiefer[Anatomie]::N,саласка,čeľusť
16,Kehle::N,кълдома,hrdlo
17,Kehle::N,кърга́парь,hrdlo
18,Hals::N,сялдаз,krk
19,Genick::N,шовонь,väzy
20,Kopf::N,пря,hlava
21,Rücken::N,копорь,chrbát
22,Bauch::N,пеке,brucho
23,Nabel::N,по́кон,pupok
24,Busen::N,потя,prsia
25,Brust::N,мяште,hruď
26,Schulter::N,лафту,plece
27,Arm::N,кядь,rameno
28,Ellenbogen::N,кенерьба́карь,lakeť
29,Hand::N,кядь,ruka
30,Handfläche::N,кядьлапш,dlaň
31,Finger::N,сур,prst
32,Fingernagel::N,кенже,necht
33,Nagel[Anatomie]::N,кенже,necht
34,Zeh::N,пильгосу́р,prst na nohe
35,Fuß::N,пильге,noha
36,Fuß::N,пильгелапа,noha
37,Ferse::N,кочкяря,päta
38,Knie::N,эль,koleno
39,Knie::N,пълма́нжа,koleno
40,Oberschenkel::N,пильгепукша,stehno
41,Bein::N,пильге,noha
42,Körper::N,ро́нга,telo
43,Körper::N,по́нда,telo
44,Haut::N,киське,koža
45,Blut::N,вер,krv
46,Ader::N,сан,žila
47,Ader::N,верза́н,žila
48,Sehne::N,коське сан,šľacha
49,Knochen::N,пакарь,kosť
50,Gehirn::N,уй,mozog
51,Herz::N,седи,srdce
52,Magen::N,коткърдазь,žalúdok
53,Leber::N,макса,pečeň
54,Atem::N,лекома,dych
55,Atem::N,ваймонь тарксема,dych
56,Hunger::N,вачеши,hlad
57,Träne::N,сельмове́дь,slza
58,Geschmack::N,таньф,chuť
59,Geruch::N,шине,pach
60,Schlaf::N,удома́,spánok
61,Traum::N,он,sen
62,Himmel::N,менель,nebo
63,Sonne::N,ши,slnko
64,Mond::N,ков,mesiac
65,Stern::N,тяште,hviezda
66,Luft::N,кожф,vzduch
67,Wind::N,варма,vietor
68,Welle::N,тавла,vlna
69,Wasser::N,ведь,voda
70,Stein::N,кев,kameň
71,Boden::N,мода,zem
72,Boden::N,мода,pôda
73,Boden::N,потмакс,zem
74,Boden::N,потмакс,pôda
75,Erde::N,мода,zem
76,Erde::N,мастор,zem
77,Staub::N,пуль,prach
78,Rauch::N,качам,dym
79,Funke::N,ця́тка,iskra
80,Feuer::N,тол,oheň
81,Licht::N,ва́лда,svetlo
