,Concept_ID,mdf,pt
0,Auge::N,сельме,olho
1,Ohr::N,пиле,orelha
2,Nase::N,шалхка,nariz
3,Mund::N,курга,boca
4,Zahn::N,пей,dente
5,Zunge::N,кяль,língua
6,Lippe::N,търва́,lábio
7,Wange::N,щёка,face
8,Gesicht::N,шама,cara
9,Gesicht::N,шама,rosto
10,Stirn::N,коня,testa
11,Haar::N,шя́ярь,cabelo
12,Schnurrbart::N,уса́,bigode
13,Bart::N,сакал,barba
14,Kinn::N,ула,queixo
15,Kiefer[Anatomie]::N,саласка,maxila
16,Kiefer[Anatomie]::N,саласка,mandíbula
17,Kehle::N,кълдома,garganta
18,Kehle::N,кърга́парь,garganta
19,Hals::N,сялдаз,colo
20,Hals::N,сялдаз,pescoço
21,Genick::N,шовонь,nuca
22,Kopf::N,пря,cabeça
23,Rücken::N,копорь,dorso
24,Rücken::N,копорь,costas
25,Bauch::N,пеке,ventre
26,Bauch::N,пеке,barriga
27,Nabel::N,по́кон,umbigo
28,Busen::N,потя,seio
29,Brust::N,мяште,peito
30,Schulter::N,лафту,ombro
31,Arm::N,кядь,braço
32,Ellenbogen::N,кенерьба́карь,cotovelo
33,Hand::N,кядь,mão
34,Handfläche::N,кядьлапш,palma
35,Handfläche::N,кядьлапш,palma da mão
36,Finger::N,сур,dedo
37,Fingernagel::N,кенже,unha
38,Nagel[Anatomie]::N,кенже,unha
39,Zeh::N,пильгосу́р,dedo do pé
40,Fuß::N,пильге,pé
41,Fuß::N,пильгелапа,pé
42,Ferse::N,кочкяря,calcanhar
43,Knie::N,эль,joelho
44,Knie::N,пълма́нжа,joelho
45,Oberschenkel::N,пильгепукша,coxa
46,Bein::N,пильге,perna
47,Körper::N,ро́нга,corpo
48,Körper::N,по́нда,corpo
49,Haut::N,киське,pele
50,Blut::N,вер,sangue
51,Ader::N,сан,veia
52,Ader::N,верза́н,veia
53,Sehne::N,коське сан,tendão
54,Knochen::N,пакарь,osso
55,Gehirn::N,уй,cérebro
56,Herz::N,седи,coração
57,Magen::N,коткърдазь,estômago
58,Leber::N,макса,fígado
59,Atem::N,лекома,fôlego
60,Atem::N,ваймонь тарксема,fôlego
61,Hunger::N,вачеши,fome
62,Träne::N,сельмове́дь,lágrima
63,Geschmack::N,таньф,gosto
64,Geruch::N,шине,odor
65,Geruch::N,шине,cheiro
66,Schlaf::N,удома́,sono
67,Traum::N,он,sonho
68,Himmel::N,менель,céu
69,Sonne::N,ши,sol
70,Mond::N,ков,lua
71,Stern::N,тяште,estrela
72,Luft::N,кожф,ar
73,Wind::N,варма,vento
74,Welle::N,тавла,onda
75,Wasser::N,ведь,água
76,Stein::N,кев,pedra
77,Boden::N,мода,solo
