,Concept_ID,vep,es
192,Schlange[Tier]::N,kü,serpiente
193,Schlange[Tier]::N,mado,serpiente
194,Wurm::N,mado,gusano
195,Spinne::N,hämähouk,araña
196,Ameise::N,murahaine,hormiga
197,Laus::N,täi,piojo
198,Mücke::N,säs'k,mosquito
199,Fliege::N,kärbhaine,mosca
200,Schmetterling::N,lipkaine,mariposa
201,Beere::N,marj,baya
202,Apfel::N,jablok,manzana
203,Pilz::N,sen',seta
204,Pilz::N,sen',hongo
205,Pilz::N,babuk,seta
206,Pilz::N,babuk,hongo
207,Zwiebel::N,lauk,cebolla
208,Saat::N,semned,siembra
209,Korn::N,jüvä,grano
210,Korn::N,vill',grano
211,Heu::N,hein,heno
212,Schale::N,kor',cáscara
213,Grube::N,kop,foso
214,Falle::N,rida,trampa
215,Schlinge::N,rihm,lazo
216,Spur::N,jäl'g,huella
217,Asche::N,tuhk,ceniza
218,Dreck::N,redu,suciedad
219,Dreck::N,pačak,suciedad
220,Eisen::N,raud,hierro
221,Gold::N,kuld,oro
222,Silber::N,hobed,plata
223,Kohle::N,hil',carbón
224,Glas::N,stökol,vidrio
225,Glas::N,stökol,cristal
226,Lehm::N,savi,barro
227,Sand::N,lete,arena
228,Mensch::N,mez',hombre
229,Mensch::N,mez',ser humano
230,Mensch::N,ristit,hombre
231,Mensch::N,ristit,ser humano
232,Mann::N,mez',hombre
233,Frau::N,naine,mujer
234,Kind::N,laps',niño
235,Junge::N,poig,chico
236,Junge::N,poig,muchacho
237,Junge::N,prihaine,chico
238,Junge::N,prihaine,muchacho
239,Mädchen::N,neičukaine,chica
240,Mädchen::N,neičukaine,muchacha
241,Familie::N,kanz,familia
242,Familie::N,pereh,familia
243,Großvater::N,ded,abuelo
244,Großmutter::N,bab,abuela
245,Eltern::N,vanhembad,padres
246,Eltern::N,kazvatajad,padres
247,Vater::N,tat,padre
248,Mutter::N,mam,madre
249,Sohn::N,poig,hijo
250,Tochter::N,tütär,hija
251,Bruder::N,veik,hermano
252,Bruder::N,vell',hermano
253,Schwester::N,čiža,hermana
254,Schwester::N,sizar,hermana
255,Onkel::N,däd',tío
256,Tante::N,tädi,tía
257,Ehemann::N,mužik,esposo
258,Ehefrau::N,ak,esposa
