,Concept_ID,mhr,ady
0,Auge::N,шинча́,нэ
1,Ohr::N,пы́лыш,тхьакӏу́м
2,Nase::N,нер,пэ
3,Mund::N,умша́,жэ
4,Zahn::N,пӱй,цэ
5,Zunge::N,йы́лме,бзэгу
6,Lippe::N,тӱ́рвӧ,ӏупшӏэ́
7,Wange::N,шӱ́ргӧ,нэкӏу́шъу
8,Gesicht::N,чури́й,нэ́гу
9,Stirn::N,саҥга́,натӏэ́
10,Haar::N,ӱп,шъхьацы́
11,Schnurrbart::N,ӧ́рыш,
12,Bart::N,понда́ш,жакӏэ́
13,Kinn::N,оҥыла́ш,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,жэпкъы́
15,Kiefer[Anatomie]::N,пӱйората́,жэпкъы́
16,Kehle::N,лога́р,чый
17,Hals::N,шӱй,пшъэ
18,Genick::N,шӱйло́дыш,шъхьэпхэтыку
19,Kopf::N,вуй,шъхьэ́
20,Rücken::N,туп,кӏыбы́
21,Bauch::N,мӱ́шкыр,ныбэ́
22,Nabel::N,кы́лымде,
23,Busen::N,чы́зе,бгъэ́
24,Brust::N,оҥ,бгъэ́
25,Schulter::N,ва́че,блыпкъ
26,Arm::N,кид,ӏэ
27,Ellenbogen::N,кынерву́й,ӏэнтэ́гъу
28,Hand::N,кид,ӏэтхьэцу
29,Hand::N,копа́,ӏэтхьэцу
30,Handfläche::N,со́во,ӏэ́гу
31,Finger::N,парня́,ӏэхъуа́мб
32,Fingernagel::N,кидкӱ́ч,ӏэбжъа́н
33,Fingernagel::N,парнягӱ́ч,ӏэбжъа́н
34,Nagel[Anatomie]::N,кӱч,ӏэбжъа́н
35,Zeh::N,йолварня́,ӏэхъуа́мб
36,Fuß::N,йол,лъэгу
37,Fuß::N,йолкопа́,лъэгу
38,Ferse::N,тага́н,лъэдакъэ
39,Knie::N,пулву́й,лъагуа́ндж
40,Oberschenkel::N,э́рде,ко
41,Bein::N,йол,лъакъо́
42,Körper::N,кап,пкъышъол
43,Haut::N,кова́ште,кӏы́шъу
44,Blut::N,вӱр,лъы
45,Ader::N,шӧн,льытф
46,Sehne::N,шӧн,фэ
47,Sehne::N,кӱсе́н,фэ
48,Knochen::N,лу,къупшъхьэ́
49,Gehirn::N,вем,куцӏы
50,Gehirn::N,вуйве́м,куцӏы
51,Herz::N,шӱм,гу
52,Magen::N,пага́р,мышкӏу
53,Leber::N,мокш,шӏу
54,Atem::N,шӱ́лыш,къэщэныр
55,Hunger::N,шужыма́ш,гъаблэ́
56,Träne::N,шинчавӱ́д,нэпсы
57,Geschmack::N,там,ӏэшӏугъа́кӏ
58,Geruch::N,пуш,мэ
59,Schlaf::N,о́мо,пчыхьы́пӏ
60,Traum::N,йӱдо́мо,пчыхьы́пӏ
61,Himmel::N,кава́,уашъо́
62,Sonne::N,ке́че,тыгъэ
63,Mond::N,ты́лзе,мазэ
64,Stern::N,шӱ́дыр,жъуагъо́
65,Luft::N,юж,жьы
66,Wind::N,марде́ж,жьыбгъэ́
